#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR49012--MA0741.1.KLF16	chr5	32192287	32192297	-	0.000	0.000	Merged-chr5-32192251-27
NR57802--MA0599.1.KLF5	chr7	16001851	16001860	-	0.000	0.000	Merged-chr7-16001989-41
NR55778--MA0740.1.KLF14	chr6	119451004	119451017	+	0.000	0.000	Merged-chr6-119451010-23
NR57107--MA1107.1.KLF9	chr6	144664961	144664973	+	0.000	0.000	Merged-chr6-144664964-20
NR28666--MA0493.1.Klf1	chr17	46880156	46880166	+	0.000	0.000	Merged-chr17-46880120-39
NR14039--MA0493.1.Klf1	chr12	52383127	52383137	-	0.000	0.000	Merged-chr12-52383146-23
NR28371--MA0599.1.KLF5	chr17	37028703	37028712	-	0.000	0.000	Merged-chr17-37028850-28
NR21007--MA0741.1.KLF16	chr14	78619066	78619076	-	0.000	0.000	Merged-chr14-78619032-26
NR7043--MA0741.1.KLF16	chr10	82812047	82812057	+	0.000	0.000	Merged-chr10-82812084-42
NR14372--MA0742.1.Klf12	chr12	71030418	71030432	+	0.000	0.000	Merged-chr12-71030638-56
NR8211--MA1107.1.KLF9	chr10	117784736	117784748	+	0.000	0.000	Merged-chr10-117784888-21
NR1766--MA0740.1.KLF14	chr1	106714611	106714624	-	0.000	0.000	Merged-chr1-106714804-1
NR36665--MA0599.1.KLF5	chr2	92464878	92464887	+	0.000	0.000	Merged-chr2-92464936-24
NR52830--MA0740.1.KLF14	chr5	144358275	144358288	-	0.000	0.000	Merged-chr5-144358177-56
NR29480--MA0740.1.KLF14	chr17	74865011	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR43169--MA0039.3.KLF4	chr3	137969322	137969332	+	0.000	0.000	Merged-chr3-137969157-49
NR60042--MA0741.1.KLF16	chr7	97355236	97355246	-	0.000	0.000	Merged-chr7-97355237-14
NR59622--MA0039.3.KLF4	chr7	79363684	79363694	-	0.000	0.000	Merged-chr7-79363578-43
NR58154--MA0741.1.KLF16	chr7	24481951	24481961	+	0.000	0.000	Merged-chr7-24481860-36
NR68160--MA1107.1.KLF9	chr9	103449317	103449329	-	0.000	0.000	Merged-chr9-103449335-34
NR28679--MA1107.1.KLF9	chr17	47171159	47171171	-	0.000	0.000	Merged-chr17-47171280-54
NR37849--MA0599.1.KLF5	chr2	132669326	132669335	+	0.000	0.000	Merged-chr2-132669439-31
NR5166--MA0493.1.Klf1	chr10	18193273	18193283	-	0.000	0.000	Merged-chr10-18193414-42
NR45126--MA0493.1.Klf1	chr4	59035536	59035546	-	0.000	0.000	Merged-chr4-59035352-69
NR23221--MA0740.1.KLF14	chr15	77071683	77071696	-	0.000	0.000	Merged-chr15-77071598-27
NR45380--MA0039.3.KLF4	chr4	83354919	83354929	+	0.000	0.000	Merged-chr4-83354968-34
NR47636--MA0039.3.KLF4	chr4	144901712	144901722	+	0.000	0.000	Merged-chr4-144901724-37
NR41163--MA0741.1.KLF16	chr3	84772124	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR45032--MA0493.1.Klf1	chr4	56222650	56222660	+	0.000	0.000	Merged-chr4-56222492-84
NR12217--MA1107.1.KLF9	chr11	103351165	103351177	+	0.000	0.000	Merged-chr11-103350991-5
NR23579--MA1107.1.KLF9	chr15	82188230	82188242	+	0.000	0.000	Merged-chr15-82188110-14
NR1397--MA1107.1.KLF9	chr1	85250742	85250754	-	0.000	0.000	Merged-chr1-85250842-29
NR29121--MA0599.1.KLF5	chr17	63405678	63405687	+	0.000	0.000	Merged-chr17-63405591-44
NR57661--MA0741.1.KLF16	chr7	4922660	4922670	+	0.000	0.000	Merged-chr7-4922801-35
NR49513--MA0599.1.KLF5	chr5	63943567	63943576	-	0.000	0.000	Merged-chr5-63943362-36
NR42424--MA0039.3.KLF4	chr3	121723456	121723466	-	0.000	0.000	Merged-chr3-121723396-86
NR55981--MA0741.1.KLF16	chr6	124493101	124493111	+	0.000	0.000	Merged-chr6-124493051-20
NR27960--MA0741.1.KLF16	chr17	30363634	30363644	+	0.000	0.000	Merged-chr17-30363504-27
NR36437--MA0599.1.KLF5	chr2	79010056	79010065	-	0.000	0.000	Merged-chr2-79010022-27
NR15935--MA0493.1.Klf1	chr12	116077708	116077718	-	0.000	0.000	Merged-chr12-116077743-55
NR49705--MA0493.1.Klf1	chr5	72844495	72844505	+	0.000	0.000	Merged-chr5-72844506-23
NR58024--MA0741.1.KLF16	chr7	19405659	19405669	+	0.000	0.000	Merged-chr7-19405612-30
NR32421--MA1107.1.KLF9	chr18	89326181	89326193	+	0.000	0.000	Merged-chr18-89326061-22
NR61462--MA0740.1.KLF14	chr7	130812671	130812684	-	0.000	0.000	Merged-chr7-130812664-20
NR16157--MA0599.1.KLF5	chr13	5768076	5768085	+	0.000	0.000	Merged-chr13-5768061-15
NR38801--MA0741.1.KLF16	chr2	158179201	158179211	-	0.000	0.000	Merged-chr2-158179183-18
NR36549--MA0599.1.KLF5	chr2	85224593	85224602	+	0.000	0.000	Merged-chr2-85224623-28
NR19892--MA0599.1.KLF5	chr14	41050724	41050733	-	0.000	0.000	Merged-chr14-41050635-35
NR46310--MA0740.1.KLF14	chr4	118260692	118260705	+	0.000	0.000	Merged-chr4-118260858-21
NR55067--MA0493.1.Klf1	chr6	97300932	97300942	-	0.000	0.000	Merged-chr6-97300820-20
NR161--MA0493.1.Klf1	chr1	20912783	20912793	-	0.000	0.000	Merged-chr1-20912686-65
NR54782--MA0742.1.Klf12	chr6	86645286	86645300	-	0.000	0.000	Merged-chr6-86645182-42
NR19520--MA0493.1.Klf1	chr14	20023919	20023929	-	0.000	0.000	Merged-chr14-20024041-29
NR35910--MA1107.1.KLF9	chr2	60774637	60774649	-	0.000	0.000	Merged-chr2-60774747-55
NR45535--MA0741.1.KLF16	chr4	89282354	89282364	-	0.000	0.000	Merged-chr4-89282220-20
NR64687--MA0039.3.KLF4	chr8	115113105	115113115	+	0.000	0.000	Merged-chr8-115113135-10
NR52790--MA0740.1.KLF14	chr5	144165947	144165960	-	0.000	0.000	Merged-chr5-144166019-31
NR45479--MA0039.3.KLF4	chr4	86722130	86722140	-	0.000	0.000	Merged-chr4-86721990-52
NR24213--MA0493.1.Klf1	chr15	97908368	97908378	+	0.000	0.000	Merged-chr15-97908198-86
NR53714--MA0741.1.KLF16	chr6	30617395	30617405	+	0.000	0.000	Merged-chr6-30617295-15
NR25450--MA1107.1.KLF9	chr16	35485090	35485102	-	0.000	0.000	Merged-chr16-35485007-20
NR54122--MA0740.1.KLF14	chr6	50596970	50596983	+	0.000	0.000	Merged-chr6-50596805-84
NR55887--MA0599.1.KLF5	chr6	121017544	121017553	-	0.000	0.000	Merged-chr6-121017523-33
NR9561--MA1107.1.KLF9	chr11	43703694	43703706	+	0.000	0.000	Merged-chr11-43703862-10
NR8346--MA1107.1.KLF9	chr10	119001584	119001596	-	0.000	0.000	Merged-chr10-119001692-38
NR21736--MA0493.1.Klf1	chr14	120313644	120313654	+	0.000	0.000	Merged-chr14-120313531-118
NR39365--MA0039.3.KLF4	chr2	167996216	167996226	+	0.000	0.000	Merged-chr2-167996083-9
NR10799--MA0742.1.Klf12	chr11	76184656	76184670	-	0.000	0.000	Merged-chr11-76184587-9
NR5641--MA0493.1.Klf1	chr10	42699280	42699290	+	0.000	0.000	Merged-chr10-42699170-35
NR62722--MA0742.1.Klf12	chr8	34529601	34529615	-	0.000	0.000	Merged-chr8-34529653-1
NR45753--MA0741.1.KLF16	chr4	101217267	101217277	-	0.000	0.000	Merged-chr4-101217167-64
NR19570--MA0599.1.KLF5	chr14	21112781	21112790	+	0.000	0.000	Merged-chr14-21112934-51
NR27062--MA0493.1.Klf1	chr17	8306074	8306084	+	0.000	0.000	Merged-chr17-8305975-23
NR55070--MA0741.1.KLF16	chr6	97300931	97300941	-	0.000	0.000	Merged-chr6-97300820-20
NR24214--MA0741.1.KLF16	chr15	97908369	97908379	+	0.000	0.000	Merged-chr15-97908198-86
NR57109--MA0742.1.Klf12	chr6	144664995	144665009	+	0.000	0.000	Merged-chr6-144664964-20
NR32417--MA1107.1.KLF9	chr18	89159653	89159665	-	0.000	0.000	Merged-chr18-89159613-61
NR45937--MA0742.1.Klf12	chr4	106935040	106935054	-	0.000	0.000	Merged-chr4-106934885-1
NR33414--MA0599.1.KLF5	chr19	36384690	36384699	+	0.000	0.000	Merged-chr19-36384536-37
NR70269--MA0740.1.KLF14	chrX	140062346	140062359	-	0.000	0.000	Merged-chrX-140062450-72
NR24195--MA0741.1.KLF16	chr15	97578166	97578176	-	0.000	0.000	Merged-chr15-97578299-40
NR65124--MA1107.1.KLF9	chr8	122712181	122712193	-	0.000	0.000	Merged-chr8-122712057-14
NR19521--MA0741.1.KLF16	chr14	20023918	20023928	-	0.000	0.000	Merged-chr14-20024041-29
NR22120--MA0741.1.KLF16	chr15	25696041	25696051	-	0.000	0.000	Merged-chr15-25696018-37
NR44846--MA0039.3.KLF4	chr4	46635542	46635552	-	0.000	0.000	Merged-chr4-46635507-41
NR41165--MA1107.1.KLF9	chr3	84772123	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR70727--MA0599.1.KLF5	chrY	1116319	1116328	-	0.000	0.000	Merged-chrY-1116441-17
NR34530--MA0741.1.KLF16	chr2	9792595	9792605	-	0.000	0.000	Merged-chr2-9792573-15
NR36030--MA0599.1.KLF5	chr2	65196077	65196086	-	0.000	0.000	Merged-chr2-65195826-52
NR49865--MA0657.1.KLF13	chr5	75662514	75662531	-	0.000	0.000	Merged-chr5-75662405-46
NR13693--MA0493.1.Klf1	chr12	25247232	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR47380--MA0741.1.KLF16	chr4	139319888	139319898	+	0.000	0.000	Merged-chr4-139319909-27
NR22895--MA0741.1.KLF16	chr15	64382594	64382604	+	0.000	0.000	Merged-chr15-64382690-41
NR22088--MA0599.1.KLF5	chr15	12895613	12895622	-	0.000	0.000	Merged-chr15-12895648-51
NR12389--MA0599.1.KLF5	chr11	106961922	106961931	-	0.000	0.000	Merged-chr11-106961822-47
NR33991--MA0493.1.Klf1	chr19	53760461	53760471	-	0.000	0.000	Merged-chr19-53760542-10
NR46409--MA0742.1.Klf12	chr4	120288020	120288034	+	0.000	0.000	Merged-chr4-120287807-68
NR64908--MA0493.1.Klf1	chr8	120071855	120071865	+	0.000	0.000	Merged-chr8-120071867-24
NR34498--MA0039.3.KLF4	chr2	7254631	7254641	-	0.000	0.000	Merged-chr2-7254714-17
NR63616--MA1107.1.KLF9	chr8	76899694	76899706	-	0.000	0.000	Merged-chr8-76899430-75
NR58441--MA0740.1.KLF14	chr7	28451949	28451962	+	0.000	0.000	Merged-chr7-28452002-19
NR12663--MA0742.1.Klf12	chr11	113537055	113537069	+	0.000	0.000	Merged-chr11-113536889-33
NR49451--MA0599.1.KLF5	chr5	53605582	53605591	-	0.000	0.000	Merged-chr5-53605625-25
NR9339--MA0599.1.KLF5	chr11	22617724	22617733	+	0.000	0.000	Merged-chr11-22617699-33
NR1305--MA0599.1.KLF5	chr1	79858712	79858721	+	0.000	0.000	Merged-chr1-79858629-58
NR61472--MA1107.1.KLF9	chr7	130893300	130893312	+	0.000	0.000	Merged-chr7-130893114-41
NR53842--MA0599.1.KLF5	chr6	38810072	38810081	+	0.000	0.000	Merged-chr6-38810070-95
NR20454--MA0493.1.Klf1	chr14	61056910	61056920	-	0.000	0.000	Merged-chr14-61056983-100
NR4461--MA0741.1.KLF16	chr1	189608919	189608929	-	0.000	0.000	Merged-chr1-189608778-45
NR49563--MA0599.1.KLF5	chr5	64990218	64990227	-	0.000	0.000	Merged-chr5-64990076-28
NR42484--MA0493.1.Klf1	chr3	122721570	122721580	-	0.000	0.000	Merged-chr3-122721694-22
NR37110--MA1107.1.KLF9	chr2	114153383	114153395	-	0.000	0.000	Merged-chr2-114153480-37
NR50219--MA0599.1.KLF5	chr5	92375005	92375014	-	0.000	0.000	Merged-chr5-92374946-3
NR37109--MA0741.1.KLF16	chr2	114153384	114153394	-	0.000	0.000	Merged-chr2-114153480-37
NR8201--MA0741.1.KLF16	chr10	117660139	117660149	-	0.000	0.000	Merged-chr10-117659981-30
NR26554--MA1107.1.KLF9	chr16	93574641	93574653	-	0.000	0.000	Merged-chr16-93574695-56
NR55215--MA1107.1.KLF9	chr6	100879587	100879599	-	0.000	0.000	Merged-chr6-100879682-24
NR37657--MA0493.1.Klf1	chr2	128470708	128470718	-	0.000	0.000	Merged-chr2-128470524-44
NR45790--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
