#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR4749--MA0523.1.TCF7L2	chr7	19790168	19790181	-	0.000	0.000	Merged-chr7-19790098-49
NR4756--MA0769.1.Tcf7	chr7	24394519	24394530	-	0.000	0.000	Merged-chr7-24394603-28
NR4541--MA0769.1.Tcf7	chr6	108512292	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR5375--MA0523.1.TCF7L2	chr9	42159039	42159052	+	0.000	0.000	Merged-chr9-42158908-46
NR4132--MA1421.1.TCF7L1	chr5	86816950	86816961	+	0.000	0.000	Merged-chr5-86816982-25
NR524--MA0769.1.Tcf7	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR5198--MA0523.1.TCF7L2	chr8	88290563	88290576	-	0.000	0.000	Merged-chr8-88290396-49
NR4557--MA1421.1.TCF7L1	chr6	114916471	114916482	-	0.000	0.000	Merged-chr6-114916622-10
NR2605--MA0523.1.TCF7L2	chr18	36512429	36512442	-	0.000	0.000	Merged-chr18-36512403-20
NR1937--MA0769.1.Tcf7	chr15	25892140	25892151	-	0.000	0.000	Merged-chr15-25891873-55
NR1163--MA1421.1.TCF7L1	chr12	35999207	35999218	+	0.000	0.000	Merged-chr12-35999221-22
NR4733--MA1421.1.TCF7L1	chr7	15949534	15949545	+	0.000	0.000	Merged-chr7-15949519-32
NR5447--MA0769.1.Tcf7	chr9	72660365	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR3057--MA0769.1.Tcf7	chr2	90562274	90562285	-	0.000	0.000	Merged-chr2-90562207-12
NR873--MA1421.1.TCF7L1	chr11	48927166	48927177	-	0.000	0.000	Merged-chr11-48927051-20
NR3608--MA0769.1.Tcf7	chr3	136725840	136725851	-	0.000	0.000	Merged-chr3-136725981-1
NR5385--MA0769.1.Tcf7	chr9	46015107	46015118	-	0.000	0.000	Merged-chr9-46015200-37
NR1165--MA0769.1.Tcf7	chr12	35999207	35999218	+	0.000	0.000	Merged-chr12-35999221-22
NR4538--MA0769.1.Tcf7	chr6	108509113	108509124	+	0.000	0.000	Merged-chr6-108509162-15
NR2146--MA1421.1.TCF7L1	chr16	4583907	4583918	-	0.000	0.000	Merged-chr16-4584045-35
NR4270--MA0769.1.Tcf7	chr5	124022515	124022526	-	0.000	0.000	Merged-chr5-124022476-27
NR969--MA0523.1.TCF7L2	chr11	83118301	83118314	-	0.000	0.000	Merged-chr11-83118266-24
NR4540--MA0523.1.TCF7L2	chr6	108512290	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR956--MA0523.1.TCF7L2	chr11	76184636	76184649	-	0.000	0.000	Merged-chr11-76184587-9
NR5535--MA1421.1.TCF7L1	chr9	90199249	90199260	+	0.000	0.000	Merged-chr9-90199244-4
NR1789--MA0769.1.Tcf7	chr14	54153097	54153108	+	0.000	0.000	Merged-chr14-54152970-29
NR2480--MA1421.1.TCF7L1	chr17	57167169	57167180	+	0.000	0.000	Merged-chr17-57167239-24
NR5446--MA0523.1.TCF7L2	chr9	72660363	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR5444--MA1421.1.TCF7L1	chr9	72660365	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR2048--MA0769.1.Tcf7	chr15	76908244	76908255	+	0.000	0.000	Merged-chr15-76908278-27
NR2881--MA0769.1.Tcf7	chr2	5061514	5061525	+	0.000	0.000	Merged-chr2-5061621-34
NR3058--MA0769.1.Tcf7	chr2	90583736	90583747	+	0.000	0.000	Merged-chr2-90583818-37
NR3909--MA0523.1.TCF7L2	chr4	129365361	129365374	+	0.000	0.000	Merged-chr4-129365384-41
NR3141--MA1421.1.TCF7L1	chr2	122673052	122673063	+	0.000	0.000	Merged-chr2-122673136-39
NR5386--MA0769.1.Tcf7	chr9	46015114	46015125	-	0.000	0.000	Merged-chr9-46015200-37
NR4735--MA0769.1.Tcf7	chr7	15949534	15949545	+	0.000	0.000	Merged-chr7-15949519-32
NR4655--MA0769.1.Tcf7	chr6	140516389	140516400	+	0.000	0.000	Merged-chr6-140516566-6
NR5384--MA0523.1.TCF7L2	chr9	46015112	46015125	-	0.000	0.000	Merged-chr9-46015200-37
NR1543--MA0769.1.Tcf7	chr13	81684300	81684311	+	0.000	0.000	Merged-chr13-81684447-5
NR2879--MA1421.1.TCF7L1	chr2	5061514	5061525	+	0.000	0.000	Merged-chr2-5061621-34
NR5197--MA1421.1.TCF7L1	chr8	88290555	88290566	-	0.000	0.000	Merged-chr8-88290396-49
NR1365--MA0769.1.Tcf7	chr12	113005278	113005289	-	0.000	0.000	Merged-chr12-113005235-22
NR2604--MA1421.1.TCF7L1	chr18	36512431	36512442	-	0.000	0.000	Merged-chr18-36512403-20
NR141--MA0523.1.TCF7L2	chr1	88644680	88644693	-	0.000	0.000	Merged-chr1-88644619-31
NR4097--MA1421.1.TCF7L1	chr5	64360765	64360776	+	0.000	0.000	Merged-chr5-64360756-39
NR1366--MA1421.1.TCF7L1	chr12	113023488	113023499	-	0.000	0.000	Merged-chr12-113023273-19
NR631--MA0769.1.Tcf7	chr10	82887568	82887579	-	0.000	0.000	Merged-chr10-82887554-36
NR1787--MA1421.1.TCF7L1	chr14	54153097	54153108	+	0.000	0.000	Merged-chr14-54152970-29
NR1075--MA0523.1.TCF7L2	chr11	111065058	111065071	+	0.000	0.000	Merged-chr11-111065000-37
NR654--MA0769.1.Tcf7	chr10	89766144	89766155	-	0.000	0.000	Merged-chr10-89765992-47
NR1542--MA1421.1.TCF7L1	chr13	81684300	81684311	+	0.000	0.000	Merged-chr13-81684447-5
NR4133--MA0523.1.TCF7L2	chr5	86816950	86816963	+	0.000	0.000	Merged-chr5-86816982-25
NR4129--MA0523.1.TCF7L2	chr5	77273378	77273391	-	0.000	0.000	Merged-chr5-77273365-25
NR5536--MA0769.1.Tcf7	chr9	90199249	90199260	+	0.000	0.000	Merged-chr9-90199244-4
NR298--MA0769.1.Tcf7	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR1788--MA0523.1.TCF7L2	chr14	54153080	54153093	+	0.000	0.000	Merged-chr14-54152970-29
NR297--MA1421.1.TCF7L1	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR3577--MA1421.1.TCF7L1	chr3	131271376	131271387	+	0.000	0.000	Merged-chr3-131271223-1
NR4537--MA0523.1.TCF7L2	chr6	108509113	108509126	+	0.000	0.000	Merged-chr6-108509162-15
NR630--MA0523.1.TCF7L2	chr10	82887566	82887579	-	0.000	0.000	Merged-chr10-82887554-36
NR1164--MA0523.1.TCF7L2	chr12	35999207	35999220	+	0.000	0.000	Merged-chr12-35999221-22
NR3353--MA1421.1.TCF7L1	chr3	30965723	30965734	-	0.000	0.000	Merged-chr3-30965854-44
NR2186--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR3578--MA0769.1.Tcf7	chr3	131271376	131271387	+	0.000	0.000	Merged-chr3-131271223-1
NR1076--MA0769.1.Tcf7	chr11	111065058	111065069	+	0.000	0.000	Merged-chr11-111065000-37
