#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR1994--MA0690.1.TBX21	chr8	120396913	120396922	+	0.000	0.000	Merged-chr8-120396987-32
NR1184--MA0690.1.TBX21	chr2	116900256	116900265	+	0.000	0.000	Merged-chr2-116900141-29
NR2028--MA0690.1.TBX21	chr9	50533709	50533718	-	0.000	0.000	Merged-chr9-50533637-27
NR1644--MA0690.1.TBX21	chr5	146857849	146857858	+	0.000	0.000	Merged-chr5-146857816-33
NR693--MA0690.1.TBX21	chr14	101467667	101467676	+	0.000	0.000	Merged-chr14-101467841-26
NR1758--MA0690.1.TBX21	chr6	127446833	127446842	+	0.000	0.000	Merged-chr6-127446764-51
NR1099--MA0690.1.TBX21	chr2	32181496	32181505	-	0.000	0.000	Merged-chr2-32181600-13
NR542--MA0690.1.TBX21	chr13	44507254	44507263	+	0.000	0.000	Merged-chr13-44507226-54
NR97--MA0690.1.TBX21	chr1	152292097	152292106	-	0.000	0.000	Merged-chr1-152292152-42
NR1315--MA0690.1.TBX21	chr3	101598118	101598127	-	0.000	0.000	Merged-chr3-101598272-22
NR1689--MA0690.1.TBX21	chr6	53778875	53778884	+	0.000	0.000	Merged-chr6-53778855-8
NR330--MA0690.1.TBX21	chr11	34042998	34043007	+	0.000	0.000	Merged-chr11-34043059-39
NR194--MA0690.1.TBX21	chr10	18469742	18469751	+	0.000	0.000	Merged-chr10-18469759-32
NR239--MA0690.1.TBX21	chr10	64084553	64084562	+	0.000	0.000	Merged-chr10-64084628-22
NR218--MA0690.1.TBX21	chr10	39506906	39506915	-	0.000	0.000	Merged-chr10-39506782-12
NR436--MA0690.1.TBX21	chr12	14152247	14152256	+	0.000	0.000	Merged-chr12-14152213-14
NR178--MA0690.1.TBX21	chr1	193285698	193285707	-	0.000	0.000	Merged-chr1-193285975-30
NR1884--MA0690.1.TBX21	chr7	119801242	119801251	-	0.000	0.000	Merged-chr7-119801060-49
NR1993--MA0690.1.TBX21	chr8	117198136	117198145	-	0.000	0.000	Merged-chr8-117198283-35
NR1271--MA0690.1.TBX21	chr3	19459116	19459125	-	0.000	0.000	Merged-chr3-19459037-66
NR1412--MA0690.1.TBX21	chr4	35096792	35096801	-	0.000	0.000	Merged-chr4-35096609-40
NR1786--MA0690.1.TBX21	chr6	144922953	144922962	+	0.000	0.000	Merged-chr6-144923057-24
NR591--MA0690.1.TBX21	chr13	92722541	92722550	-	0.000	0.000	Merged-chr13-92722597-29
NR1351--MA0690.1.TBX21	chr3	132927943	132927952	-	0.000	0.000	Merged-chr3-132927951-20
NR35--MA0690.1.TBX21	chr1	61136375	61136384	-	0.000	0.000	Merged-chr1-61136351-1
NR1614--MA0690.1.TBX21	chr5	122548791	122548800	+	0.000	0.000	Merged-chr5-122548864-15
NR1409--MA0690.1.TBX21	chr4	32352103	32352112	+	0.000	0.000	Merged-chr4-32352065-6
NR554--MA0690.1.TBX21	chr13	53346174	53346183	-	0.000	0.000	Merged-chr13-53346089-14
NR1152--MA0690.1.TBX21	chr2	83695519	83695528	+	0.000	0.000	Merged-chr2-83695596-45
NR634--MA0690.1.TBX21	chr14	7864737	7864746	+	0.000	0.000	Merged-chr14-7864865-9
NR852--MA0690.1.TBX21	chr16	76310895	76310904	+	0.000	0.000	Merged-chr16-76310830-49
NR647--MA0690.1.TBX21	chr14	30184812	30184821	-	0.000	0.000	Merged-chr14-30184705-37
NR1128--MA0690.1.TBX21	chr2	61490913	61490922	+	0.000	0.000	Merged-chr2-61490794-61
NR531--MA0690.1.TBX21	chr13	35841997	35842006	+	0.000	0.000	Merged-chr13-35841945-14
NR2132--MA0690.1.TBX21	chrX	47992723	47992732	+	0.000	0.000	Merged-chrX-47992906-34
NR653--MA0690.1.TBX21	chr14	47533729	47533738	+	0.000	0.000	Merged-chr14-47533897-41
NR448--MA0690.1.TBX21	chr12	33220643	33220652	+	0.000	0.000	Merged-chr12-33220672-27
NR937--MA0690.1.TBX21	chr17	80092016	80092025	-	0.000	0.000	Merged-chr17-80091984-12
NR2111--MA0690.1.TBX21	chr9	116091613	116091622	-	0.000	0.000	Merged-chr9-116091467-52
NR265--MA0690.1.TBX21	chr10	90969660	90969669	+	0.000	0.000	Merged-chr10-90969735-47
NR515--MA0690.1.TBX21	chr13	20140317	20140326	+	0.000	0.000	Merged-chr13-20140166-30
