#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR1126--MA0508.2.PRDM1	chr18	68969006	68969015	+	0.000	0.000	Merged-chr18-68968994-3
NR693--MA0508.2.PRDM1	chr13	106691992	106692001	+	0.000	0.000	Merged-chr13-106691961-50
NR1506--MA0508.2.PRDM1	chr3	108781689	108781698	+	0.000	0.000	Merged-chr3-108781707-12
NR1758--MA0508.2.PRDM1	chr4	149914600	149914609	+	0.000	0.000	Merged-chr4-149914394-27
NR1615--MA0508.2.PRDM1	chr4	32424569	32424578	+	0.000	0.000	Merged-chr4-32424580-38
NR1519--MA0508.2.PRDM1	chr3	121105080	121105089	-	0.000	0.000	Merged-chr3-121105161-35
NR1105--MA0508.2.PRDM1	chr18	55681661	55681670	-	0.000	0.000	Merged-chr18-55681578-17
NR84--MA0508.2.PRDM1	chr1	106866849	106866858	-	0.000	0.000	Merged-chr1-106866899-32
NR271--MA0508.2.PRDM1	chr10	76238051	76238060	-	0.000	0.000	Merged-chr10-76237890-83
NR542--MA0508.2.PRDM1	chr12	107016932	107016941	-	0.000	0.000	Merged-chr12-107016974-8
NR813--MA0508.2.PRDM1	chr14	103719037	103719046	+	0.000	0.000	Merged-chr14-103719095-60
NR794--MA0508.2.PRDM1	chr14	79234765	79234774	-	0.000	0.000	Merged-chr14-79234697-12
NR922--MA0508.2.PRDM1	chr16	21836808	21836817	+	0.000	0.000	Merged-chr16-21836791-13
NR1607--MA0508.2.PRDM1	chr4	14921998	14922007	+	0.000	0.000	Merged-chr4-14922203-28
NR1859--MA0508.2.PRDM1	chr5	100896485	100896494	-	0.000	0.000	Merged-chr5-100896571-13
NR2252--MA0508.2.PRDM1	chr8	33892341	33892350	-	0.000	0.000	Merged-chr8-33892285-10
NR2090--MA0508.2.PRDM1	chr7	18873073	18873082	+	0.000	0.000	Merged-chr7-18872970-1
NR425--MA0508.2.PRDM1	chr11	97905575	97905584	+	0.000	0.000	Merged-chr11-97905718-19
NR1044--MA0508.2.PRDM1	chr17	65740403	65740412	-	0.000	0.000	Merged-chr17-65740416-17
NR481--MA0508.2.PRDM1	chr12	52615855	52615864	-	0.000	0.000	Merged-chr12-52615986-19
NR547--MA0508.2.PRDM1	chr12	110381461	110381470	-	0.000	0.000	Merged-chr12-110381552-59
NR1166--MA0508.2.PRDM1	chr19	16172897	16172906	-	0.000	0.000	Merged-chr19-16172957-13
NR1437--MA0508.2.PRDM1	chr3	52523068	52523077	-	0.000	0.000	Merged-chr3-52523173-17
NR133--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR55--MA0508.2.PRDM1	chr1	75487493	75487502	-	0.000	0.000	Merged-chr1-75487610-71
NR927--MA0508.2.PRDM1	chr16	25250333	25250342	+	0.000	0.000	Merged-chr16-25250353-21
NR255--MA0508.2.PRDM1	chr10	60000174	60000183	+	0.000	0.000	Merged-chr10-60000232-10
NR364--MA0508.2.PRDM1	chr11	32000055	32000064	-	0.000	0.000	Merged-chr11-32000120-91
NR473--MA0508.2.PRDM1	chr12	33389132	33389141	-	0.000	0.000	Merged-chr12-33389022-18
NR2170--MA0508.2.PRDM1	chr7	107664528	107664537	+	0.000	0.000	Merged-chr7-107664561-57
NR486--MA0508.2.PRDM1	chr12	53032943	53032952	-	0.000	0.000	Merged-chr12-53032976-31
NR2202--MA0508.2.PRDM1	chr7	126467317	126467326	+	0.000	0.000	Merged-chr7-126467456-1
NR104--MA0508.2.PRDM1	chr1	127732844	127732853	+	0.000	0.000	Merged-chr1-127732945-24
NR26--MA0508.2.PRDM1	chr1	37310048	37310057	+	0.000	0.000	Merged-chr1-37310125-13
NR290--MA0508.2.PRDM1	chr10	86794991	86795000	+	0.000	0.000	Merged-chr10-86794881-42
NR627--MA0508.2.PRDM1	chr13	52617344	52617353	-	0.000	0.000	Merged-chr13-52617361-10
NR1961--MA0508.2.PRDM1	chr6	65564421	65564430	-	0.000	0.000	Merged-chr6-65564422-101
NR117--MA0508.2.PRDM1	chr1	138952323	138952332	+	0.000	0.000	Merged-chr1-138952405-35
NR369--MA0508.2.PRDM1	chr11	34101846	34101855	+	0.000	0.000	Merged-chr11-34101959-21
NR2271--MA0508.2.PRDM1	chr8	53630825	53630834	-	0.000	0.000	Merged-chr8-53630787-29
NR1940--MA0508.2.PRDM1	chr6	52991365	52991374	+	0.000	0.000	Merged-chr6-52991289-8
NR2032--MA0508.2.PRDM1	chr6	119159780	119159789	-	0.000	0.000	Merged-chr6-119159656-11
NR173--MA0508.2.PRDM1	chr1	176939833	176939842	-	0.000	0.000	Merged-chr1-176939939-16
NR2250--MA0508.2.PRDM1	chr8	25132731	25132740	+	0.000	0.000	Merged-chr8-25132757-32
NR728--MA0508.2.PRDM1	chr14	12307795	12307804	-	0.000	0.000	Merged-chr14-12307905-40
NR707--MA0508.2.PRDM1	chr13	112447339	112447348	-	0.000	0.000	Merged-chr13-112447320-26
NR959--MA0508.2.PRDM1	chr16	55526568	55526577	-	0.000	0.000	Merged-chr16-55526472-43
NR2133--MA0508.2.PRDM1	chr7	76047974	76047983	+	0.000	0.000	Merged-chr7-76048040-27
NR1783--MA0508.2.PRDM1	chr5	34822677	34822686	-	0.000	0.000	Merged-chr5-34822830-22
NR2080--MA0508.2.PRDM1	chr6	146072170	146072179	+	0.000	0.000	Merged-chr6-146072064-12
NR938--MA0508.2.PRDM1	chr16	35742514	35742523	+	0.000	0.000	Merged-chr16-35742622-74
NR1924--MA0508.2.PRDM1	chr6	30592156	30592165	+	0.000	0.000	Merged-chr6-30592201-27
NR2364--MA0508.2.PRDM1	chr9	30480775	30480784	-	0.000	0.000	Merged-chr9-30480669-44
NR2221--MA0508.2.PRDM1	chr7	138848443	138848452	+	0.000	0.000	Merged-chr7-138848569-2
NR157--MA0508.2.PRDM1	chr1	169919420	169919429	+	0.000	0.000	Merged-chr1-169919458-18
NR428--MA0508.2.PRDM1	chr11	99116171	99116180	+	0.000	0.000	Merged-chr11-99116157-23
NR1871--MA0508.2.PRDM1	chr5	113994108	113994117	-	0.000	0.000	Merged-chr5-113994160-2
NR2505--MA0508.2.PRDM1	chrX	159199720	159199729	+	0.000	0.000	Merged-chrX-159199808-53
NR1903--MA0508.2.PRDM1	chr5	149017746	149017755	+	0.000	0.000	Merged-chr5-149017827-20
NR388--MA0508.2.PRDM1	chr11	72843226	72843235	+	0.000	0.000	Merged-chr11-72843194-9
NR2194--MA0508.2.PRDM1	chr7	122932333	122932342	-	0.000	0.000	Merged-chr7-122932357-26
NR258--MA0508.2.PRDM1	chr10	61658069	61658078	+	0.000	0.000	Merged-chr10-61658061-29
NR2335--MA0508.2.PRDM1	chr8	126699471	126699480	+	0.000	0.000	Merged-chr8-126699390-72
NR476--MA0508.2.PRDM1	chr12	41770112	41770121	+	0.000	0.000	Merged-chr12-41770163-15
NR128--MA0508.2.PRDM1	chr1	152053499	152053508	-	0.000	0.000	Merged-chr1-152053412-31
NR237--MA0508.2.PRDM1	chr10	40479336	40479345	-	0.000	0.000	Merged-chr10-40479489-48
NR508--MA0508.2.PRDM1	chr12	82171162	82171171	+	0.000	0.000	Merged-chr12-82171094-10
NR2348--MA0508.2.PRDM1	chr9	7576796	7576805	-	0.000	0.000	Merged-chr9-7576753-19
NR489--MA0508.2.PRDM1	chr12	54398191	54398200	-	0.000	0.000	Merged-chr12-54398333-42
NR1951--MA0508.2.PRDM1	chr6	59363440	59363449	+	0.000	0.000	Merged-chr6-59363496-31
NR1998--MA0508.2.PRDM1	chr6	94986366	94986375	+	0.000	0.000	Merged-chr6-94986542-29
NR2109--MA0508.2.PRDM1	chr7	49451000	49451009	+	0.000	0.000	Merged-chr7-49451105-18
NR2295--MA0508.2.PRDM1	chr8	83131904	83131913	-	0.000	0.000	Merged-chr8-83131891-13
NR1964--MA0508.2.PRDM1	chr6	66472895	66472904	+	0.000	0.000	Merged-chr6-66473070-26
NR1202--MA0508.2.PRDM1	chr19	54015198	54015207	+	0.000	0.000	Merged-chr19-54015154-21
NR1868--MA0508.2.PRDM1	chr5	105306170	105306179	+	0.000	0.000	Merged-chr5-105306151-101
NR1454--MA0508.2.PRDM1	chr3	68056599	68056608	-	0.000	0.000	Merged-chr3-68056784-48
NR1311--MA0508.2.PRDM1	chr2	104561576	104561585	-	0.000	0.000	Merged-chr2-104561694-40
NR2157--MA0508.2.PRDM1	chr7	101970733	101970742	+	0.000	0.000	Merged-chr7-101970646-136
NR1555--MA0508.2.PRDM1	chr3	138841436	138841445	+	0.000	0.000	Merged-chr3-138841387-35
NR1826--MA0508.2.PRDM1	chr5	72658518	72658527	-	0.000	0.000	Merged-chr5-72658444-8
NR30--MA0508.2.PRDM1	chr1	39102315	39102324	-	0.000	0.000	Merged-chr1-39102412-8
NR1568--MA0508.2.PRDM1	chr3	146039567	146039576	-	0.000	0.000	Merged-chr3-146039588-29
NR2279--MA0508.2.PRDM1	chr8	69149332	69149341	-	0.000	0.000	Merged-chr8-69149326-14
NR740--MA0508.2.PRDM1	chr14	27376198	27376207	-	0.000	0.000	Merged-chr14-27376322-41
NR1534--MA0508.2.PRDM1	chr3	130749379	130749388	+	0.000	0.000	Merged-chr3-130749369-18
NR1805--MA0508.2.PRDM1	chr5	51853657	51853666	-	0.000	0.000	Merged-chr5-51853758-22
NR1709--MA0508.2.PRDM1	chr4	122838738	122838747	-	0.000	0.000	Merged-chr4-122838622-30
NR1799--MA0508.2.PRDM1	chr5	44258263	44258272	+	0.000	0.000	Merged-chr5-44258351-9
NR22--MA0508.2.PRDM1	chr1	34867428	34867437	+	0.000	0.000	Merged-chr1-34867367-25
NR1080--MA0508.2.PRDM1	chr18	13787153	13787162	+	0.000	0.000	Merged-chr18-13787099-71
NR1874--MA0508.2.PRDM1	chr5	117924833	117924842	+	0.000	0.000	Merged-chr5-117924808-8
NR1526--MA0508.2.PRDM1	chr3	126628682	126628691	-	0.000	0.000	Merged-chr3-126628752-25
NR1112--MA0508.2.PRDM1	chr18	61479915	61479924	+	0.000	0.000	Merged-chr18-61480035-15
NR1125--MA0508.2.PRDM1	chr18	68195042	68195051	+	0.000	0.000	Merged-chr18-68195286-23
NR724--MA0508.2.PRDM1	chr14	7833637	7833646	-	0.000	0.000	Merged-chr14-7833590-5
NR1409--MA0508.2.PRDM1	chr3	8718383	8718392	+	0.000	0.000	Merged-chr3-8718167-60
NR1247--MA0508.2.PRDM1	chr2	48328422	48328431	+	0.000	0.000	Merged-chr2-48328415-44
NR671--MA0508.2.PRDM1	chr13	89528783	89528792	-	0.000	0.000	Merged-chr13-89528887-11
NR942--MA0508.2.PRDM1	chr16	37094286	37094295	-	0.000	0.000	Merged-chr16-37094405-73
NR1627--MA0508.2.PRDM1	chr4	48012445	48012454	+	0.000	0.000	Merged-chr4-48012358-52
NR1051--MA0508.2.PRDM1	chr17	70746918	70746927	+	0.000	0.000	Merged-chr17-70746811-20
NR1064--MA0508.2.PRDM1	chr17	86034443	86034452	+	0.000	0.000	Merged-chr17-86034509-12
NR302--MA0508.2.PRDM1	chr10	95842894	95842903	-	0.000	0.000	Merged-chr10-95843057-27
NR1173--MA0508.2.PRDM1	chr19	21547622	21547631	-	0.000	0.000	Merged-chr19-21547622-17
NR1239--MA0508.2.PRDM1	chr2	34977288	34977297	+	0.000	0.000	Merged-chr2-34977109-71
NR1282--MA0508.2.PRDM1	chr2	79087414	79087423	-	0.000	0.000	Merged-chr2-79087442-58
NR1077--MA0508.2.PRDM1	chr18	6281386	6281395	+	0.000	0.000	Merged-chr18-6281338-48
NR1205--MA0508.2.PRDM1	chr19	55260918	55260927	+	0.000	0.000	Merged-chr19-55260920-21
NR1043--MA0508.2.PRDM1	chr17	64827116	64827125	+	0.000	0.000	Merged-chr17-64827066-53
NR1109--MA0508.2.PRDM1	chr18	60375874	60375883	+	0.000	0.000	Merged-chr18-60375896-42
NR1566--MA0508.2.PRDM1	chr3	144533329	144533338	-	0.000	0.000	Merged-chr3-144533268-10
NR1423--MA0508.2.PRDM1	chr3	28405502	28405511	-	0.000	0.000	Merged-chr3-28405628-27
NR1218--MA0508.2.PRDM1	chr2	10343748	10343757	+	0.000	0.000	Merged-chr2-10343676-43
NR926--MA0508.2.PRDM1	chr16	24834993	24835002	+	0.000	0.000	Merged-chr16-24834930-16
NR493--MA0508.2.PRDM1	chr12	69102090	69102099	-	0.000	0.000	Merged-chr12-69102156-32
NR621--MA0508.2.PRDM1	chr13	41774073	41774082	-	0.000	0.000	Merged-chr13-41774048-23
NR2461--MA0508.2.PRDM1	chr9	122399008	122399017	+	0.000	0.000	Merged-chr9-122399009-31
NR1014--MA0508.2.PRDM1	chr17	30046822	30046831	+	0.000	0.000	Merged-chr17-30046882-17
NR852--MA0508.2.PRDM1	chr15	42676325	42676334	-	0.000	0.000	Merged-chr15-42676388-81
NR1537--MA0508.2.PRDM1	chr3	133412032	133412041	-	0.000	0.000	Merged-chr3-133411903-38
NR504--MA0508.2.PRDM1	chr12	79628789	79628798	-	0.000	0.000	Merged-chr12-79628685-20
NR485--MA0508.2.PRDM1	chr12	53024790	53024799	+	0.000	0.000	Merged-chr12-53024873-19
NR613--MA0508.2.PRDM1	chr13	30166640	30166649	-	0.000	0.000	Merged-chr13-30166672-75
NR2453--MA0508.2.PRDM1	chr9	118196801	118196810	+	0.000	0.000	Merged-chr9-118196833-13
NR1279--MA0508.2.PRDM1	chr2	75892195	75892204	-	0.000	0.000	Merged-chr2-75892268-38
NR180--MA0508.2.PRDM1	chr1	179578866	179578875	+	0.000	0.000	Merged-chr1-179578897-31
NR25--MA0508.2.PRDM1	chr1	36883963	36883972	-	0.000	0.000	Merged-chr1-36883943-16
NR321--MA0508.2.PRDM1	chr10	115332395	115332404	+	0.000	0.000	Merged-chr10-115332593-43
NR791--MA0508.2.PRDM1	chr14	77581075	77581084	+	0.000	0.000	Merged-chr14-77581248-1
NR586--MA0508.2.PRDM1	chr13	10244529	10244538	+	0.000	0.000	Merged-chr13-10244552-9
NR857--MA0508.2.PRDM1	chr15	50751280	50751289	-	0.000	0.000	Merged-chr15-50751217-20
NR2031--MA0508.2.PRDM1	chr6	118621981	118621990	+	0.000	0.000	Merged-chr6-118621968-6
NR2153--MA0508.2.PRDM1	chr7	97878157	97878166	+	0.000	0.000	Merged-chr7-97878127-12
NR217--MA0508.2.PRDM1	chr10	7992672	7992681	+	0.000	0.000	Merged-chr10-7992796-25
NR2132--MA0508.2.PRDM1	chr7	75914211	75914220	+	0.000	0.000	Merged-chr7-75914112-33
NR2384--MA0508.2.PRDM1	chr9	57647851	57647860	+	0.000	0.000	Merged-chr9-57647746-26
NR1067--MA0508.2.PRDM1	chr17	86873023	86873032	+	0.000	0.000	Merged-chr17-86872864-48
NR2145--MA0508.2.PRDM1	chr7	90081810	90081819	-	0.000	0.000	Merged-chr7-90081975-11
NR2416--MA0508.2.PRDM1	chr9	77806872	77806881	+	0.000	0.000	Merged-chr9-77806830-39
NR491--MA0508.2.PRDM1	chr12	61994528	61994537	-	0.000	0.000	Merged-chr12-61994556-31
NR1891--MA0508.2.PRDM1	chr5	139368037	139368046	+	0.000	0.000	Merged-chr5-139368071-16
NR414--MA0508.2.PRDM1	chr11	88455569	88455578	+	0.000	0.000	Merged-chr11-88455545-42
NR395--MA0508.2.PRDM1	chr11	76599182	76599191	+	0.000	0.000	Merged-chr11-76599172-10
NR775--MA0508.2.PRDM1	chr14	64688869	64688878	+	0.000	0.000	Merged-chr14-64688922-18
NR156--MA0508.2.PRDM1	chr1	169919348	169919357	+	0.000	0.000	Merged-chr1-169919458-18
NR122--MA0508.2.PRDM1	chr1	143749793	143749802	-	0.000	0.000	Merged-chr1-143749938-18
NR916--MA0508.2.PRDM1	chr16	18235654	18235663	-	0.000	0.000	Merged-chr16-18235713-3
NR1902--MA0508.2.PRDM1	chr5	148708242	148708251	-	0.000	0.000	Merged-chr5-148708348-12
NR2342--MA0508.2.PRDM1	chr8	128165794	128165803	+	0.000	0.000	Merged-chr8-128165876-22
NR1740--MA0508.2.PRDM1	chr4	145201414	145201423	+	0.000	0.000	Merged-chr4-145201623-9
NR387--MA0508.2.PRDM1	chr11	72718439	72718448	-	0.000	0.000	Merged-chr11-72718326-14
NR2103--MA0508.2.PRDM1	chr7	39642552	39642561	+	0.000	0.000	Merged-chr7-39642605-22
