#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR3898--MA0501.1.MAF::NFE2	chr14	68044961	68044975	-	0.000	0.000	Merged-chr14-68044800-35
NR7633--MA0496.2.MAFK	chr3	19707143	19707161	+	0.000	0.000	Merged-chr3-19706982-40
NR8031--MA0089.1.MAFG::NFE2L1	chr3	116751425	116751430	+	0.000	0.000	Merged-chr3-116751371-23
NR2620--MA0089.1.MAFG::NFE2L1	chr12	73755706	73755711	-	0.000	0.000	Merged-chr12-73755850-33
NR5010--MA0496.2.MAFK	chr16	89835838	89835856	+	0.000	0.000	Merged-chr16-89835915-50
NR1190--MA0591.1.Bach1::Mafk	chr10	19691915	19691929	-	0.000	0.000	Merged-chr10-19692123-35
NR2009--MA0501.1.MAF::NFE2	chr11	62280809	62280823	+	0.000	0.000	Merged-chr11-62280813-1
NR6729--MA0501.1.MAF::NFE2	chr2	79062041	79062055	+	0.000	0.000	Merged-chr2-79062091-23
NR10082--MA0591.1.Bach1::Mafk	chr6	53704642	53704656	+	0.000	0.000	Merged-chr6-53704558-10
NR4627--MA0501.1.MAF::NFE2	chr16	8728556	8728570	+	0.000	0.000	Merged-chr16-8728485-34
NR10617--MA0501.1.MAF::NFE2	chr6	134425309	134425323	+	0.000	0.000	Merged-chr6-134425334-10
NR11599--MA0089.1.MAFG::NFE2L1	chr8	3467455	3467460	-	0.000	0.000	Merged-chr8-3467584-41
NR4498--MA0496.2.MAFK	chr15	85377110	85377128	-	0.000	0.000	Merged-chr15-85377015-15
NR5519--MA0501.1.MAF::NFE2	chr17	84148982	84148996	-	0.000	0.000	Merged-chr17-84148977-32
NR3543--MA0495.2.MAFF	chr13	108763560	108763580	-	0.000	0.000	Merged-chr13-108763497-25
NR1463--MA0501.1.MAF::NFE2	chr10	81473049	81473063	-	0.000	0.000	Merged-chr10-81473073-16
NR6663--MA0089.1.MAFG::NFE2L1	chr2	65818662	65818667	-	0.000	0.000	Merged-chr2-65818542-58
NR10017--MA0591.1.Bach1::Mafk	chr6	34869611	34869625	+	0.000	0.000	Merged-chr6-34869594-48
NR8527--MA0495.2.MAFF	chr4	57640333	57640353	-	0.000	0.000	Merged-chr4-57640378-35
NR12225--MA0501.1.MAF::NFE2	chr9	15530011	15530025	+	0.000	0.000	Merged-chr9-15530031-64
NR10618--MA0591.1.Bach1::Mafk	chr6	134450932	134450946	-	0.000	0.000	Merged-chr6-134450954-21
NR8330--MA0495.2.MAFF	chr3	155235650	155235670	+	0.000	0.000	Merged-chr3-155235663-12
NR462--MA0496.2.MAFK	chr1	106187696	106187714	-	0.000	0.000	Merged-chr1-106187715-26
NR145--MA0495.2.MAFF	chr1	52274428	52274448	-	0.000	0.000	Merged-chr1-52274408-12
NR4709--MA0496.2.MAFK	chr16	23262324	23262342	+	0.000	0.000	Merged-chr16-23262371-32
NR4639--MA0591.1.Bach1::Mafk	chr16	11285926	11285940	+	0.000	0.000	Merged-chr16-11286053-13
NR2008--MA0659.1.MAFG	chr11	62280803	62280823	-	0.000	0.000	Merged-chr11-62280813-1
NR11293--MA0089.1.MAFG::NFE2L1	chr7	108944132	108944137	+	0.000	0.000	Merged-chr7-108944158-41
NR1889--MA0501.1.MAF::NFE2	chr11	32020163	32020177	+	0.000	0.000	Merged-chr11-32020422-50
NR4325--MA0089.1.MAFG::NFE2L1	chr15	64113488	64113493	-	0.000	0.000	Merged-chr15-64113403-29
NR140--MA0496.2.MAFK	chr1	52012516	52012534	-	0.000	0.000	Merged-chr1-52012625-13
NR9957--MA0496.2.MAFK	chr6	15726620	15726638	-	0.000	0.000	Merged-chr6-15726718-35
NR147--MA0501.1.MAF::NFE2	chr1	52274428	52274442	-	0.000	0.000	Merged-chr1-52274408-12
NR2010--MA0496.2.MAFK	chr11	62280804	62280822	+	0.000	0.000	Merged-chr11-62280813-1
NR10965--MA0591.1.Bach1::Mafk	chr7	35745360	35745374	+	0.000	0.000	Merged-chr7-35745412-12
NR9995--MA0117.2.Mafb	chr6	31219077	31219088	+	0.000	0.000	Merged-chr6-31219106-11
NR5643--MA0089.1.MAFG::NFE2L1	chr18	23913006	23913011	+	0.000	0.000	Merged-chr18-23913027-4
NR6398--MA0089.1.MAFG::NFE2L1	chr2	11429831	11429836	-	0.000	0.000	Merged-chr2-11429787-25
NR12364--MA0501.1.MAF::NFE2	chr9	55808075	55808089	+	0.000	0.000	Merged-chr9-55808003-9
NR2170--MA0501.1.MAF::NFE2	chr11	90576723	90576737	+	0.000	0.000	Merged-chr11-90576690-20
NR6278--MA0117.2.Mafb	chr19	53972147	53972158	-	0.000	0.000	Merged-chr19-53972113-29
NR10506--MA0495.2.MAFF	chr6	124683828	124683848	-	0.000	0.000	Merged-chr6-124683900-13
NR11367--MA0496.2.MAFK	chr7	118104854	118104872	+	0.000	0.000	Merged-chr7-118104738-1
NR11807--MA0089.1.MAFG::NFE2L1	chr8	76902051	76902056	-	0.000	0.000	Merged-chr8-76902143-41
NR8337--MA0117.2.Mafb	chr3	155235702	155235713	-	0.000	0.000	Merged-chr3-155235663-12
NR4629--MA0496.2.MAFK	chr16	8728551	8728569	-	0.000	0.000	Merged-chr16-8728485-34
NR732--MA0495.2.MAFF	chr1	156674417	156674437	-	0.000	0.000	Merged-chr1-156674616-3
NR5750--MA0496.2.MAFK	chr18	53951276	53951294	-	0.000	0.000	Merged-chr18-53951279-47
NR3322--MA0591.1.Bach1::Mafk	chr13	73305944	73305958	-	0.000	0.000	Merged-chr13-73305950-36
NR4879--MA0591.1.Bach1::Mafk	chr16	57281633	57281647	+	0.000	0.000	Merged-chr16-57281679-14
NR12332--MA0089.1.MAFG::NFE2L1	chr9	50533695	50533700	+	0.000	0.000	Merged-chr9-50533637-27
NR10510--MA0496.2.MAFK	chr6	124683829	124683847	-	0.000	0.000	Merged-chr6-124683900-13
NR1345--MA0591.1.Bach1::Mafk	chr10	58383473	58383487	-	0.000	0.000	Merged-chr10-58383440-43
NR4309--MA0117.2.Mafb	chr15	62482431	62482442	+	0.000	0.000	Merged-chr15-62482463-45
NR2479--MA0089.1.MAFG::NFE2L1	chr12	16049797	16049802	-	0.000	0.000	Merged-chr12-16049748-36
NR10764--MA0089.1.MAFG::NFE2L1	chr6	144922951	144922956	-	0.000	0.000	Merged-chr6-144923057-24
NR5930--MA0089.1.MAFG::NFE2L1	chr18	75410352	75410357	+	0.000	0.000	Merged-chr18-75410439-27
NR812--MA0591.1.Bach1::Mafk	chr1	163898671	163898685	-	0.000	0.000	Merged-chr1-163898534-41
NR3810--MA0117.2.Mafb	chr14	55540238	55540249	+	0.000	0.000	Merged-chr14-55540407-42
NR719--MA0495.2.MAFF	chr1	155029375	155029395	+	0.000	0.000	Merged-chr1-155029443-27
NR2162--MA0089.1.MAFG::NFE2L1	chr11	90225043	90225048	+	0.000	0.000	Merged-chr11-90225249-59
NR10429--MA0501.1.MAF::NFE2	chr6	115684920	115684934	-	0.000	0.000	Merged-chr6-115685008-41
NR4307--MA0496.2.MAFK	chr15	62265647	62265665	+	0.000	0.000	Merged-chr15-62265620-25
