#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR5279--MA1421.1.TCF7L1	chr2	160451759	160451770	+	0.000	0.000	Merged-chr2-160451916-68
NR5981--MA0523.1.TCF7L2	chr3	152127434	152127447	+	0.000	0.000	Merged-chr3-152127515-20
NR7949--MA0523.1.TCF7L2	chr7	115426757	115426770	+	0.000	0.000	Merged-chr7-115426820-20
NR3296--MA0523.1.TCF7L2	chr15	94235388	94235401	-	0.000	0.000	Merged-chr15-94235397-15
NR7121--MA0769.1.Tcf7	chr6	37617598	37617609	+	0.000	0.000	Merged-chr6-37617601-15
NR8032--MA1421.1.TCF7L1	chr7	128669094	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR3112--MA0523.1.TCF7L2	chr15	38636230	38636243	-	0.000	0.000	Merged-chr15-38636290-13
NR6255--MA0769.1.Tcf7	chr4	88122427	88122438	+	0.000	0.000	Merged-chr4-88122493-27
NR817--MA0523.1.TCF7L2	chr10	25918280	25918293	+	0.000	0.000	Merged-chr10-25918351-16
NR1813--MA0769.1.Tcf7	chr12	53024928	53024939	-	0.000	0.000	Merged-chr12-53024873-19
NR8705--MA0523.1.TCF7L2	chr9	65084567	65084580	-	0.000	0.000	Merged-chr9-65084631-10
NR5501--MA0769.1.Tcf7	chr3	59277951	59277962	+	0.000	0.000	Merged-chr3-59277984-20
NR3666--MA0769.1.Tcf7	chr16	91413339	91413350	+	0.000	0.000	Merged-chr16-91413429-37
NR5434--MA1421.1.TCF7L1	chr3	28318055	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR6273--MA0769.1.Tcf7	chr4	89505563	89505574	+	0.000	0.000	Merged-chr4-89505388-45
NR2438--MA0523.1.TCF7L2	chr13	92639029	92639042	-	0.000	0.000	Merged-chr13-92639220-17
NR2491--MA1421.1.TCF7L1	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR9054--MA1421.1.TCF7L1	chrX	37141905	37141916	-	0.000	0.000	Merged-chrX-37141960-22
NR2254--MA0769.1.Tcf7	chr13	44210324	44210335	+	0.000	0.000	Merged-chr13-44210381-13
NR1793--MA0523.1.TCF7L2	chr12	41337046	41337059	-	0.000	0.000	Merged-chr12-41336902-7
NR6600--MA0523.1.TCF7L2	chr5	36140747	36140760	+	0.000	0.000	Merged-chr5-36140594-4
NR5215--MA1421.1.TCF7L1	chr2	150130342	150130353	+	0.000	0.000	Merged-chr2-150130462-1
NR3701--MA0523.1.TCF7L2	chr16	95900264	95900277	+	0.000	0.000	Merged-chr16-95900278-53
NR4099--MA0523.1.TCF7L2	chr18	38584793	38584806	-	0.000	0.000	Merged-chr18-38584729-14
NR7673--MA0523.1.TCF7L2	chr7	19202621	19202634	-	0.000	0.000	Merged-chr7-19202544-28
NR5958--MA0769.1.Tcf7	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR6007--MA0523.1.TCF7L2	chr3	154694111	154694124	+	0.000	0.000	Merged-chr3-154694103-10
NR3725--MA1421.1.TCF7L1	chr17	3246828	3246839	+	0.000	0.000	Merged-chr17-3246798-10
NR7321--MA0523.1.TCF7L2	chr6	89288315	89288328	-	0.000	0.000	Merged-chr6-89288372-31
NR4966--MA1421.1.TCF7L1	chr2	104633377	104633388	-	0.000	0.000	Merged-chr2-104633408-9
NR7020--MA0523.1.TCF7L2	chr5	149459345	149459358	+	0.000	0.000	Merged-chr5-149459249-24
NR3456--MA0769.1.Tcf7	chr16	32972828	32972839	-	0.000	0.000	Merged-chr16-32972762-21
NR3506--MA1421.1.TCF7L1	chr16	44735811	44735822	+	0.000	0.000	Merged-chr16-44735956-40
NR4555--MA0523.1.TCF7L2	chr2	6716855	6716868	-	0.000	0.000	Merged-chr2-6716828-13
NR2805--MA0769.1.Tcf7	chr14	61012532	61012543	+	0.000	0.000	Merged-chr14-61012611-17
NR1452--MA1421.1.TCF7L1	chr11	68204521	68204532	-	0.000	0.000	Merged-chr11-68204624-12
NR5421--MA0769.1.Tcf7	chr3	21809910	21809921	+	0.000	0.000	Merged-chr3-21809864-17
NR3376--MA1421.1.TCF7L1	chr16	10669094	10669105	-	0.000	0.000	Merged-chr16-10669015-79
NR5240--MA1421.1.TCF7L1	chr2	153003057	153003068	+	0.000	0.000	Merged-chr2-153002914-29
NR4601--MA1421.1.TCF7L1	chr2	19316122	19316133	-	0.000	0.000	Merged-chr2-19316159-10
NR6502--MA0769.1.Tcf7	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR2678--MA0523.1.TCF7L2	chr14	32716983	32716996	-	0.000	0.000	Merged-chr14-32716978-71
NR2935--MA0769.1.Tcf7	chr14	103363339	103363350	-	0.000	0.000	Merged-chr14-103363341-36
NR6802--MA0523.1.TCF7L2	chr5	98018288	98018301	+	0.000	0.000	Merged-chr5-98018284-53
NR5766--MA0769.1.Tcf7	chr3	115933847	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR5358--MA0523.1.TCF7L2	chr2	174612773	174612786	-	0.000	0.000	Merged-chr2-174612913-27
NR7037--MA0769.1.Tcf7	chr5	151417186	151417197	+	0.000	0.000	Merged-chr5-151417137-15
NR3363--MA1421.1.TCF7L1	chr16	7419924	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR1380--MA0523.1.TCF7L2	chr11	44495322	44495335	+	0.000	0.000	Merged-chr11-44495108-26
NR8111--MA0523.1.TCF7L2	chr7	143052807	143052820	+	0.000	0.000	Merged-chr7-143053012-41
NR7488--MA0523.1.TCF7L2	chr6	125222260	125222273	-	0.000	0.000	Merged-chr6-125222318-50
NR1123--MA0523.1.TCF7L2	chr10	98976102	98976115	-	0.000	0.000	Merged-chr10-98976063-31
NR6849--MA0523.1.TCF7L2	chr5	103746717	103746730	-	0.000	0.000	Merged-chr5-103746858-38
NR825--MA0523.1.TCF7L2	chr10	26879379	26879392	+	0.000	0.000	Merged-chr10-26879299-36
NR2857--MA1421.1.TCF7L1	chr14	72822371	72822382	+	0.000	0.000	Merged-chr14-72822179-91
NR2364--MA0523.1.TCF7L2	chr13	73772886	73772899	+	0.000	0.000	Merged-chr13-73772920-55
NR5770--MA0523.1.TCF7L2	chr3	116386819	116386832	+	0.000	0.000	Merged-chr3-116386953-10
NR2293--MA1421.1.TCF7L1	chr13	52617347	52617358	+	0.000	0.000	Merged-chr13-52617361-10
NR4060--MA0523.1.TCF7L2	chr18	24237172	24237185	+	0.000	0.000	Merged-chr18-24237197-17
NR4104--MA0523.1.TCF7L2	chr18	38701109	38701122	+	0.000	0.000	Merged-chr18-38700911-27
NR3394--MA0769.1.Tcf7	chr16	15910370	15910381	+	0.000	0.000	Merged-chr16-15910429-9
NR3421--MA0523.1.TCF7L2	chr16	24187371	24187384	+	0.000	0.000	Merged-chr16-24187219-39
NR5220--MA0769.1.Tcf7	chr2	150134375	150134386	-	0.000	0.000	Merged-chr2-150134419-14
NR3703--MA0769.1.Tcf7	chr16	95900271	95900282	+	0.000	0.000	Merged-chr16-95900278-53
NR5610--MA1421.1.TCF7L1	chr3	89892597	89892608	-	0.000	0.000	Merged-chr3-89892725-25
NR197--MA0769.1.Tcf7	chr1	82900858	82900869	-	0.000	0.000	Merged-chr1-82900738-32
NR2631--MA0769.1.Tcf7	chr14	15273333	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR1001--MA1421.1.TCF7L1	chr10	75417904	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR394--MA0523.1.TCF7L2	chr1	135807747	135807760	+	0.000	0.000	Merged-chr1-135807785-37
NR812--MA0523.1.TCF7L2	chr10	25331981	25331994	-	0.000	0.000	Merged-chr10-25331822-16
NR3636--MA0523.1.TCF7L2	chr16	84995568	84995581	+	0.000	0.000	Merged-chr16-84995665-26
NR2761--MA0769.1.Tcf7	chr14	53806367	53806378	+	0.000	0.000	Merged-chr14-53806193-41
NR5471--MA0769.1.Tcf7	chr3	51495753	51495764	+	0.000	0.000	Merged-chr3-51495816-13
NR8966--MA0523.1.TCF7L2	chr9	116283891	116283904	-	0.000	0.000	Merged-chr9-116283998-37
NR3072--MA0523.1.TCF7L2	chr15	27796771	27796784	+	0.000	0.000	Merged-chr15-27796764-17
NR8387--MA0769.1.Tcf7	chr8	104416244	104416255	+	0.000	0.000	Merged-chr8-104416222-18
NR4877--MA0523.1.TCF7L2	chr2	77176567	77176580	+	0.000	0.000	Merged-chr2-77176488-48
NR2829--MA0523.1.TCF7L2	chr14	66805895	66805908	-	0.000	0.000	Merged-chr14-66805736-29
NR5261--MA1421.1.TCF7L1	chr2	158673169	158673180	-	0.000	0.000	Merged-chr2-158673458-23
NR6440--MA0769.1.Tcf7	chr4	140601357	140601368	-	0.000	0.000	Merged-chr4-140601329-15
NR6617--MA0523.1.TCF7L2	chr5	38632722	38632735	-	0.000	0.000	Merged-chr5-38632599-22
NR2300--MA0769.1.Tcf7	chr13	52702319	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR522--MA1421.1.TCF7L1	chr1	156901812	156901823	+	0.000	0.000	Merged-chr1-156901975-24
NR2994--MA0769.1.Tcf7	chr14	121353973	121353984	-	0.000	0.000	Merged-chr14-121354142-24
NR663--MA0769.1.Tcf7	chr1	182363876	182363887	-	0.000	0.000	Merged-chr1-182363988-37
NR2627--MA0769.1.Tcf7	chr14	15011595	15011606	+	0.000	0.000	Merged-chr14-15011517-9
NR4138--MA0523.1.TCF7L2	chr18	53951307	53951320	-	0.000	0.000	Merged-chr18-53951279-47
NR3455--MA0523.1.TCF7L2	chr16	32972826	32972839	-	0.000	0.000	Merged-chr16-32972762-21
NR5812--MA1421.1.TCF7L1	chr3	126628623	126628634	+	0.000	0.000	Merged-chr3-126628752-25
NR8484--MA0523.1.TCF7L2	chr8	126536287	126536300	+	0.000	0.000	Merged-chr8-126536353-14
NR1000--MA0769.1.Tcf7	chr10	75417807	75417818	+	0.000	0.000	Merged-chr10-75417748-37
NR2551--MA0769.1.Tcf7	chr13	114086612	114086623	-	0.000	0.000	Merged-chr13-114086496-8
NR4807--MA0769.1.Tcf7	chr2	65422035	65422046	+	0.000	0.000	Merged-chr2-65422005-11
NR268--MA1421.1.TCF7L1	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR4125--MA0523.1.TCF7L2	chr18	46381240	46381253	-	0.000	0.000	Merged-chr18-46381195-31
NR7555--MA1421.1.TCF7L1	chr6	138269150	138269161	-	0.000	0.000	Merged-chr6-138269074-1
NR4780--MA1421.1.TCF7L1	chr2	59998025	59998036	+	0.000	0.000	Merged-chr2-59997998-11
NR1022--MA1421.1.TCF7L1	chr10	81247930	81247941	-	0.000	0.000	Merged-chr10-81248090-40
NR8410--MA0769.1.Tcf7	chr8	110846145	110846156	-	0.000	0.000	Merged-chr8-110845988-12
NR6447--MA1421.1.TCF7L1	chr4	144986271	144986282	+	0.000	0.000	Merged-chr4-144986370-39
NR7688--MA1421.1.TCF7L1	chr7	24468103	24468114	-	0.000	0.000	Merged-chr7-24468111-23
NR8949--MA0523.1.TCF7L2	chr9	114592575	114592588	-	0.000	0.000	Merged-chr9-114592565-4
NR3055--MA0523.1.TCF7L2	chr15	18951826	18951839	-	0.000	0.000	Merged-chr15-18951851-25
NR8522--MA0769.1.Tcf7	chr9	11559578	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR5147--MA0523.1.TCF7L2	chr2	139934967	139934980	-	0.000	0.000	Merged-chr2-139934935-45
NR8252--MA0523.1.TCF7L2	chr8	60954792	60954805	+	0.000	0.000	Merged-chr8-60954738-34
NR1117--MA0769.1.Tcf7	chr10	96955127	96955138	+	0.000	0.000	Merged-chr10-96955164-15
NR3637--MA0769.1.Tcf7	chr16	84995568	84995579	+	0.000	0.000	Merged-chr16-84995665-26
NR1023--MA0769.1.Tcf7	chr10	81247930	81247941	-	0.000	0.000	Merged-chr10-81248090-40
