#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR8964--MA0002.2.RUNX1	chr6	71962875	71962885	+	0.000	0.000	Merged-chr6-71962835-53
NR5272--MA0511.2.RUNX2	chr18	23734927	23734935	-	0.000	0.000	Merged-chr18-23734973-16
NR5609--MA0511.2.RUNX2	chr19	5257356	5257364	-	0.000	0.000	Merged-chr19-5257394-33
NR7253--MA0684.1.RUNX3	chr3	142863419	142863428	+	0.000	0.000	Merged-chr3-142863489-16
NR780--MA0002.2.RUNX1	chr1	180943004	180943014	-	0.000	0.000	Merged-chr1-180943118-2
NR5652--MA0511.2.RUNX2	chr19	10830054	10830062	-	0.000	0.000	Merged-chr19-10829902-50
NR4571--MA0002.2.RUNX1	chr16	75984025	75984035	+	0.000	0.000	Merged-chr16-75984013-36
NR3101--MA0511.2.RUNX2	chr13	85399092	85399100	-	0.000	0.000	Merged-chr13-85399027-23
NR7504--MA0002.2.RUNX1	chr4	46485877	46485887	+	0.000	0.000	Merged-chr4-46485924-53
NR3939--MA0002.2.RUNX1	chr15	59374269	59374279	-	0.000	0.000	Merged-chr15-59374324-92
NR3624--MA0511.2.RUNX2	chr14	74990693	74990701	-	0.000	0.000	Merged-chr14-74990757-12
NR9787--MA0511.2.RUNX2	chr7	99946599	99946607	+	0.000	0.000	Merged-chr7-99946527-26
NR9959--MA0002.2.RUNX1	chr7	125630513	125630523	-	0.000	0.000	Merged-chr7-125630465-44
NR3191--MA0511.2.RUNX2	chr13	98803826	98803834	+	0.000	0.000	Merged-chr13-98803850-12
NR1226--MA0002.2.RUNX1	chr10	80271338	80271348	+	0.000	0.000	Merged-chr10-80271512-28
NR9545--MA0002.2.RUNX1	chr7	44839664	44839674	+	0.000	0.000	Merged-chr7-44839649-46
NR9531--MA0684.1.RUNX3	chr7	38189539	38189548	-	0.000	0.000	Merged-chr7-38189634-49
NR11145--MA0511.2.RUNX2	chr9	105499568	105499576	-	0.000	0.000	Merged-chr9-105499679-15
NR5199--MA0002.2.RUNX1	chr17	86779459	86779469	-	0.000	0.000	Merged-chr17-86779381-46
NR6501--MA0002.2.RUNX1	chr2	144646569	144646579	+	0.000	0.000	Merged-chr2-144646502-21
NR10715--MA0002.2.RUNX1	chr9	22366849	22366859	-	0.000	0.000	Merged-chr9-22366928-17
NR3028--MA0002.2.RUNX1	chr13	63112800	63112810	-	0.000	0.000	Merged-chr13-63112828-16
NR3855--MA0511.2.RUNX2	chr15	34467875	34467883	-	0.000	0.000	Merged-chr15-34468001-12
NR3498--MA0002.2.RUNX1	chr14	61518777	61518787	-	0.000	0.000	Merged-chr14-61518892-20
NR391--MA0684.1.RUNX3	chr1	95674258	95674267	-	0.000	0.000	Merged-chr1-95674241-20
NR10300--MA0684.1.RUNX3	chr8	66497233	66497242	+	0.000	0.000	Merged-chr8-66497339-52
NR1618--MA0684.1.RUNX3	chr11	21314723	21314732	-	0.000	0.000	Merged-chr11-21314524-33
NR10678--MA0511.2.RUNX2	chr9	13518644	13518652	+	0.000	0.000	Merged-chr9-13518732-12
NR403--MA0002.2.RUNX1	chr1	98130231	98130241	+	0.000	0.000	Merged-chr1-98130284-39
NR6997--MA0002.2.RUNX1	chr3	101236383	101236393	+	0.000	0.000	Merged-chr3-101236423-33
NR3748--MA0002.2.RUNX1	chr14	121422875	121422885	+	0.000	0.000	Merged-chr14-121422910-45
NR9516--MA0002.2.RUNX1	chr7	30402557	30402567	-	0.000	0.000	Merged-chr7-30402572-19
NR11259--MA0511.2.RUNX2	chr9	117967893	117967901	+	0.000	0.000	Merged-chr9-117967761-11
NR2984--MA0002.2.RUNX1	chr13	49298749	49298759	-	0.000	0.000	Merged-chr13-49298668-48
NR2113--MA0002.2.RUNX1	chr11	108068735	108068745	-	0.000	0.000	Merged-chr11-108068595-28
