#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR5228--MA1421.1.TCF7L1	chr8	111449918	111449929	+	0.000	0.000	Merged-chr8-111449964-18
NR5613--MA0769.1.Tcf7	chr9	116091376	116091387	+	0.000	0.000	Merged-chr9-116091467-52
NR4090--MA0523.1.TCF7L2	chr5	58084164	58084177	-	0.000	0.000	Merged-chr5-58084122-29
NR5631--MA0769.1.Tcf7	chr9	118285718	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR1140--MA0523.1.TCF7L2	chr12	17726667	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR5758--MA0523.1.TCF7L2	chrX	166806120	166806133	+	0.000	0.000	Merged-chrX-166805944-25
NR2631--MA0523.1.TCF7L2	chr18	53418103	53418116	+	0.000	0.000	Merged-chr18-53418017-24
NR4227--MA1421.1.TCF7L1	chr5	111200342	111200353	-	0.000	0.000	Merged-chr5-111200479-33
NR729--MA1421.1.TCF7L1	chr10	111562791	111562802	+	0.000	0.000	Merged-chr10-111562842-26
NR404--MA0523.1.TCF7L2	chr1	179184969	179184982	-	0.000	0.000	Merged-chr1-179184943-3
NR2678--MA0523.1.TCF7L2	chr18	67239303	67239316	-	0.000	0.000	Merged-chr18-67239336-22
NR4073--MA0523.1.TCF7L2	chr5	35813682	35813695	-	0.000	0.000	Merged-chr5-35813752-8
NR4179--MA1421.1.TCF7L1	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR1435--MA1421.1.TCF7L1	chr13	12927707	12927718	+	0.000	0.000	Merged-chr13-12927520-1
NR2785--MA0523.1.TCF7L2	chr19	9044556	9044569	-	0.000	0.000	Merged-chr19-9044473-28
NR3308--MA1421.1.TCF7L1	chr2	173444591	173444602	+	0.000	0.000	Merged-chr2-173444560-32
NR2625--MA1421.1.TCF7L1	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
NR97--MA1421.1.TCF7L1	chr1	74807060	74807071	-	0.000	0.000	Merged-chr1-74806913-73
NR463--MA0523.1.TCF7L2	chr1	194978294	194978307	-	0.000	0.000	Merged-chr1-194978350-5
NR4941--MA0769.1.Tcf7	chr7	109265715	109265726	-	0.000	0.000	Merged-chr7-109265818-41
NR1927--MA0523.1.TCF7L2	chr15	9533555	9533568	+	0.000	0.000	Merged-chr15-9533546-44
NR1980--MA1421.1.TCF7L1	chr15	53115572	53115583	+	0.000	0.000	Merged-chr15-53115661-46
NR5140--MA0769.1.Tcf7	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR2179--MA0523.1.TCF7L2	chr16	25587908	25587921	-	0.000	0.000	Merged-chr16-25587871-42
NR3236--MA0523.1.TCF7L2	chr2	151944250	151944263	+	0.000	0.000	Merged-chr2-151944383-43
NR5127--MA0769.1.Tcf7	chr8	46420849	46420860	+	0.000	0.000	Merged-chr8-46420639-16
NR4055--MA0769.1.Tcf7	chr5	28402978	28402989	-	0.000	0.000	Merged-chr5-28402904-51
NR2166--MA0523.1.TCF7L2	chr16	22387898	22387911	+	0.000	0.000	Merged-chr16-22387915-21
NR3310--MA0769.1.Tcf7	chr2	173444591	173444602	+	0.000	0.000	Merged-chr2-173444560-32
NR1999--MA0523.1.TCF7L2	chr15	59010890	59010903	-	0.000	0.000	Merged-chr15-59010782-34
NR4091--MA0769.1.Tcf7	chr5	58084166	58084177	-	0.000	0.000	Merged-chr5-58084122-29
NR3476--MA0523.1.TCF7L2	chr3	101056904	101056917	-	0.000	0.000	Merged-chr3-101056914-14
NR3888--MA0769.1.Tcf7	chr4	123588955	123588966	-	0.000	0.000	Merged-chr4-123588937-38
NR16--MA1421.1.TCF7L1	chr1	21780997	21781008	+	0.000	0.000	Merged-chr1-21781098-42
NR1019--MA0769.1.Tcf7	chr11	101661867	101661878	+	0.000	0.000	Merged-chr11-101661964-4
NR1563--MA1421.1.TCF7L1	chr13	89965599	89965610	-	0.000	0.000	Merged-chr13-89965778-3
NR4228--MA0523.1.TCF7L2	chr5	111200340	111200353	-	0.000	0.000	Merged-chr5-111200479-33
NR4965--MA1421.1.TCF7L1	chr7	115924071	115924082	-	0.000	0.000	Merged-chr7-115924236-1
NR5757--MA0523.1.TCF7L2	chrX	166805811	166805824	-	0.000	0.000	Merged-chrX-166805944-25
NR1400--MA0769.1.Tcf7	chr12	116315552	116315563	-	0.000	0.000	Merged-chr12-116315725-53
NR2387--MA0769.1.Tcf7	chr17	21231899	21231910	+	0.000	0.000	Merged-chr17-21231861-25
NR3477--MA0769.1.Tcf7	chr3	101056906	101056917	-	0.000	0.000	Merged-chr3-101056914-14
NR1405--MA0769.1.Tcf7	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR24--MA1421.1.TCF7L1	chr1	34831577	34831588	+	0.000	0.000	Merged-chr1-34831505-37
NR26--MA0769.1.Tcf7	chr1	34831577	34831588	+	0.000	0.000	Merged-chr1-34831505-37
NR5138--MA0523.1.TCF7L2	chr8	56443930	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR3070--MA0769.1.Tcf7	chr2	93468994	93469005	-	0.000	0.000	Merged-chr2-93469030-22
NR3809--MA0769.1.Tcf7	chr4	89169078	89169089	-	0.000	0.000	Merged-chr4-89169046-30
NR3845--MA0769.1.Tcf7	chr4	101217141	101217152	+	0.000	0.000	Merged-chr4-101217167-64
NR2901--MA0523.1.TCF7L2	chr2	14048590	14048603	+	0.000	0.000	Merged-chr2-14048540-15
NR1455--MA0769.1.Tcf7	chr13	28417770	28417781	-	0.000	0.000	Merged-chr13-28417856-64
NR4944--MA0769.1.Tcf7	chr7	109265817	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR2330--MA0769.1.Tcf7	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR3427--MA1421.1.TCF7L1	chr3	84023024	84023035	-	0.000	0.000	Merged-chr3-84022944-34
NR1913--MA0523.1.TCF7L2	chr14	121992792	121992805	-	0.000	0.000	Merged-chr14-121992584-62
NR376--MA0523.1.TCF7L2	chr1	171963834	171963847	+	0.000	0.000	Merged-chr1-171963786-30
NR4272--MA1421.1.TCF7L1	chr5	124943852	124943863	-	0.000	0.000	Merged-chr5-124943788-2
NR1030--MA0769.1.Tcf7	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR5139--MA0769.1.Tcf7	chr8	56443917	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR4859--MA0523.1.TCF7L2	chr7	83852807	83852820	+	0.000	0.000	Merged-chr7-83852721-40
NR3662--MA0769.1.Tcf7	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR2329--MA0523.1.TCF7L2	chr16	95869617	95869630	+	0.000	0.000	Merged-chr16-95869616-44
NR2595--MA0769.1.Tcf7	chr18	32543281	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR2904--MA0769.1.Tcf7	chr2	17861893	17861904	+	0.000	0.000	Merged-chr2-17861880-15
NR1031--MA0523.1.TCF7L2	chr11	104158013	104158026	-	0.000	0.000	Merged-chr11-104158136-14
NR2597--MA1421.1.TCF7L1	chr18	32816798	32816809	+	0.000	0.000	Merged-chr18-32816753-22
NR3389--MA0523.1.TCF7L2	chr3	58657484	58657497	-	0.000	0.000	Merged-chr3-58657591-17
NR4579--MA0523.1.TCF7L2	chr6	120934363	120934376	+	0.000	0.000	Merged-chr6-120934426-25
NR2341--MA0523.1.TCF7L2	chr16	97402539	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR1846--MA0769.1.Tcf7	chr14	79236623	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR3390--MA0769.1.Tcf7	chr3	58657486	58657497	-	0.000	0.000	Merged-chr3-58657591-17
NR2474--MA0523.1.TCF7L2	chr17	52592022	52592035	-	0.000	0.000	Merged-chr17-52591988-50
NR5068--MA0523.1.TCF7L2	chr7	143052807	143052820	+	0.000	0.000	Merged-chr7-143053012-41
NR4201--MA0523.1.TCF7L2	chr5	100916679	100916692	-	0.000	0.000	Merged-chr5-100916697-39
NR3843--MA1421.1.TCF7L1	chr4	101217141	101217152	+	0.000	0.000	Merged-chr4-101217167-64
NR2992--MA1421.1.TCF7L1	chr2	57833237	57833248	+	0.000	0.000	Merged-chr2-57833187-31
NR954--MA1421.1.TCF7L1	chr11	75460628	75460639	-	0.000	0.000	Merged-chr11-75460430-27
NR4074--MA0769.1.Tcf7	chr5	35813684	35813695	-	0.000	0.000	Merged-chr5-35813752-8
NR2342--MA0769.1.Tcf7	chr16	97402541	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR1018--MA0523.1.TCF7L2	chr11	101661867	101661880	+	0.000	0.000	Merged-chr11-101661964-4
NR3148--MA0523.1.TCF7L2	chr2	125033329	125033342	-	0.000	0.000	Merged-chr2-125033201-15
NR1622--MA1421.1.TCF7L1	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR1454--MA1421.1.TCF7L1	chr13	28417770	28417781	-	0.000	0.000	Merged-chr13-28417856-64
NR1172--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1029--MA1421.1.TCF7L1	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR5457--MA1421.1.TCF7L1	chr9	75209425	75209436	-	0.000	0.000	Merged-chr9-75209368-16
NR3482--MA0769.1.Tcf7	chr3	101238902	101238913	-	0.000	0.000	Merged-chr3-101238930-30
NR5431--MA1421.1.TCF7L1	chr9	69023585	69023596	-	0.000	0.000	Merged-chr9-69023585-49
NR1205--MA1421.1.TCF7L1	chr12	69093359	69093370	+	0.000	0.000	Merged-chr12-69093362-15
NR4125--MA0769.1.Tcf7	chr5	75662511	75662522	-	0.000	0.000	Merged-chr5-75662405-46
NR3878--MA0523.1.TCF7L2	chr4	118406372	118406385	-	0.000	0.000	Merged-chr4-118406334-12
NR2675--MA0523.1.TCF7L2	chr18	66528875	66528888	+	0.000	0.000	Merged-chr18-66528856-1
NR4488--MA0769.1.Tcf7	chr6	89288317	89288328	-	0.000	0.000	Merged-chr6-89288372-31
NR4273--MA0769.1.Tcf7	chr5	124943852	124943863	-	0.000	0.000	Merged-chr5-124943788-2
NR1399--MA0523.1.TCF7L2	chr12	116315550	116315563	-	0.000	0.000	Merged-chr12-116315725-53
NR1171--MA0523.1.TCF7L2	chr12	41167987	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR4291--MA0769.1.Tcf7	chr5	137425807	137425818	+	0.000	0.000	Merged-chr5-137425710-17
NR3697--MA0523.1.TCF7L2	chr3	153548832	153548845	-	0.000	0.000	Merged-chr3-153548986-1
NR1879--MA1421.1.TCF7L1	chr14	103619883	103619894	+	0.000	0.000	Merged-chr14-103620031-34
NR532--MA1421.1.TCF7L1	chr10	38884932	38884943	+	0.000	0.000	Merged-chr10-38884993-65
NR112--MA0769.1.Tcf7	chr1	80441128	80441139	+	0.000	0.000	Merged-chr1-80441020-53
NR2676--MA0769.1.Tcf7	chr18	66528875	66528886	+	0.000	0.000	Merged-chr18-66528856-1
NR2000--MA0769.1.Tcf7	chr15	59010892	59010903	-	0.000	0.000	Merged-chr15-59010782-34
NR4487--MA0523.1.TCF7L2	chr6	89288315	89288328	-	0.000	0.000	Merged-chr6-89288372-31
NR4968--MA0769.1.Tcf7	chr7	116608585	116608596	+	0.000	0.000	Merged-chr7-116608604-50
NR4943--MA0523.1.TCF7L2	chr7	109265815	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR2632--MA0523.1.TCF7L2	chr18	53904318	53904331	+	0.000	0.000	Merged-chr18-53904421-2
NR489--MA0769.1.Tcf7	chr10	13424827	13424838	+	0.000	0.000	Merged-chr10-13424690-40
NR3435--MA0523.1.TCF7L2	chr3	86915476	86915489	+	0.000	0.000	Merged-chr3-86915418-7
NR1981--MA0769.1.Tcf7	chr15	53115572	53115583	+	0.000	0.000	Merged-chr15-53115661-46
NR2834--MA0523.1.TCF7L2	chr19	43852111	43852124	+	0.000	0.000	Merged-chr19-43852186-34
NR492--MA1421.1.TCF7L1	chr10	14040872	14040883	-	0.000	0.000	Merged-chr10-14040919-9
NR1173--MA1421.1.TCF7L1	chr12	41168036	41168047	+	0.000	0.000	Merged-chr12-41167989-46
NR5285--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR3224--MA0523.1.TCF7L2	chr2	147876585	147876598	+	0.000	0.000	Merged-chr2-147876682-1
NR533--MA0523.1.TCF7L2	chr10	38884932	38884945	+	0.000	0.000	Merged-chr10-38884993-65
NR3235--MA1421.1.TCF7L1	chr2	151944250	151944261	+	0.000	0.000	Merged-chr2-151944383-43
NR4089--MA1421.1.TCF7L1	chr5	58084166	58084177	-	0.000	0.000	Merged-chr5-58084122-29
NR1139--MA1421.1.TCF7L1	chr12	17726669	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR4326--MA1421.1.TCF7L1	chr5	149427542	149427553	+	0.000	0.000	Merged-chr5-149427432-30
NR496--MA0769.1.Tcf7	chr10	18407613	18407624	-	0.000	0.000	Merged-chr10-18407539-30
NR1191--MA0769.1.Tcf7	chr12	55366688	55366699	-	0.000	0.000	Merged-chr12-55366796-37
NR3146--MA0523.1.TCF7L2	chr2	124634579	124634592	+	0.000	0.000	Merged-chr2-124634585-20
NR3237--MA0769.1.Tcf7	chr2	151944250	151944261	+	0.000	0.000	Merged-chr2-151944383-43
NR1411--MA0523.1.TCF7L2	chr12	119148070	119148083	+	0.000	0.000	Merged-chr12-119148040-28
NR4180--MA0523.1.TCF7L2	chr5	97090319	97090332	+	0.000	0.000	Merged-chr5-97090318-20
NR1845--MA0523.1.TCF7L2	chr14	79236621	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR5137--MA1421.1.TCF7L1	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR1564--MA0769.1.Tcf7	chr13	89965599	89965610	-	0.000	0.000	Merged-chr13-89965778-3
NR5458--MA0769.1.Tcf7	chr9	75209425	75209436	-	0.000	0.000	Merged-chr9-75209368-16
NR111--MA0523.1.TCF7L2	chr1	80441128	80441141	+	0.000	0.000	Merged-chr1-80441020-53
NR5629--MA0523.1.TCF7L2	chr9	118285716	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR1651--MA0523.1.TCF7L2	chr13	108763549	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR5448--MA0523.1.TCF7L2	chr9	72890935	72890948	-	0.000	0.000	Merged-chr9-72890879-25
NR5713--MA1421.1.TCF7L1	chrX	93286395	93286406	-	0.000	0.000	Merged-chrX-93286459-28
NR5229--MA0523.1.TCF7L2	chr8	111449918	111449931	+	0.000	0.000	Merged-chr8-111449964-18
NR1032--MA0769.1.Tcf7	chr11	104158015	104158026	-	0.000	0.000	Merged-chr11-104158136-14
NR1912--MA1421.1.TCF7L1	chr14	121992794	121992805	-	0.000	0.000	Merged-chr14-121992584-62
NR4967--MA0523.1.TCF7L2	chr7	116608585	116608598	+	0.000	0.000	Merged-chr7-116608604-50
NR4772--MA0769.1.Tcf7	chr7	35140123	35140134	+	0.000	0.000	Merged-chr7-35140267-30
NR515--MA0523.1.TCF7L2	chr10	26879379	26879392	+	0.000	0.000	Merged-chr10-26879299-36
NR2092--MA0523.1.TCF7L2	chr15	94255221	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR2328--MA1421.1.TCF7L1	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR1190--MA0523.1.TCF7L2	chr12	55366686	55366699	-	0.000	0.000	Merged-chr12-55366796-37
NR3364--MA0523.1.TCF7L2	chr3	37738623	37738636	+	0.000	0.000	Merged-chr3-37738517-40
NR4817--MA0523.1.TCF7L2	chr7	67911928	67911941	+	0.000	0.000	Merged-chr7-67912081-16
NR139--MA1421.1.TCF7L1	chr1	88228272	88228283	+	0.000	0.000	Merged-chr1-88228292-3
NR1624--MA0769.1.Tcf7	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR2037--MA0523.1.TCF7L2	chr15	73023023	73023036	+	0.000	0.000	Merged-chr15-73023142-29
NR2826--MA0769.1.Tcf7	chr19	38298375	38298386	+	0.000	0.000	Merged-chr19-38298328-29
NR17--MA0769.1.Tcf7	chr1	21780997	21781008	+	0.000	0.000	Merged-chr1-21781098-42
NR4470--MA1421.1.TCF7L1	chr6	84617256	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR3309--MA0523.1.TCF7L2	chr2	173444591	173444604	+	0.000	0.000	Merged-chr2-173444560-32
NR1775--MA0523.1.TCF7L2	chr14	46578262	46578275	+	0.000	0.000	Merged-chr14-46578431-37
NR824--MA0523.1.TCF7L2	chr11	20064186	20064199	+	0.000	0.000	Merged-chr11-20064139-6
NR3388--MA0769.1.Tcf7	chr3	58517234	58517245	+	0.000	0.000	Merged-chr3-58517381-43
NR4200--MA1421.1.TCF7L1	chr5	100916681	100916692	-	0.000	0.000	Merged-chr5-100916697-39
NR96--MA1421.1.TCF7L1	chr1	72870326	72870337	+	0.000	0.000	Merged-chr1-72870469-25
NR2494--MA1421.1.TCF7L1	chr17	63356501	63356512	+	0.000	0.000	Merged-chr17-63356437-30
NR4501--MA0769.1.Tcf7	chr6	91617437	91617448	+	0.000	0.000	Merged-chr6-91617404-38
NR4124--MA0523.1.TCF7L2	chr5	75662509	75662522	-	0.000	0.000	Merged-chr5-75662405-46
NR1404--MA1421.1.TCF7L1	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR2477--MA1421.1.TCF7L1	chr17	56717988	56717999	+	0.000	0.000	Merged-chr17-56717989-1
NR2617--MA0523.1.TCF7L2	chr18	39877980	39877993	-	0.000	0.000	Merged-chr18-39877975-43
NR4202--MA0769.1.Tcf7	chr5	100916681	100916692	-	0.000	0.000	Merged-chr5-100916697-39
NR25--MA0523.1.TCF7L2	chr1	34831577	34831590	+	0.000	0.000	Merged-chr1-34831505-37
NR3723--MA1421.1.TCF7L1	chr4	7961699	7961710	-	0.000	0.000	Merged-chr4-7961828-25
NR4471--MA0523.1.TCF7L2	chr6	84617254	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR3086--MA1421.1.TCF7L1	chr2	101979162	101979173	-	0.000	0.000	Merged-chr2-101979094-60
NR3688--MA1421.1.TCF7L1	chr3	152355525	152355536	-	0.000	0.000	Merged-chr3-152355609-21
NR2594--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR5230--MA0769.1.Tcf7	chr8	111449918	111449929	+	0.000	0.000	Merged-chr8-111449964-18
NR1099--MA0523.1.TCF7L2	chr11	117092937	117092950	-	0.000	0.000	Merged-chr11-117092893-43
NR4770--MA1421.1.TCF7L1	chr7	30608089	30608100	-	0.000	0.000	Merged-chr7-30607986-27
NR3069--MA1421.1.TCF7L1	chr2	93468994	93469005	-	0.000	0.000	Merged-chr2-93469030-22
NR4181--MA0769.1.Tcf7	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR1170--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR4054--MA0523.1.TCF7L2	chr5	28402976	28402989	-	0.000	0.000	Merged-chr5-28402904-51
NR4151--MA1421.1.TCF7L1	chr5	92128690	92128701	+	0.000	0.000	Merged-chr5-92128744-12
NR5604--MA1421.1.TCF7L1	chr9	114451745	114451756	+	0.000	0.000	Merged-chr9-114451867-49
NR338--MA0769.1.Tcf7	chr1	161728755	161728766	+	0.000	0.000	Merged-chr1-161728798-12
NR2825--MA1421.1.TCF7L1	chr19	38298375	38298386	+	0.000	0.000	Merged-chr19-38298328-29
NR4858--MA0523.1.TCF7L2	chr7	83852587	83852600	+	0.000	0.000	Merged-chr7-83852721-40
NR4294--MA0523.1.TCF7L2	chr5	140871436	140871449	-	0.000	0.000	Merged-chr5-140871418-38
NR4942--MA1421.1.TCF7L1	chr7	109265817	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR2495--MA0769.1.Tcf7	chr17	63356501	63356512	+	0.000	0.000	Merged-chr17-63356437-30
NR3124--MA0769.1.Tcf7	chr2	115855971	115855982	-	0.000	0.000	Merged-chr2-115856078-28
NR345--MA0523.1.TCF7L2	chr1	163374838	163374851	+	0.000	0.000	Merged-chr1-163374764-34
NR3434--MA1421.1.TCF7L1	chr3	86915476	86915487	+	0.000	0.000	Merged-chr3-86915418-7
NR1174--MA1421.1.TCF7L1	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR3844--MA0523.1.TCF7L2	chr4	101217141	101217154	+	0.000	0.000	Merged-chr4-101217167-64
NR2500--MA0769.1.Tcf7	chr17	64755349	64755360	+	0.000	0.000	Merged-chr17-64755359-24
NR1652--MA0769.1.Tcf7	chr13	108763551	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR5126--MA1421.1.TCF7L1	chr8	46420849	46420860	+	0.000	0.000	Merged-chr8-46420639-16
NR2093--MA0769.1.Tcf7	chr15	94255223	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR4275--MA1421.1.TCF7L1	chr5	129190414	129190425	-	0.000	0.000	Merged-chr5-129190300-30
NR3072--MA1421.1.TCF7L1	chr2	93746805	93746816	+	0.000	0.000	Merged-chr2-93746545-75
NR4152--MA0769.1.Tcf7	chr5	92128690	92128701	+	0.000	0.000	Merged-chr5-92128744-12
NR2626--MA0769.1.Tcf7	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
NR3604--MA0769.1.Tcf7	chr3	136043797	136043808	-	0.000	0.000	Merged-chr3-136043895-1
NR3661--MA1421.1.TCF7L1	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR4860--MA0769.1.Tcf7	chr7	83852807	83852818	+	0.000	0.000	Merged-chr7-83852721-40
NR5630--MA0523.1.TCF7L2	chr9	118285729	118285742	-	0.000	0.000	Merged-chr9-118285683-37
NR1623--MA0523.1.TCF7L2	chr13	103357025	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR4217--MA0523.1.TCF7L2	chr5	105198257	105198270	+	0.000	0.000	Merged-chr5-105198197-37
NR1175--MA0769.1.Tcf7	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR5432--MA0523.1.TCF7L2	chr9	69023583	69023596	-	0.000	0.000	Merged-chr9-69023585-49
NR2180--MA0769.1.Tcf7	chr16	25587910	25587921	-	0.000	0.000	Merged-chr16-25587871-42
NR49--MA0523.1.TCF7L2	chr1	52456945	52456958	-	0.000	0.000	Merged-chr1-52456813-18
NR4472--MA0769.1.Tcf7	chr6	84617256	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR2903--MA0523.1.TCF7L2	chr2	17861893	17861906	+	0.000	0.000	Merged-chr2-17861880-15
NR3073--MA0523.1.TCF7L2	chr2	93746805	93746818	+	0.000	0.000	Merged-chr2-93746545-75
NR1436--MA0769.1.Tcf7	chr13	12927707	12927718	+	0.000	0.000	Merged-chr13-12927520-1
NR3074--MA0769.1.Tcf7	chr2	93746805	93746816	+	0.000	0.000	Merged-chr2-93746545-75
NR1844--MA1421.1.TCF7L1	chr14	79236623	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR4500--MA0523.1.TCF7L2	chr6	91617437	91617450	+	0.000	0.000	Merged-chr6-91617404-38
NR3481--MA0523.1.TCF7L2	chr3	101238900	101238913	-	0.000	0.000	Merged-chr3-101238930-30
NR4276--MA0769.1.Tcf7	chr5	129190414	129190425	-	0.000	0.000	Merged-chr5-129190300-30
NR110--MA1421.1.TCF7L1	chr1	80441128	80441139	+	0.000	0.000	Merged-chr1-80441020-53
NR3858--MA0769.1.Tcf7	chr4	102967912	102967923	-	0.000	0.000	Merged-chr4-102968093-31
NR2786--MA0769.1.Tcf7	chr19	9044558	9044569	-	0.000	0.000	Merged-chr19-9044473-28
NR5628--MA1421.1.TCF7L1	chr9	118285718	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR821--MA0523.1.TCF7L2	chr11	11498084	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR1141--MA0769.1.Tcf7	chr12	17726669	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR98--MA0769.1.Tcf7	chr1	74807060	74807071	-	0.000	0.000	Merged-chr1-74806913-73
