#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1202--MA0463.1.Bcl6	chr3	9826215	9826228	+	0.000	0.000	Merged-chr3-9826362-60
NR1887--MA0463.1.Bcl6	chr7	141302903	141302916	-	0.000	0.000	Merged-chr7-141303065-41
NR1505--MA0731.1.BCL6B	chr5	37147788	37147804	+	0.000	0.000	Merged-chr5-37147664-17
NR1614--MA0731.1.BCL6B	chr5	146882273	146882289	-	0.000	0.000	Merged-chr5-146882424-24
NR1335--MA0731.1.BCL6B	chr3	144561897	144561913	+	0.000	0.000	Merged-chr3-144561824-38
NR1060--MA0463.1.Bcl6	chr2	52570335	52570348	-	0.000	0.000	Merged-chr2-52570542-44
NR1522--MA0463.1.Bcl6	chr5	68033558	68033571	+	0.000	0.000	Merged-chr5-68033501-23
NR722--MA0731.1.BCL6B	chr15	78903365	78903381	-	0.000	0.000	Merged-chr15-78903471-19
NR3--MA0463.1.Bcl6	chr1	13560072	13560085	+	0.000	0.000	Merged-chr1-13560165-1
NR439--MA0463.1.Bcl6	chr12	99557472	99557485	+	0.000	0.000	Merged-chr12-99557572-3
NR130--MA0731.1.BCL6B	chr1	170993653	170993669	+	0.000	0.000	Merged-chr1-170993660-17
NR352--MA0463.1.Bcl6	chr11	83629974	83629987	+	0.000	0.000	Merged-chr11-83629879-6
NR1187--MA0463.1.Bcl6	chr2	173431769	173431782	-	0.000	0.000	Merged-chr2-173431870-16
NR1193--MA0731.1.BCL6B	chr2	178407650	178407666	-	0.000	0.000	Merged-chr2-178407625-2
NR1932--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR118--MA0463.1.Bcl6	chr1	162565200	162565213	-	0.000	0.000	Merged-chr1-162565187-22
NR1046--MA0463.1.Bcl6	chr2	34945660	34945673	-	0.000	0.000	Merged-chr2-34945759-18
NR893--MA0731.1.BCL6B	chr17	86832839	86832855	-	0.000	0.000	Merged-chr17-86833009-31
NR1209--MA0731.1.BCL6B	chr3	27210437	27210453	-	0.000	0.000	Merged-chr3-27210457-3
NR1889--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR1366--MA0731.1.BCL6B	chr4	6881220	6881236	+	0.000	0.000	Merged-chr4-6881171-35
NR333--MA0731.1.BCL6B	chr11	68768669	68768685	+	0.000	0.000	Merged-chr11-68768507-16
NR693--MA0463.1.Bcl6	chr15	38452730	38452743	-	0.000	0.000	Merged-chr15-38452892-28
NR699--MA0731.1.BCL6B	chr15	50652005	50652021	-	0.000	0.000	Merged-chr15-50651925-26
NR815--MA0463.1.Bcl6	chr17	5814097	5814110	+	0.000	0.000	Merged-chr17-5814048-13
NR1613--MA0463.1.Bcl6	chr5	146845045	146845058	-	0.000	0.000	Merged-chr5-146845015-50
NR1976--MA0463.1.Bcl6	chr8	124266025	124266038	+	0.000	0.000	Merged-chr8-124265993-45
NR445--MA0463.1.Bcl6	chr12	103348650	103348663	+	0.000	0.000	Merged-chr12-103348740-28
NR669--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR1933--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR1983--MA0463.1.Bcl6	chr8	128352945	128352958	-	0.000	0.000	Merged-chr8-128352989-24
NR2039--MA0463.1.Bcl6	chr9	79970823	79970836	+	0.000	0.000	Merged-chr9-79970896-33
NR336--MA0463.1.Bcl6	chr11	69581024	69581037	+	0.000	0.000	Merged-chr11-69580859-6
NR448--MA0463.1.Bcl6	chr12	107011658	107011671	+	0.000	0.000	Merged-chr12-107011663-34
NR1421--MA0731.1.BCL6B	chr4	114468230	114468246	-	0.000	0.000	Merged-chr4-114468336-4
NR1045--MA0463.1.Bcl6	chr2	32867552	32867565	+	0.000	0.000	Merged-chr2-32867635-14
NR508--MA0463.1.Bcl6	chr13	24547247	24547260	+	0.000	0.000	Merged-chr13-24547194-39
NR1262--MA0463.1.Bcl6	chr3	101929712	101929725	-	0.000	0.000	Merged-chr3-101929538-16
NR1859--MA0731.1.BCL6B	chr7	127895917	127895933	+	0.000	0.000	Merged-chr7-127895657-49
NR268--MA0463.1.Bcl6	chr10	111583417	111583430	-	0.000	0.000	Merged-chr10-111583294-13
NR109--MA0463.1.Bcl6	chr1	156462767	156462780	+	0.000	0.000	Merged-chr1-156462820-12
NR924--MA0463.1.Bcl6	chr18	60462365	60462378	-	0.000	0.000	Merged-chr18-60462470-32
NR1441--MA0731.1.BCL6B	chr4	132775157	132775173	+	0.000	0.000	Merged-chr4-132775105-24
