#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR646--MA0768.1.LEF1	chr16	51676210	51676224	-	0.000	0.000	Merged-chr16-51676199-15
NR418--MA0768.1.LEF1	chr13	12927707	12927721	+	0.000	0.000	Merged-chr13-12927520-1
NR1118--MA0768.1.LEF1	chr4	98282619	98282633	-	0.000	0.000	Merged-chr4-98282479-46
NR13--MA0768.1.LEF1	chr1	51570627	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR1152--MA0768.1.LEF1	chr4	138962900	138962914	+	0.000	0.000	Merged-chr4-138963010-20
NR1018--MA0768.1.LEF1	chr3	107578086	107578100	+	0.000	0.000	Merged-chr3-107578034-11
NR1646--MA0768.1.LEF1	chr9	118890387	118890401	-	0.000	0.000	Merged-chr9-118890241-21
NR1486--MA0768.1.LEF1	chr8	13660541	13660555	+	0.000	0.000	Merged-chr8-13660573-34
NR1271--MA0768.1.LEF1	chr6	15783259	15783273	+	0.000	0.000	Merged-chr6-15783250-24
NR686--MA0768.1.LEF1	chr17	6861910	6861924	-	0.000	0.000	Merged-chr17-6861769-90
NR458--MA0768.1.LEF1	chr13	85499895	85499909	+	0.000	0.000	Merged-chr13-85499791-10
NR382--MA0768.1.LEF1	chr12	106777761	106777775	-	0.000	0.000	Merged-chr12-106777834-6
NR821--MA0768.1.LEF1	chr19	53010621	53010635	+	0.000	0.000	Merged-chr19-53010844-15
NR1297--MA0768.1.LEF1	chr6	51384176	51384190	-	0.000	0.000	Merged-chr6-51384192-15
NR723--MA0768.1.LEF1	chr17	65864850	65864864	+	0.000	0.000	Merged-chr17-65864949-20
NR1624--MA0768.1.LEF1	chr9	96754565	96754579	+	0.000	0.000	Merged-chr9-96754558-43
NR205--MA0768.1.LEF1	chr10	111622635	111622649	+	0.000	0.000	Merged-chr10-111622563-9
NR568--MA0768.1.LEF1	chr15	30686509	30686523	-	0.000	0.000	Merged-chr15-30686490-29
NR97--MA0768.1.LEF1	chr1	156462913	156462927	-	0.000	0.000	Merged-chr1-156462820-12
NR1248--MA0768.1.LEF1	chr5	120621492	120621506	-	0.000	0.000	Merged-chr5-120621262-88
NR383--MA0768.1.LEF1	chr12	107139061	107139075	+	0.000	0.000	Merged-chr12-107139139-48
NR934--MA0768.1.LEF1	chr2	144646559	144646573	+	0.000	0.000	Merged-chr2-144646502-21
NR706--MA0768.1.LEF1	chr17	44690654	44690668	+	0.000	0.000	Merged-chr17-44690721-49
NR416--MA0768.1.LEF1	chr13	8542840	8542854	-	0.000	0.000	Merged-chr13-8542849-17
NR484--MA0768.1.LEF1	chr13	108763548	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR1027--MA0768.1.LEF1	chr3	115933844	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR180--MA0768.1.LEF1	chr10	82697537	82697551	+	0.000	0.000	Merged-chr10-82697496-47
NR231--MA0768.1.LEF1	chr11	11498083	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR732--MA0768.1.LEF1	chr17	86329676	86329690	-	0.000	0.000	Merged-chr17-86329621-27
NR652--MA0768.1.LEF1	chr16	58553480	58553494	-	0.000	0.000	Merged-chr16-58553585-23
NR250--MA0768.1.LEF1	chr11	54844623	54844637	+	0.000	0.000	Merged-chr11-54844701-31
NR456--MA0768.1.LEF1	chr13	85485033	85485047	+	0.000	0.000	Merged-chr13-85484946-17
