#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1580--MA0690.1.TBX21	chr4	107434692	107434701	+	0.000	0.000	Merged-chr4-107434749-32
NR1484--MA0690.1.TBX21	chr3	145942167	145942176	+	0.000	0.000	Merged-chr3-145942154-31
NR1681--MA0690.1.TBX21	chr5	64662588	64662597	+	0.000	0.000	Merged-chr5-64662440-49
NR2057--MA0690.1.TBX21	chr7	125192225	125192234	-	0.000	0.000	Merged-chr7-125192121-14
NR52--MA0690.1.TBX21	chr1	74570562	74570571	-	0.000	0.000	Merged-chr1-74570528-25
NR65--MA0690.1.TBX21	chr1	89090453	89090462	+	0.000	0.000	Merged-chr1-89090487-27
NR1046--MA0690.1.TBX21	chr18	12473266	12473275	+	0.000	0.000	Merged-chr18-12473315-14
NR1256--MA0690.1.TBX21	chr2	102034538	102034547	+	0.000	0.000	Merged-chr2-102034492-49
NR92--MA0690.1.TBX21	chr1	126400133	126400142	+	0.000	0.000	Merged-chr1-126400157-1
NR1182--MA0690.1.TBX21	chr2	17597866	17597875	-	0.000	0.000	Merged-chr2-17597899-18
NR412--MA0690.1.TBX21	chr11	82424780	82424789	+	0.000	0.000	Merged-chr11-82424845-7
NR1315--MA0690.1.TBX21	chr2	148484331	148484340	+	0.000	0.000	Merged-chr2-148484337-1
NR494--MA0690.1.TBX21	chr12	69102085	69102094	+	0.000	0.000	Merged-chr12-69102156-32
NR1397--MA0690.1.TBX21	chr3	58785997	58786006	-	0.000	0.000	Merged-chr3-58786155-24
NR2215--MA0690.1.TBX21	chr9	5623627	5623636	-	0.000	0.000	Merged-chr9-5623590-21
NR478--MA0690.1.TBX21	chr12	17505937	17505946	+	0.000	0.000	Merged-chr12-17505962-36
NR537--MA0690.1.TBX21	chr12	110559567	110559576	+	0.000	0.000	Merged-chr12-110559537-7
NR1903--MA0690.1.TBX21	chr6	128474364	128474373	-	0.000	0.000	Merged-chr6-128474299-11
NR1040--MA0690.1.TBX21	chr17	88701105	88701114	+	0.000	0.000	Merged-chr17-88701095-28
NR1547--MA0690.1.TBX21	chr4	55591787	55591796	-	0.000	0.000	Merged-chr4-55591721-13
NR1526--MA0690.1.TBX21	chr4	3975222	3975231	+	0.000	0.000	Merged-chr4-3975214-21
NR1181--MA0690.1.TBX21	chr2	17597878	17597887	+	0.000	0.000	Merged-chr2-17597899-18
NR846--MA0690.1.TBX21	chr15	84168898	84168907	-	0.000	0.000	Merged-chr15-84168860-11
NR1098--MA0690.1.TBX21	chr18	80642663	80642672	+	0.000	0.000	Merged-chr18-80642669-13
NR1428--MA0690.1.TBX21	chr3	100359139	100359148	+	0.000	0.000	Merged-chr3-100359234-42
NR2031--MA0690.1.TBX21	chr7	108991402	108991411	-	0.000	0.000	Merged-chr7-108991327-33
NR2302--MA0690.1.TBX21	chr9	102541805	102541814	-	0.000	0.000	Merged-chr9-102541803-17
NR1107--MA0690.1.TBX21	chr18	83465362	83465371	-	0.000	0.000	Merged-chr18-83465273-18
NR2193--MA0690.1.TBX21	chr8	122772618	122772627	+	0.000	0.000	Merged-chr8-122772813-21
NR2172--MA0690.1.TBX21	chr8	115877986	115877995	+	0.000	0.000	Merged-chr8-115877965-1
NR2238--MA0690.1.TBX21	chr9	43238898	43238907	-	0.000	0.000	Merged-chr9-43238844-1
NR759--MA0690.1.TBX21	chr14	118838788	118838797	+	0.000	0.000	Merged-chr14-118838804-5
NR1939--MA0690.1.TBX21	chr6	144332304	144332313	+	0.000	0.000	Merged-chr6-144332292-25
NR1918--MA0690.1.TBX21	chr6	135087853	135087862	+	0.000	0.000	Merged-chr6-135087974-38
NR1076--MA0690.1.TBX21	chr18	64913377	64913386	+	0.000	0.000	Merged-chr18-64913437-34
NR1273--MA0690.1.TBX21	chr2	115856207	115856216	-	0.000	0.000	Merged-chr2-115856078-28
NR917--MA0690.1.TBX21	chr16	65542426	65542435	-	0.000	0.000	Merged-chr16-65542301-4
NR1788--MA0690.1.TBX21	chr5	146782072	146782081	+	0.000	0.000	Merged-chr5-146781945-52
NR1278--MA0690.1.TBX21	chr2	117328733	117328742	+	0.000	0.000	Merged-chr2-117328790-53
NR216--MA0690.1.TBX21	chr10	14040866	14040875	-	0.000	0.000	Merged-chr10-14040919-9
NR699--MA0690.1.TBX21	chr14	30014621	30014630	+	0.000	0.000	Merged-chr14-30014704-42
NR896--MA0690.1.TBX21	chr16	44497277	44497286	+	0.000	0.000	Merged-chr16-44497186-22
NR2083--MA0690.1.TBX21	chr7	140324189	140324198	-	0.000	0.000	Merged-chr7-140324353-33
NR1983--MA0690.1.TBX21	chr7	35729784	35729793	+	0.000	0.000	Merged-chr7-35729754-35
NR1824--MA0690.1.TBX21	chr6	37564070	37564079	-	0.000	0.000	Merged-chr6-37564158-19
NR2264--MA0690.1.TBX21	chr9	61754045	61754054	-	0.000	0.000	Merged-chr9-61753912-30
NR437--MA0690.1.TBX21	chr11	101661880	101661889	+	0.000	0.000	Merged-chr11-101661964-4
