#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR12473--MA0599.1.KLF5	chr11	118731921	118731930	+	0.000	0.000	Merged-chr11-118731916-25
NR47794--MA0599.1.KLF5	chr5	111196087	111196096	+	0.000	0.000	Merged-chr5-111196079-28
NR32507--MA0599.1.KLF5	chr2	3526082	3526091	-	0.000	0.000	Merged-chr2-3525948-8
NR33923--MA0493.1.Klf1	chr2	60375320	60375330	-	0.000	0.000	Merged-chr2-60375404-17
NR57107--MA1107.1.KLF9	chr7	116484542	116484554	-	0.000	0.000	Merged-chr7-116484434-42
NR45456--MA0039.3.KLF4	chr4	155306826	155306836	-	0.000	0.000	Merged-chr4-155306831-50
NR4381--MA0741.1.KLF16	chr1	193589280	193589290	-	0.000	0.000	Merged-chr1-193589231-21
NR30223--MA1107.1.KLF9	chr18	74442353	74442365	+	0.000	0.000	Merged-chr18-74442456-61
NR37960--MA0493.1.Klf1	chr3	28402423	28402433	-	0.000	0.000	Merged-chr3-28402386-46
NR9833--MA0740.1.KLF14	chr11	69073165	69073178	-	0.000	0.000	Merged-chr11-69073010-1
NR59418--MA0657.1.KLF13	chr8	61321593	61321610	+	0.000	0.000	Merged-chr8-61321606-56
NR49806--MA0741.1.KLF16	chr5	142551116	142551126	-	0.000	0.000	Merged-chr5-142551043-31
NR51951--MA1107.1.KLF9	chr6	91156640	91156652	+	0.000	0.000	Merged-chr6-91156791-33
NR5716--MA1107.1.KLF9	chr10	71399679	71399691	+	0.000	0.000	Merged-chr10-71399794-69
NR45304--MA0741.1.KLF16	chr4	152120730	152120740	-	0.000	0.000	Merged-chr4-152120692-77
NR53831--MA0741.1.KLF16	chr6	145002395	145002405	-	0.000	0.000	Merged-chr6-145002461-23
NR13563--MA0599.1.KLF5	chr12	71310063	71310072	-	0.000	0.000	Merged-chr12-71309948-65
NR50540--MA0599.1.KLF5	chr6	22340138	22340147	-	0.000	0.000	Merged-chr6-22340067-27
NR44623--MA0599.1.KLF5	chr4	140833017	140833026	-	0.000	0.000	Merged-chr4-140833040-18
NR38706--MA0599.1.KLF5	chr3	85887553	85887562	+	0.000	0.000	Merged-chr3-85887790-94
NR50521--MA1107.1.KLF9	chr6	17901367	17901379	-	0.000	0.000	Merged-chr6-17901265-19
NR1379--MA1107.1.KLF9	chr1	90739032	90739044	-	0.000	0.000	Merged-chr1-90739110-18
NR52702--MA0599.1.KLF5	chr6	122491810	122491819	+	0.000	0.000	Merged-chr6-122491726-37
NR32544--MA0741.1.KLF16	chr2	5003273	5003283	+	0.000	0.000	Merged-chr2-5003396-19
NR16107--MA0493.1.Klf1	chr13	49251351	49251361	-	0.000	0.000	Merged-chr13-49251247-4
NR8915--MA0741.1.KLF16	chr11	32020366	32020376	-	0.000	0.000	Merged-chr11-32020422-50
NR1361--MA0657.1.KLF13	chr1	88708257	88708274	+	0.000	0.000	Merged-chr1-88708373-21
NR43672--MA0599.1.KLF5	chr4	128957233	128957242	-	0.000	0.000	Merged-chr4-128957353-26
NR16018--MA0599.1.KLF5	chr13	44507199	44507208	+	0.000	0.000	Merged-chr13-44507226-54
NR62709--MA1107.1.KLF9	chr9	53706273	53706285	-	0.000	0.000	Merged-chr9-53706205-55
NR28576--MA1107.1.KLF9	chr17	85800161	85800173	-	0.000	0.000	Merged-chr17-85800006-20
NR1908--MA0493.1.Klf1	chr1	128713043	128713053	+	0.000	0.000	Merged-chr1-128713010-21
NR55125--MA0740.1.KLF14	chr7	30717489	30717502	+	0.000	0.000	Merged-chr7-30717543-30
NR37409--MA0741.1.KLF16	chr2	173449002	173449012	+	0.000	0.000	Merged-chr2-173448878-59
NR15837--MA0599.1.KLF5	chr13	36369642	36369651	+	0.000	0.000	Merged-chr13-36369600-5
NR8896--MA0741.1.KLF16	chr11	30986477	30986487	+	0.000	0.000	Merged-chr11-30986417-66
NR29554--MA1107.1.KLF9	chr18	53245545	53245557	+	0.000	0.000	Merged-chr18-53245593-51
NR14178--MA0493.1.Klf1	chr12	98628101	98628111	-	0.000	0.000	Merged-chr12-98628210-48
NR64034--MA0741.1.KLF16	chr9	92275231	92275241	-	0.000	0.000	Merged-chr9-92275152-2
NR28796--MA0493.1.Klf1	chr18	3933657	3933667	+	0.000	0.000	Merged-chr18-3933786-31
NR46615--MA0740.1.KLF14	chr5	63943573	63943586	-	0.000	0.000	Merged-chr5-63943362-36
NR13266--MA0740.1.KLF14	chr12	52503830	52503843	-	0.000	0.000	Merged-chr12-52504054-125
NR36110--MA0599.1.KLF5	chr2	150910381	150910390	+	0.000	0.000	Merged-chr2-150910563-2
NR55191--MA0039.3.KLF4	chr7	34630505	34630515	-	0.000	0.000	Merged-chr7-34630517-24
NR27627--MA0740.1.KLF14	chr17	56425178	56425191	-	0.000	0.000	Merged-chr17-56425045-2
NR2394--MA0599.1.KLF5	chr1	147237214	147237223	+	0.000	0.000	Merged-chr1-147237183-6
NR48301--MA1107.1.KLF9	chr5	118172106	118172118	-	0.000	0.000	Merged-chr5-118172344-28
NR57932--MA0741.1.KLF16	chr7	136894458	136894468	+	0.000	0.000	Merged-chr7-136894538-85
NR61749--MA1107.1.KLF9	chr9	11579251	11579263	-	0.000	0.000	Merged-chr9-11579132-23
NR24557--MA1107.1.KLF9	chr16	52009770	52009782	-	0.000	0.000	Merged-chr16-52009656-17
