#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR4247--MA0496.2.MAFK	chr15	51823241	51823259	+	0.000	0.000	Merged-chr15-51823268-39
NR5227--MA0591.1.Bach1::Mafk	chr17	35046802	35046816	-	0.000	0.000	Merged-chr17-35046725-56
NR6037--MA0501.1.MAF::NFE2	chr19	21646543	21646557	-	0.000	0.000	Merged-chr19-21646506-24
NR9753--MA0089.1.MAFG::NFE2L1	chr6	54902653	54902658	+	0.000	0.000	Merged-chr6-54902774-18
NR7213--MA0495.2.MAFF	chr2	157190846	157190866	-	0.000	0.000	Merged-chr2-157190874-9
NR215--MA0501.1.MAF::NFE2	chr1	61039451	61039465	-	0.000	0.000	Merged-chr1-61039499-28
NR3623--MA0496.2.MAFK	chr13	114886265	114886283	+	0.000	0.000	Merged-chr13-114886416-28
NR7215--MA0659.1.MAFG	chr2	157190846	157190866	+	0.000	0.000	Merged-chr2-157190874-9
NR9763--MA0591.1.Bach1::Mafk	chr6	59411876	59411890	-	0.000	0.000	Merged-chr6-59411943-3
NR11769--MA0496.2.MAFK	chr8	128148523	128148541	+	0.000	0.000	Merged-chr8-128148641-36
NR3865--MA0496.2.MAFK	chr14	64434221	64434239	+	0.000	0.000	Merged-chr14-64434245-45
NR11886--MA0089.1.MAFG::NFE2L1	chr9	44582570	44582575	-	0.000	0.000	Merged-chr9-44582588-15
NR9507--MA0659.1.MAFG	chr5	146655355	146655375	-	0.000	0.000	Merged-chr5-146655552-37
NR10953--MA0495.2.MAFF	chr7	116409582	116409602	+	0.000	0.000	Merged-chr7-116409560-37
NR265--MA0089.1.MAFG::NFE2L1	chr1	78478073	78478078	+	0.000	0.000	Merged-chr1-78478073-15
NR6424--MA0591.1.Bach1::Mafk	chr2	32867505	32867519	-	0.000	0.000	Merged-chr2-32867635-14
NR11487--MA0501.1.MAF::NFE2	chr8	94812834	94812848	-	0.000	0.000	Merged-chr8-94812976-23
NR2319--MA0496.2.MAFK	chr11	108094972	108094990	+	0.000	0.000	Merged-chr11-108095008-29
NR11029--MA0089.1.MAFG::NFE2L1	chr7	125621881	125621886	-	0.000	0.000	Merged-chr7-125621906-18
NR11682--MA0089.1.MAFG::NFE2L1	chr8	124255706	124255711	-	0.000	0.000	Merged-chr8-124255729-8
NR2337--MA0496.2.MAFK	chr11	109480130	109480148	+	0.000	0.000	Merged-chr11-109480065-23
NR12042--MA0591.1.Bach1::Mafk	chr9	69125460	69125474	+	0.000	0.000	Merged-chr9-69125560-59
NR1322--MA0089.1.MAFG::NFE2L1	chr10	76270398	76270403	-	0.000	0.000	Merged-chr10-76270300-7
NR1178--MA0117.2.Mafb	chr10	43919090	43919101	-	0.000	0.000	Merged-chr10-43919152-21
NR8051--MA0089.1.MAFG::NFE2L1	chr3	149394037	149394042	+	0.000	0.000	Merged-chr3-149393865-18
NR10273--MA0089.1.MAFG::NFE2L1	chr6	140466497	140466502	-	0.000	0.000	Merged-chr6-140466408-37
NR9397--MA0089.1.MAFG::NFE2L1	chr5	124233201	124233206	-	0.000	0.000	Merged-chr5-124233258-22
NR11780--MA0089.1.MAFG::NFE2L1	chr8	128595102	128595107	+	0.000	0.000	Merged-chr8-128595191-53
NR3731--MA0591.1.Bach1::Mafk	chr14	27351647	27351661	+	0.000	0.000	Merged-chr14-27351647-44
NR10175--MA0591.1.Bach1::Mafk	chr6	128972828	128972842	+	0.000	0.000	Merged-chr6-128972909-46
NR576--MA0089.1.MAFG::NFE2L1	chr1	144086333	144086338	+	0.000	0.000	Merged-chr1-144086303-34
NR1179--MA0501.1.MAF::NFE2	chr10	43919087	43919101	+	0.000	0.000	Merged-chr10-43919152-21
NR4549--MA0496.2.MAFK	chr15	100265725	100265743	+	0.000	0.000	Merged-chr15-100265875-19
NR10977--MA0089.1.MAFG::NFE2L1	chr7	118500291	118500296	+	0.000	0.000	Merged-chr7-118500296-3
NR5192--MA0501.1.MAF::NFE2	chr17	31176461	31176475	+	0.000	0.000	Merged-chr17-31176516-21
NR214--MA0591.1.Bach1::Mafk	chr1	61039454	61039468	-	0.000	0.000	Merged-chr1-61039499-28
NR7973--MA0117.2.Mafb	chr3	142545600	142545611	+	0.000	0.000	Merged-chr3-142545607-21
NR11097--MA0117.2.Mafb	chr7	135581187	135581198	-	0.000	0.000	Merged-chr7-135581080-39
NR11763--MA0501.1.MAF::NFE2	chr8	127973405	127973419	+	0.000	0.000	Merged-chr8-127973425-20
NR10760--MA0089.1.MAFG::NFE2L1	chr7	89253032	89253037	-	0.000	0.000	Merged-chr7-89253007-2
NR11924--MA0501.1.MAF::NFE2	chr9	55209109	55209123	-	0.000	0.000	Merged-chr9-55209102-59
NR2542--MA0591.1.Bach1::Mafk	chr12	25240220	25240234	-	0.000	0.000	Merged-chr12-25240283-42
NR12158--MA0496.2.MAFK	chr9	89221267	89221285	-	0.000	0.000	Merged-chr9-89221104-50
NR4158--MA0659.1.MAFG	chr15	12008206	12008226	+	0.000	0.000	Merged-chr15-12008199-38
NR9804--MA0117.2.Mafb	chr6	70714417	70714428	-	0.000	0.000	Merged-chr6-70714490-34
NR4832--MA0495.2.MAFF	chr16	52879649	52879669	-	0.000	0.000	Merged-chr16-52879758-28
NR1373--MA0591.1.Bach1::Mafk	chr10	81254942	81254956	-	0.000	0.000	Merged-chr10-81255041-17
NR9809--MA0659.1.MAFG	chr6	70714455	70714475	+	0.000	0.000	Merged-chr6-70714490-34
NR7629--MA0117.2.Mafb	chr3	79504674	79504685	-	0.000	0.000	Merged-chr3-79504650-9
NR8288--MA0089.1.MAFG::NFE2L1	chr4	63372196	63372201	+	0.000	0.000	Merged-chr4-63372139-33
NR6457--MA0495.2.MAFF	chr2	34945756	34945776	-	0.000	0.000	Merged-chr2-34945759-18
NR1153--MA0089.1.MAFG::NFE2L1	chr10	39506801	39506806	+	0.000	0.000	Merged-chr10-39506782-12
NR9811--MA0496.2.MAFK	chr6	70714456	70714474	+	0.000	0.000	Merged-chr6-70714490-34
NR11899--MA0117.2.Mafb	chr9	48817460	48817471	-	0.000	0.000	Merged-chr9-48817420-28
NR12069--MA0496.2.MAFK	chr9	75408028	75408046	-	0.000	0.000	Merged-chr9-75408031-5
NR11866--MA0591.1.Bach1::Mafk	chr9	41153244	41153258	+	0.000	0.000	Merged-chr9-41153398-36
NR10305--MA0089.1.MAFG::NFE2L1	chr6	142780002	142780007	+	0.000	0.000	Merged-chr6-142779867-87
NR11115--MA0591.1.Bach1::Mafk	chr7	139295825	139295839	-	0.000	0.000	Merged-chr7-139295944-32
NR1209--MA0496.2.MAFK	chr10	53344049	53344067	-	0.000	0.000	Merged-chr10-53344095-9
NR9591--MA0089.1.MAFG::NFE2L1	chr6	15726641	15726646	+	0.000	0.000	Merged-chr6-15726718-35
NR219--MA0089.1.MAFG::NFE2L1	chr1	62829929	62829934	-	0.000	0.000	Merged-chr1-62829921-36
NR3409--MA0117.2.Mafb	chr13	93340894	93340905	+	0.000	0.000	Merged-chr13-93341062-38
NR4441--MA0089.1.MAFG::NFE2L1	chr15	81872346	81872351	-	0.000	0.000	Merged-chr15-81872198-88
NR6242--MA0496.2.MAFK	chr19	58104747	58104765	-	0.000	0.000	Merged-chr19-58104736-34
NR11891--MA0591.1.Bach1::Mafk	chr9	45241507	45241521	+	0.000	0.000	Merged-chr9-45241570-21
NR9747--MA0659.1.MAFG	chr6	54775914	54775934	-	0.000	0.000	Merged-chr6-54775842-27
NR7140--MA0495.2.MAFF	chr2	150840384	150840404	+	0.000	0.000	Merged-chr2-150840392-23
NR9765--MA0659.1.MAFG	chr6	59411873	59411893	-	0.000	0.000	Merged-chr6-59411943-3
NR7166--MA0089.1.MAFG::NFE2L1	chr2	152787725	152787730	-	0.000	0.000	Merged-chr2-152787799-43
NR7524--MA0501.1.MAF::NFE2	chr3	28244543	28244557	+	0.000	0.000	Merged-chr3-28244555-21
NR6425--MA0501.1.MAF::NFE2	chr2	32867502	32867516	-	0.000	0.000	Merged-chr2-32867635-14
NR5598--MA0089.1.MAFG::NFE2L1	chr18	23734842	23734847	-	0.000	0.000	Merged-chr18-23734973-16
NR5157--MA0496.2.MAFK	chr17	24344785	24344803	-	0.000	0.000	Merged-chr17-24344874-27
NR6460--MA0591.1.Bach1::Mafk	chr2	34945759	34945773	-	0.000	0.000	Merged-chr2-34945759-18
NR4911--MA0591.1.Bach1::Mafk	chr16	84496931	84496945	-	0.000	0.000	Merged-chr16-84496971-26
NR6135--MA0089.1.MAFG::NFE2L1	chr19	41366698	41366703	-	0.000	0.000	Merged-chr19-41366765-21
NR1653--MA0089.1.MAFG::NFE2L1	chr10	122748520	122748525	+	0.000	0.000	Merged-chr10-122748643-28
NR66--MA0089.1.MAFG::NFE2L1	chr1	21618845	21618850	-	0.000	0.000	Merged-chr1-21618952-34
NR7460--MA0591.1.Bach1::Mafk	chr2	180732251	180732265	-	0.000	0.000	Merged-chr2-180732168-28
NR2313--MA0591.1.Bach1::Mafk	chr11	107875959	107875973	-	0.000	0.000	Merged-chr11-107875991-6
NR3449--MA0089.1.MAFG::NFE2L1	chr13	99148688	99148693	-	0.000	0.000	Merged-chr13-99148566-18
NR6297--MA0495.2.MAFF	chr2	3742585	3742605	-	0.000	0.000	Merged-chr2-3742681-34
NR9323--MA0089.1.MAFG::NFE2L1	chr5	112242535	112242540	+	0.000	0.000	Merged-chr5-112242517-49
NR9508--MA0496.2.MAFK	chr5	146655356	146655374	+	0.000	0.000	Merged-chr5-146655552-37
NR12156--MA0495.2.MAFF	chr9	89221266	89221286	-	0.000	0.000	Merged-chr9-89221104-50
NR502--MA0089.1.MAFG::NFE2L1	chr1	131000553	131000558	+	0.000	0.000	Merged-chr1-131000577-8
NR9523--MA0089.1.MAFG::NFE2L1	chr5	148715044	148715049	-	0.000	0.000	Merged-chr5-148715169-40
NR8161--MA0591.1.Bach1::Mafk	chr4	24569253	24569267	-	0.000	0.000	Merged-chr4-24569297-30
NR11760--MA0495.2.MAFF	chr8	127973399	127973419	-	0.000	0.000	Merged-chr8-127973425-20
NR4209--MA0117.2.Mafb	chr15	38122314	38122325	+	0.000	0.000	Merged-chr15-38122272-49
