#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR6494--MA1421.1.TCF7L1	chr4	149515888	149515899	+	0.000	0.000	Merged-chr4-149515822-34
NR4145--MA1421.1.TCF7L1	chr18	55055769	55055780	-	0.000	0.000	Merged-chr18-55055827-13
NR1078--MA1421.1.TCF7L1	chr10	91138671	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR4658--MA0769.1.Tcf7	chr2	35412344	35412355	-	0.000	0.000	Merged-chr2-35412302-68
NR2935--MA0769.1.Tcf7	chr14	103363339	103363350	-	0.000	0.000	Merged-chr14-103363341-36
NR3325--MA1421.1.TCF7L1	chr15	99643928	99643939	-	0.000	0.000	Merged-chr15-99643998-26
NR3000--MA0523.1.TCF7L2	chr14	122187101	122187114	-	0.000	0.000	Merged-chr14-122187060-26
NR7283--MA0769.1.Tcf7	chr6	82744605	82744616	+	0.000	0.000	Merged-chr6-82744737-54
NR876--MA0523.1.TCF7L2	chr10	44821926	44821939	+	0.000	0.000	Merged-chr10-44821803-43
NR8812--MA0769.1.Tcf7	chr9	85671681	85671692	+	0.000	0.000	Merged-chr9-85671881-60
NR6296--MA1421.1.TCF7L1	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR1582--MA0523.1.TCF7L2	chr11	102408715	102408728	+	0.000	0.000	Merged-chr11-102408513-28
NR8293--MA0769.1.Tcf7	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR1593--MA1421.1.TCF7L1	chr11	106493442	106493453	-	0.000	0.000	Merged-chr11-106493297-20
NR1241--MA1421.1.TCF7L1	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR8105--MA1421.1.TCF7L1	chr7	142056828	142056839	+	0.000	0.000	Merged-chr7-142056944-50
NR4258--MA0523.1.TCF7L2	chr18	75392385	75392398	+	0.000	0.000	Merged-chr18-75392555-48
NR3320--MA1421.1.TCF7L1	chr15	99030199	99030210	-	0.000	0.000	Merged-chr15-99030209-74
NR7571--MA0769.1.Tcf7	chr6	142451678	142451689	+	0.000	0.000	Merged-chr6-142451587-10
NR6902--MA0769.1.Tcf7	chr5	118465205	118465216	+	0.000	0.000	Merged-chr5-118465239-56
NR1514--MA0523.1.TCF7L2	chr11	87935640	87935653	+	0.000	0.000	Merged-chr11-87935646-41
NR8657--MA0769.1.Tcf7	chr9	50852881	50852892	-	0.000	0.000	Merged-chr9-50852835-21
NR3091--MA1421.1.TCF7L1	chr15	35529605	35529616	-	0.000	0.000	Merged-chr15-35529547-26
NR830--MA0769.1.Tcf7	chr10	28564338	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR1079--MA0523.1.TCF7L2	chr10	91138669	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR3930--MA1421.1.TCF7L1	chr17	73952218	73952229	+	0.000	0.000	Merged-chr17-73952254-58
NR7044--MA0769.1.Tcf7	chr6	5147853	5147864	+	0.000	0.000	Merged-chr6-5148035-17
NR5312--MA0769.1.Tcf7	chr2	168429802	168429813	+	0.000	0.000	Merged-chr2-168429700-17
NR6394--MA1421.1.TCF7L1	chr4	126195019	126195030	+	0.000	0.000	Merged-chr4-126195101-15
NR2363--MA0523.1.TCF7L2	chr13	73737018	73737031	-	0.000	0.000	Merged-chr13-73737138-53
NR1255--MA0523.1.TCF7L2	chr10	120193465	120193478	+	0.000	0.000	Merged-chr10-120193454-50
