#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR51500--MA0599.1.KLF5	chr6	14900922	14900931	-	0.000	0.000	Merged-chr6-14901186-100
NR39123--MA1107.1.KLF9	chr3	65352868	65352880	-	0.000	0.000	Merged-chr3-65352895-35
NR43729--MA1107.1.KLF9	chr4	88912396	88912408	-	0.000	0.000	Merged-chr4-88912378-27
NR67026--MA0493.1.Klf1	chrX	9202980	9202990	-	0.000	0.000	Merged-chrX-9203018-6
NR13657--MA0599.1.KLF5	chr12	55080146	55080155	+	0.000	0.000	Merged-chr12-55079958-2
NR56690--MA0657.1.KLF13	chr7	47104244	47104261	-	0.000	0.000	Merged-chr7-47104097-36
NR58436--MA0657.1.KLF13	chr7	116504217	116504234	+	0.000	0.000	Merged-chr7-116504406-66
NR5192--MA1107.1.KLF9	chr10	26373344	26373356	+	0.000	0.000	Merged-chr10-26373188-33
NR11319--MA0039.3.KLF4	chr11	88595770	88595780	+	0.000	0.000	Merged-chr11-88595910-28
NR65398--MA0741.1.KLF16	chr9	94607624	94607634	-	0.000	0.000	Merged-chr9-94607543-65
NR56917--MA1107.1.KLF9	chr7	64012074	64012086	-	0.000	0.000	Merged-chr7-64011985-78
NR52468--MA1107.1.KLF9	chr6	65662241	65662253	+	0.000	0.000	Merged-chr6-65662238-38
NR6919--MA0599.1.KLF5	chr10	84440818	84440827	-	0.000	0.000	Merged-chr10-84440807-71
NR63812--MA1107.1.KLF9	chr9	37236226	37236238	-	0.000	0.000	Merged-chr9-37236124-32
NR35668--MA1107.1.KLF9	chr2	112240497	112240509	+	0.000	0.000	Merged-chr2-112240570-1
NR9517--MA0741.1.KLF16	chr11	46275395	46275405	-	0.000	0.000	Merged-chr11-46275497-31
NR41012--MA1107.1.KLF9	chr3	130894553	130894565	-	0.000	0.000	Merged-chr3-130894407-22
NR5481--MA0742.1.Klf12	chr10	43706476	43706490	-	0.000	0.000	Merged-chr10-43706280-54
NR17457--MA0599.1.KLF5	chr13	95524227	95524236	+	0.000	0.000	Merged-chr13-95524264-2
NR56745--MA0741.1.KLF16	chr7	49494957	49494967	+	0.000	0.000	Merged-chr7-49494921-17
NR28453--MA0741.1.KLF16	chr17	80418992	80419002	+	0.000	0.000	Merged-chr17-80418993-27
NR41358--MA0599.1.KLF5	chr3	138163030	138163039	-	0.000	0.000	Merged-chr3-138162869-22
NR31584--MA0742.1.Klf12	chr19	17268912	17268926	+	0.000	0.000	Merged-chr19-17268849-24
NR51845--MA0599.1.KLF5	chr6	37564039	37564048	+	0.000	0.000	Merged-chr6-37564158-19
NR29868--MA0493.1.Klf1	chr18	58677039	58677049	+	0.000	0.000	Merged-chr18-58676991-24
NR52463--MA0740.1.KLF14	chr6	65662241	65662254	+	0.000	0.000	Merged-chr6-65662238-38
NR57932--MA0599.1.KLF5	chr7	102347595	102347604	+	0.000	0.000	Merged-chr7-102347477-20
NR64446--MA0493.1.Klf1	chr9	61754104	61754114	-	0.000	0.000	Merged-chr9-61753912-30
NR56708--MA0599.1.KLF5	chr7	48137407	48137416	+	0.000	0.000	Merged-chr7-48137318-1
NR34942--MA0599.1.KLF5	chr2	77277806	77277815	-	0.000	0.000	Merged-chr2-77277826-6
NR61768--MA0599.1.KLF5	chr8	88668753	88668762	+	0.000	0.000	Merged-chr8-88668862-52
NR2366--MA0741.1.KLF16	chr1	135818771	135818781	+	0.000	0.000	Merged-chr1-135818684-27
NR14376--MA0741.1.KLF16	chr12	87130510	87130520	+	0.000	0.000	Merged-chr12-87130424-26
NR57363--MA0493.1.Klf1	chr7	81454606	81454616	+	0.000	0.000	Merged-chr7-81454544-19
NR20794--MA0599.1.KLF5	chr14	120407058	120407067	-	0.000	0.000	Merged-chr14-120407035-22
NR28255--MA0599.1.KLF5	chr17	73246954	73246963	-	0.000	0.000	Merged-chr17-73247076-30
NR15259--MA0493.1.Klf1	chr12	112629101	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR14304--MA0599.1.KLF5	chr12	84851601	84851610	+	0.000	0.000	Merged-chr12-84851532-12
NR52527--MA0741.1.KLF16	chr6	70103427	70103437	+	0.000	0.000	Merged-chr6-70103466-27
NR21978--MA0599.1.KLF5	chr15	74667462	74667471	-	0.000	0.000	Merged-chr15-74667710-27
NR53693--MA0493.1.Klf1	chr6	116682496	116682506	-	0.000	0.000	Merged-chr6-116682504-22
NR58720--MA0740.1.KLF14	chr7	123189953	123189966	+	0.000	0.000	Merged-chr7-123189982-13
NR29837--MA0742.1.Klf12	chr18	56621014	56621028	-	0.000	0.000	Merged-chr18-56620960-32
NR65769--MA0493.1.Klf1	chr9	104373476	104373486	-	0.000	0.000	Merged-chr9-104373447-21
NR39245--MA0493.1.Klf1	chr3	69156742	69156752	-	0.000	0.000	Merged-chr3-69156652-55
NR63808--MA1107.1.KLF9	chr9	37236218	37236230	-	0.000	0.000	Merged-chr9-37236124-32
NR9859--MA0740.1.KLF14	chr11	54936433	54936446	-	0.000	0.000	Merged-chr11-54936551-30
NR15939--MA1107.1.KLF9	chr13	34046644	34046656	+	0.000	0.000	Merged-chr13-34046570-24
NR14191--MA0657.1.KLF13	chr12	81845121	81845138	-	0.000	0.000	Merged-chr12-81845150-28
NR3238--MA0599.1.KLF5	chr1	164503615	164503624	-	0.000	0.000	Merged-chr1-164503488-46
NR21095--MA1107.1.KLF9	chr15	9189908	9189920	+	0.000	0.000	Merged-chr15-9190055-23
NR60815--MA0741.1.KLF16	chr8	61606944	61606954	+	0.000	0.000	Merged-chr8-61607091-30
NR41482--MA0039.3.KLF4	chr3	143379405	143379415	+	0.000	0.000	Merged-chr3-143379316-24
NR4121--MA0741.1.KLF16	chr1	184737943	184737953	+	0.000	0.000	Merged-chr1-184738115-15
NR28703--MA0599.1.KLF5	chr17	85800116	85800125	-	0.000	0.000	Merged-chr17-85800006-20
NR18560--MA0493.1.Klf1	chr14	7929181	7929191	-	0.000	0.000	Merged-chr14-7929252-11
