#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR39324--MA0039.3.KLF4	chr2	167680327	167680337	-	0.000	0.000	Merged-chr2-167680290-50
NR25187--MA0740.1.KLF14	chr16	22265996	22266009	+	0.000	0.000	Merged-chr16-22266085-1
NR43169--MA0039.3.KLF4	chr3	137969322	137969332	+	0.000	0.000	Merged-chr3-137969157-49
NR6586--MA0039.3.KLF4	chr10	79692124	79692134	+	0.000	0.000	Merged-chr10-79692164-17
NR41163--MA0741.1.KLF16	chr3	84772124	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR1397--MA1107.1.KLF9	chr1	85250742	85250754	-	0.000	0.000	Merged-chr1-85250842-29
NR45774--MA0741.1.KLF16	chr4	101235225	101235235	+	0.000	0.000	Merged-chr4-101235092-24
NR5494--MA0742.1.Klf12	chr10	39462171	39462185	-	0.000	0.000	Merged-chr10-39462164-7
NR70760--MA0742.1.Klf12	chrY	90800451	90800465	-	0.000	0.000	Merged-chrY-90800606-25
NR57909--MA1107.1.KLF9	chr7	16891717	16891729	+	0.000	0.000	Merged-chr7-16891959-60
NR57914--MA0493.1.Klf1	chr7	16891758	16891768	+	0.000	0.000	Merged-chr7-16891959-60
NR10799--MA0742.1.Klf12	chr11	76184656	76184670	-	0.000	0.000	Merged-chr11-76184587-9
NR70764--MA0741.1.KLF16	chrY	90800454	90800464	-	0.000	0.000	Merged-chrY-90800606-25
NR35485--MA1107.1.KLF9	chr2	35690018	35690030	+	0.000	0.000	Merged-chr2-35690128-14
NR65124--MA1107.1.KLF9	chr8	122712181	122712193	-	0.000	0.000	Merged-chr8-122712057-14
NR41165--MA1107.1.KLF9	chr3	84772123	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR63504--MA1107.1.KLF9	chr8	71668273	71668285	-	0.000	0.000	Merged-chr8-71668308-31
NR14783--MA0493.1.Klf1	chr12	86800994	86801004	-	0.000	0.000	Merged-chr12-86801088-15
NR13152--MA0599.1.KLF5	chr11	119856864	119856873	+	0.000	0.000	Merged-chr11-119856710-37
NR20182--MA0741.1.KLF16	chr14	54146703	54146713	+	0.000	0.000	Merged-chr14-54146707-32
NR10535--MA1107.1.KLF9	chr11	70622563	70622575	-	0.000	0.000	Merged-chr11-70622499-26
NR47024--MA1107.1.KLF9	chr4	133843200	133843212	-	0.000	0.000	Merged-chr4-133843326-54
NR49563--MA0599.1.KLF5	chr5	64990218	64990227	-	0.000	0.000	Merged-chr5-64990076-28
NR6393--MA0741.1.KLF16	chr10	76033171	76033181	+	0.000	0.000	Merged-chr10-76033282-2
NR57912--MA0742.1.Klf12	chr7	16891758	16891772	+	0.000	0.000	Merged-chr7-16891959-60
NR58919--MA1107.1.KLF9	chr7	45025106	45025118	+	0.000	0.000	Merged-chr7-45025072-11
NR42031--MA0039.3.KLF4	chr3	106032901	106032911	-	0.000	0.000	Merged-chr3-106032862-49
NR37675--MA0493.1.Klf1	chr2	128878966	128878976	+	0.000	0.000	Merged-chr2-128879047-18
NR45768--MA0599.1.KLF5	chr4	101235225	101235234	+	0.000	0.000	Merged-chr4-101235092-24
NR55345--MA1107.1.KLF9	chr6	108512317	108512329	-	0.000	0.000	Merged-chr6-108512233-21
NR70628--MA1107.1.KLF9	chrX	169973431	169973443	+	0.000	0.000	Merged-chrX-169973362-71
NR45758--MA0741.1.KLF16	chr4	101235173	101235183	+	0.000	0.000	Merged-chr4-101235092-24
NR45772--MA0493.1.Klf1	chr4	101235224	101235234	+	0.000	0.000	Merged-chr4-101235092-24
NR66578--MA0493.1.Klf1	chr9	57577533	57577543	-	0.000	0.000	Merged-chr9-57577523-17
NR45776--MA1107.1.KLF9	chr4	101235218	101235230	+	0.000	0.000	Merged-chr4-101235092-24
NR70763--MA0493.1.Klf1	chrY	90800455	90800465	-	0.000	0.000	Merged-chrY-90800606-25
NR27814--MA0741.1.KLF16	chr17	28488304	28488314	+	0.000	0.000	Merged-chr17-28488439-21
NR60908--MA0741.1.KLF16	chr7	118798480	118798490	-	0.000	0.000	Merged-chr7-118798374-16
NR11470--MA0599.1.KLF5	chr11	90687698	90687707	-	0.000	0.000	Merged-chr11-90687520-18
NR64183--MA0741.1.KLF16	chr8	95020748	95020758	+	0.000	0.000	Merged-chr8-95020727-36
NR6585--MA0599.1.KLF5	chr10	79692123	79692132	+	0.000	0.000	Merged-chr10-79692164-17
NR12640--MA0493.1.Klf1	chr11	113187328	113187338	+	0.000	0.000	Merged-chr11-113187180-1
NR45543--MA0039.3.KLF4	chr4	89369357	89369367	+	0.000	0.000	Merged-chr4-89369224-21
NR51032--MA0599.1.KLF5	chr5	113994145	113994154	+	0.000	0.000	Merged-chr5-113994160-2
NR2690--MA1107.1.KLF9	chr1	151083936	151083948	-	0.000	0.000	Merged-chr1-151084034-24
NR57908--MA0741.1.KLF16	chr7	16891718	16891728	+	0.000	0.000	Merged-chr7-16891959-60
NR66527--MA0741.1.KLF16	chr9	56098022	56098032	+	0.000	0.000	Merged-chr9-56098023-21
NR26282--MA0741.1.KLF16	chr16	87746843	87746853	-	0.000	0.000	Merged-chr16-87746947-32
NR20175--MA0742.1.Klf12	chr14	53795319	53795333	-	0.000	0.000	Merged-chr14-53795361-42
NR23345--MA0599.1.KLF5	chr15	78926664	78926673	-	0.000	0.000	Merged-chr15-78926468-45
NR11914--MA0599.1.KLF5	chr11	98948047	98948056	+	0.000	0.000	Merged-chr11-98948156-24
NR23438--MA1107.1.KLF9	chr15	80255958	80255970	-	0.000	0.000	Merged-chr15-80256078-1
NR66511--MA1107.1.KLF9	chr9	55283730	55283742	+	0.000	0.000	Merged-chr9-55283833-16
NR65100--MA0599.1.KLF5	chr8	122561365	122561374	+	0.000	0.000	Merged-chr8-122561364-37
NR20178--MA0493.1.Klf1	chr14	53795323	53795333	-	0.000	0.000	Merged-chr14-53795361-42
NR7003--MA1107.1.KLF9	chr10	81560436	81560448	+	0.000	0.000	Merged-chr10-81560396-28
NR7120--MA0493.1.Klf1	chr10	83733823	83733833	-	0.000	0.000	Merged-chr10-83733897-13
NR57911--MA0740.1.KLF14	chr7	16891758	16891771	+	0.000	0.000	Merged-chr7-16891959-60
NR15149--MA1107.1.KLF9	chr12	100901127	100901139	+	0.000	0.000	Merged-chr12-100901378-37
NR25420--MA0741.1.KLF16	chr16	33745250	33745260	-	0.000	0.000	Merged-chr16-33745427-22
NR2686--MA0039.3.KLF4	chr1	151083944	151083954	-	0.000	0.000	Merged-chr1-151084034-24
NR63823--MA0741.1.KLF16	chr8	84067371	84067381	-	0.000	0.000	Merged-chr8-84067412-4
NR16153--MA0657.1.KLF13	chr13	4191108	4191125	-	0.000	0.000	Merged-chr13-4191269-39
NR1396--MA0493.1.Klf1	chr1	85250744	85250754	-	0.000	0.000	Merged-chr1-85250842-29
