#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR399--MA0463.1.Bcl6	chr11	101658403	101658416	-	0.000	0.000	Merged-chr11-101658454-78
NR1442--MA0463.1.Bcl6	chr3	152886882	152886895	+	0.000	0.000	Merged-chr3-152886887-20
NR667--MA0463.1.Bcl6	chr14	54165193	54165206	+	0.000	0.000	Merged-chr14-54165125-24
NR2331--MA0463.1.Bcl6	chrX	59999515	59999528	-	0.000	0.000	Merged-chrX-59999627-14
NR788--MA0731.1.BCL6B	chr15	64246561	64246577	-	0.000	0.000	Merged-chr15-64246637-23
NR2180--MA0731.1.BCL6B	chr8	107503458	107503474	-	0.000	0.000	Merged-chr8-107503641-5
NR2116--MA0731.1.BCL6B	chr8	25264248	25264264	-	0.000	0.000	Merged-chr8-25264436-22
NR1998--MA0463.1.Bcl6	chr7	75387910	75387923	+	0.000	0.000	Merged-chr7-75388095-45
NR560--MA0463.1.Bcl6	chr13	44469934	44469947	-	0.000	0.000	Merged-chr13-44469890-10
NR364--MA0463.1.Bcl6	chr11	62185090	62185103	+	0.000	0.000	Merged-chr11-62185170-13
NR767--MA0463.1.Bcl6	chr15	38284095	38284108	+	0.000	0.000	Merged-chr15-38283996-39
NR799--MA0463.1.Bcl6	chr15	81859149	81859162	-	0.000	0.000	Merged-chr15-81858977-32
NR1275--MA0463.1.Bcl6	chr2	170355027	170355040	-	0.000	0.000	Merged-chr2-170355131-22
NR612--MA0463.1.Bcl6	chr13	104287242	104287255	-	0.000	0.000	Merged-chr13-104287389-4
NR1657--MA0731.1.BCL6B	chr5	45790284	45790300	+	0.000	0.000	Merged-chr5-45790409-20
NR969--MA0731.1.BCL6B	chr17	86506945	86506961	-	0.000	0.000	Merged-chr17-86506766-3,Merged-chr17-86507070-1
NR521--MA0731.1.BCL6B	chr12	116200612	116200628	+	0.000	0.000	Merged-chr12-116200493-21
NR183--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR765--MA0731.1.BCL6B	chr15	38122933	38122949	+	0.000	0.000	Merged-chr15-38122880-9
NR1756--MA0463.1.Bcl6	chr5	138155798	138155811	-	0.000	0.000	Merged-chr5-138155756-50
NR2076--MA0463.1.Bcl6	chr7	130812771	130812784	-	0.000	0.000	Merged-chr7-130812664-20
NR436--MA0731.1.BCL6B	chr12	30557461	30557477	-	0.000	0.000	Merged-chr12-30557589-12
NR1307--MA0463.1.Bcl6	chr3	37605793	37605806	-	0.000	0.000	Merged-chr3-37605967-27
