#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR358--MA0463.1.Bcl6	chr11	57912017	57912030	+	0.000	0.000	Merged-chr11-57911963-18
NR1832--MA0463.1.Bcl6	chr6	70774131	70774144	+	0.000	0.000	Merged-chr6-70773985-19
NR806--MA0463.1.Bcl6	chr15	97374078	97374091	-	0.000	0.000	Merged-chr15-97373973-3
NR2157--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR399--MA0463.1.Bcl6	chr11	101658403	101658416	-	0.000	0.000	Merged-chr11-101658454-78
NR744--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR1669--MA0731.1.BCL6B	chr5	65867462	65867478	-	0.000	0.000	Merged-chr5-65867573-52
NR1547--MA0463.1.Bcl6	chr4	107006366	107006379	-	0.000	0.000	Merged-chr4-107006366-21
NR548--MA0463.1.Bcl6	chr13	23757203	23757216	+	0.000	0.000	Merged-chr13-23757090-56
NR1181--MA0731.1.BCL6B	chr2	79005093	79005109	-	0.000	0.000	Merged-chr2-79004997-23
NR208--MA0463.1.Bcl6	chr1	191480275	191480288	-	0.000	0.000	Merged-chr1-191480137-17
NR968--MA0731.1.BCL6B	chr17	86323625	86323641	-	0.000	0.000	Merged-chr17-86323453-65
NR374--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
