#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR1529--MA0768.1.LEF1	chr8	111449918	111449932	+	0.000	0.000	Merged-chr8-111449964-18
NR758--MA0768.1.LEF1	chr18	53904318	53904332	+	0.000	0.000	Merged-chr18-53904421-2
NR418--MA0768.1.LEF1	chr13	12927707	12927721	+	0.000	0.000	Merged-chr13-12927520-1
NR1319--MA0768.1.LEF1	chr6	91617437	91617451	+	0.000	0.000	Merged-chr6-91617404-38
NR678--MA0768.1.LEF1	chr16	95869617	95869631	+	0.000	0.000	Merged-chr16-95869616-44
NR1136--MA0768.1.LEF1	chr4	123588952	123588966	-	0.000	0.000	Merged-chr4-123588937-38
NR715--MA0768.1.LEF1	chr17	52592021	52592035	-	0.000	0.000	Merged-chr17-52591988-50
NR31--MA0768.1.LEF1	chr1	80441128	80441142	+	0.000	0.000	Merged-chr1-80441020-53
NR555--MA0768.1.LEF1	chr14	121992791	121992805	-	0.000	0.000	Merged-chr14-121992584-62
NR1456--MA0768.1.LEF1	chr7	116608585	116608599	+	0.000	0.000	Merged-chr7-116608604-50
NR1246--MA0768.1.LEF1	chr5	111235797	111235811	-	0.000	0.000	Merged-chr5-111235959-11
NR722--MA0768.1.LEF1	chr17	64755349	64755363	+	0.000	0.000	Merged-chr17-64755359-24
NR843--MA0768.1.LEF1	chr2	17861893	17861907	+	0.000	0.000	Merged-chr2-17861880-15
NR562--MA0768.1.LEF1	chr15	9533555	9533569	+	0.000	0.000	Merged-chr15-9533546-44
NR889--MA0768.1.LEF1	chr2	93468991	93469005	-	0.000	0.000	Merged-chr2-93469030-22
NR106--MA0768.1.LEF1	chr1	163374838	163374852	+	0.000	0.000	Merged-chr1-163374764-34
NR585--MA0768.1.LEF1	chr15	59010889	59010903	-	0.000	0.000	Merged-chr15-59010782-34
NR944--MA0768.1.LEF1	chr2	151944250	151944264	+	0.000	0.000	Merged-chr2-151944383-43
NR295--MA0768.1.LEF1	chr11	104158012	104158026	-	0.000	0.000	Merged-chr11-104158136-14
NR980--MA0768.1.LEF1	chr3	58517234	58517248	+	0.000	0.000	Merged-chr3-58517381-43
NR1420--MA0768.1.LEF1	chr7	83852807	83852821	+	0.000	0.000	Merged-chr7-83852721-40
NR28--MA0768.1.LEF1	chr1	74807057	74807071	-	0.000	0.000	Merged-chr1-74806913-73
NR538--MA0768.1.LEF1	chr14	79236620	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR476--MA0768.1.LEF1	chr13	103357024	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR746--MA0768.1.LEF1	chr18	32543278	32543292	-	0.000	0.000	Merged-chr18-32543284-47
