#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR1288--MA0508.2.PRDM1	chr3	19240100	19240109	-	0.000	0.000	Merged-chr3-19240113-21
NR1927--MA0508.2.PRDM1	chr7	119842263	119842272	-	0.000	0.000	Merged-chr7-119842164-15
NR1874--MA0508.2.PRDM1	chr7	64228656	64228665	+	0.000	0.000	Merged-chr7-64228536-6
NR1003--MA0508.2.PRDM1	chr18	80496025	80496034	-	0.000	0.000	Merged-chr18-80495918-16
NR1330--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR1749--MA0508.2.PRDM1	chr6	94646499	94646508	-	0.000	0.000	Merged-chr6-94646597-32
NR764--MA0508.2.PRDM1	chr15	94565076	94565085	-	0.000	0.000	Merged-chr15-94565077-32
NR1149--MA0508.2.PRDM1	chr2	75685510	75685519	-	0.000	0.000	Merged-chr2-75685689-38
NR334--MA0508.2.PRDM1	chr11	51636452	51636461	-	0.000	0.000	Merged-chr11-51636554-3
NR727--MA0508.2.PRDM1	chr15	12856971	12856980	-	0.000	0.000	Merged-chr15-12856981-25
NR1291--MA0508.2.PRDM1	chr3	22041037	22041046	-	0.000	0.000	Merged-chr3-22040885-32
NR620--MA0508.2.PRDM1	chr13	117033923	117033932	+	0.000	0.000	Merged-chr13-117034098-43
NR1666--MA0508.2.PRDM1	chr5	124022579	124022588	+	0.000	0.000	Merged-chr5-124022476-27
NR994--MA0508.2.PRDM1	chr18	73765290	73765299	+	0.000	0.000	Merged-chr18-73765273-28
NR917--MA0508.2.PRDM1	chr17	56913711	56913720	-	0.000	0.000	Merged-chr17-56913567-28
NR1244--MA0508.2.PRDM1	chr2	150869559	150869568	+	0.000	0.000	Merged-chr2-150869596-45
NR747--MA0508.2.PRDM1	chr15	66778835	66778844	-	0.000	0.000	Merged-chr15-66778898-35
NR617--MA0508.2.PRDM1	chr13	115099460	115099469	-	0.000	0.000	Merged-chr13-115099527-3
NR1337--MA0508.2.PRDM1	chr3	84622122	84622131	+	0.000	0.000	Merged-chr3-84622230-22
NR139--MA0508.2.PRDM1	chr1	180810496	180810505	+	0.000	0.000	Merged-chr1-180810648-13
NR2107--MA0508.2.PRDM1	chr9	77806872	77806881	+	0.000	0.000	Merged-chr9-77806830-39
NR1946--MA0508.2.PRDM1	chr7	130448104	130448113	-	0.000	0.000	Merged-chr7-130448231-21
NR1503--MA0508.2.PRDM1	chr4	88692666	88692675	+	0.000	0.000	Merged-chr4-88692699-24
NR259--MA0508.2.PRDM1	chr10	96118272	96118281	-	0.000	0.000	Merged-chr10-96118246-10
NR1604--MA0508.2.PRDM1	chr5	31918817	31918826	-	0.000	0.000	Merged-chr5-31918818-43
NR1171--MA0508.2.PRDM1	chr2	103672987	103672996	-	0.000	0.000	Merged-chr2-103672845-28
NR1304--MA0508.2.PRDM1	chr3	52791142	52791151	+	0.000	0.000	Merged-chr3-52791161-46
