#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR52160--MA0599.1.KLF5	chr5	114667679	114667688	+	0.000	0.000	Merged-chr5-114667670-56
NR19435--MA0740.1.KLF14	chr14	20803632	20803645	+	0.000	0.000	Merged-chr14-20803678-27
NR46224--MA1107.1.KLF9	chr4	87669660	87669672	+	0.000	0.000	Merged-chr4-87669731-33
NR41421--MA0741.1.KLF16	chr3	79129232	79129242	-	0.000	0.000	Merged-chr3-79129160-12
NR36276--MA0657.1.KLF13	chr2	58194694	58194711	-	0.000	0.000	Merged-chr2-58194790-46
NR10923--MA0039.3.KLF4	chr11	72342369	72342379	-	0.000	0.000	Merged-chr11-72342522-29
NR67034--MA0039.3.KLF4	chr8	119927824	119927834	+	0.000	0.000	Merged-chr8-119927830-10
NR33185--MA0599.1.KLF5	chr19	7294696	7294705	-	0.000	0.000	Merged-chr19-7294791-1
NR58000--MA1107.1.KLF9	chr6	135150454	135150466	-	0.000	0.000	Merged-chr6-135150450-14
NR9161--MA0740.1.KLF14	chr11	4186703	4186716	-	0.000	0.000	Merged-chr11-4186832-60
NR68897--MA0741.1.KLF16	chr9	57633795	57633805	+	0.000	0.000	Merged-chr9-57633729-59
NR58818--MA0741.1.KLF16	chr7	4777043	4777053	-	0.000	0.000	Merged-chr7-4777194-35
NR66203--MA0741.1.KLF16	chr8	95349076	95349086	-	0.000	0.000	Merged-chr8-95348986-27
NR42452--MA0493.1.Klf1	chr3	103862695	103862705	+	0.000	0.000	Merged-chr3-103862515-1,Merged-chr3-103862758-3
NR56835--MA0740.1.KLF14	chr6	108426882	108426895	-	0.000	0.000	Merged-chr6-108426934-21
NR52636--MA0741.1.KLF16	chr5	123974576	123974586	-	0.000	0.000	Merged-chr5-123974757-35
NR60356--MA0599.1.KLF5	chr7	45068182	45068191	-	0.000	0.000	Merged-chr7-45068056-13
NR8686--MA1107.1.KLF9	chr10	122778137	122778149	+	0.000	0.000	Merged-chr10-122778014-1
NR13893--MA0039.3.KLF4	chr12	32999956	32999966	-	0.000	0.000	Merged-chr12-32999849-21
NR50638--MA1107.1.KLF9	chr5	64435675	64435687	+	0.000	0.000	Merged-chr5-64435633-23
NR51500--MA0493.1.Klf1	chr5	99891683	99891693	+	0.000	0.000	Merged-chr5-99891648-1
NR25518--MA0493.1.Klf1	chr16	19761928	19761938	+	0.000	0.000	Merged-chr16-19761931-27
NR31053--MA0742.1.Klf12	chr18	24653028	24653042	-	0.000	0.000	Merged-chr18-24652935-1
NR68353--MA0741.1.KLF16	chr9	41160888	41160898	-	0.000	0.000	Merged-chr9-41160864-12
NR66739--MA0741.1.KLF16	chr8	113669807	113669817	-	0.000	0.000	Merged-chr8-113669969-10
NR70376--MA0039.3.KLF4	chr9	100540495	100540505	-	0.000	0.000	Merged-chr9-100540480-23
NR68716--MA1107.1.KLF9	chr9	51162022	51162034	-	0.000	0.000	Merged-chr9-51161990-29
NR68994--MA0742.1.Klf12	chr9	59565753	59565767	-	0.000	0.000	Merged-chr9-59565831-20
NR2040--MA0741.1.KLF16	chr1	119637161	119637171	+	0.000	0.000	Merged-chr1-119636990-21
NR47589--MA0741.1.KLF16	chr4	130802168	130802178	+	0.000	0.000	Merged-chr4-130802230-25
NR19436--MA0599.1.KLF5	chr14	20803633	20803642	+	0.000	0.000	Merged-chr14-20803678-27
NR57278--MA1107.1.KLF9	chr6	120464178	120464190	+	0.000	0.000	Merged-chr6-120464092-4
NR9185--MA0741.1.KLF16	chr11	4462996	4463006	+	0.000	0.000	Merged-chr11-4463139-8
NR50692--MA1107.1.KLF9	chr5	64959356	64959368	-	0.000	0.000	Merged-chr5-64959516-90
NR72668--MA0039.3.KLF4	chrX	152327590	152327600	-	0.000	0.000	Merged-chrX-152327497-47
NR22133--MA0741.1.KLF16	chr14	122187050	122187060	+	0.000	0.000	Merged-chr14-122187060-26
NR3919--MA0599.1.KLF5	chr1	171270309	171270318	+	0.000	0.000	Merged-chr1-171270416-54
NR9124--MA0599.1.KLF5	chr11	3863942	3863951	-	0.000	0.000	Merged-chr11-3863952-34
NR70857--MA0599.1.KLF5	chr9	110880153	110880162	-	0.000	0.000	Merged-chr9-110880207-47
NR1644--MA1107.1.KLF9	chr1	90676795	90676807	+	0.000	0.000	Merged-chr1-90676812-13
NR28478--MA0039.3.KLF4	chr17	30575636	30575646	-	0.000	0.000	Merged-chr17-30575700-2
NR56836--MA0657.1.KLF13	chr6	108426879	108426896	-	0.000	0.000	Merged-chr6-108426934-21
NR10364--MA0742.1.Klf12	chr11	58199547	58199561	+	0.000	0.000	Merged-chr11-58199630-58
NR19643--MA0741.1.KLF16	chr14	27262418	27262428	+	0.000	0.000	Merged-chr14-27262535-17
NR58821--MA0740.1.KLF14	chr7	4777375	4777388	+	0.000	0.000	Merged-chr7-4777194-35
NR39934--MA0039.3.KLF4	chr2	172439941	172439951	+	0.000	0.000	Merged-chr2-172439824-1
NR61240--MA0493.1.Klf1	chr7	80911180	80911190	+	0.000	0.000	Merged-chr7-80911261-13
NR19620--MA0657.1.KLF13	chr14	26579504	26579521	+	0.000	0.000	Merged-chr14-26579365-2
NR36365--MA1107.1.KLF9	chr2	60880817	60880829	+	0.000	0.000	Merged-chr2-60880763-2
NR66208--MA0741.1.KLF16	chr8	95349081	95349091	-	0.000	0.000	Merged-chr8-95348986-27
NR32920--MA0599.1.KLF5	chr19	4302476	4302485	-	0.000	0.000	Merged-chr19-4302422-5
NR34761--MA0741.1.KLF16	chr2	5747698	5747708	-	0.000	0.000	Merged-chr2-5747765-15
NR12259--MA0493.1.Klf1	chr11	102097108	102097118	+	0.000	0.000	Merged-chr11-102097167-18
NR20490--MA0493.1.Klf1	chr14	57571485	57571495	+	0.000	0.000	Merged-chr14-57571607-60
NR33141--MA0740.1.KLF14	chr19	6839886	6839899	-	0.000	0.000	Merged-chr19-6839786-2
NR8680--MA0742.1.Klf12	chr10	122778157	122778171	+	0.000	0.000	Merged-chr10-122778014-1
NR54292--MA0599.1.KLF5	chr5	149320905	149320914	+	0.000	0.000	Merged-chr5-149320865-18
NR19622--MA0741.1.KLF16	chr14	26579506	26579516	+	0.000	0.000	Merged-chr14-26579365-2
NR43914--MA1107.1.KLF9	chr3	148221391	148221403	-	0.000	0.000	Merged-chr3-148221459-4
NR33186--MA0741.1.KLF16	chr19	7294695	7294705	-	0.000	0.000	Merged-chr19-7294791-1
NR14050--MA0599.1.KLF5	chr12	41566225	41566234	-	0.000	0.000	Merged-chr12-41566300-31
NR56114--MA0599.1.KLF5	chr6	86127094	86127103	+	0.000	0.000	Merged-chr6-86127203-6
NR9158--MA0740.1.KLF14	chr11	4186661	4186674	+	0.000	0.000	Merged-chr11-4186832-60
NR76--MA0740.1.KLF14	chr1	11229579	11229592	+	0.000	0.000	Merged-chr1-11229597-37
NR49022--MA0599.1.KLF5	chr4	154964947	154964956	+	0.000	0.000	Merged-chr4-154964941-1
NR9183--MA0599.1.KLF5	chr11	4462996	4463005	+	0.000	0.000	Merged-chr11-4463139-8
NR62241--MA0493.1.Klf1	chr7	115416123	115416133	-	0.000	0.000	Merged-chr7-115416169-1
NR30522--MA0741.1.KLF16	chr17	84860066	84860076	+	0.000	0.000	Merged-chr17-84860120-51
NR6985--MA0740.1.KLF14	chr10	79997316	79997329	+	0.000	0.000	Merged-chr10-79997412-19
NR33304--MA0657.1.KLF13	chr19	10742350	10742367	+	0.000	0.000	Merged-chr19-10742399-21
NR22231--MA1107.1.KLF9	chr15	3234341	3234353	+	0.000	0.000	Merged-chr15-3234376-31
NR37036--MA0599.1.KLF5	chr2	91652059	91652068	-	0.000	0.000	Merged-chr2-91651948-3
NR19700--MA1107.1.KLF9	chr14	30014619	30014631	-	0.000	0.000	Merged-chr14-30014704-42
NR41427--MA0599.1.KLF5	chr3	79178357	79178366	+	0.000	0.000	Merged-chr3-79178280-26
NR859--MA0742.1.Klf12	chr1	58953882	58953896	+	0.000	0.000	Merged-chr1-58953999-17
NR17825--MA0741.1.KLF16	chr13	85505188	85505198	-	0.000	0.000	Merged-chr13-85505133-53
NR66734--MA0740.1.KLF14	chr8	113669799	113669812	-	0.000	0.000	Merged-chr8-113669969-10
NR52010--MA0599.1.KLF5	chr5	112377672	112377681	-	0.000	0.000	Merged-chr5-112377578-21
NR42770--MA0741.1.KLF16	chr3	115897929	115897939	+	0.000	0.000	Merged-chr3-115897908-5
NR16636--MA0039.3.KLF4	chr13	38958320	38958330	+	0.000	0.000	Merged-chr13-38958304-24
NR2938--MA0657.1.KLF13	chr1	150465583	150465600	+	0.000	0.000	Merged-chr1-150465561-21
NR1803--MA0599.1.KLF5	chr1	94825287	94825296	+	0.000	0.000	Merged-chr1-94825382-1
NR41426--MA1107.1.KLF9	chr3	79129206	79129218	-	0.000	0.000	Merged-chr3-79129160-12
NR38362--MA1107.1.KLF9	chr2	132230555	132230567	-	0.000	0.000	Merged-chr2-132230330-32
NR18852--MA1107.1.KLF9	chr13	114280929	114280941	-	0.000	0.000	Merged-chr13-114280997-1
NR6343--MA0493.1.Klf1	chr10	63381571	63381581	+	0.000	0.000	Merged-chr10-63381719-30
NR31052--MA0740.1.KLF14	chr18	24653029	24653042	-	0.000	0.000	Merged-chr18-24652935-1
NR57998--MA0741.1.KLF16	chr6	135150459	135150469	-	0.000	0.000	Merged-chr6-135150450-14
NR65838--MA0493.1.Klf1	chr8	84073834	84073844	+	0.000	0.000	Merged-chr8-84073681-60
NR23795--MA0741.1.KLF16	chr15	80233884	80233894	-	0.000	0.000	Merged-chr15-80233973-50
NR18850--MA0741.1.KLF16	chr13	114280930	114280940	-	0.000	0.000	Merged-chr13-114280997-1
NR28408--MA0741.1.KLF16	chr17	29264986	29264996	+	0.000	0.000	Merged-chr17-29264893-3
NR3665--MA0599.1.KLF5	chr1	165730350	165730359	+	0.000	0.000	Merged-chr1-165730262-25
NR21101--MA0741.1.KLF16	chr14	76001937	76001947	-	0.000	0.000	Merged-chr14-76001968-11
NR71429--MA0599.1.KLF5	chr9	121455129	121455138	+	0.000	0.000	Merged-chr9-121454962-55
NR77--MA0657.1.KLF13	chr1	11229578	11229595	+	0.000	0.000	Merged-chr1-11229597-37
NR13031--MA0741.1.KLF16	chr11	117326033	117326043	-	0.000	0.000	Merged-chr11-117325818-58
NR49023--MA0741.1.KLF16	chr4	154964935	154964945	+	0.000	0.000	Merged-chr4-154964941-1
NR62963--MA0599.1.KLF5	chr7	128690437	128690446	-	0.000	0.000	Merged-chr7-128690319-14
NR53220--MA1107.1.KLF9	chr5	134373283	134373295	+	0.000	0.000	Merged-chr5-134373166-2
NR25469--MA0740.1.KLF14	chr16	18066414	18066427	-	0.000	0.000	Merged-chr16-18066490-64
NR28663--MA0039.3.KLF4	chr17	34127650	34127660	+	0.000	0.000	Merged-chr17-34127670-6
NR16355--MA1107.1.KLF9	chr13	24547217	24547229	-	0.000	0.000	Merged-chr13-24547194-39
NR4162--MA0742.1.Klf12	chr1	178777942	178777956	+	0.000	0.000	Merged-chr1-178777930-3
NR26091--MA0599.1.KLF5	chr16	44337718	44337727	-	0.000	0.000	Merged-chr16-44337753-20
NR57272--MA0599.1.KLF5	chr6	120464185	120464194	+	0.000	0.000	Merged-chr6-120464092-4
NR12797--MA1107.1.KLF9	chr11	114813032	114813044	+	0.000	0.000	Merged-chr11-114812922-18
NR10520--MA0599.1.KLF5	chr11	61660913	61660922	-	0.000	0.000	Merged-chr11-61660971-31
NR16216--MA0039.3.KLF4	chr13	13531063	13531073	-	0.000	0.000	Merged-chr13-13531086-27
NR31787--MA0599.1.KLF5	chr18	61399028	61399037	+	0.000	0.000	Merged-chr18-61398839-2
NR46223--MA0493.1.Klf1	chr4	87669660	87669670	+	0.000	0.000	Merged-chr4-87669731-33
NR42775--MA0741.1.KLF16	chr3	115897934	115897944	+	0.000	0.000	Merged-chr3-115897908-5
NR58568--MA0599.1.KLF5	chr6	145135523	145135532	+	0.000	0.000	Merged-chr6-145135361-11
NR50749--MA0599.1.KLF5	chr5	65929299	65929308	+	0.000	0.000	Merged-chr5-65929353-41
NR58567--MA0742.1.Klf12	chr6	145135517	145135531	+	0.000	0.000	Merged-chr6-145135361-11
NR5420--MA0599.1.KLF5	chr10	22149877	22149886	-	0.000	0.000	Merged-chr10-22149944-1
NR14606--MA0493.1.Klf1	chr12	76596421	76596431	-	0.000	0.000	Merged-chr12-76596548-12
NR61662--MA1107.1.KLF9	chr7	98995321	98995333	-	0.000	0.000	Merged-chr7-98995432-21
NR68383--MA0493.1.Klf1	chr9	42423777	42423787	+	0.000	0.000	Merged-chr9-42423784-11
NR68475--MA0740.1.KLF14	chr9	44708540	44708553	-	0.000	0.000	Merged-chr9-44708535-22
NR19760--MA0493.1.Klf1	chr14	30675196	30675206	-	0.000	0.000	Merged-chr14-30675172-26
NR42011--MA1107.1.KLF9	chr3	95523794	95523806	+	0.000	0.000	Merged-chr3-95523820-51
NR40176--MA1107.1.KLF9	chr2	178891691	178891703	+	0.000	0.000	Merged-chr2-178891686-1
