#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR479--MA0463.1.Bcl6	chr12	118411158	118411171	+	0.000	0.000	Merged-chr12-118411153-21
NR1953--MA0463.1.Bcl6	chr8	110813182	110813195	-	0.000	0.000	Merged-chr8-110813191-16
NR22--MA0731.1.BCL6B	chr1	53843227	53843243	+	0.000	0.000	Merged-chr1-53843171-20
NR1690--MA0463.1.Bcl6	chr6	114916515	114916528	+	0.000	0.000	Merged-chr6-114916622-10
NR845--MA0463.1.Bcl6	chr17	44121575	44121588	+	0.000	0.000	Merged-chr17-44121634-62
NR376--MA0731.1.BCL6B	chr11	110911232	110911248	-	0.000	0.000	Merged-chr11-110911126-2
NR313--MA0463.1.Bcl6	chr11	53324630	53324643	-	0.000	0.000	Merged-chr11-53324720-33
NR1992--MA0731.1.BCL6B	chr9	32906412	32906428	+	0.000	0.000	Merged-chr9-32906573-43
NR1445--MA0463.1.Bcl6	chr4	133843311	133843324	+	0.000	0.000	Merged-chr4-133843326-54
NR329--MA0731.1.BCL6B	chr11	64047672	64047688	+	0.000	0.000	Merged-chr11-64047597-23
NR846--MA0463.1.Bcl6	chr17	44121573	44121586	-	0.000	0.000	Merged-chr17-44121634-62
NR1452--MA0463.1.Bcl6	chr4	138259675	138259688	+	0.000	0.000	Merged-chr4-138259629-9
NR1573--MA0731.1.BCL6B	chr5	124022443	124022459	+	0.000	0.000	Merged-chr5-124022476-27
NR1063--MA0731.1.BCL6B	chr2	53102298	53102314	+	0.000	0.000	Merged-chr2-53102302-39
NR1788--MA0731.1.BCL6B	chr7	64228657	64228673	+	0.000	0.000	Merged-chr7-64228536-6
NR721--MA0731.1.BCL6B	chr15	78896369	78896385	+	0.000	0.000	Merged-chr15-78896310-38
NR1908--MA0463.1.Bcl6	chr8	46753129	46753142	+	0.000	0.000	Merged-chr8-46753180-8
NR847--MA0463.1.Bcl6	chr17	44121610	44121623	-	0.000	0.000	Merged-chr17-44121634-62
NR1691--MA0731.1.BCL6B	chr6	114916512	114916528	-	0.000	0.000	Merged-chr6-114916622-10
NR557--MA0463.1.Bcl6	chr13	99148491	99148504	+	0.000	0.000	Merged-chr13-99148566-18
NR1954--MA0731.1.BCL6B	chr8	110813182	110813198	+	0.000	0.000	Merged-chr8-110813191-16
NR1602--MA0463.1.Bcl6	chr5	143485210	143485223	-	0.000	0.000	Merged-chr5-143485209-17
NR1563--MA0463.1.Bcl6	chr5	117107521	117107534	+	0.000	0.000	Merged-chr5-117107665-16
NR831--MA0731.1.BCL6B	chr17	27027834	27027850	-	0.000	0.000	Merged-chr17-27027661-33
NR1909--MA0731.1.BCL6B	chr8	46753126	46753142	-	0.000	0.000	Merged-chr8-46753180-8
NR571--MA0463.1.Bcl6	chr13	107866946	107866959	-	0.000	0.000	Merged-chr13-107866970-30
NR1244--MA0463.1.Bcl6	chr3	86961080	86961093	+	0.000	0.000	Merged-chr3-86961231-31
NR1392--MA0463.1.Bcl6	chr4	82365045	82365058	+	0.000	0.000	Merged-chr4-82365199-20
NR1070--MA0463.1.Bcl6	chr2	60880863	60880876	+	0.000	0.000	Merged-chr2-60880763-2
NR841--MA0463.1.Bcl6	chr17	35673883	35673896	+	0.000	0.000	Merged-chr17-35673774-49
NR1179--MA0731.1.BCL6B	chr2	168007320	168007336	-	0.000	0.000	Merged-chr2-168007422-8
NR719--MA0463.1.Bcl6	chr15	78475676	78475689	+	0.000	0.000	Merged-chr15-78475824-65
NR1629--MA0463.1.Bcl6	chr6	29271104	29271117	+	0.000	0.000	Merged-chr6-29271103-44
NR1683--MA0463.1.Bcl6	chr6	108512120	108512133	+	0.000	0.000	Merged-chr6-108512233-21
