#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR12854--MA0742.1.Klf12	chr12	16580526	16580540	-	0.000	0.000	Merged-chr12-16580677-15
NR9875--MA0599.1.KLF5	chr11	69581607	69581616	-	0.000	0.000	Merged-chr11-69581385-45
NR7556--MA0493.1.Klf1	chr10	117969969	117969979	-	0.000	0.000	Merged-chr10-117970017-9
NR9874--MA0742.1.Klf12	chr11	69581603	69581617	-	0.000	0.000	Merged-chr11-69581385-45
NR58542--MA0493.1.Klf1	chr8	11107241	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR42141--MA0742.1.Klf12	chr4	46565804	46565818	+	0.000	0.000	Merged-chr4-46565631-17
NR45447--MA0741.1.KLF16	chr4	155198029	155198039	+	0.000	0.000	Merged-chr4-155197948-31
NR38822--MA0741.1.KLF16	chr3	88831933	88831943	-	0.000	0.000	Merged-chr3-88831913-99
NR385--MA0599.1.KLF5	chr1	37541074	37541083	+	0.000	0.000	Merged-chr1-37541062-55
NR9996--MA0599.1.KLF5	chr11	70622679	70622688	+	0.000	0.000	Merged-chr11-70622499-26
NR19510--MA1107.1.KLF9	chr14	67951870	67951882	+	0.000	0.000	Merged-chr14-67951902-1
NR1953--MA0599.1.KLF5	chr1	131000513	131000522	+	0.000	0.000	Merged-chr1-131000577-8
NR60566--MA0599.1.KLF5	chr8	106007462	106007471	-	0.000	0.000	Merged-chr8-106007407-44
NR63276--MA0599.1.KLF5	chr9	66599824	66599833	-	0.000	0.000	Merged-chr9-66599878-25
NR9671--MA0740.1.KLF14	chr11	61762193	61762206	-	0.000	0.000	Merged-chr11-61762062-61
NR4550--MA1107.1.KLF9	chr10	8370347	8370359	+	0.000	0.000	Merged-chr10-8370203-10
