#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR152--MA0463.1.Bcl6	chr1	175672120	175672133	-	0.000	0.000	Merged-chr1-175671979-22
NR2048--MA0731.1.BCL6B	chr9	75209477	75209493	+	0.000	0.000	Merged-chr9-75209368-16
NR30--MA0731.1.BCL6B	chr1	69498973	69498989	+	0.000	0.000	Merged-chr1-69499196-51
NR1985--MA0463.1.Bcl6	chr8	125671540	125671553	-	0.000	0.000	Merged-chr8-125671496-12
NR38--MA0463.1.Bcl6	chr1	80855201	80855214	+	0.000	0.000	Merged-chr1-80855392-26
NR1677--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR724--MA0731.1.BCL6B	chr15	9435904	9435920	-	0.000	0.000	Merged-chr15-9435954-24
NR1024--MA0463.1.Bcl6	chr19	30924257	30924270	-	0.000	0.000	Merged-chr19-30924347-34
NR813--MA0463.1.Bcl6	chr16	45756938	45756951	+	0.000	0.000	Merged-chr16-45757061-23
NR1074--MA0463.1.Bcl6	chr2	35464679	35464692	+	0.000	0.000	Merged-chr2-35464612-20
NR2164--MA0463.1.Bcl6	chrX	159899267	159899280	-	0.000	0.000	Merged-chrX-159899215-24
NR1319--MA0731.1.BCL6B	chr3	109747806	109747822	-	0.000	0.000	Merged-chr3-109747952-27
NR747--MA0463.1.Bcl6	chr15	61541268	61541281	+	0.000	0.000	Merged-chr15-61541070-57
NR342--MA0731.1.BCL6B	chr11	69766431	69766447	-	0.000	0.000	Merged-chr11-69766217-75
NR408--MA0731.1.BCL6B	chr12	24600668	24600684	+	0.000	0.000	Merged-chr12-24600687-58
NR555--MA0463.1.Bcl6	chr13	60744305	60744318	-	0.000	0.000	Merged-chr13-60744325-32
NR309--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR591--MA0463.1.Bcl6	chr13	92671874	92671887	+	0.000	0.000	Merged-chr13-92671922-24
NR233--MA0463.1.Bcl6	chr10	75417577	75417590	-	0.000	0.000	Merged-chr10-75417748-37
NR251--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR2041--MA0463.1.Bcl6	chr9	70310173	70310186	-	0.000	0.000	Merged-chr9-70310142-32
NR665--MA0463.1.Bcl6	chr14	53134927	53134940	-	0.000	0.000	Merged-chr14-53134979-28
NR1593--MA0463.1.Bcl6	chr5	100929782	100929795	+	0.000	0.000	Merged-chr5-100929891-31
NR1388--MA0463.1.Bcl6	chr3	155235647	155235660	+	0.000	0.000	Merged-chr3-155235663-12
NR1302--MA0731.1.BCL6B	chr3	103780524	103780540	-	0.000	0.000	Merged-chr3-103780443-3
NR1968--MA0731.1.BCL6B	chr8	114986155	114986171	+	0.000	0.000	Merged-chr8-114986195-32
NR2026--MA0731.1.BCL6B	chr9	58542126	58542142	-	0.000	0.000	Merged-chr9-58542052-13
NR2147--MA0463.1.Bcl6	chrX	101369227	101369240	-	0.000	0.000	Merged-chrX-101369155-35
NR1342--MA0731.1.BCL6B	chr3	130894525	130894541	-	0.000	0.000	Merged-chr3-130894407-22
NR2119--MA0731.1.BCL6B	chr9	122241153	122241169	-	0.000	0.000	Merged-chr9-122241103-26
NR480--MA0463.1.Bcl6	chr12	104069767	104069780	+	0.000	0.000	Merged-chr12-104069872-17
NR248--MA0463.1.Bcl6	chr10	90966829	90966842	-	0.000	0.000	Merged-chr10-90966965-2
NR808--MA0463.1.Bcl6	chr16	38017094	38017107	+	0.000	0.000	Merged-chr16-38017190-20
NR450--MA0731.1.BCL6B	chr12	80887378	80887394	+	0.000	0.000	Merged-chr12-80887298-29
NR986--MA0731.1.BCL6B	chr18	69547883	69547899	-	0.000	0.000	Merged-chr18-69547959-32
NR451--MA0463.1.Bcl6	chr12	82166450	82166463	-	0.000	0.000	Merged-chr12-82166286-58
NR1254--MA0463.1.Bcl6	chr3	37738412	37738425	+	0.000	0.000	Merged-chr3-37738517-40
NR739--MA0731.1.BCL6B	chr15	54919967	54919983	-	0.000	0.000	Merged-chr15-54920011-57
NR1272--MA0463.1.Bcl6	chr3	68543285	68543298	-	0.000	0.000	Merged-chr3-68543251-15
NR1599--MA0463.1.Bcl6	chr5	105849457	105849470	-	0.000	0.000	Merged-chr5-105849504-21
NR1711--MA0463.1.Bcl6	chr6	108736369	108736382	-	0.000	0.000	Merged-chr6-108736324-30
NR556--MA0731.1.BCL6B	chr13	60744305	60744321	+	0.000	0.000	Merged-chr13-60744325-32
NR569--MA0731.1.BCL6B	chr13	73772828	73772844	+	0.000	0.000	Merged-chr13-73772920-55
NR535--MA0731.1.BCL6B	chr13	34096172	34096188	+	0.000	0.000	Merged-chr13-34096039-50
NR2148--MA0463.1.Bcl6	chrX	102071177	102071190	-	0.000	0.000	Merged-chrX-102071254-29
NR404--MA0463.1.Bcl6	chr12	16509619	16509632	+	0.000	0.000	Merged-chr12-16509548-40
NR29--MA0463.1.Bcl6	chr1	69331973	69331986	+	0.000	0.000	Merged-chr1-69331775-34
NR1341--MA0463.1.Bcl6	chr3	130894459	130894472	-	0.000	0.000	Merged-chr3-130894407-22
NR1901--MA0463.1.Bcl6	chr7	145243141	145243154	-	0.000	0.000	Merged-chr7-145243309-40
NR1792--MA0731.1.BCL6B	chr7	64158980	64158996	-	0.000	0.000	Merged-chr7-64158985-48
NR249--MA0463.1.Bcl6	chr10	91028170	91028183	+	0.000	0.000	Merged-chr10-91028217-15
NR299--MA0463.1.Bcl6	chr11	7161695	7161708	+	0.000	0.000	Merged-chr11-7161689-35
NR1415--MA0463.1.Bcl6	chr4	54527641	54527654	-	0.000	0.000	Merged-chr4-54527768-19
NR738--MA0463.1.Bcl6	chr15	54919970	54919983	+	0.000	0.000	Merged-chr15-54920011-57
NR1787--MA0463.1.Bcl6	chr7	49581544	49581557	-	0.000	0.000	Merged-chr7-49581640-7
