#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR71788--MA0741.1.KLF16	chrX	12160145	12160155	+	0.000	0.000	Merged-chrX-12160238-21
NR37283--MA0039.3.KLF4	chr2	101209305	101209315	+	0.000	0.000	Merged-chr2-101209230-18
NR24664--MA1107.1.KLF9	chr15	98927707	98927719	+	0.000	0.000	Merged-chr15-98927787-24
NR70663--MA0741.1.KLF16	chr9	107334666	107334676	+	0.000	0.000	Merged-chr9-107334469-86
NR6596--MA0493.1.Klf1	chr10	71399679	71399689	+	0.000	0.000	Merged-chr10-71399794-69
NR58795--MA0742.1.Klf12	chr7	4460696	4460710	+	0.000	0.000	Merged-chr7-4460679-27
NR45139--MA1107.1.KLF9	chr4	43044013	43044025	+	0.000	0.000	Merged-chr4-43044114-23
NR8556--MA1107.1.KLF9	chr10	120697614	120697626	+	0.000	0.000	Merged-chr10-120697518-32
NR30474--MA1107.1.KLF9	chr17	84056506	84056518	-	0.000	0.000	Merged-chr17-84056540-29
NR67174--MA0493.1.Klf1	chr8	121591461	121591471	-	0.000	0.000	Merged-chr8-121591458-17
NR58799--MA0741.1.KLF16	chr7	4460697	4460707	+	0.000	0.000	Merged-chr7-4460679-27
NR35589--MA0599.1.KLF5	chr2	30469938	30469947	+	0.000	0.000	Merged-chr2-30470096-26
NR17219--MA1107.1.KLF9	chr13	58158328	58158340	-	0.000	0.000	Merged-chr13-58158134-148
NR46914--MA1107.1.KLF9	chr4	116144605	116144617	-	0.000	0.000	Merged-chr4-116144473-31
NR17100--MA0741.1.KLF16	chr13	55623008	55623018	-	0.000	0.000	Merged-chr13-55622931-60
NR56944--MA0740.1.KLF14	chr6	113655252	113655265	+	0.000	0.000	Merged-chr6-113655068-39
NR45025--MA0741.1.KLF16	chr4	41348060	41348070	+	0.000	0.000	Merged-chr4-41348000-22
NR9315--MA1107.1.KLF9	chr11	6410289	6410301	-	0.000	0.000	Merged-chr11-6410402-18
NR58797--MA0039.3.KLF4	chr7	4460698	4460708	+	0.000	0.000	Merged-chr7-4460679-27
NR23715--MA0599.1.KLF5	chr15	78928232	78928241	+	0.000	0.000	Merged-chr15-78928209-40
NR47491--MA0740.1.KLF14	chr4	129696177	129696190	+	0.000	0.000	Merged-chr4-129696167-1
NR47137--MA0599.1.KLF5	chr4	120854785	120854794	+	0.000	0.000	Merged-chr4-120854918-43
NR1878--MA0599.1.KLF5	chr1	105780672	105780681	-	0.000	0.000	Merged-chr1-105780665-47
