#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR2004--MA0037.3.GATA3	chr13	91180551	91180558	-	0.000	0.000	Merged-chr13-91180481-23
NR5261--MA0140.2.GATA1::TAL1	chr5	96919394	96919411	+	0.000	0.000	Merged-chr5-96919308-24
NR1127--MA0482.1.Gata4	chr11	52314534	52314544	-	0.000	0.000	Merged-chr11-52314367-60
NR67--MA1104.1.GATA6	chr1	61402628	61402640	-	0.000	0.000	Merged-chr1-61402618-25
NR1415--MA1104.1.GATA6	chr11	115746910	115746922	-	0.000	0.000	Merged-chr11-115746671-90
NR7004--MA0482.1.Gata4	chr9	108163711	108163721	+	0.000	0.000	Merged-chr9-108163865-26
NR6530--MA0036.3.GATA2	chr8	114888651	114888661	+	0.000	0.000	Merged-chr8-114888790-56
NR7036--MA0036.3.GATA2	chr9	114426450	114426460	+	0.000	0.000	Merged-chr9-114426433-16
NR2652--MA0035.3.Gata1	chr15	96778480	96778490	+	0.000	0.000	Merged-chr15-96778537-47
NR6535--MA0035.3.Gata1	chr8	114888904	114888914	-	0.000	0.000	Merged-chr8-114888790-56
NR6444--MA0766.1.GATA5	chr8	83779753	83779760	-	0.000	0.000	Merged-chr8-83779707-23
NR3979--MA1104.1.GATA6	chr2	103652310	103652322	-	0.000	0.000	Merged-chr2-103652335-51
NR6240--MA0482.1.Gata4	chr7	123108636	123108646	-	0.000	0.000	Merged-chr7-123108481-68
NR2261--MA0482.1.Gata4	chr14	48422360	48422370	-	0.000	0.000	Merged-chr14-48422314-53
NR283--MA0035.3.Gata1	chr1	130838473	130838483	-	0.000	0.000	Merged-chr1-130838519-27
NR7130--MA0037.3.GATA3	chrX	107421595	107421602	+	0.000	0.000	Merged-chrX-107421546-18
NR463--MA0766.1.GATA5	chr1	165985897	165985904	+	0.000	0.000	Merged-chr1-165985990-54
NR5446--MA0482.1.Gata4	chr6	4664524	4664534	+	0.000	0.000	Merged-chr6-4664595-18
NR3990--MA0036.3.GATA2	chr2	105022063	105022073	+	0.000	0.000	Merged-chr2-105022109-54
NR3422--MA0037.3.GATA3	chr18	79257457	79257464	+	0.000	0.000	Merged-chr18-79257508-110
NR756--MA1104.1.GATA6	chr10	59636910	59636922	+	0.000	0.000	Merged-chr10-59636988-40
NR5625--MA0037.3.GATA3	chr6	108606934	108606941	-	0.000	0.000	Merged-chr6-108607013-11
NR4353--MA0036.3.GATA2	chr3	60788287	60788297	+	0.000	0.000	Merged-chr3-60788099-46
NR3578--MA1104.1.GATA6	chr19	33053335	33053347	-	0.000	0.000	Merged-chr19-33053321-32
NR4191--MA0036.3.GATA2	chr2	163131099	163131109	+	0.000	0.000	Merged-chr2-163131105-39
NR2992--MA0035.3.Gata1	chr17	18558831	18558841	-	0.000	0.000	Merged-chr17-18558777-104
NR442--MA0766.1.GATA5	chr1	164366711	164366718	-	0.000	0.000	Merged-chr1-164366862-30
NR2915--MA0035.3.Gata1	chr16	97204300	97204310	+	0.000	0.000	Merged-chr16-97204388-55
NR2548--MA0035.3.Gata1	chr15	59010877	59010887	+	0.000	0.000	Merged-chr15-59010782-34
NR4390--MA0482.1.Gata4	chr3	82333843	82333853	+	0.000	0.000	Merged-chr3-82333766-35
NR3073--MA0482.1.Gata4	chr17	48332829	48332839	+	0.000	0.000	Merged-chr17-48332786-43
NR6721--MA0482.1.Gata4	chr9	46015109	46015119	+	0.000	0.000	Merged-chr9-46015200-37
NR1459--MA0482.1.Gata4	chr12	14086786	14086796	+	0.000	0.000	Merged-chr12-14086767-28
NR360--MA0482.1.Gata4	chr1	151002319	151002329	+	0.000	0.000	Merged-chr1-151002204-60
NR2650--MA1104.1.GATA6	chr15	96778479	96778491	-	0.000	0.000	Merged-chr15-96778537-47
NR2302--MA1104.1.GATA6	chr14	56284546	56284558	-	0.000	0.000	Merged-chr14-56284559-51
NR729--MA0036.3.GATA2	chr10	39991287	39991297	+	0.000	0.000	Merged-chr10-39991173-41
NR6692--MA0035.3.Gata1	chr9	35016830	35016840	+	0.000	0.000	Merged-chr9-35016972-25
NR1128--MA1104.1.GATA6	chr11	52314534	52314546	+	0.000	0.000	Merged-chr11-52314367-60
NR3679--MA0037.3.GATA3	chr19	59926171	59926178	-	0.000	0.000	Merged-chr19-59926305-20
NR6724--MA0035.3.Gata1	chr9	46015108	46015118	+	0.000	0.000	Merged-chr9-46015200-37
NR6833--MA0035.3.Gata1	chr9	80318149	80318159	+	0.000	0.000	Merged-chr9-80318250-48
NR824--MA0140.2.GATA1::TAL1	chr10	79417360	79417377	+	0.000	0.000	Merged-chr10-79417442-89
NR6732--MA0036.3.GATA2	chr9	48448116	48448126	+	0.000	0.000	Merged-chr9-48448010-22
NR514--MA0482.1.Gata4	chr1	175672151	175672161	+	0.000	0.000	Merged-chr1-175671979-22
NR6323--MA0035.3.Gata1	chr7	140983188	140983198	+	0.000	0.000	Merged-chr7-140983161-18
NR2990--MA1104.1.GATA6	chr17	18558830	18558842	+	0.000	0.000	Merged-chr17-18558777-104
NR5447--MA1104.1.GATA6	chr6	4664522	4664534	-	0.000	0.000	Merged-chr6-4664595-18
NR4618--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR1813--MA0766.1.GATA5	chr13	30777933	30777940	+	0.000	0.000	Merged-chr13-30777847-15
NR5630--MA0766.1.GATA5	chr6	108607018	108607025	-	0.000	0.000	Merged-chr6-108607013-11
NR732--MA0482.1.Gata4	chr10	40451942	40451952	+	0.000	0.000	Merged-chr10-40451996-39
NR4042--MA0766.1.GATA5	chr2	117399745	117399752	+	0.000	0.000	Merged-chr2-117399695-40
NR1398--MA0482.1.Gata4	chr11	111065057	111065067	-	0.000	0.000	Merged-chr11-111065000-37
NR517--MA0035.3.Gata1	chr1	175672150	175672160	+	0.000	0.000	Merged-chr1-175671979-22
NR6445--MA0035.3.Gata1	chr8	83779752	83779762	+	0.000	0.000	Merged-chr8-83779707-23
NR3985--MA0037.3.GATA3	chr2	104763430	104763437	+	0.000	0.000	Merged-chr2-104763396-33
NR3682--MA0036.3.GATA2	chr19	59926170	59926180	+	0.000	0.000	Merged-chr19-59926305-20
NR1612--MA0035.3.Gata1	chr12	91746101	91746111	-	0.000	0.000	Merged-chr12-91745848-45
NR1609--MA0037.3.GATA3	chr12	91746103	91746110	+	0.000	0.000	Merged-chr12-91745848-45
NR464--MA0035.3.Gata1	chr1	165985895	165985905	-	0.000	0.000	Merged-chr1-165985990-54
NR1864--MA0035.3.Gata1	chr13	44089107	44089117	+	0.000	0.000	Merged-chr13-44088979-30
NR6105--MA0036.3.GATA2	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR4401--MA0140.2.GATA1::TAL1	chr3	84772169	84772186	-	0.000	0.000	Merged-chr3-84772067-31
NR65--MA0037.3.GATA3	chr1	61402630	61402637	-	0.000	0.000	Merged-chr1-61402618-25
NR3074--MA1104.1.GATA6	chr17	48332827	48332839	-	0.000	0.000	Merged-chr17-48332786-43
NR6722--MA1104.1.GATA6	chr9	46015107	46015119	-	0.000	0.000	Merged-chr9-46015200-37
NR1413--MA0037.3.GATA3	chr11	115746912	115746919	-	0.000	0.000	Merged-chr11-115746671-90
NR3432--MA0766.1.GATA5	chr18	79353031	79353038	+	0.000	0.000	Merged-chr18-79353064-26
NR1298--MA0037.3.GATA3	chr11	98487790	98487797	+	0.000	0.000	Merged-chr11-98487809-30
NR3977--MA0037.3.GATA3	chr2	103652312	103652319	-	0.000	0.000	Merged-chr2-103652335-51
NR466--MA0482.1.Gata4	chr1	165985996	165986006	-	0.000	0.000	Merged-chr1-165985990-54
NR4385--MA0036.3.GATA2	chr3	79248516	79248526	-	0.000	0.000	Merged-chr3-79248582-102
NR2690--MA1104.1.GATA6	chr16	10814976	10814988	+	0.000	0.000	Merged-chr16-10815093-30
NR3576--MA0037.3.GATA3	chr19	33053337	33053344	-	0.000	0.000	Merged-chr19-33053321-32
NR5791--MA0140.2.GATA1::TAL1	chr6	136902663	136902680	-	0.000	0.000	Merged-chr6-136902691-26
NR2010--MA0035.3.Gata1	chr13	91484440	91484450	-	0.000	0.000	Merged-chr13-91484361-55
NR515--MA1104.1.GATA6	chr1	175672149	175672161	-	0.000	0.000	Merged-chr1-175671979-22
NR6949--MA0482.1.Gata4	chr9	95836024	95836034	+	0.000	0.000	Merged-chr9-95835913-33
NR553--MA0140.2.GATA1::TAL1	chr1	183052743	183052760	-	0.000	0.000	Merged-chr1-183052837-15
NR4170--MA0482.1.Gata4	chr2	152768034	152768044	+	0.000	0.000	Merged-chr2-152767843-25
NR2708--MA0035.3.Gata1	chr16	13306419	13306429	+	0.000	0.000	Merged-chr16-13306399-29
NR1399--MA1104.1.GATA6	chr11	111065057	111065069	+	0.000	0.000	Merged-chr11-111065000-37
NR5290--MA0766.1.GATA5	chr5	115755111	115755118	+	0.000	0.000	Merged-chr5-115755148-41
NR5832--MA0766.1.GATA5	chr6	142809494	142809501	+	0.000	0.000	Merged-chr6-142809719-29
NR2522--MA0482.1.Gata4	chr15	38709592	38709602	+	0.000	0.000	Merged-chr15-38709565-1
NR458--MA0482.1.Gata4	chr1	165985488	165985498	-	0.000	0.000	Merged-chr1-165985413-2
NR4039--MA0766.1.GATA5	chr2	116999070	116999077	+	0.000	0.000	Merged-chr2-116999120-8
NR3980--MA0036.3.GATA2	chr2	103652311	103652321	+	0.000	0.000	Merged-chr2-103652335-51
NR5619--MA0140.2.GATA1::TAL1	chr6	108448326	108448343	+	0.000	0.000	Merged-chr6-108448378-58
NR6023--MA0036.3.GATA2	chr7	67500441	67500451	-	0.000	0.000	Merged-chr7-67500556-27
NR332--MA0037.3.GATA3	chr1	144076169	144076176	-	0.000	0.000	Merged-chr1-144076413-55
NR6531--MA0037.3.GATA3	chr8	114888906	114888913	+	0.000	0.000	Merged-chr8-114888790-56
NR5631--MA0035.3.Gata1	chr6	108607017	108607027	+	0.000	0.000	Merged-chr6-108607013-11
NR1400--MA0035.3.Gata1	chr11	111065058	111065068	-	0.000	0.000	Merged-chr11-111065000-37
NR1126--MA0037.3.GATA3	chr11	52314537	52314544	+	0.000	0.000	Merged-chr11-52314367-60
NR4612--MA1104.1.GATA6	chr3	136725867	136725879	-	0.000	0.000	Merged-chr3-136725981-1
NR4043--MA0035.3.Gata1	chr2	117399743	117399753	-	0.000	0.000	Merged-chr2-117399695-40
NR3502--MA0036.3.GATA2	chr19	5094351	5094361	-	0.000	0.000	Merged-chr19-5094459-12
NR6517--MA0035.3.Gata1	chr8	111976661	111976671	-	0.000	0.000	Merged-chr8-111976573-47
NR1073--MA0037.3.GATA3	chr11	11836941	11836948	-	0.000	0.000	Merged-chr11-11837020-26
NR1--MA0140.2.GATA1::TAL1	chr1	9883364	9883381	-	0.000	0.000	Merged-chr1-9883358-36
NR1160--MA0766.1.GATA5	chr11	64037641	64037648	+	0.000	0.000	Merged-chr11-64037767-32
NR1702--MA0766.1.GATA5	chr12	113414681	113414688	-	0.000	0.000	Merged-chr12-113414554-11
NR467--MA1104.1.GATA6	chr1	165985996	165986008	+	0.000	0.000	Merged-chr1-165985990-54
NR5314--MA0766.1.GATA5	chr5	124022517	124022524	-	0.000	0.000	Merged-chr5-124022476-27
NR3590--MA1104.1.GATA6	chr19	40267567	40267579	-	0.000	0.000	Merged-chr19-40267576-38
NR5445--MA0037.3.GATA3	chr6	4664524	4664531	-	0.000	0.000	Merged-chr6-4664595-18
NR6775--MA1104.1.GATA6	chr9	69073400	69073412	-	0.000	0.000	Merged-chr9-69073494-25
NR3433--MA0035.3.Gata1	chr18	79353029	79353039	-	0.000	0.000	Merged-chr18-79353064-26
NR2649--MA0482.1.Gata4	chr15	96778481	96778491	+	0.000	0.000	Merged-chr15-96778537-47
NR3998--MA0036.3.GATA2	chr2	106985120	106985130	+	0.000	0.000	Merged-chr2-106985167-21
NR1405--MA0035.3.Gata1	chr11	113574273	113574283	-	0.000	0.000	Merged-chr11-113574265-17
NR5787--MA0036.3.GATA2	chr6	136743839	136743849	-	0.000	0.000	Merged-chr6-136743937-14
NR4617--MA1104.1.GATA6	chr3	136742958	136742970	-	0.000	0.000	Merged-chr3-136742959-57
NR6515--MA1104.1.GATA6	chr8	111976660	111976672	+	0.000	0.000	Merged-chr8-111976573-47
NR3987--MA0766.1.GATA5	chr2	104763430	104763437	+	0.000	0.000	Merged-chr2-104763396-33
NR1458--MA0037.3.GATA3	chr12	14086786	14086793	-	0.000	0.000	Merged-chr12-14086767-28
NR5291--MA0035.3.Gata1	chr5	115755109	115755119	-	0.000	0.000	Merged-chr5-115755148-41
NR5833--MA0035.3.Gata1	chr6	142809492	142809502	-	0.000	0.000	Merged-chr6-142809719-29
NR438--MA0037.3.GATA3	chr1	164366711	164366718	-	0.000	0.000	Merged-chr1-164366862-30
NR1211--MA0482.1.Gata4	chr11	79207970	79207980	+	0.000	0.000	Merged-chr11-79207824-18
NR1344--MA0035.3.Gata1	chr11	106439013	106439023	+	0.000	0.000	Merged-chr11-106438995-31
NR1596--MA0035.3.Gata1	chr12	85818540	85818550	-	0.000	0.000	Merged-chr12-85818661-14
NR81--MA0482.1.Gata4	chr1	69513758	69513768	-	0.000	0.000	Merged-chr1-69513618-39
NR5407--MA0766.1.GATA5	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR3727--MA0766.1.GATA5	chr2	17644926	17644933	+	0.000	0.000	Merged-chr2-17644831-25
NR6714--MA0140.2.GATA1::TAL1	chr9	44533187	44533204	+	0.000	0.000	Merged-chr9-44533307-45
NR3042--MA0766.1.GATA5	chr17	36414628	36414635	-	0.000	0.000	Merged-chr17-36414652-17
NR1461--MA0036.3.GATA2	chr12	14086785	14086795	+	0.000	0.000	Merged-chr12-14086767-28
NR2011--MA0140.2.GATA1::TAL1	chr13	91484431	91484448	-	0.000	0.000	Merged-chr13-91484361-55
NR460--MA0037.3.GATA3	chr1	165985897	165985904	+	0.000	0.000	Merged-chr1-165985990-54
NR4426--MA1104.1.GATA6	chr3	95909370	95909382	+	0.000	0.000	Merged-chr3-95909537-31
NR84--MA0035.3.Gata1	chr1	69513759	69513769	-	0.000	0.000	Merged-chr1-69513618-39
NR2009--MA0766.1.GATA5	chr13	91484442	91484449	+	0.000	0.000	Merged-chr13-91484361-55
NR3698--MA0140.2.GATA1::TAL1	chr2	9748605	9748622	+	0.000	0.000	Merged-chr2-9748530-32
NR3425--MA0036.3.GATA2	chr18	79257455	79257465	-	0.000	0.000	Merged-chr18-79257508-110
NR1703--MA0035.3.Gata1	chr12	113414680	113414690	+	0.000	0.000	Merged-chr12-113414554-11
NR441--MA0036.3.GATA2	chr1	164366710	164366720	+	0.000	0.000	Merged-chr1-164366862-30
NR5315--MA0035.3.Gata1	chr5	124022516	124022526	+	0.000	0.000	Merged-chr5-124022476-27
NR7090--MA0766.1.GATA5	chrX	17365319	17365326	-	0.000	0.000	Merged-chrX-17365333-21
NR821--MA0036.3.GATA2	chr10	79417358	79417368	+	0.000	0.000	Merged-chr10-79417442-89
NR2689--MA0482.1.Gata4	chr16	10814976	10814986	-	0.000	0.000	Merged-chr16-10815093-30
NR1028--MA0037.3.GATA3	chr10	128990355	128990362	-	0.000	0.000	Merged-chr10-128990510-111
NR5479--MA0036.3.GATA2	chr6	33051809	33051819	-	0.000	0.000	Merged-chr6-33051908-11
NR4660--MA0035.3.Gata1	chr3	142281017	142281027	+	0.000	0.000	Merged-chr3-142281213-32
NR5166--MA0035.3.Gata1	chr5	53605614	53605624	-	0.000	0.000	Merged-chr5-53605625-25
NR5065--MA0036.3.GATA2	chr4	155091241	155091251	-	0.000	0.000	Merged-chr4-155091102-19
NR5617--MA0766.1.GATA5	chr6	108168408	108168415	+	0.000	0.000	Merged-chr6-108168461-115
NR3462--MA0482.1.Gata4	chr18	82493040	82493050	-	0.000	0.000	Merged-chr18-82492983-14
NR5978--MA0766.1.GATA5	chr7	45592270	45592277	-	0.000	0.000	Merged-chr7-45592111-34
NR5107--MA0766.1.GATA5	chr5	21369076	21369083	+	0.000	0.000	Merged-chr5-21368960-21
NR2993--MA0035.3.Gata1	chr17	18597682	18597692	+	0.000	0.000	Merged-chr17-18597509-40
NR1466--MA0036.3.GATA2	chr12	15967869	15967879	-	0.000	0.000	Merged-chr12-15967723-42
NR465--MA0037.3.GATA3	chr1	165985999	165986006	+	0.000	0.000	Merged-chr1-165985990-54
NR3680--MA0482.1.Gata4	chr19	59926171	59926181	+	0.000	0.000	Merged-chr19-59926305-20
NR4914--MA0140.2.GATA1::TAL1	chr4	115056687	115056704	+	0.000	0.000	Merged-chr4-115056666-5
NR1699--MA0482.1.Gata4	chr12	113414681	113414691	+	0.000	0.000	Merged-chr12-113414554-11
NR3988--MA0035.3.Gata1	chr2	104763428	104763438	-	0.000	0.000	Merged-chr2-104763396-33
NR1075--MA0766.1.GATA5	chr11	11836941	11836948	-	0.000	0.000	Merged-chr11-11837020-26
NR6951--MA0035.3.Gata1	chr9	95836023	95836033	+	0.000	0.000	Merged-chr9-95835913-33
NR82--MA1104.1.GATA6	chr1	69513758	69513770	+	0.000	0.000	Merged-chr1-69513618-39
NR4400--MA0035.3.Gata1	chr3	84772178	84772188	-	0.000	0.000	Merged-chr3-84772067-31
NR1300--MA1104.1.GATA6	chr11	98487787	98487799	+	0.000	0.000	Merged-chr11-98487809-30
NR5408--MA0035.3.Gata1	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR3728--MA0035.3.Gata1	chr2	17644924	17644934	-	0.000	0.000	Merged-chr2-17644831-25
NR5939--MA0036.3.GATA2	chr7	27357772	27357782	-	0.000	0.000	Merged-chr7-27357694-29
NR2693--MA0035.3.Gata1	chr16	10814977	10814987	-	0.000	0.000	Merged-chr16-10815093-30
NR3589--MA0482.1.Gata4	chr19	40267569	40267579	+	0.000	0.000	Merged-chr19-40267576-38
NR5535--MA0766.1.GATA5	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR143--MA0766.1.GATA5	chr1	87899817	87899824	-	0.000	0.000	Merged-chr1-87899931-42
NR1023--MA0036.3.GATA2	chr10	127759708	127759718	+	0.000	0.000	Merged-chr10-127759558-36
NR1304--MA0766.1.GATA5	chr11	99150431	99150438	-	0.000	0.000	Merged-chr11-99150380-50
NR6890--MA0035.3.Gata1	chr9	88722041	88722051	+	0.000	0.000	Merged-chr9-88721964-40
NR6813--MA0035.3.Gata1	chr9	78010964	78010974	-	0.000	0.000	Merged-chr9-78010803-82
NR4192--MA0140.2.GATA1::TAL1	chr2	163131101	163131118	+	0.000	0.000	Merged-chr2-163131105-39
NR68--MA0036.3.GATA2	chr1	61402629	61402639	+	0.000	0.000	Merged-chr1-61402618-25
NR6560--MA0766.1.GATA5	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR3681--MA1104.1.GATA6	chr19	59926169	59926181	-	0.000	0.000	Merged-chr19-59926305-20
NR736--MA0035.3.Gata1	chr10	40451941	40451951	+	0.000	0.000	Merged-chr10-40451996-39
NR4912--MA0766.1.GATA5	chr4	115056686	115056693	-	0.000	0.000	Merged-chr4-115056666-5
NR4450--MA0482.1.Gata4	chr3	101296677	101296687	-	0.000	0.000	Merged-chr3-101296807-2
NR2431--MA0140.2.GATA1::TAL1	chr14	103017227	103017244	-	0.000	0.000	Merged-chr14-103017290-44
NR5979--MA0035.3.Gata1	chr7	45592269	45592279	+	0.000	0.000	Merged-chr7-45592111-34
NR4511--MA0766.1.GATA5	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR6042--MA0140.2.GATA1::TAL1	chr7	78451915	78451932	-	0.000	0.000	Merged-chr7-78451897-56
NR3579--MA0036.3.GATA2	chr19	33053336	33053346	+	0.000	0.000	Merged-chr19-33053321-32
NR4615--MA0035.3.Gata1	chr3	136725868	136725878	+	0.000	0.000	Merged-chr3-136725981-1
NR5716--MA0482.1.Gata4	chr6	129239824	129239834	-	0.000	0.000	Merged-chr6-129239949-37
NR2911--MA0482.1.Gata4	chr16	97204301	97204311	+	0.000	0.000	Merged-chr16-97204388-55
NR781--MA0482.1.Gata4	chr10	67065797	67065807	+	0.000	0.000	Merged-chr10-67065679-35
NR1076--MA0035.3.Gata1	chr11	11836940	11836950	+	0.000	0.000	Merged-chr11-11837020-26
NR4843--MA0482.1.Gata4	chr4	89400517	89400527	-	0.000	0.000	Merged-chr4-89400416-12
NR1052--MA0482.1.Gata4	chr10	130344126	130344136	+	0.000	0.000	Merged-chr10-130344274-29
NR7014--MA0036.3.GATA2	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
NR4671--MA0035.3.Gata1	chr3	146275830	146275840	+	0.000	0.000	Merged-chr3-146275724-31
NR5719--MA0035.3.Gata1	chr6	129239825	129239835	-	0.000	0.000	Merged-chr6-129239949-37
NR7037--MA0766.1.GATA5	chr9	114426451	114426458	-	0.000	0.000	Merged-chr9-114426433-16
NR4846--MA0035.3.Gata1	chr4	89400518	89400528	-	0.000	0.000	Merged-chr4-89400416-12
NR1515--MA0037.3.GATA3	chr12	52504855	52504862	-	0.000	0.000	Merged-chr12-52504676-5
NR2651--MA0036.3.GATA2	chr15	96778480	96778490	+	0.000	0.000	Merged-chr15-96778537-47
NR3863--MA0140.2.GATA1::TAL1	chr2	65198588	65198605	+	0.000	0.000	Merged-chr2-65198704-18
NR63--MA0482.1.Gata4	chr1	61203277	61203287	-	0.000	0.000	Merged-chr1-61203375-24
NR5409--MA0140.2.GATA1::TAL1	chr5	149392270	149392287	-	0.000	0.000	Merged-chr5-149392157-30
NR1129--MA0036.3.GATA2	chr11	52314535	52314545	-	0.000	0.000	Merged-chr11-52314367-60
NR1519--MA0766.1.GATA5	chr12	52504855	52504862	-	0.000	0.000	Merged-chr12-52504676-5
NR4354--MA0766.1.GATA5	chr3	60788288	60788295	-	0.000	0.000	Merged-chr3-60788099-46
NR144--MA0035.3.Gata1	chr1	87899816	87899826	+	0.000	0.000	Merged-chr1-87899931-42
NR280--MA1104.1.GATA6	chr1	130838472	130838484	+	0.000	0.000	Merged-chr1-130838519-27
NR4910--MA0482.1.Gata4	chr4	115056686	115056696	+	0.000	0.000	Merged-chr4-115056666-5
NR4451--MA1104.1.GATA6	chr3	101296677	101296689	+	0.000	0.000	Merged-chr3-101296807-2
NR5448--MA0036.3.GATA2	chr6	4664523	4664533	+	0.000	0.000	Merged-chr6-4664595-18
NR4135--MA0140.2.GATA1::TAL1	chr2	146416550	146416567	+	0.000	0.000	Merged-chr2-146416561-24
NR6558--MA0037.3.GATA3	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR755--MA0140.2.GATA1::TAL1	chr10	59430906	59430923	+	0.000	0.000	Merged-chr10-59431050-41
NR4913--MA0035.3.Gata1	chr4	115056685	115056695	+	0.000	0.000	Merged-chr4-115056666-5
NR5717--MA1104.1.GATA6	chr6	129239824	129239836	+	0.000	0.000	Merged-chr6-129239949-37
NR2912--MA1104.1.GATA6	chr16	97204299	97204311	-	0.000	0.000	Merged-chr16-97204388-55
NR782--MA1104.1.GATA6	chr10	67065795	67065807	-	0.000	0.000	Merged-chr10-67065679-35
NR4665--MA0482.1.Gata4	chr3	145663520	145663530	-	0.000	0.000	Merged-chr3-145663343-1
NR4844--MA1104.1.GATA6	chr4	89400517	89400529	+	0.000	0.000	Merged-chr4-89400416-12
NR6723--MA0036.3.GATA2	chr9	46015108	46015118	+	0.000	0.000	Merged-chr9-46015200-37
NR64--MA1104.1.GATA6	chr1	61203277	61203289	+	0.000	0.000	Merged-chr1-61203375-24
NR6832--MA0036.3.GATA2	chr9	80318149	80318159	+	0.000	0.000	Merged-chr9-80318250-48
NR1698--MA0037.3.GATA3	chr12	113414681	113414688	-	0.000	0.000	Merged-chr12-113414554-11
NR866--MA0482.1.Gata4	chr10	93985593	93985603	+	0.000	0.000	Merged-chr10-93985650-27
NR4657--MA0482.1.Gata4	chr3	142281018	142281028	+	0.000	0.000	Merged-chr3-142281213-32
NR3355--MA0140.2.GATA1::TAL1	chr18	67212824	67212841	+	0.000	0.000	Merged-chr18-67212775-57
NR7109--MA0766.1.GATA5	chrX	48141639	48141646	-	0.000	0.000	Merged-chrX-48141649-49
NR5477--MA0482.1.Gata4	chr6	33051808	33051818	-	0.000	0.000	Merged-chr6-33051908-11
NR7038--MA0035.3.Gata1	chr9	114426450	114426460	+	0.000	0.000	Merged-chr9-114426433-16
NR2005--MA0766.1.GATA5	chr13	91180551	91180558	-	0.000	0.000	Merged-chr13-91180481-23
NR4190--MA0482.1.Gata4	chr2	163131100	163131110	+	0.000	0.000	Merged-chr2-163131105-39
NR516--MA0036.3.GATA2	chr1	175672150	175672160	+	0.000	0.000	Merged-chr1-175671979-22
NR2008--MA0036.3.GATA2	chr13	91484440	91484450	-	0.000	0.000	Merged-chr13-91484361-55
NR6106--MA0766.1.GATA5	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR2332--MA0766.1.GATA5	chr14	61818661	61818668	-	0.000	0.000	Merged-chr14-61818597-46
NR4355--MA0035.3.Gata1	chr3	60788287	60788297	+	0.000	0.000	Merged-chr3-60788099-46
NR5961--MA0766.1.GATA5	chr7	35742554	35742561	-	0.000	0.000	Merged-chr7-35742502-39
NR3588--MA0037.3.GATA3	chr19	40267569	40267576	-	0.000	0.000	Merged-chr19-40267576-38
NR461--MA1104.1.GATA6	chr1	165985894	165985906	+	0.000	0.000	Merged-chr1-165985990-54
