#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR1689--MA0741.1.KLF16	chr1	91825521	91825531	-	0.000	0.000	Merged-chr1-91825474-20
NR13517--MA1107.1.KLF9	chr12	12176295	12176307	+	0.000	0.000	Merged-chr12-12176537-33
NR13396--MA0740.1.KLF14	chr12	8496540	8496553	-	0.000	0.000	Merged-chr12-8496481-10
NR1174--MA0599.1.KLF5	chr1	73940877	73940886	+	0.000	0.000	Merged-chr1-73940938-50
NR55085--MA0599.1.KLF5	chr6	39348152	39348161	+	0.000	0.000	Merged-chr6-39348126-65
NR49033--MA0493.1.Klf1	chr4	155050223	155050233	+	0.000	0.000	Merged-chr4-155050218-26
NR42089--MA0493.1.Klf1	chr3	96575085	96575095	+	0.000	0.000	Merged-chr3-96575084-6
NR23--MA0740.1.KLF14	chr1	6454097	6454110	+	0.000	0.000	Merged-chr1-6454252-50
NR10065--MA0599.1.KLF5	chr11	50785953	50785962	+	0.000	0.000	Merged-chr11-50786141-3
NR37283--MA0039.3.KLF4	chr2	101209305	101209315	+	0.000	0.000	Merged-chr2-101209230-18
NR66811--MA0740.1.KLF14	chr8	115568530	115568543	+	0.000	0.000	Merged-chr8-115568627-19
NR8949--MA0741.1.KLF16	chr10	127621763	127621773	+	0.000	0.000	Merged-chr10-127621595-57
NR71211--MA0493.1.Klf1	chr9	118196828	118196838	-	0.000	0.000	Merged-chr9-118196833-13
NR41421--MA0741.1.KLF16	chr3	79129232	79129242	-	0.000	0.000	Merged-chr3-79129160-12
NR5815--MA0493.1.Klf1	chr10	42934813	42934823	-	0.000	0.000	Merged-chr10-42934777-29
NR13400--MA0741.1.KLF16	chr12	8496540	8496550	-	0.000	0.000	Merged-chr12-8496481-10
NR49264--MA0741.1.KLF16	chr5	5514540	5514550	+	0.000	0.000	Merged-chr5-5514609-81
NR1207--MA0742.1.Klf12	chr1	74601423	74601437	-	0.000	0.000	Merged-chr1-74601351-54
NR57102--MA0039.3.KLF4	chr6	116682494	116682504	-	0.000	0.000	Merged-chr6-116682504-22
NR41120--MA0493.1.Klf1	chr3	55688153	55688163	-	0.000	0.000	Merged-chr3-55687980-1
NR42664--MA0742.1.Klf12	chr3	109407796	109407810	-	0.000	0.000	Merged-chr3-109408017-19
NR55873--MA0599.1.KLF5	chr6	72097575	72097584	+	0.000	0.000	Merged-chr6-72097676-68
NR38378--MA1107.1.KLF9	chr2	132379895	132379907	-	0.000	0.000	Merged-chr2-132379852-19
NR64472--MA1107.1.KLF9	chr8	26698688	26698700	-	0.000	0.000	Merged-chr8-26698799-12
NR6596--MA0493.1.Klf1	chr10	71399679	71399689	+	0.000	0.000	Merged-chr10-71399794-69
NR52523--MA0742.1.Klf12	chr5	122548896	122548910	-	0.000	0.000	Merged-chr5-122548864-15
NR44604--MA1107.1.KLF9	chr4	14922363	14922375	-	0.000	0.000	Merged-chr4-14922203-28
NR63338--MA0740.1.KLF14	chr7	135598565	135598578	+	0.000	0.000	Merged-chr7-135598633-32
NR43876--MA0741.1.KLF16	chr3	146207602	146207612	+	0.000	0.000	Merged-chr3-146207752-15
NR12749--MA0741.1.KLF16	chr11	113787647	113787657	+	0.000	0.000	Merged-chr11-113787671-26
NR6441--MA0741.1.KLF16	chr10	68136635	68136645	+	0.000	0.000	Merged-chr10-68136775-17
NR46267--MA0741.1.KLF16	chr4	89169051	89169061	-	0.000	0.000	Merged-chr4-89169046-30
NR1179--MA0741.1.KLF16	chr1	73940883	73940893	+	0.000	0.000	Merged-chr1-73940938-50
NR59851--MA0741.1.KLF16	chr7	29251414	29251424	-	0.000	0.000	Merged-chr7-29251339-19
NR24432--MA0493.1.Klf1	chr15	94255127	94255137	+	0.000	0.000	Merged-chr15-94255177-46
NR8323--MA1107.1.KLF9	chr10	117104434	117104446	-	0.000	0.000	Merged-chr10-117104293-23
NR15805--MA0493.1.Klf1	chr12	112629101	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR64662--MA0742.1.Klf12	chr8	36249516	36249530	+	0.000	0.000	Merged-chr8-36249558-6
NR57300--MA0741.1.KLF16	chr6	120836853	120836863	+	0.000	0.000	Merged-chr6-120836708-1
NR698--MA0493.1.Klf1	chr1	50927414	50927424	+	0.000	0.000	Merged-chr1-50927546-47
NR55620--MA0741.1.KLF16	chr6	56909162	56909172	-	0.000	0.000	Merged-chr6-56909111-27
NR17992--MA0741.1.KLF16	chr13	94567545	94567555	-	0.000	0.000	Merged-chr13-94567668-9
NR18765--MA1107.1.KLF9	chr13	112824335	112824347	+	0.000	0.000	Merged-chr13-112824318-13
NR21097--MA0741.1.KLF16	chr14	75892275	75892285	-	0.000	0.000	Merged-chr14-75892464-20
NR34681--MA0741.1.KLF16	chr2	3118324	3118334	-	0.000	0.000	Merged-chr2-3118423-48
NR27701--MA1107.1.KLF9	chr17	12036300	12036312	+	0.000	0.000	Merged-chr17-12036318-13
NR32637--MA0599.1.KLF5	chr18	82855839	82855848	+	0.000	0.000	Merged-chr18-82855874-59
NR5963--MA0740.1.KLF14	chr10	53889521	53889534	-	0.000	0.000	Merged-chr10-53889619-14
NR25508--MA1107.1.KLF9	chr16	18733522	18733534	+	0.000	0.000	Merged-chr16-18733506-32
NR71135--MA0741.1.KLF16	chr9	116123216	116123226	-	0.000	0.000	Merged-chr9-116123185-43
NR28218--MA1107.1.KLF9	chr17	27133988	27134000	+	0.000	0.000	Merged-chr17-27133890-64
NR44856--MA0599.1.KLF5	chr4	33310259	33310268	-	0.000	0.000	Merged-chr4-33310385-59
