#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR10231--MA0591.1.Bach1::Mafk	chr4	108371533	108371547	+	0.000	0.000	Merged-chr4-108371608-19
NR2922--MA0089.1.MAFG::NFE2L1	chr12	28829700	28829705	-	0.000	0.000	Merged-chr12-28829718-31
NR311--MA0501.1.MAF::NFE2	chr1	72449904	72449918	-	0.000	0.000	Merged-chr1-72450027-13
NR11330--MA0496.2.MAFK	chr5	130196621	130196639	-	0.000	0.000	Merged-chr5-130196551-48
NR9851--MA0117.2.Mafb	chr4	35224175	35224186	-	0.000	0.000	Merged-chr4-35224278-27
NR13556--MA0089.1.MAFG::NFE2L1	chr8	61517654	61517659	-	0.000	0.000	Merged-chr8-61517791-23
NR3130--MA0501.1.MAF::NFE2	chr12	77138857	77138871	+	0.000	0.000	Merged-chr12-77138910-46
NR10379--MA0089.1.MAFG::NFE2L1	chr4	129827884	129827889	+	0.000	0.000	Merged-chr4-129827894-38
NR2458--MA0495.2.MAFF	chr11	62185075	62185095	+	0.000	0.000	Merged-chr11-62185170-13
NR10867--MA0501.1.MAF::NFE2	chr5	52908397	52908411	+	0.000	0.000	Merged-chr5-52908402-27
NR12449--MA0089.1.MAFG::NFE2L1	chr6	143366044	143366049	+	0.000	0.000	Merged-chr6-143366035-15
NR12471--MA0591.1.Bach1::Mafk	chr6	144689272	144689286	-	0.000	0.000	Merged-chr6-144689209-25
NR1639--MA0089.1.MAFG::NFE2L1	chr10	67498273	67498278	-	0.000	0.000	Merged-chr10-67498312-2
NR11824--MA0495.2.MAFF	chr6	67014762	67014782	+	0.000	0.000	Merged-chr6-67014748-19
NR5620--MA0496.2.MAFK	chr16	30676265	30676283	-	0.000	0.000	Merged-chr16-30676152-12
NR8268--MA0089.1.MAFG::NFE2L1	chr2	126310180	126310185	+	0.000	0.000	Merged-chr2-126310308-39
NR1322--MA0089.1.MAFG::NFE2L1	chr10	12823692	12823697	+	0.000	0.000	Merged-chr10-12823513-1
NR3671--MA0089.1.MAFG::NFE2L1	chr13	32983043	32983048	+	0.000	0.000	Merged-chr13-32982935-23
NR8946--MA0089.1.MAFG::NFE2L1	chr3	54567428	54567433	+	0.000	0.000	Merged-chr3-54567528-25
NR7726--MA0089.1.MAFG::NFE2L1	chr2	52891300	52891305	-	0.000	0.000	Merged-chr2-52891472-34
