#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR31653--MA1107.1.KLF9	chr18	73745214	73745226	-	0.000	0.000	Merged-chr18-73745138-6
NR42089--MA0493.1.Klf1	chr3	107577980	107577990	+	0.000	0.000	Merged-chr3-107578034-11
NR37591--MA0742.1.Klf12	chr2	127304896	127304910	+	0.000	0.000	Merged-chr2-127304764-20
NR6484--MA0493.1.Klf1	chr10	77624635	77624645	-	0.000	0.000	Merged-chr10-77624666-9
NR47855--MA0741.1.KLF16	chr4	148167199	148167209	+	0.000	0.000	Merged-chr4-148167175-10
NR61790--MA0599.1.KLF5	chr7	139295887	139295896	-	0.000	0.000	Merged-chr7-139295944-32
NR52468--MA1107.1.KLF9	chr5	139377609	139377621	-	0.000	0.000	Merged-chr5-139377554-24
NR10546--MA0741.1.KLF16	chr11	70654716	70654726	+	0.000	0.000	Merged-chr11-70654589-122
NR58010--MA0599.1.KLF5	chr7	19332845	19332854	-	0.000	0.000	Merged-chr7-19332998-44
NR3528--MA0493.1.Klf1	chr1	173508872	173508882	-	0.000	0.000	Merged-chr1-173508831-21
NR3064--MA0741.1.KLF16	chr1	161748417	161748427	-	0.000	0.000	Merged-chr1-161748373-32
NR57359--MA0599.1.KLF5	chr6	147366198	147366207	+	0.000	0.000	Merged-chr6-147366310-2
NR19837--MA1107.1.KLF9	chr14	34768543	34768555	+	0.000	0.000	Merged-chr14-34768619-7
NR55770--MA0599.1.KLF5	chr6	119199131	119199140	+	0.000	0.000	Merged-chr6-119199024-52
NR52243--MA0741.1.KLF16	chr5	136147189	136147199	+	0.000	0.000	Merged-chr5-136147048-39
NR34163--MA0599.1.KLF5	chr19	57327839	57327848	-	0.000	0.000	Merged-chr19-57327761-18
NR36632--MA0741.1.KLF16	chr2	91957408	91957418	-	0.000	0.000	Merged-chr2-91957300-36
NR33680--MA0740.1.KLF14	chr19	44069762	44069775	+	0.000	0.000	Merged-chr19-44069600-84
NR33159--MA0741.1.KLF16	chr19	23135505	23135515	+	0.000	0.000	Merged-chr19-23135579-121
NR46248--MA0599.1.KLF5	chr4	116701028	116701037	-	0.000	0.000	Merged-chr4-116701085-12
NR54206--MA0599.1.KLF5	chr6	52962593	52962602	-	0.000	0.000	Merged-chr6-52962536-54
NR26523--MA0599.1.KLF5	chr16	92400131	92400140	-	0.000	0.000	Merged-chr16-92400195-21
NR43746--MA0741.1.KLF16	chr3	152209697	152209707	-	0.000	0.000	Merged-chr3-152209810-2
NR10522--MA0599.1.KLF5	chr11	70540225	70540234	+	0.000	0.000	Merged-chr11-70540175-47
NR1049--MA0741.1.KLF16	chr1	66897066	66897076	+	0.000	0.000	Merged-chr1-66897217-4
NR25451--MA0599.1.KLF5	chr16	35696279	35696288	-	0.000	0.000	Merged-chr16-35696360-41
