#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR4555--MA0523.1.TCF7L2	chr2	6716855	6716868	-	0.000	0.000	Merged-chr2-6716828-13
NR6525--MA1421.1.TCF7L1	chr4	155082287	155082298	+	0.000	0.000	Merged-chr4-155082260-14
NR6502--MA0769.1.Tcf7	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR3000--MA0523.1.TCF7L2	chr14	122187101	122187114	-	0.000	0.000	Merged-chr14-122187060-26
NR3363--MA1421.1.TCF7L1	chr16	7419924	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR1380--MA0523.1.TCF7L2	chr11	44495322	44495335	+	0.000	0.000	Merged-chr11-44495108-26
NR7167--MA0769.1.Tcf7	chr6	51509995	51510006	-	0.000	0.000	Merged-chr6-51509825-65
NR5220--MA0769.1.Tcf7	chr2	150134375	150134386	-	0.000	0.000	Merged-chr2-150134419-14
NR1603--MA1421.1.TCF7L1	chr11	109364990	109365001	-	0.000	0.000	Merged-chr11-109365028-9
NR4275--MA0523.1.TCF7L2	chr18	79028039	79028052	+	0.000	0.000	Merged-chr18-79027907-21
NR7883--MA0523.1.TCF7L2	chr7	101635945	101635958	+	0.000	0.000	Merged-chr7-101636183-33
NR7555--MA1421.1.TCF7L1	chr6	138269150	138269161	-	0.000	0.000	Merged-chr6-138269074-1
NR7549--MA0769.1.Tcf7	chr6	135433970	135433981	+	0.000	0.000	Merged-chr6-135433920-18
NR3785--MA0769.1.Tcf7	chr17	23969057	23969068	+	0.000	0.000	Merged-chr17-23969178-28
NR6249--MA0769.1.Tcf7	chr4	87669755	87669766	+	0.000	0.000	Merged-chr4-87669731-33
NR3631--MA0523.1.TCF7L2	chr16	84982744	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR6155--MA0769.1.Tcf7	chr4	53278263	53278274	-	0.000	0.000	Merged-chr4-53278272-26
NR9175--MA0523.1.TCF7L2	chrX	159828200	159828213	+	0.000	0.000	Merged-chrX-159828290-35
NR7697--MA0769.1.Tcf7	chr7	29141616	29141627	-	0.000	0.000	Merged-chr7-29141670-31
NR5566--MA1421.1.TCF7L1	chr3	79129256	79129267	-	0.000	0.000	Merged-chr3-79129160-12
NR5849--MA0769.1.Tcf7	chr3	132575307	132575318	-	0.000	0.000	Merged-chr3-132575270-5
NR2198--MA1421.1.TCF7L1	chr13	23734524	23734535	+	0.000	0.000	Merged-chr13-23734534-7
