#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR6803--MA0482.1.Gata4	chr7	145243334	145243344	+	0.000	0.000	Merged-chr7-145243309-40
NR1008--MA0035.3.Gata1	chr10	130340393	130340403	+	0.000	0.000	Merged-chr10-130340277-13
NR3468--MA0766.1.GATA5	chr18	66502128	66502135	+	0.000	0.000	Merged-chr18-66502099-22
NR3535--MA0482.1.Gata4	chr18	79092834	79092844	+	0.000	0.000	Merged-chr18-79092831-54
NR7326--MA1104.1.GATA6	chr9	69156193	69156205	-	0.000	0.000	Merged-chr9-69156335-38
NR5119--MA0482.1.Gata4	chr4	86725372	86725382	+	0.000	0.000	Merged-chr4-86725378-12
NR6360--MA0035.3.Gata1	chr7	37490502	37490512	+	0.000	0.000	Merged-chr7-37490614-68
NR5499--MA0036.3.GATA2	chr5	63768123	63768133	+	0.000	0.000	Merged-chr5-63767981-25
NR3300--MA0037.3.GATA3	chr17	79615213	79615220	-	0.000	0.000	Merged-chr17-79615226-63
NR363--MA1104.1.GATA6	chr1	156901950	156901962	+	0.000	0.000	Merged-chr1-156901975-24
NR2602--MA1104.1.GATA6	chr15	72928856	72928868	+	0.000	0.000	Merged-chr15-72929064-48
NR2675--MA0482.1.Gata4	chr15	91616639	91616649	-	0.000	0.000	Merged-chr15-91616695-12
NR7126--MA0482.1.Gata4	chr9	5311522	5311532	+	0.000	0.000	Merged-chr9-5311572-34
NR4624--MA0036.3.GATA2	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR61--MA0140.2.GATA1::TAL1	chr1	52454648	52454665	-	0.000	0.000	Merged-chr1-52454811-49
NR2678--MA0035.3.Gata1	chr15	91616640	91616650	-	0.000	0.000	Merged-chr15-91616695-12
NR2833--MA1104.1.GATA6	chr16	43661707	43661719	+	0.000	0.000	Merged-chr16-43661789-37
NR2492--MA0482.1.Gata4	chr14	122788393	122788403	-	0.000	0.000	Merged-chr14-122788282-21
NR6206--MA0037.3.GATA3	chr6	135418446	135418453	-	0.000	0.000	Merged-chr6-135418528-77
NR3401--MA0037.3.GATA3	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR6094--MA0035.3.Gata1	chr6	117166983	117166993	-	0.000	0.000	Merged-chr6-117167105-10
NR3143--MA1104.1.GATA6	chr17	26532842	26532854	+	0.000	0.000	Merged-chr17-26532798-20
NR7483--MA1104.1.GATA6	chr9	112186685	112186697	-	0.000	0.000	Merged-chr9-112186441-37
NR825--MA0036.3.GATA2	chr10	96201432	96201442	-	0.000	0.000	Merged-chr10-96201472-66
NR7479--MA0482.1.Gata4	chr9	112174907	112174917	-	0.000	0.000	Merged-chr9-112174843-101
NR2441--MA0140.2.GATA1::TAL1	chr14	103017227	103017244	-	0.000	0.000	Merged-chr14-103017290-44
NR7406--MA0037.3.GATA3	chr9	95113475	95113482	-	0.000	0.000	Merged-chr9-95113538-34
NR67--MA0035.3.Gata1	chr1	54421812	54421822	-	0.000	0.000	Merged-chr1-54421982-33
NR6615--MA0035.3.Gata1	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR6700--MA0482.1.Gata4	chr7	123108636	123108646	-	0.000	0.000	Merged-chr7-123108481-68
NR2745--MA0035.3.Gata1	chr16	11526689	11526699	-	0.000	0.000	Merged-chr16-11526520-43
NR4263--MA0035.3.Gata1	chr2	129385621	129385631	+	0.000	0.000	Merged-chr2-129385556-29
NR2676--MA1104.1.GATA6	chr15	91616639	91616651	+	0.000	0.000	Merged-chr15-91616695-12
NR7127--MA1104.1.GATA6	chr9	5311520	5311532	-	0.000	0.000	Merged-chr9-5311572-34
NR4271--MA0036.3.GATA2	chr2	132131371	132131381	-	0.000	0.000	Merged-chr2-132131548-24
NR2243--MA0036.3.GATA2	chr14	27384253	27384263	+	0.000	0.000	Merged-chr14-27384235-54
