#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR10660--MA0511.2.RUNX2	chr9	108154971	108154979	-	0.000	0.000	Merged-chr9-108154914-20
NR10455--MA0511.2.RUNX2	chr9	75246466	75246474	-	0.000	0.000	Merged-chr9-75246433-36
NR6049--MA0511.2.RUNX2	chr2	128117813	128117821	-	0.000	0.000	Merged-chr2-128117807-36
NR9204--MA0684.1.RUNX3	chr7	49364549	49364558	+	0.000	0.000	Merged-chr7-49364720-42
NR9261--MA0002.2.RUNX1	chr7	67500551	67500561	+	0.000	0.000	Merged-chr7-67500556-27
NR3893--MA0684.1.RUNX3	chr15	85328195	85328204	-	0.000	0.000	Merged-chr15-85328019-32
NR5381--MA0511.2.RUNX2	chr19	40300140	40300148	+	0.000	0.000	Merged-chr19-40300210-18
NR9932--MA0684.1.RUNX3	chr8	79286679	79286688	+	0.000	0.000	Merged-chr8-79286667-44
NR6774--MA0002.2.RUNX1	chr3	129613934	129613944	+	0.000	0.000	Merged-chr3-129613875-22
NR1180--MA0684.1.RUNX3	chr10	80763638	80763647	+	0.000	0.000	Merged-chr10-80763655-40
NR1722--MA0684.1.RUNX3	chr11	67633799	67633808	+	0.000	0.000	Merged-chr11-67633953-18
NR6902--MA0002.2.RUNX1	chr3	146765121	146765131	-	0.000	0.000	Merged-chr3-146765113-32
NR640--MA0511.2.RUNX2	chr1	172197314	172197322	-	0.000	0.000	Merged-chr1-172197316-25
NR8420--MA0002.2.RUNX1	chr6	48818041	48818051	+	0.000	0.000	Merged-chr6-48818082-13
NR8056--MA0511.2.RUNX2	chr5	113670843	113670851	-	0.000	0.000	Merged-chr5-113670817-25
NR1705--MA0511.2.RUNX2	chr11	64116920	64116928	-	0.000	0.000	Merged-chr11-64116814-48
NR10434--MA0511.2.RUNX2	chr9	70080178	70080186	-	0.000	0.000	Merged-chr9-70080238-33
NR5552--MA0684.1.RUNX3	chr2	11040172	11040181	+	0.000	0.000	Merged-chr2-11040200-20
NR431--MA0684.1.RUNX3	chr1	135268209	135268218	+	0.000	0.000	Merged-chr1-135268339-27
NR7212--MA0002.2.RUNX1	chr4	97996308	97996318	+	0.000	0.000	Merged-chr4-97996259-58
NR140--MA0002.2.RUNX1	chr1	60744504	60744514	+	0.000	0.000	Merged-chr1-60744410-6
NR8704--MA0002.2.RUNX1	chr6	120119998	120120008	+	0.000	0.000	Merged-chr6-120119917-19
NR1696--MA0002.2.RUNX1	chr11	61699094	61699104	+	0.000	0.000	Merged-chr11-61699049-20
NR3061--MA0511.2.RUNX2	chr13	104863664	104863672	-	0.000	0.000	Merged-chr13-104863787-63
NR10239--MA0002.2.RUNX1	chr9	11579177	11579187	+	0.000	0.000	Merged-chr9-11579132-23
NR62--MA0002.2.RUNX1	chr1	38557783	38557793	-	0.000	0.000	Merged-chr1-38557840-50
NR1176--MA0511.2.RUNX2	chr10	80763638	80763646	+	0.000	0.000	Merged-chr10-80763655-40
NR811--MA0684.1.RUNX3	chr1	192106601	192106610	-	0.000	0.000	Merged-chr1-192106489-61
NR10967--MA0002.2.RUNX1	chrX	143030812	143030822	+	0.000	0.000	Merged-chrX-143030752-27
NR520--MA0002.2.RUNX1	chr1	153037908	153037918	-	0.000	0.000	Merged-chr1-153037964-21
