#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_dn.bed
NR7932--MA0037.3.GATA3	chrX	13461670	13461677	+	0.000	0.000	Merged-chrX-13461805-52
NR854--MA0036.3.GATA2	chr10	80827013	80827023	-	0.000	0.000	Merged-chr10-80827107-1
NR7904--MA0140.2.GATA1::TAL1	chr9	119255026	119255043	+	0.000	0.000	Merged-chr9-119254891-26
NR7259--MA0035.3.Gata1	chr8	69168492	69168502	-	0.000	0.000	Merged-chr8-69168549-18
NR2160--MA0766.1.GATA5	chr13	107571661	107571668	-	0.000	0.000	Merged-chr13-107571801-8
NR7225--MA0035.3.Gata1	chr8	46859563	46859573	+	0.000	0.000	Merged-chr8-46859659-64
NR4810--MA0482.1.Gata4	chr3	27067360	27067370	+	0.000	0.000	Merged-chr3-27067455-6
NR5297--MA0482.1.Gata4	chr4	11404221	11404231	+	0.000	0.000	Merged-chr4-11404244-13
NR6580--MA0482.1.Gata4	chr6	130342155	130342165	+	0.000	0.000	Merged-chr6-130342331-49
NR2270--MA1104.1.GATA6	chr14	16172523	16172535	+	0.000	0.000	Merged-chr14-16172497-2
NR5199--MA0036.3.GATA2	chr3	143977278	143977288	-	0.000	0.000	Merged-chr3-143977087-2
NR6492--MA0766.1.GATA5	chr6	122334238	122334245	+	0.000	0.000	Merged-chr6-122334221-7
NR296--MA0036.3.GATA2	chr1	108038617	108038627	+	0.000	0.000	Merged-chr1-108038539-17
NR5298--MA1104.1.GATA6	chr4	11404219	11404231	-	0.000	0.000	Merged-chr4-11404244-13
NR3766--MA0140.2.GATA1::TAL1	chr18	67270258	67270275	-	0.000	0.000	Merged-chr18-67270168-25
NR2158--MA0037.3.GATA3	chr13	107571661	107571668	-	0.000	0.000	Merged-chr13-107571801-8
NR1885--MA0036.3.GATA2	chr13	16020803	16020813	+	0.000	0.000	Merged-chr13-16020821-23
NR6490--MA0482.1.Gata4	chr6	122334235	122334245	-	0.000	0.000	Merged-chr6-122334221-7
NR3629--MA0037.3.GATA3	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR4494--MA0036.3.GATA2	chr2	125214597	125214607	+	0.000	0.000	Merged-chr2-125214795-24
NR6493--MA0035.3.Gata1	chr6	122334236	122334246	-	0.000	0.000	Merged-chr6-122334221-7
NR4855--MA0482.1.Gata4	chr3	55115681	55115691	+	0.000	0.000	Merged-chr3-55115739-6
NR5200--MA0766.1.GATA5	chr3	143977280	143977287	+	0.000	0.000	Merged-chr3-143977087-2
NR2336--MA0036.3.GATA2	chr14	30675116	30675126	-	0.000	0.000	Merged-chr14-30675172-26
NR1110--MA0140.2.GATA1::TAL1	chr11	22843008	22843025	-	0.000	0.000	Merged-chr11-22842852-10
NR3630--MA1104.1.GATA6	chr18	6484968	6484980	-	0.000	0.000	Merged-chr18-6484878-33
NR7255--MA0037.3.GATA3	chr8	69168494	69168501	+	0.000	0.000	Merged-chr8-69168549-18
NR3592--MA0036.3.GATA2	chr17	84241679	84241689	+	0.000	0.000	Merged-chr17-84241728-6
NR2269--MA0482.1.Gata4	chr14	16172523	16172533	-	0.000	0.000	Merged-chr14-16172497-2
NR4856--MA1104.1.GATA6	chr3	55115679	55115691	-	0.000	0.000	Merged-chr3-55115739-6
NR5296--MA0037.3.GATA3	chr4	11404221	11404228	-	0.000	0.000	Merged-chr4-11404244-13
NR2015--MA0036.3.GATA2	chr13	63885648	63885658	-	0.000	0.000	Merged-chr13-63885791-1
NR2047--MA0035.3.Gata1	chr13	73505698	73505708	+	0.000	0.000	Merged-chr13-73505560-1
NR7226--MA0140.2.GATA1::TAL1	chr8	46859565	46859582	+	0.000	0.000	Merged-chr8-46859659-64
NR1689--MA0036.3.GATA2	chr12	92625446	92625456	+	0.000	0.000	Merged-chr12-92625384-3
NR1142--MA0766.1.GATA5	chr11	36001079	36001086	-	0.000	0.000	Merged-chr11-36000971-2
NR2159--MA1104.1.GATA6	chr13	107571659	107571671	-	0.000	0.000	Merged-chr13-107571801-8
NR7765--MA0482.1.Gata4	chr9	96353968	96353978	-	0.000	0.000	Merged-chr9-96354104-1
NR2268--MA0037.3.GATA3	chr14	16172526	16172533	+	0.000	0.000	Merged-chr14-16172497-2
NR1139--MA0482.1.Gata4	chr11	36001079	36001089	+	0.000	0.000	Merged-chr11-36000971-2
NR7221--MA0482.1.Gata4	chr8	46859564	46859574	+	0.000	0.000	Merged-chr8-46859659-64
NR7768--MA0035.3.Gata1	chr9	96353969	96353979	-	0.000	0.000	Merged-chr9-96354104-1
NR420--MA0482.1.Gata4	chr1	150465598	150465608	-	0.000	0.000	Merged-chr1-150465561-21
NR2271--MA0036.3.GATA2	chr14	16172524	16172534	-	0.000	0.000	Merged-chr14-16172497-2
NR4812--MA0035.3.Gata1	chr3	27067359	27067369	+	0.000	0.000	Merged-chr3-27067455-6
NR7766--MA1104.1.GATA6	chr9	96353968	96353980	+	0.000	0.000	Merged-chr9-96354104-1
NR7256--MA1104.1.GATA6	chr8	69168491	69168503	+	0.000	0.000	Merged-chr8-69168549-18
NR7222--MA1104.1.GATA6	chr8	46859562	46859574	-	0.000	0.000	Merged-chr8-46859659-64
NR421--MA1104.1.GATA6	chr1	150465598	150465610	+	0.000	0.000	Merged-chr1-150465561-21
NR5299--MA0036.3.GATA2	chr4	11404220	11404230	+	0.000	0.000	Merged-chr4-11404244-13
NR627--MA0482.1.Gata4	chr10	4079703	4079713	-	0.000	0.000	Merged-chr10-4079812-35
NR2960--MA0037.3.GATA3	chr16	7767896	7767903	+	0.000	0.000	Merged-chr16-7768064-22
NR2956--MA0482.1.Gata4	chr16	7419926	7419936	+	0.000	0.000	Merged-chr16-7419949-42
NR6489--MA0037.3.GATA3	chr6	122334238	122334245	+	0.000	0.000	Merged-chr6-122334221-7
NR2045--MA0482.1.Gata4	chr13	73505699	73505709	+	0.000	0.000	Merged-chr13-73505560-1
NR4857--MA0035.3.Gata1	chr3	55115680	55115690	+	0.000	0.000	Merged-chr3-55115739-6
NR1690--MA0766.1.GATA5	chr12	92625447	92625454	-	0.000	0.000	Merged-chr12-92625384-3
NR5300--MA0766.1.GATA5	chr4	11404221	11404228	-	0.000	0.000	Merged-chr4-11404244-13
NR1138--MA0037.3.GATA3	chr11	36001079	36001086	-	0.000	0.000	Merged-chr11-36000971-2
NR628--MA1104.1.GATA6	chr10	4079703	4079715	+	0.000	0.000	Merged-chr10-4079812-35
NR7220--MA0037.3.GATA3	chr8	46859564	46859571	-	0.000	0.000	Merged-chr8-46859659-64
NR382--MA0140.2.GATA1::TAL1	chr1	138550508	138550525	-	0.000	0.000	Merged-chr1-138550461-33
NR2957--MA1104.1.GATA6	chr16	7419924	7419936	-	0.000	0.000	Merged-chr16-7419949-42
NR5622--MA0035.3.Gata1	chr4	134047865	134047875	-	0.000	0.000	Merged-chr4-134047792-28
NR1478--MA0037.3.GATA3	chr12	28699759	28699766	-	0.000	0.000	Merged-chr12-28699931-23
NR6659--MA0036.3.GATA2	chr6	142567727	142567737	+	0.000	0.000	Merged-chr6-142567710-6
NR2046--MA1104.1.GATA6	chr13	73505697	73505709	-	0.000	0.000	Merged-chr13-73505560-1
NR1141--MA0036.3.GATA2	chr11	36001078	36001088	+	0.000	0.000	Merged-chr11-36000971-2
NR5620--MA1104.1.GATA6	chr4	134047864	134047876	+	0.000	0.000	Merged-chr4-134047792-28
NR1691--MA0035.3.Gata1	chr12	92625446	92625456	+	0.000	0.000	Merged-chr12-92625384-3
NR322--MA0140.2.GATA1::TAL1	chr1	125466700	125466717	-	0.000	0.000	Merged-chr1-125466833-56
NR5301--MA0035.3.Gata1	chr4	11404220	11404230	+	0.000	0.000	Merged-chr4-11404244-13
NR4498--MA0482.1.Gata4	chr2	127923473	127923483	+	0.000	0.000	Merged-chr2-127923410-36
NR626--MA0037.3.GATA3	chr10	4079706	4079713	+	0.000	0.000	Merged-chr10-4079812-35
NR3631--MA0766.1.GATA5	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR5197--MA0037.3.GATA3	chr3	143977280	143977287	+	0.000	0.000	Merged-chr3-143977087-2
NR7326--MA0035.3.Gata1	chr8	91073945	91073955	-	0.000	0.000	Merged-chr8-91073966-44
NR4499--MA1104.1.GATA6	chr2	127923471	127923483	-	0.000	0.000	Merged-chr2-127923410-36
NR8016--MA0035.3.Gata1	chrX	160766223	160766233	-	0.000	0.000	Merged-chrX-160766177-60
NR6359--MA0482.1.Gata4	chr6	86922089	86922099	+	0.000	0.000	Merged-chr6-86921974-19
NR548--MA0140.2.GATA1::TAL1	chr1	177259127	177259144	+	0.000	0.000	Merged-chr1-177259021-1
NR5128--MA0035.3.Gata1	chr3	135582002	135582012	+	0.000	0.000	Merged-chr3-135581925-8
NR4500--MA0036.3.GATA2	chr2	127923472	127923482	+	0.000	0.000	Merged-chr2-127923410-36
NR5739--MA0035.3.Gata1	chr4	155082318	155082328	-	0.000	0.000	Merged-chr4-155082260-14
NR1577--MA0035.3.Gata1	chr12	70232401	70232411	+	0.000	0.000	Merged-chr12-70232391-28
NR7767--MA0036.3.GATA2	chr9	96353969	96353979	-	0.000	0.000	Merged-chr9-96354104-1
