#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_dn.bed
NR2008--MA0769.1.Tcf7	chr14	54153097	54153108	+	0.000	0.000	Merged-chr14-54152970-29
NR5202--MA1421.1.TCF7L1	chr6	88832834	88832845	-	0.000	0.000	Merged-chr6-88832926-25
NR59--MA1421.1.TCF7L1	chr1	43562431	43562442	-	0.000	0.000	Merged-chr1-43562449-72
NR5812--MA1421.1.TCF7L1	chr7	141006681	141006692	-	0.000	0.000	Merged-chr7-141006658-12
NR1593--MA1421.1.TCF7L1	chr13	17536562	17536573	-	0.000	0.000	Merged-chr13-17536592-6
NR1327--MA0769.1.Tcf7	chr12	73711060	73711071	-	0.000	0.000	Merged-chr12-73710968-44
NR2900--MA1421.1.TCF7L1	chr17	57167169	57167180	+	0.000	0.000	Merged-chr17-57167239-24
NR4727--MA0523.1.TCF7L2	chr5	62756373	62756386	-	0.000	0.000	Merged-chr5-62756252-19
NR2006--MA1421.1.TCF7L1	chr14	54153097	54153108	+	0.000	0.000	Merged-chr14-54152970-29
NR2540--MA0523.1.TCF7L2	chr16	33698642	33698655	-	0.000	0.000	Merged-chr16-33698486-38
NR4991--MA0769.1.Tcf7	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR844--MA1421.1.TCF7L1	chr10	128664019	128664030	-	0.000	0.000	Merged-chr10-128663895-18
NR270--MA0769.1.Tcf7	chr1	143919109	143919120	-	0.000	0.000	Merged-chr1-143919214-54
NR2848--MA1421.1.TCF7L1	chr17	44690654	44690665	+	0.000	0.000	Merged-chr17-44690721-49
NR4978--MA1421.1.TCF7L1	chr5	143329309	143329320	-	0.000	0.000	Merged-chr5-143329116-58
NR2519--MA0523.1.TCF7L2	chr16	23286589	23286602	-	0.000	0.000	Merged-chr16-23286554-38
NR1400--MA0769.1.Tcf7	chr12	93227048	93227059	-	0.000	0.000	Merged-chr12-93227052-12
NR6345--MA0523.1.TCF7L2	chr9	89221273	89221286	-	0.000	0.000	Merged-chr9-89221104-50
NR4990--MA1421.1.TCF7L1	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR4565--MA1421.1.TCF7L1	chr4	145284608	145284619	+	0.000	0.000	Merged-chr4-145284668-43
NR2708--MA0523.1.TCF7L2	chr16	93914436	93914449	-	0.000	0.000	Merged-chr16-93914368-18
NR6366--MA0523.1.TCF7L2	chr9	96696536	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR1735--MA1421.1.TCF7L1	chr13	85505143	85505154	-	0.000	0.000	Merged-chr13-85505133-53
NR519--MA0523.1.TCF7L2	chr10	22306666	22306679	-	0.000	0.000	Merged-chr10-22306595-58
NR2460--MA0769.1.Tcf7	chr15	97727194	97727205	-	0.000	0.000	Merged-chr15-97727348-17
NR5282--MA0769.1.Tcf7	chr6	115513323	115513334	-	0.000	0.000	Merged-chr6-115513314-25
NR5270--MA0523.1.TCF7L2	chr6	108922585	108922598	-	0.000	0.000	Merged-chr6-108922782-44
NR3052--MA1421.1.TCF7L1	chr18	55107226	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR4057--MA1421.1.TCF7L1	chr3	108727518	108727529	+	0.000	0.000	Merged-chr3-108727524-22
NR4900--MA1421.1.TCF7L1	chr5	113591787	113591798	-	0.000	0.000	Merged-chr5-113591973-17
NR1473--MA0523.1.TCF7L2	chr12	108811305	108811318	+	0.000	0.000	Merged-chr12-108811310-19
NR5490--MA0769.1.Tcf7	chr7	31089915	31089926	+	0.000	0.000	Merged-chr7-31089914-34
NR1469--MA0523.1.TCF7L2	chr12	107971307	107971320	+	0.000	0.000	Merged-chr12-107971493-56
NR6446--MA0769.1.Tcf7	chr9	116366431	116366442	-	0.000	0.000	Merged-chr9-116366334-59
NR6231--MA0769.1.Tcf7	chr9	56264824	56264835	+	0.000	0.000	Merged-chr9-56264757-66
NR4728--MA0769.1.Tcf7	chr5	62756375	62756386	-	0.000	0.000	Merged-chr5-62756252-19
