#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval0.3-log2fc0.5_dn.bed
NR1663--MA0768.1.LEF1	chr6	15783259	15783273	+	0.000	0.000	Merged-chr6-15783250-24
NR1775--MA0768.1.LEF1	chr6	144922981	144922995	-	0.000	0.000	Merged-chr6-144923057-24
NR56--MA0768.1.LEF1	chr1	80416613	80416627	-	0.000	0.000	Merged-chr1-80416536-28
NR1565--MA0768.1.LEF1	chr5	45790459	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR1695--MA0768.1.LEF1	chr6	70862829	70862843	-	0.000	0.000	Merged-chr6-70862834-28
NR208--MA0768.1.LEF1	chr10	25387443	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR226--MA0768.1.LEF1	chr10	58351891	58351905	+	0.000	0.000	Merged-chr10-58351765-21
NR1275--MA0768.1.LEF1	chr3	65793913	65793927	-	0.000	0.000	Merged-chr3-65793747-53
NR1942--MA0768.1.LEF1	chr8	41334201	41334215	+	0.000	0.000	Merged-chr8-41334366-24
NR1938--MA0768.1.LEF1	chr8	36010599	36010613	+	0.000	0.000	Merged-chr8-36010714-39
NR1956--MA0768.1.LEF1	chr8	70160263	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR961--MA0768.1.LEF1	chr18	35776809	35776823	-	0.000	0.000	Merged-chr18-35776738-19
NR1862--MA0768.1.LEF1	chr7	101555787	101555801	-	0.000	0.000	Merged-chr7-101555691-65
NR1522--MA0768.1.LEF1	chr4	148167221	148167235	-	0.000	0.000	Merged-chr4-148167175-10
NR1746--MA0768.1.LEF1	chr6	124072937	124072951	-	0.000	0.000	Merged-chr6-124072960-16
