#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR5279--MA1421.1.TCF7L1	chr2	160451759	160451770	+	0.000	0.000	Merged-chr2-160451916-68
NR5981--MA0523.1.TCF7L2	chr3	152127434	152127447	+	0.000	0.000	Merged-chr3-152127515-20
NR8192--MA0523.1.TCF7L2	chr8	33548680	33548693	+	0.000	0.000	Merged-chr8-33548647-24
NR1768--MA0523.1.TCF7L2	chr12	35916008	35916021	+	0.000	0.000	Merged-chr12-35915902-9
NR7949--MA0523.1.TCF7L2	chr7	115426757	115426770	+	0.000	0.000	Merged-chr7-115426820-20
NR3296--MA0523.1.TCF7L2	chr15	94235388	94235401	-	0.000	0.000	Merged-chr15-94235397-15
NR7121--MA0769.1.Tcf7	chr6	37617598	37617609	+	0.000	0.000	Merged-chr6-37617601-15
NR8032--MA1421.1.TCF7L1	chr7	128669094	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR3112--MA0523.1.TCF7L2	chr15	38636230	38636243	-	0.000	0.000	Merged-chr15-38636290-13
NR4917--MA0523.1.TCF7L2	chr2	91835180	91835193	-	0.000	0.000	Merged-chr2-91835374-51
NR8305--MA0769.1.Tcf7	chr8	78975243	78975254	-	0.000	0.000	Merged-chr8-78975191-34
NR7084--MA0523.1.TCF7L2	chr6	22412081	22412094	-	0.000	0.000	Merged-chr6-22412021-48
NR6255--MA0769.1.Tcf7	chr4	88122427	88122438	+	0.000	0.000	Merged-chr4-88122493-27
NR4881--MA0769.1.Tcf7	chr2	79276536	79276547	+	0.000	0.000	Merged-chr2-79276460-24
NR817--MA0523.1.TCF7L2	chr10	25918280	25918293	+	0.000	0.000	Merged-chr10-25918351-16
NR3304--MA1421.1.TCF7L1	chr15	96778434	96778445	+	0.000	0.000	Merged-chr15-96778537-47
NR1813--MA0769.1.Tcf7	chr12	53024928	53024939	-	0.000	0.000	Merged-chr12-53024873-19
NR8705--MA0523.1.TCF7L2	chr9	65084567	65084580	-	0.000	0.000	Merged-chr9-65084631-10
NR8369--MA0523.1.TCF7L2	chr8	94634367	94634380	+	0.000	0.000	Merged-chr8-94634294-63
NR5501--MA0769.1.Tcf7	chr3	59277951	59277962	+	0.000	0.000	Merged-chr3-59277984-20
NR3666--MA0769.1.Tcf7	chr16	91413339	91413350	+	0.000	0.000	Merged-chr16-91413429-37
NR1043--MA0769.1.Tcf7	chr10	83591075	83591086	+	0.000	0.000	Merged-chr10-83590901-21
NR8323--MA0769.1.Tcf7	chr8	81761674	81761685	-	0.000	0.000	Merged-chr8-81761666-20
NR5434--MA1421.1.TCF7L1	chr3	28318055	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR6273--MA0769.1.Tcf7	chr4	89505563	89505574	+	0.000	0.000	Merged-chr4-89505388-45
NR8575--MA0523.1.TCF7L2	chr9	32538275	32538288	+	0.000	0.000	Merged-chr9-32538268-31
NR8840--MA1421.1.TCF7L1	chr9	92217746	92217757	-	0.000	0.000	Merged-chr9-92217904-40
NR2438--MA0523.1.TCF7L2	chr13	92639029	92639042	-	0.000	0.000	Merged-chr13-92639220-17
NR2491--MA1421.1.TCF7L1	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR4541--MA0769.1.Tcf7	chr2	4454896	4454907	+	0.000	0.000	Merged-chr2-4454837-7
NR9054--MA1421.1.TCF7L1	chrX	37141905	37141916	-	0.000	0.000	Merged-chrX-37141960-22
NR2254--MA0769.1.Tcf7	chr13	44210324	44210335	+	0.000	0.000	Merged-chr13-44210381-13
NR1961--MA0523.1.TCF7L2	chr12	89954692	89954705	+	0.000	0.000	Merged-chr12-89954802-12
NR1793--MA0523.1.TCF7L2	chr12	41337046	41337059	-	0.000	0.000	Merged-chr12-41336902-7
NR6600--MA0523.1.TCF7L2	chr5	36140747	36140760	+	0.000	0.000	Merged-chr5-36140594-4
NR5215--MA1421.1.TCF7L1	chr2	150130342	150130353	+	0.000	0.000	Merged-chr2-150130462-1
NR3701--MA0523.1.TCF7L2	chr16	95900264	95900277	+	0.000	0.000	Merged-chr16-95900278-53
NR4099--MA0523.1.TCF7L2	chr18	38584793	38584806	-	0.000	0.000	Merged-chr18-38584729-14
NR7673--MA0523.1.TCF7L2	chr7	19202621	19202634	-	0.000	0.000	Merged-chr7-19202544-28
NR5958--MA0769.1.Tcf7	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR6007--MA0523.1.TCF7L2	chr3	154694111	154694124	+	0.000	0.000	Merged-chr3-154694103-10
NR3725--MA1421.1.TCF7L1	chr17	3246828	3246839	+	0.000	0.000	Merged-chr17-3246798-10
NR4774--MA0523.1.TCF7L2	chr2	59527631	59527644	-	0.000	0.000	Merged-chr2-59527807-15
NR7321--MA0523.1.TCF7L2	chr6	89288315	89288328	-	0.000	0.000	Merged-chr6-89288372-31
NR7248--MA0523.1.TCF7L2	chr6	67480625	67480638	+	0.000	0.000	Merged-chr6-67480682-22
NR4966--MA1421.1.TCF7L1	chr2	104633377	104633388	-	0.000	0.000	Merged-chr2-104633408-9
NR5855--MA0769.1.Tcf7	chr3	133076678	133076689	+	0.000	0.000	Merged-chr3-133076578-21
NR7020--MA0523.1.TCF7L2	chr5	149459345	149459358	+	0.000	0.000	Merged-chr5-149459249-24
NR3456--MA0769.1.Tcf7	chr16	32972828	32972839	-	0.000	0.000	Merged-chr16-32972762-21
NR4792--MA0769.1.Tcf7	chr2	61571790	61571801	+	0.000	0.000	Merged-chr2-61571777-18
NR249--MA0523.1.TCF7L2	chr1	90739141	90739154	-	0.000	0.000	Merged-chr1-90739110-18
NR6045--MA0523.1.TCF7L2	chr4	7455298	7455311	+	0.000	0.000	Merged-chr4-7455242-36
NR2053--MA1421.1.TCF7L1	chr12	110759071	110759082	-	0.000	0.000	Merged-chr12-110759192-38
NR259--MA0769.1.Tcf7	chr1	91755294	91755305	+	0.000	0.000	Merged-chr1-91755348-8
NR2859--MA0523.1.TCF7L2	chr14	73049278	73049291	-	0.000	0.000	Merged-chr14-73049322-54
NR4723--MA0523.1.TCF7L2	chr2	48328422	48328435	-	0.000	0.000	Merged-chr2-48328415-44
NR3506--MA1421.1.TCF7L1	chr16	44735811	44735822	+	0.000	0.000	Merged-chr16-44735956-40
NR6647--MA0523.1.TCF7L2	chr5	52245286	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR1824--MA0523.1.TCF7L2	chr12	59170102	59170115	-	0.000	0.000	Merged-chr12-59170039-43
NR2805--MA0769.1.Tcf7	chr14	61012532	61012543	+	0.000	0.000	Merged-chr14-61012611-17
NR5--MA1421.1.TCF7L1	chr1	6519355	6519366	-	0.000	0.000	Merged-chr1-6519375-11
NR3447--MA0523.1.TCF7L2	chr16	31683776	31683789	-	0.000	0.000	Merged-chr16-31683796-20
NR1452--MA1421.1.TCF7L1	chr11	68204521	68204532	-	0.000	0.000	Merged-chr11-68204624-12
NR5421--MA0769.1.Tcf7	chr3	21809910	21809921	+	0.000	0.000	Merged-chr3-21809864-17
NR6853--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR3376--MA1421.1.TCF7L1	chr16	10669094	10669105	-	0.000	0.000	Merged-chr16-10669015-79
NR3013--MA0769.1.Tcf7	chr14	122908311	122908322	-	0.000	0.000	Merged-chr14-122908322-32
NR2861--MA1421.1.TCF7L1	chr14	73416718	73416729	+	0.000	0.000	Merged-chr14-73416835-27
NR1854--MA0769.1.Tcf7	chr12	71048393	71048404	-	0.000	0.000	Merged-chr12-71048283-51
NR493--MA0523.1.TCF7L2	chr1	153038089	153038102	+	0.000	0.000	Merged-chr1-153037964-21
NR5240--MA1421.1.TCF7L1	chr2	153003057	153003068	+	0.000	0.000	Merged-chr2-153002914-29
NR4601--MA1421.1.TCF7L1	chr2	19316122	19316133	-	0.000	0.000	Merged-chr2-19316159-10
NR3698--MA0769.1.Tcf7	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR6525--MA1421.1.TCF7L1	chr4	155082287	155082298	+	0.000	0.000	Merged-chr4-155082260-14
NR3801--MA0769.1.Tcf7	chr17	29082151	29082162	+	0.000	0.000	Merged-chr17-29082107-45
NR3750--MA1421.1.TCF7L1	chr17	12036453	12036464	-	0.000	0.000	Merged-chr17-12036318-13
NR6502--MA0769.1.Tcf7	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR5674--MA1421.1.TCF7L1	chr3	100475244	100475255	+	0.000	0.000	Merged-chr3-100475201-27
NR7598--MA1421.1.TCF7L1	chr6	144922984	144922995	-	0.000	0.000	Merged-chr6-144923057-24
NR2678--MA0523.1.TCF7L2	chr14	32716983	32716996	-	0.000	0.000	Merged-chr14-32716978-71
NR6056--MA1421.1.TCF7L1	chr4	11610155	11610166	+	0.000	0.000	Merged-chr4-11610147-18
NR5645--MA0769.1.Tcf7	chr3	96814544	96814555	-	0.000	0.000	Merged-chr3-96814496-20
NR8148--MA1421.1.TCF7L1	chr8	18768219	18768230	-	0.000	0.000	Merged-chr8-18768213-14
NR1196--MA0769.1.Tcf7	chr10	111578772	111578783	+	0.000	0.000	Merged-chr10-111578564-64
NR6802--MA0523.1.TCF7L2	chr5	98018288	98018301	+	0.000	0.000	Merged-chr5-98018284-53
NR7498--MA0769.1.Tcf7	chr6	127336824	127336835	-	0.000	0.000	Merged-chr6-127336586-54
NR935--MA1421.1.TCF7L1	chr10	60161065	60161076	-	0.000	0.000	Merged-chr10-60161046-15
NR5249--MA1421.1.TCF7L1	chr2	154797094	154797105	+	0.000	0.000	Merged-chr2-154797130-17
NR5766--MA0769.1.Tcf7	chr3	115933847	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR7875--MA0523.1.TCF7L2	chr7	98797476	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR1411--MA0769.1.Tcf7	chr11	53351861	53351872	-	0.000	0.000	Merged-chr11-53351836-17
NR2286--MA0769.1.Tcf7	chr13	52008135	52008146	-	0.000	0.000	Merged-chr13-52008191-11
NR5358--MA0523.1.TCF7L2	chr2	174612773	174612786	-	0.000	0.000	Merged-chr2-174612913-27
NR3098--MA0523.1.TCF7L2	chr15	36396449	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR7037--MA0769.1.Tcf7	chr5	151417186	151417197	+	0.000	0.000	Merged-chr5-151417137-15
NR672--MA1421.1.TCF7L1	chr1	184197641	184197652	-	0.000	0.000	Merged-chr1-184197455-33
NR6247--MA0523.1.TCF7L2	chr4	86722085	86722098	+	0.000	0.000	Merged-chr4-86721990-52
NR8111--MA0523.1.TCF7L2	chr7	143052807	143052820	+	0.000	0.000	Merged-chr7-143053012-41
NR4925--MA0523.1.TCF7L2	chr2	94245411	94245424	-	0.000	0.000	Merged-chr2-94245520-16
NR2665--MA0523.1.TCF7L2	chr14	27390866	27390879	+	0.000	0.000	Merged-chr14-27390836-41
NR1123--MA0523.1.TCF7L2	chr10	98976102	98976115	-	0.000	0.000	Merged-chr10-98976063-31
NR6849--MA0523.1.TCF7L2	chr5	103746717	103746730	-	0.000	0.000	Merged-chr5-103746858-38
NR825--MA0523.1.TCF7L2	chr10	26879379	26879392	+	0.000	0.000	Merged-chr10-26879299-36
NR2857--MA1421.1.TCF7L1	chr14	72822371	72822382	+	0.000	0.000	Merged-chr14-72822179-91
NR855--MA0769.1.Tcf7	chr10	39170467	39170478	+	0.000	0.000	Merged-chr10-39170391-11
NR5323--MA0769.1.Tcf7	chr2	169634799	169634810	-	0.000	0.000	Merged-chr2-169634826-15
NR489--MA0523.1.TCF7L2	chr1	152053401	152053414	+	0.000	0.000	Merged-chr1-152053412-31
NR5770--MA0523.1.TCF7L2	chr3	116386819	116386832	+	0.000	0.000	Merged-chr3-116386953-10
NR1756--MA0769.1.Tcf7	chr12	34143172	34143183	+	0.000	0.000	Merged-chr12-34143068-3
