#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR2254--MA0769.1.Tcf7	chr16	58553483	58553494	-	0.000	0.000	Merged-chr16-58553585-23
NR5202--MA1421.1.TCF7L1	chr8	88298013	88298024	-	0.000	0.000	Merged-chr8-88298148-50
NR729--MA1421.1.TCF7L1	chr10	111562791	111562802	+	0.000	0.000	Merged-chr10-111562842-26
NR1342--MA0523.1.TCF7L2	chr12	107139061	107139074	+	0.000	0.000	Merged-chr12-107139139-48
NR1944--MA0523.1.TCF7L2	chr15	30686510	30686523	-	0.000	0.000	Merged-chr15-30686490-29
NR2255--MA1421.1.TCF7L1	chr16	58553514	58553525	+	0.000	0.000	Merged-chr16-58553585-23
NR2743--MA0769.1.Tcf7	chr18	80682968	80682979	+	0.000	0.000	Merged-chr18-80683033-18
NR1435--MA1421.1.TCF7L1	chr13	12927707	12927718	+	0.000	0.000	Merged-chr13-12927520-1
NR5686--MA0769.1.Tcf7	chrX	48148041	48148052	+	0.000	0.000	Merged-chrX-48147927-58
NR2663--MA1421.1.TCF7L1	chr18	62726941	62726952	-	0.000	0.000	Merged-chr18-62726922-31
NR463--MA0523.1.TCF7L2	chr1	194978294	194978307	-	0.000	0.000	Merged-chr1-194978350-5
NR1000--MA0769.1.Tcf7	chr11	96912716	96912727	+	0.000	0.000	Merged-chr11-96912869-14
NR5485--MA0769.1.Tcf7	chr9	83653199	83653210	-	0.000	0.000	Merged-chr9-83653017-27
NR2896--MA0769.1.Tcf7	chr2	11320205	11320216	+	0.000	0.000	Merged-chr2-11320345-22
NR140--MA0769.1.Tcf7	chr1	88267914	88267925	+	0.000	0.000	Merged-chr1-88267879-42
NR3522--MA1421.1.TCF7L1	chr3	108727518	108727529	+	0.000	0.000	Merged-chr3-108727524-22
NR4110--MA1421.1.TCF7L1	chr5	66096227	66096238	+	0.000	0.000	Merged-chr5-66096250-16
NR4691--MA0523.1.TCF7L2	chr6	145139884	145139897	+	0.000	0.000	Merged-chr6-145139958-22
NR5406--MA0769.1.Tcf7	chr9	56264892	56264903	-	0.000	0.000	Merged-chr9-56264757-66
NR852--MA1421.1.TCF7L1	chr11	43395472	43395483	+	0.000	0.000	Merged-chr11-43395524-15
NR1405--MA0769.1.Tcf7	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR633--MA1421.1.TCF7L1	chr10	83154008	83154019	+	0.000	0.000	Merged-chr10-83154095-25
NR5563--MA0769.1.Tcf7	chr9	96754565	96754576	+	0.000	0.000	Merged-chr9-96754558-43
NR317--MA0523.1.TCF7L2	chr1	156462914	156462927	-	0.000	0.000	Merged-chr1-156462820-12
NR1450--MA0769.1.Tcf7	chr13	23544384	23544395	+	0.000	0.000	Merged-chr13-23544595-43
NR3987--MA0523.1.TCF7L2	chr4	147482508	147482521	+	0.000	0.000	Merged-chr4-147482459-2
NR1683--MA0769.1.Tcf7	chr13	112343126	112343137	+	0.000	0.000	Merged-chr13-112343316-26
NR5187--MA1421.1.TCF7L1	chr8	83737132	83737143	+	0.000	0.000	Merged-chr8-83736940-32
NR822--MA1421.1.TCF7L1	chr11	11693701	11693712	+	0.000	0.000	Merged-chr11-11693738-14
NR1030--MA0769.1.Tcf7	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR4425--MA0523.1.TCF7L2	chr6	51384177	51384190	-	0.000	0.000	Merged-chr6-51384192-15
NR3620--MA1421.1.TCF7L1	chr3	138868461	138868472	-	0.000	0.000	Merged-chr3-138868592-15
NR4293--MA1421.1.TCF7L1	chr5	140623875	140623886	+	0.000	0.000	Merged-chr5-140623883-3
NR2940--MA0769.1.Tcf7	chr2	35445515	35445526	-	0.000	0.000	Merged-chr2-35445506-29
NR1695--MA1421.1.TCF7L1	chr13	113549349	113549360	-	0.000	0.000	Merged-chr13-113549207-25
NR5636--MA0523.1.TCF7L2	chr9	118890388	118890401	-	0.000	0.000	Merged-chr9-118890241-21
NR1629--MA0523.1.TCF7L2	chr13	104615086	104615099	-	0.000	0.000	Merged-chr13-104615216-10
