#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR1681--MA0768.1.LEF1	chr7	96910488	96910502	+	0.000	0.000	Merged-chr7-96910268-22
NR1529--MA0768.1.LEF1	chr6	73210573	73210587	+	0.000	0.000	Merged-chr6-73210689-51
NR892--MA0768.1.LEF1	chr18	53411604	53411618	+	0.000	0.000	Merged-chr18-53411654-14
NR38--MA0768.1.LEF1	chr1	84742384	84742398	+	0.000	0.000	Merged-chr1-84742431-28
NR1793--MA0768.1.LEF1	chr8	81783016	81783030	-	0.000	0.000	Merged-chr8-81783049-28
NR646--MA0768.1.LEF1	chr15	4124828	4124842	+	0.000	0.000	Merged-chr15-4124842-36
NR431--MA0768.1.LEF1	chr12	112855153	112855167	-	0.000	0.000	Merged-chr12-112855098-63
NR1547--MA0768.1.LEF1	chr6	94534987	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR1332--MA0768.1.LEF1	chr4	131901418	131901432	-	0.000	0.000	Merged-chr4-131901332-16
NR1565--MA0768.1.LEF1	chr6	100581186	100581200	-	0.000	0.000	Merged-chr6-100581320-61
NR418--MA0768.1.LEF1	chr12	105538381	105538395	+	0.000	0.000	Merged-chr12-105538395-6
NR1104--MA0768.1.LEF1	chr2	157746753	157746767	+	0.000	0.000	Merged-chr2-157746803-36
NR682--MA0768.1.LEF1	chr15	66447697	66447711	+	0.000	0.000	Merged-chr15-66447588-19
NR888--MA0768.1.LEF1	chr18	39657207	39657221	-	0.000	0.000	Merged-chr18-39657147-8
NR1010--MA0768.1.LEF1	chr2	34991221	34991235	-	0.000	0.000	Merged-chr2-34991107-1
NR92--MA0768.1.LEF1	chr1	164136961	164136975	+	0.000	0.000	Merged-chr1-164136892-1
NR1695--MA0768.1.LEF1	chr7	107703474	107703488	+	0.000	0.000	Merged-chr7-107703296-29
NR1122--MA0768.1.LEF1	chr2	173452363	173452377	+	0.000	0.000	Merged-chr2-173452276-60
NR454--MA0768.1.LEF1	chr12	118101597	118101611	+	0.000	0.000	Merged-chr12-118101555-6
NR1239--MA0768.1.LEF1	chr3	148465567	148465581	+	0.000	0.000	Merged-chr3-148465597-36
