#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval0.3-log2fc0.5_up.bed
NR2077--MA0768.1.LEF1	chr5	100875851	100875865	-	0.000	0.000	Merged-chr5-100875815-38
NR38--MA0768.1.LEF1	chr1	59189725	59189739	+	0.000	0.000	Merged-chr1-59189721-10
NR2749--MA0768.1.LEF1	chrX	100789551	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR315--MA0768.1.LEF1	chr10	91138668	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR2682--MA0768.1.LEF1	chr9	96754565	96754579	+	0.000	0.000	Merged-chr9-96754558-43
NR2342--MA0768.1.LEF1	chr7	25205430	25205444	+	0.000	0.000	Merged-chr7-25205538-69
NR1024--MA0768.1.LEF1	chr16	44766968	44766982	-	0.000	0.000	Merged-chr16-44767090-2
NR1136--MA0768.1.LEF1	chr17	47269649	47269663	-	0.000	0.000	Merged-chr17-47269600-53
NR356--MA0768.1.LEF1	chr10	120193465	120193479	+	0.000	0.000	Merged-chr10-120193454-50
NR253--MA0768.1.LEF1	chr10	44821926	44821940	+	0.000	0.000	Merged-chr10-44821803-43
NR486--MA0768.1.LEF1	chr12	32895228	32895242	+	0.000	0.000	Merged-chr12-32895351-16
NR1038--MA0768.1.LEF1	chr16	52086791	52086805	+	0.000	0.000	Merged-chr16-52086970-39
NR276--MA0768.1.LEF1	chr10	61306349	61306363	+	0.000	0.000	Merged-chr10-61306308-35
NR1289--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR178--MA0768.1.LEF1	chr1	179130249	179130263	-	0.000	0.000	Merged-chr1-179130359-23
NR1746--MA0768.1.LEF1	chr3	116856015	116856029	+	0.000	0.000	Merged-chr3-116855977-19
NR966--MA0768.1.LEF1	chr15	98623374	98623388	-	0.000	0.000	Merged-chr15-98623504-45
NR411--MA0768.1.LEF1	chr11	68432895	68432909	+	0.000	0.000	Merged-chr11-68432875-7
NR1424--MA0768.1.LEF1	chr2	48328421	48328435	-	0.000	0.000	Merged-chr2-48328415-44
NR2528--MA0768.1.LEF1	chr8	83779698	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR2121--MA0768.1.LEF1	chr5	137857125	137857139	+	0.000	0.000	Merged-chr5-137857044-20
NR2448--MA0768.1.LEF1	chr7	135605122	135605136	+	0.000	0.000	Merged-chr7-135605308-40
NR802--MA0768.1.LEF1	chr14	59087406	59087420	+	0.000	0.000	Merged-chr14-59087274-14
NR1735--MA0768.1.LEF1	chr3	108645108	108645122	+	0.000	0.000	Merged-chr3-108645070-17
NR279--MA0768.1.LEF1	chr10	63377775	63377789	-	0.000	0.000	Merged-chr10-63377660-26
NR2073--MA0768.1.LEF1	chr5	100526268	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR1888--MA0768.1.LEF1	chr4	88010644	88010658	-	0.000	0.000	Merged-chr4-88010715-29
NR1333--MA0768.1.LEF1	chr19	33081781	33081795	-	0.000	0.000	Merged-chr19-33081699-35
NR419--MA0768.1.LEF1	chr11	76184635	76184649	-	0.000	0.000	Merged-chr11-76184587-9
NR2553--MA0768.1.LEF1	chr8	115188725	115188739	-	0.000	0.000	Merged-chr8-115188643-43
NR795--MA0768.1.LEF1	chr14	54061806	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR352--MA0768.1.LEF1	chr10	118096407	118096421	-	0.000	0.000	Merged-chr10-118096400-51
NR1383--MA0768.1.LEF1	chr2	11617019	11617033	+	0.000	0.000	Merged-chr2-11617013-39
NR1710--MA0768.1.LEF1	chr3	95223331	95223345	+	0.000	0.000	Merged-chr3-95223190-16
NR2227--MA0768.1.LEF1	chr6	94534987	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR254--MA0768.1.LEF1	chr10	44821970	44821984	-	0.000	0.000	Merged-chr10-44821803-43
NR1388--MA0768.1.LEF1	chr2	17861893	17861907	+	0.000	0.000	Merged-chr2-17861880-15
NR814--MA0768.1.LEF1	chr14	70283893	70283907	+	0.000	0.000	Merged-chr14-70283811-50
NR828--MA0768.1.LEF1	chr14	78687933	78687947	-	0.000	0.000	Merged-chr14-78687892-42
NR1550--MA0768.1.LEF1	chr2	127923292	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR2220--MA0768.1.LEF1	chr6	88782956	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR2104--MA0768.1.LEF1	chr5	122652790	122652804	+	0.000	0.000	Merged-chr5-122652679-26
NR1032--MA0768.1.LEF1	chr16	49772876	49772890	+	0.000	0.000	Merged-chr16-49772867-33
NR252--MA0768.1.LEF1	chr10	44700354	44700368	-	0.000	0.000	Merged-chr10-44700385-25
NR2695--MA0768.1.LEF1	chr9	108146578	108146592	-	0.000	0.000	Merged-chr9-108146589-26
NR2029--MA0768.1.LEF1	chr5	64455555	64455569	-	0.000	0.000	Merged-chr5-64455679-15
NR871--MA0768.1.LEF1	chr14	122290588	122290602	+	0.000	0.000	Merged-chr14-122290582-19
NR1656--MA0768.1.LEF1	chr3	38280376	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR415--MA0768.1.LEF1	chr11	73094444	73094458	+	0.000	0.000	Merged-chr11-73094317-1
NR2308--MA0768.1.LEF1	chr6	142752584	142752598	+	0.000	0.000	Merged-chr6-142752635-30
NR1903--MA0768.1.LEF1	chr4	101176525	101176539	+	0.000	0.000	Merged-chr4-101176356-14
NR241--MA0768.1.LEF1	chr10	28564335	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR1962--MA0768.1.LEF1	chr4	149515888	149515902	+	0.000	0.000	Merged-chr4-149515822-34
NR600--MA0768.1.LEF1	chr13	8458069	8458083	+	0.000	0.000	Merged-chr13-8458004-23
NR2018--MA0768.1.LEF1	chr5	52245285	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR157--MA0768.1.LEF1	chr1	160054590	160054604	+	0.000	0.000	Merged-chr1-160054348-51
NR2394--MA0768.1.LEF1	chr7	98797475	98797489	-	0.000	0.000	Merged-chr7-98797577-28
