#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR1568--MA0731.1.BCL6B	chr6	8641006	8641022	-	0.000	0.000	Merged-chr6-8641126-10
NR1398--MA0731.1.BCL6B	chr4	132775157	132775173	+	0.000	0.000	Merged-chr4-132775105-24
NR88--MA0463.1.Bcl6	chr1	156462767	156462780	+	0.000	0.000	Merged-chr1-156462820-12
NR538--MA0731.1.BCL6B	chr13	73740708	73740724	+	0.000	0.000	Merged-chr13-73740559-35
NR519--MA0463.1.Bcl6	chr13	51781592	51781605	-	0.000	0.000	Merged-chr13-51781746-17
NR537--MA0463.1.Bcl6	chr13	73740708	73740721	-	0.000	0.000	Merged-chr13-73740559-35
NR300--MA0731.1.BCL6B	chr11	64047672	64047688	+	0.000	0.000	Merged-chr11-64047597-23
NR1801--MA0463.1.Bcl6	chr7	136248474	136248487	-	0.000	0.000	Merged-chr7-136248443-25
NR493--MA0463.1.Bcl6	chr13	20502948	20502961	-	0.000	0.000	Merged-chr13-20502802-9
NR825--MA0463.1.Bcl6	chr17	29638092	29638105	-	0.000	0.000	Merged-chr17-29638161-9
NR52--MA0463.1.Bcl6	chr1	106043521	106043534	+	0.000	0.000	Merged-chr1-106043665-23
NR339--MA0463.1.Bcl6	chr11	98918364	98918377	+	0.000	0.000	Merged-chr11-98918377-19
NR1993--MA0463.1.Bcl6	chr9	122246143	122246156	-	0.000	0.000	Merged-chr9-122246104-16
NR1756--MA0731.1.BCL6B	chr7	101600532	101600548	-	0.000	0.000	Merged-chr7-101600630-30
NR1475--MA0463.1.Bcl6	chr5	68033558	68033571	+	0.000	0.000	Merged-chr5-68033501-23
NR328--MA0463.1.Bcl6	chr11	89024322	89024335	-	0.000	0.000	Merged-chr11-89024298-29
NR824--MA0731.1.BCL6B	chr17	29606452	29606468	-	0.000	0.000	Merged-chr17-29606605-11
NR992--MA0463.1.Bcl6	chr19	57988219	57988232	+	0.000	0.000	Merged-chr19-57988321-5
NR35--MA0463.1.Bcl6	chr1	78478074	78478087	-	0.000	0.000	Merged-chr1-78478073-15
NR508--MA0731.1.BCL6B	chr13	35871507	35871523	-	0.000	0.000	Merged-chr13-35871308-48
NR251--MA0731.1.BCL6B	chr10	117938820	117938836	+	0.000	0.000	Merged-chr10-117938782-19
NR822--MA0463.1.Bcl6	chr17	29500923	29500936	+	0.000	0.000	Merged-chr17-29500871-30
NR738--MA0463.1.Bcl6	chr16	11519381	11519394	+	0.000	0.000	Merged-chr16-11519349-21
NR1219--MA0463.1.Bcl6	chr3	84631009	84631022	-	0.000	0.000	Merged-chr3-84630888-13
NR180--MA0463.1.Bcl6	chr10	34197354	34197367	-	0.000	0.000	Merged-chr10-34197506-23
NR340--MA0731.1.BCL6B	chr11	98918361	98918377	-	0.000	0.000	Merged-chr11-98918377-19
NR823--MA0463.1.Bcl6	chr17	29606455	29606468	+	0.000	0.000	Merged-chr17-29606605-11
NR1811--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR1923--MA0463.1.Bcl6	chr9	53452368	53452381	-	0.000	0.000	Merged-chr9-53452460-4
NR252--MA0463.1.Bcl6	chr10	117982728	117982741	+	0.000	0.000	Merged-chr10-117982814-16
NR1924--MA0731.1.BCL6B	chr9	53452500	53452516	-	0.000	0.000	Merged-chr9-53452460-4
NR675--MA0463.1.Bcl6	chr15	38452730	38452743	-	0.000	0.000	Merged-chr15-38452892-28
NR1917--MA0463.1.Bcl6	chr9	50325569	50325582	+	0.000	0.000	Merged-chr9-50325609-2
