#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR5543--MA0511.2.RUNX2	chr19	32138397	32138405	+	0.000	0.000	Merged-chr19-32138517-38
NR4369--MA0511.2.RUNX2	chr16	48594584	48594592	+	0.000	0.000	Merged-chr16-48594719-53
NR703--MA0002.2.RUNX1	chr1	172197312	172197322	+	0.000	0.000	Merged-chr1-172197316-25
NR10051--MA0002.2.RUNX1	chr8	70160137	70160147	+	0.000	0.000	Merged-chr8-70160118-32
NR6267--MA0511.2.RUNX2	chr2	135737687	135737695	-	0.000	0.000	Merged-chr2-135737673-31
NR8248--MA0684.1.RUNX3	chr5	115693470	115693479	+	0.000	0.000	Merged-chr5-115693567-32
NR10226--MA0002.2.RUNX1	chr8	115568645	115568655	+	0.000	0.000	Merged-chr8-115568627-19
NR9402--MA0002.2.RUNX1	chr7	67353072	67353082	-	0.000	0.000	Merged-chr7-67353153-2
NR10573--MA0684.1.RUNX3	chr9	61715134	61715143	-	0.000	0.000	Merged-chr9-61715160-12
NR9875--MA0511.2.RUNX2	chr8	3205373	3205381	-	0.000	0.000	Merged-chr8-3205181-19
NR10761--MA0511.2.RUNX2	chr9	88273496	88273504	+	0.000	0.000	Merged-chr9-88273504-34
NR6100--MA0002.2.RUNX1	chr2	91078419	91078429	+	0.000	0.000	Merged-chr2-91078502-21
NR5849--MA0684.1.RUNX3	chr2	31180525	31180534	+	0.000	0.000	Merged-chr2-31180309-64
NR9888--MA0511.2.RUNX2	chr8	11203353	11203361	+	0.000	0.000	Merged-chr8-11203491-10
NR1360--MA0511.2.RUNX2	chr10	116175612	116175620	+	0.000	0.000	Merged-chr10-116175646-10
NR371--MA0002.2.RUNX1	chr1	98022055	98022065	-	0.000	0.000	Merged-chr1-98022036-10
NR9361--MA0684.1.RUNX3	chr7	49495094	49495103	-	0.000	0.000	Merged-chr7-49494921-17
NR3748--MA0002.2.RUNX1	chr14	119236409	119236419	+	0.000	0.000	Merged-chr14-119236354-10
NR2844--MA0511.2.RUNX2	chr13	31179581	31179589	-	0.000	0.000	Merged-chr13-31179647-13
NR9876--MA0684.1.RUNX3	chr8	3205372	3205381	-	0.000	0.000	Merged-chr8-3205181-19
NR4818--MA0002.2.RUNX1	chr17	35758916	35758926	-	0.000	0.000	Merged-chr17-35758886-16
NR4371--MA0684.1.RUNX3	chr16	48594584	48594593	+	0.000	0.000	Merged-chr16-48594719-53
NR5353--MA0684.1.RUNX3	chr18	79297926	79297935	+	0.000	0.000	Merged-chr18-79298014-36
NR6702--MA0684.1.RUNX3	chr3	68240113	68240122	+	0.000	0.000	Merged-chr3-68240034-18
NR7221--MA0511.2.RUNX2	chr4	11610182	11610190	-	0.000	0.000	Merged-chr4-11610147-18
NR6871--MA0511.2.RUNX2	chr3	107819325	107819333	-	0.000	0.000	Merged-chr3-107819260-44
NR6967--MA0684.1.RUNX3	chr3	128122335	128122344	-	0.000	0.000	Merged-chr3-128122378-34
NR7135--MA0002.2.RUNX1	chr3	149277987	149277997	-	0.000	0.000	Merged-chr3-149278071-17
NR9546--MA0511.2.RUNX2	chr7	101027881	101027889	-	0.000	0.000	Merged-chr7-101027827-19
NR6894--MA0002.2.RUNX1	chr3	109740742	109740752	-	0.000	0.000	Merged-chr3-109740806-11
NR8683--MA0002.2.RUNX1	chr6	67395791	67395801	-	0.000	0.000	Merged-chr6-67395725-22
NR3234--MA0511.2.RUNX2	chr13	108527452	108527460	-	0.000	0.000	Merged-chr13-108527257-30
NR2262--MA0002.2.RUNX1	chr12	34990416	34990426	+	0.000	0.000	Merged-chr12-34990480-50
NR882--MA0511.2.RUNX2	chr1	193146437	193146445	+	0.000	0.000	Merged-chr1-193146532-29
NR9459--MA0684.1.RUNX3	chr7	80643398	80643407	+	0.000	0.000	Merged-chr7-80643369-34
