#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR1478--MA0035.3.Gata1	chr12	25270022	25270032	-	0.000	0.000	Merged-chr12-25270049-10
NR5446--MA0482.1.Gata4	chr6	4664524	4664534	+	0.000	0.000	Merged-chr6-4664595-18
NR756--MA1104.1.GATA6	chr10	59636910	59636922	+	0.000	0.000	Merged-chr10-59636988-40
NR663--MA0035.3.Gata1	chr10	13999025	13999035	-	0.000	0.000	Merged-chr10-13999186-36
NR4353--MA0036.3.GATA2	chr3	60788287	60788297	+	0.000	0.000	Merged-chr3-60788099-46
NR1232--MA0037.3.GATA3	chr11	85454138	85454145	+	0.000	0.000	Merged-chr11-85454065-23
NR1337--MA0482.1.Gata4	chr11	104538423	104538433	-	0.000	0.000	Merged-chr11-104538419-8
NR5447--MA1104.1.GATA6	chr6	4664522	4664534	-	0.000	0.000	Merged-chr6-4664595-18
NR732--MA0482.1.Gata4	chr10	40451942	40451952	+	0.000	0.000	Merged-chr10-40451996-39
NR1398--MA0482.1.Gata4	chr11	111065057	111065067	-	0.000	0.000	Merged-chr11-111065000-37
NR4401--MA0140.2.GATA1::TAL1	chr3	84772169	84772186	-	0.000	0.000	Merged-chr3-84772067-31
NR5791--MA0140.2.GATA1::TAL1	chr6	136902663	136902680	-	0.000	0.000	Merged-chr6-136902691-26
NR1399--MA1104.1.GATA6	chr11	111065057	111065069	+	0.000	0.000	Merged-chr11-111065000-37
NR4039--MA0766.1.GATA5	chr2	116999070	116999077	+	0.000	0.000	Merged-chr2-116999120-8
NR1474--MA0037.3.GATA3	chr12	25270024	25270031	+	0.000	0.000	Merged-chr12-25270049-10
NR1400--MA0035.3.Gata1	chr11	111065058	111065068	-	0.000	0.000	Merged-chr11-111065000-37
NR4612--MA1104.1.GATA6	chr3	136725867	136725879	-	0.000	0.000	Merged-chr3-136725981-1
NR2456--MA1104.1.GATA6	chr14	121313218	121313230	-	0.000	0.000	Merged-chr14-121313397-5
NR3502--MA0036.3.GATA2	chr19	5094351	5094361	-	0.000	0.000	Merged-chr19-5094459-12
NR1160--MA0766.1.GATA5	chr11	64037641	64037648	+	0.000	0.000	Merged-chr11-64037767-32
NR1702--MA0766.1.GATA5	chr12	113414681	113414688	-	0.000	0.000	Merged-chr12-113414554-11
NR5314--MA0766.1.GATA5	chr5	124022517	124022524	-	0.000	0.000	Merged-chr5-124022476-27
NR5445--MA0037.3.GATA3	chr6	4664524	4664531	-	0.000	0.000	Merged-chr6-4664595-18
NR7141--MA0035.3.Gata1	chrX	137019422	137019432	-	0.000	0.000	Merged-chrX-137019593-29
NR4960--MA0035.3.Gata1	chr4	132783978	132783988	-	0.000	0.000	Merged-chr4-132783946-19
NR1596--MA0035.3.Gata1	chr12	85818540	85818550	-	0.000	0.000	Merged-chr12-85818661-14
NR1703--MA0035.3.Gata1	chr12	113414680	113414690	+	0.000	0.000	Merged-chr12-113414554-11
NR5315--MA0035.3.Gata1	chr5	124022516	124022526	+	0.000	0.000	Merged-chr5-124022476-27
NR1235--MA0036.3.GATA2	chr11	85454136	85454146	-	0.000	0.000	Merged-chr11-85454065-23
NR1699--MA0482.1.Gata4	chr12	113414681	113414691	+	0.000	0.000	Merged-chr12-113414554-11
NR4400--MA0035.3.Gata1	chr3	84772178	84772188	-	0.000	0.000	Merged-chr3-84772067-31
NR1246--MA0035.3.Gata1	chr11	87760741	87760751	-	0.000	0.000	Merged-chr11-87760892-1
NR736--MA0035.3.Gata1	chr10	40451941	40451951	+	0.000	0.000	Merged-chr10-40451996-39
NR4450--MA0482.1.Gata4	chr3	101296677	101296687	-	0.000	0.000	Merged-chr3-101296807-2
NR4615--MA0035.3.Gata1	chr3	136725868	136725878	+	0.000	0.000	Merged-chr3-136725981-1
NR4843--MA0482.1.Gata4	chr4	89400517	89400527	-	0.000	0.000	Merged-chr4-89400416-12
NR4860--MA1104.1.GATA6	chr4	95197263	95197275	+	0.000	0.000	Merged-chr4-95197383-10
NR4846--MA0035.3.Gata1	chr4	89400518	89400528	-	0.000	0.000	Merged-chr4-89400416-12
NR4354--MA0766.1.GATA5	chr3	60788288	60788295	-	0.000	0.000	Merged-chr3-60788099-46
NR1475--MA1104.1.GATA6	chr12	25270021	25270033	+	0.000	0.000	Merged-chr12-25270049-10
NR662--MA0036.3.GATA2	chr10	13999025	13999035	-	0.000	0.000	Merged-chr10-13999186-36
NR4451--MA1104.1.GATA6	chr3	101296677	101296689	+	0.000	0.000	Merged-chr3-101296807-2
NR5448--MA0036.3.GATA2	chr6	4664523	4664533	+	0.000	0.000	Merged-chr6-4664595-18
NR4844--MA1104.1.GATA6	chr4	89400517	89400529	+	0.000	0.000	Merged-chr4-89400416-12
NR1698--MA0037.3.GATA3	chr12	113414681	113414688	-	0.000	0.000	Merged-chr12-113414554-11
NR4490--MA0766.1.GATA5	chr3	109456499	109456506	+	0.000	0.000	Merged-chr3-109456576-4
NR4355--MA0035.3.Gata1	chr3	60788287	60788297	+	0.000	0.000	Merged-chr3-60788099-46
NR4611--MA0037.3.GATA3	chr3	136725869	136725876	-	0.000	0.000	Merged-chr3-136725981-1
NR4859--MA0482.1.Gata4	chr4	95197263	95197273	-	0.000	0.000	Merged-chr4-95197383-10
NR3503--MA0766.1.GATA5	chr19	5094353	5094360	+	0.000	0.000	Merged-chr19-5094459-12
NR3554--MA0035.3.Gata1	chr19	25059774	25059784	+	0.000	0.000	Merged-chr19-25059831-2
NR4397--MA0482.1.Gata4	chr3	84772177	84772187	-	0.000	0.000	Merged-chr3-84772067-31
NR5311--MA0482.1.Gata4	chr5	124022517	124022527	+	0.000	0.000	Merged-chr5-124022476-27
NR3072--MA0140.2.GATA1::TAL1	chr17	47515622	47515639	+	0.000	0.000	Merged-chr17-47515680-12
NR3504--MA0035.3.Gata1	chr19	5094351	5094361	-	0.000	0.000	Merged-chr19-5094459-12
NR4398--MA1104.1.GATA6	chr3	84772177	84772189	+	0.000	0.000	Merged-chr3-84772067-31
NR1236--MA0766.1.GATA5	chr11	85454138	85454145	+	0.000	0.000	Merged-chr11-85454065-23
NR1826--MA0482.1.Gata4	chr13	32971838	32971848	+	0.000	0.000	Merged-chr13-32971962-1
NR1700--MA1104.1.GATA6	chr12	113414679	113414691	-	0.000	0.000	Merged-chr12-113414554-11
NR5312--MA1104.1.GATA6	chr5	124022515	124022527	-	0.000	0.000	Merged-chr5-124022476-27
NR737--MA0140.2.GATA1::TAL1	chr10	40451943	40451960	+	0.000	0.000	Merged-chr10-40451996-39
NR1829--MA0035.3.Gata1	chr13	32971837	32971847	+	0.000	0.000	Merged-chr13-32971962-1
NR7140--MA0482.1.Gata4	chrX	137019421	137019431	-	0.000	0.000	Merged-chrX-137019593-29
NR5450--MA0035.3.Gata1	chr6	4664523	4664533	+	0.000	0.000	Merged-chr6-4664595-18
NR4858--MA0037.3.GATA3	chr4	95197266	95197273	+	0.000	0.000	Merged-chr4-95197383-10
NR1827--MA1104.1.GATA6	chr13	32971836	32971848	-	0.000	0.000	Merged-chr13-32971962-1
NR4861--MA0036.3.GATA2	chr4	95197264	95197274	-	0.000	0.000	Merged-chr4-95197383-10
NR1237--MA0035.3.Gata1	chr11	85454136	85454146	-	0.000	0.000	Merged-chr11-85454065-23
NR60--MA0035.3.Gata1	chr1	52753969	52753979	+	0.000	0.000	Merged-chr1-52754097-20
NR4449--MA0037.3.GATA3	chr3	101296680	101296687	+	0.000	0.000	Merged-chr3-101296807-2
NR733--MA1104.1.GATA6	chr10	40451940	40451952	-	0.000	0.000	Merged-chr10-40451996-39
NR1476--MA0036.3.GATA2	chr12	25270022	25270032	-	0.000	0.000	Merged-chr12-25270049-10
NR5310--MA0037.3.GATA3	chr5	124022517	124022524	-	0.000	0.000	Merged-chr5-124022476-27
NR3500--MA0037.3.GATA3	chr19	5094353	5094360	+	0.000	0.000	Merged-chr19-5094459-12
NR4845--MA0036.3.GATA2	chr4	89400518	89400528	-	0.000	0.000	Merged-chr4-89400416-12
NR5449--MA0766.1.GATA5	chr6	4664524	4664531	-	0.000	0.000	Merged-chr6-4664595-18
NR2565--MA0140.2.GATA1::TAL1	chr15	62390449	62390466	-	0.000	0.000	Merged-chr15-62390498-8
NR1245--MA0482.1.Gata4	chr11	87760740	87760750	-	0.000	0.000	Merged-chr11-87760892-1
NR4351--MA0482.1.Gata4	chr3	60788288	60788298	+	0.000	0.000	Merged-chr3-60788099-46
NR731--MA0037.3.GATA3	chr10	40451942	40451949	-	0.000	0.000	Merged-chr10-40451996-39
NR735--MA0766.1.GATA5	chr10	40451942	40451949	-	0.000	0.000	Merged-chr10-40451996-39
NR3356--MA0140.2.GATA1::TAL1	chr18	67671541	67671558	+	0.000	0.000	Merged-chr18-67671688-18
NR4038--MA0037.3.GATA3	chr2	116999070	116999077	+	0.000	0.000	Merged-chr2-116999120-8
NR4352--MA1104.1.GATA6	chr3	60788286	60788298	-	0.000	0.000	Merged-chr3-60788099-46
NR4614--MA0766.1.GATA5	chr3	136725869	136725876	-	0.000	0.000	Merged-chr3-136725981-1
NR4452--MA0766.1.GATA5	chr3	101296680	101296687	+	0.000	0.000	Merged-chr3-101296807-2
NR4959--MA0766.1.GATA5	chr4	132783867	132783874	-	0.000	0.000	Merged-chr4-132783946-19
NR4399--MA0036.3.GATA2	chr3	84772178	84772188	-	0.000	0.000	Merged-chr3-84772067-31
NR4489--MA0482.1.Gata4	chr3	109456496	109456506	-	0.000	0.000	Merged-chr3-109456576-4
NR4350--MA0037.3.GATA3	chr3	60788288	60788295	-	0.000	0.000	Merged-chr3-60788099-46
NR1701--MA0036.3.GATA2	chr12	113414680	113414690	+	0.000	0.000	Merged-chr12-113414554-11
NR5313--MA0036.3.GATA2	chr5	124022516	124022526	+	0.000	0.000	Merged-chr5-124022476-27
NR1135--MA0140.2.GATA1::TAL1	chr11	53636286	53636303	-	0.000	0.000	Merged-chr11-53636381-3
NR3501--MA1104.1.GATA6	chr19	5094350	5094362	+	0.000	0.000	Merged-chr19-5094459-12
NR1828--MA0036.3.GATA2	chr13	32971837	32971847	+	0.000	0.000	Merged-chr13-32971962-1
NR1233--MA0482.1.Gata4	chr11	85454135	85454145	-	0.000	0.000	Merged-chr11-85454065-23
NR4958--MA0037.3.GATA3	chr4	132783867	132783874	-	0.000	0.000	Merged-chr4-132783946-19
NR734--MA0036.3.GATA2	chr10	40451941	40451951	+	0.000	0.000	Merged-chr10-40451996-39
NR4862--MA0766.1.GATA5	chr4	95197266	95197273	+	0.000	0.000	Merged-chr4-95197383-10
NR1159--MA0037.3.GATA3	chr11	64037641	64037648	+	0.000	0.000	Merged-chr11-64037767-32
NR4613--MA0036.3.GATA2	chr3	136725868	136725878	+	0.000	0.000	Merged-chr3-136725981-1
NR1234--MA1104.1.GATA6	chr11	85454135	85454147	+	0.000	0.000	Merged-chr11-85454065-23
NR1595--MA1104.1.GATA6	chr12	85818539	85818551	+	0.000	0.000	Merged-chr12-85818661-14
NR1477--MA0766.1.GATA5	chr12	25270024	25270031	+	0.000	0.000	Merged-chr12-25270049-10
