#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_dn.bed
NR42746--MA0039.3.KLF4	chr3	115692528	115692538	+	0.000	0.000	Merged-chr3-115692552-34
NR24664--MA1107.1.KLF9	chr15	98927707	98927719	+	0.000	0.000	Merged-chr15-98927787-24
NR70663--MA0741.1.KLF16	chr9	107334666	107334676	+	0.000	0.000	Merged-chr9-107334469-86
NR37377--MA0741.1.KLF16	chr2	102850114	102850124	+	0.000	0.000	Merged-chr2-102849968-21
NR55511--MA0741.1.KLF16	chr6	54092925	54092935	+	0.000	0.000	Merged-chr6-54092801-44
NR52129--MA0599.1.KLF5	chr5	114246626	114246635	+	0.000	0.000	Merged-chr5-114246791-23
NR3073--MA0742.1.Klf12	chr1	153304278	153304292	+	0.000	0.000	Merged-chr1-153304263-23
NR4859--MA1107.1.KLF9	chr1	191999163	191999175	-	0.000	0.000	Merged-chr1-191999183-26
NR55506--MA0599.1.KLF5	chr6	54092929	54092938	+	0.000	0.000	Merged-chr6-54092801-44
NR22038--MA0599.1.KLF5	chr14	120520132	120520141	+	0.000	0.000	Merged-chr14-120520145-25
NR49256--MA0039.3.KLF4	chr5	5420286	5420296	+	0.000	0.000	Merged-chr5-5420247-39
NR28453--MA0741.1.KLF16	chr17	29500858	29500868	-	0.000	0.000	Merged-chr17-29500871-30
NR51033--MA0039.3.KLF4	chr5	77092011	77092021	-	0.000	0.000	Merged-chr5-77092081-48
NR18550--MA1107.1.KLF9	chr13	108170124	108170136	+	0.000	0.000	Merged-chr13-108170237-20
NR38165--MA0740.1.KLF14	chr2	128190327	128190340	-	0.000	0.000	Merged-chr2-128190126-44
NR40008--MA0493.1.Klf1	chr2	173377707	173377717	-	0.000	0.000	Merged-chr2-173377859-39
NR47550--MA0741.1.KLF16	chr4	130017255	130017265	+	0.000	0.000	Merged-chr4-130017376-16
NR44269--MA0493.1.Klf1	chr3	154628323	154628333	+	0.000	0.000	Merged-chr3-154628476-23
NR47821--MA0741.1.KLF16	chr4	134117230	134117240	+	0.000	0.000	Merged-chr4-134117148-42
NR50681--MA0742.1.Klf12	chr5	64864850	64864864	+	0.000	0.000	Merged-chr5-64864889-25
NR36753--MA0039.3.KLF4	chr2	75563649	75563659	+	0.000	0.000	Merged-chr2-75563664-35
NR48327--MA0741.1.KLF16	chr4	140983708	140983718	-	0.000	0.000	Merged-chr4-140983649-41
NR28358--MA0599.1.KLF5	chr17	28516039	28516048	-	0.000	0.000	Merged-chr17-28516201-30
NR17340--MA0493.1.Klf1	chr13	63189530	63189540	-	0.000	0.000	Merged-chr13-63189715-33
NR61148--MA0740.1.KLF14	chr7	80123326	80123339	+	0.000	0.000	Merged-chr7-80123359-34
NR47678--MA0599.1.KLF5	chr4	132749054	132749063	-	0.000	0.000	Merged-chr4-132748989-25
