#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR31653--MA1107.1.KLF9	chr18	73745214	73745226	-	0.000	0.000	Merged-chr18-73745138-6
NR54755--MA1107.1.KLF9	chr6	86127143	86127155	-	0.000	0.000	Merged-chr6-86127203-6
NR42089--MA0493.1.Klf1	chr3	107577980	107577990	+	0.000	0.000	Merged-chr3-107578034-11
NR6484--MA0493.1.Klf1	chr10	77624635	77624645	-	0.000	0.000	Merged-chr10-77624666-9
NR52468--MA1107.1.KLF9	chr5	139377609	139377621	-	0.000	0.000	Merged-chr5-139377554-24
NR39785--MA0741.1.KLF16	chr2	178239787	178239797	-	0.000	0.000	Merged-chr2-178239621-1
NR3064--MA0741.1.KLF16	chr1	161748417	161748427	-	0.000	0.000	Merged-chr1-161748373-32
NR57359--MA0599.1.KLF5	chr6	147366198	147366207	+	0.000	0.000	Merged-chr6-147366310-2
NR55770--MA0599.1.KLF5	chr6	119199131	119199140	+	0.000	0.000	Merged-chr6-119199024-52
NR34163--MA0599.1.KLF5	chr19	57327839	57327848	-	0.000	0.000	Merged-chr19-57327761-18
NR13214--MA0599.1.KLF5	chr11	120660701	120660710	-	0.000	0.000	Merged-chr11-120660742-13
NR41957--MA0741.1.KLF16	chr3	103927744	103927754	-	0.000	0.000	Merged-chr3-103927636-31
NR5494--MA0742.1.Klf12	chr10	39462171	39462185	-	0.000	0.000	Merged-chr10-39462164-7
NR26523--MA0599.1.KLF5	chr16	92400131	92400140	-	0.000	0.000	Merged-chr16-92400195-21
NR1049--MA0741.1.KLF16	chr1	66897066	66897076	+	0.000	0.000	Merged-chr1-66897217-4
NR67403--MA0599.1.KLF5	chr9	79947684	79947693	-	0.000	0.000	Merged-chr9-79947658-22
NR31010--MA0599.1.KLF5	chr18	53904421	53904430	+	0.000	0.000	Merged-chr18-53904421-2
NR68259--MA1107.1.KLF9	chr9	105683521	105683533	-	0.000	0.000	Merged-chr9-105683443-1
NR24316--MA0493.1.Klf1	chr15	99224539	99224549	-	0.000	0.000	Merged-chr15-99224455-41
NR2801--MA0493.1.Klf1	chr1	153585778	153585788	+	0.000	0.000	Merged-chr1-153585904-15
NR16688--MA0741.1.KLF16	chr13	38010776	38010786	-	0.000	0.000	Merged-chr13-38010701-23
NR13683--MA1107.1.KLF9	chr12	25155528	25155540	-	0.000	0.000	Merged-chr12-25155613-40
NR41008--MA1107.1.KLF9	chr3	79129204	79129216	-	0.000	0.000	Merged-chr3-79129160-12
NR66184--MA0741.1.KLF16	chr9	44013870	44013880	-	0.000	0.000	Merged-chr9-44013875-7
NR9477--MA0741.1.KLF16	chr11	32714454	32714464	-	0.000	0.000	Merged-chr11-32714386-17
NR54688--MA0657.1.KLF13	chr6	83512693	83512710	+	0.000	0.000	Merged-chr6-83512589-11
NR57595--MA0039.3.KLF4	chr7	4099033	4099043	+	0.000	0.000	Merged-chr7-4099020-5
NR26522--MA0742.1.Klf12	chr16	92400136	92400150	-	0.000	0.000	Merged-chr16-92400195-21
NR16044--MA0742.1.Klf12	chr12	117821806	117821820	-	0.000	0.000	Merged-chr12-117821685-9
NR24446--MA0493.1.Klf1	chr15	100424482	100424492	+	0.000	0.000	Merged-chr15-100424546-20
NR30005--MA0493.1.Klf1	chr17	86760422	86760432	-	0.000	0.000	Merged-chr17-86760300-15
NR21422--MA1107.1.KLF9	chr14	105632083	105632095	-	0.000	0.000	Merged-chr14-105632232-2
NR41814--MA1107.1.KLF9	chr3	100421692	100421704	+	0.000	0.000	Merged-chr3-100421832-10
NR35412--MA0742.1.Klf12	chr2	34945650	34945664	+	0.000	0.000	Merged-chr2-34945759-18
NR13595--MA0599.1.KLF5	chr12	20815805	20815814	-	0.000	0.000	Merged-chr12-20815724-27
NR10194--MA0039.3.KLF4	chr11	61156003	61156013	+	0.000	0.000	Merged-chr11-61155897-9
NR32681--MA1107.1.KLF9	chr19	5743749	5743761	+	0.000	0.000	Merged-chr19-5743763-3
NR7319--MA0741.1.KLF16	chr10	89415673	89415683	-	0.000	0.000	Merged-chr10-89415714-14
NR24443--MA0657.1.KLF13	chr15	100424481	100424498	+	0.000	0.000	Merged-chr15-100424546-20
NR6843--MA0493.1.Klf1	chr10	80668811	80668821	+	0.000	0.000	Merged-chr10-80668783-8
NR5408--MA1107.1.KLF9	chr10	34096457	34096469	+	0.000	0.000	Merged-chr10-34096665-20
NR41012--MA0741.1.KLF16	chr3	79129234	79129244	-	0.000	0.000	Merged-chr3-79129160-12
NR57063--MA1107.1.KLF9	chr6	144190547	144190559	-	0.000	0.000	Merged-chr6-144190387-4
NR59319--MA1107.1.KLF9	chr7	64217549	64217561	+	0.000	0.000	Merged-chr7-64217693-5
NR6964--MA0493.1.Klf1	chr10	81401939	81401949	-	0.000	0.000	Merged-chr10-81401925-26
NR22481--MA0741.1.KLF16	chr15	42913335	42913345	-	0.000	0.000	Merged-chr15-42913222-5
NR55625--MA0741.1.KLF16	chr6	115515938	115515948	+	0.000	0.000	Merged-chr6-115515938-20
NR16428--MA0741.1.KLF16	chr13	24547220	24547230	-	0.000	0.000	Merged-chr13-24547194-39
NR20468--MA0599.1.KLF5	chr14	61427373	61427382	+	0.000	0.000	Merged-chr14-61427434-25
NR48981--MA0741.1.KLF16	chr5	31251671	31251681	-	0.000	0.000	Merged-chr5-31251770-31
NR5994--MA0039.3.KLF4	chr10	62248020	62248030	-	0.000	0.000	Merged-chr10-62247968-20
NR24270--MA0741.1.KLF16	chr15	98793197	98793207	-	0.000	0.000	Merged-chr15-98793364-7
NR33450--MA0599.1.KLF5	chr19	37333675	37333684	-	0.000	0.000	Merged-chr19-37333490-26
NR29--MA0599.1.KLF5	chr1	7206768	7206777	+	0.000	0.000	Merged-chr1-7206621-34
NR21418--MA1107.1.KLF9	chr14	105632075	105632087	-	0.000	0.000	Merged-chr14-105632232-2
NR10535--MA1107.1.KLF9	chr11	70622563	70622575	-	0.000	0.000	Merged-chr11-70622499-26
NR32593--MA0599.1.KLF5	chr19	4943109	4943118	+	0.000	0.000	Merged-chr19-4942974-44
NR40607--MA0742.1.Klf12	chr3	54567483	54567497	+	0.000	0.000	Merged-chr3-54567528-25
NR52985--MA0599.1.KLF5	chr5	146912634	146912643	+	0.000	0.000	Merged-chr5-146912476-8
NR21802--MA0741.1.KLF16	chr14	121315917	121315927	-	0.000	0.000	Merged-chr14-121315767-6
NR24268--MA0599.1.KLF5	chr15	98793198	98793207	-	0.000	0.000	Merged-chr15-98793364-7
NR55461--MA1107.1.KLF9	chr6	112862181	112862193	+	0.000	0.000	Merged-chr6-112862022-40
NR8253--MA0493.1.Klf1	chr10	117969955	117969965	-	0.000	0.000	Merged-chr10-117970017-9
NR64818--MA1107.1.KLF9	chr8	117855301	117855313	-	0.000	0.000	Merged-chr8-117855395-3
NR22080--MA0741.1.KLF16	chr15	12397259	12397269	-	0.000	0.000	Merged-chr15-12397193-17
NR24151--MA0493.1.Klf1	chr15	96714970	96714980	+	0.000	0.000	Merged-chr15-96714966-7
NR19677--MA1107.1.KLF9	chr14	27268328	27268340	-	0.000	0.000	Merged-chr14-27268313-23
NR615--MA0742.1.Klf12	chr1	43558477	43558491	-	0.000	0.000	Merged-chr1-43558472-4
NR43372--MA1107.1.KLF9	chr3	144155994	144156006	+	0.000	0.000	Merged-chr3-144155957-17
NR1588--MA0740.1.KLF14	chr1	90660225	90660238	-	0.000	0.000	Merged-chr1-90660312-12
