#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR646--MA0768.1.LEF1	chr16	51676210	51676224	-	0.000	0.000	Merged-chr16-51676199-15
NR758--MA0768.1.LEF1	chr18	53904318	53904332	+	0.000	0.000	Merged-chr18-53904421-2
NR418--MA0768.1.LEF1	chr13	12927707	12927721	+	0.000	0.000	Merged-chr13-12927520-1
NR548--MA0768.1.LEF1	chr14	107934993	107935007	+	0.000	0.000	Merged-chr14-107935033-1
NR1118--MA0768.1.LEF1	chr4	98282619	98282633	-	0.000	0.000	Merged-chr4-98282479-46
NR13--MA0768.1.LEF1	chr1	51570627	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR868--MA0768.1.LEF1	chr2	57697139	57697153	+	0.000	0.000	Merged-chr2-57697264-6
NR1152--MA0768.1.LEF1	chr4	138962900	138962914	+	0.000	0.000	Merged-chr4-138963010-20
NR1018--MA0768.1.LEF1	chr3	107578086	107578100	+	0.000	0.000	Merged-chr3-107578034-11
NR905--MA0768.1.LEF1	chr2	108441079	108441093	+	0.000	0.000	Merged-chr2-108441195-1
NR1646--MA0768.1.LEF1	chr9	118890387	118890401	-	0.000	0.000	Merged-chr9-118890241-21
NR1486--MA0768.1.LEF1	chr8	13660541	13660555	+	0.000	0.000	Merged-chr8-13660573-34
NR1304--MA0768.1.LEF1	chr6	65937486	65937500	+	0.000	0.000	Merged-chr6-65937524-1
NR1591--MA0768.1.LEF1	chr9	63604121	63604135	-	0.000	0.000	Merged-chr9-63604083-1
NR458--MA0768.1.LEF1	chr13	85499895	85499909	+	0.000	0.000	Merged-chr13-85499791-10
NR382--MA0768.1.LEF1	chr12	106777761	106777775	-	0.000	0.000	Merged-chr12-106777834-6
NR821--MA0768.1.LEF1	chr19	53010621	53010635	+	0.000	0.000	Merged-chr19-53010844-15
NR1297--MA0768.1.LEF1	chr6	51384176	51384190	-	0.000	0.000	Merged-chr6-51384192-15
NR1624--MA0768.1.LEF1	chr9	96754565	96754579	+	0.000	0.000	Merged-chr9-96754558-43
NR205--MA0768.1.LEF1	chr10	111622635	111622649	+	0.000	0.000	Merged-chr10-111622563-9
NR581--MA0768.1.LEF1	chr15	57878557	57878571	+	0.000	0.000	Merged-chr15-57878528-32
NR568--MA0768.1.LEF1	chr15	30686509	30686523	-	0.000	0.000	Merged-chr15-30686490-29
NR139--MA0768.1.LEF1	chr1	194726730	194726744	-	0.000	0.000	Merged-chr1-194726675-1
NR815--MA0768.1.LEF1	chr19	42179271	42179285	-	0.000	0.000	Merged-chr19-42179187-7
NR97--MA0768.1.LEF1	chr1	156462913	156462927	-	0.000	0.000	Merged-chr1-156462820-12
NR934--MA0768.1.LEF1	chr2	144646559	144646573	+	0.000	0.000	Merged-chr2-144646502-21
NR379--MA0768.1.LEF1	chr12	106046375	106046389	-	0.000	0.000	Merged-chr12-106046288-9
NR416--MA0768.1.LEF1	chr13	8542840	8542854	-	0.000	0.000	Merged-chr13-8542849-17
NR1335--MA0768.1.LEF1	chr6	112879535	112879549	-	0.000	0.000	Merged-chr6-112879624-4
NR484--MA0768.1.LEF1	chr13	108763548	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR1027--MA0768.1.LEF1	chr3	115933844	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR941--MA0768.1.LEF1	chr2	147876585	147876599	+	0.000	0.000	Merged-chr2-147876682-1
NR231--MA0768.1.LEF1	chr11	11498083	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR1150--MA0768.1.LEF1	chr4	136160206	136160220	-	0.000	0.000	Merged-chr4-136160347-19
NR1052--MA0768.1.LEF1	chr3	136043794	136043808	-	0.000	0.000	Merged-chr3-136043895-1
NR652--MA0768.1.LEF1	chr16	58553480	58553494	-	0.000	0.000	Merged-chr16-58553585-23
NR456--MA0768.1.LEF1	chr13	85485033	85485047	+	0.000	0.000	Merged-chr13-85484946-17
NR1277--MA0768.1.LEF1	chr6	28929069	28929083	-	0.000	0.000	Merged-chr6-28929223-44
