#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR1402--MA0037.3.GATA3	chr11	109694158	109694165	+	0.000	0.000	Merged-chr11-109694201-12
NR388--MA0766.1.GATA5	chr1	139009693	139009700	-	0.000	0.000	Merged-chr1-139009798-23
NR541--MA0035.3.Gata1	chr1	171643756	171643766	+	0.000	0.000	Merged-chr1-171643793-46
NR716--MA0035.3.Gata1	chr10	26229621	26229631	+	0.000	0.000	Merged-chr10-26229708-29
NR6373--MA0035.3.Gata1	chr6	91125078	91125088	-	0.000	0.000	Merged-chr6-91125010-35
NR7303--MA0140.2.GATA1::TAL1	chr8	86484973	86484990	+	0.000	0.000	Merged-chr8-86484982-16
NR7382--MA1104.1.GATA6	chr8	111955416	111955428	-	0.000	0.000	Merged-chr8-111955328-48
NR4914--MA1104.1.GATA6	chr3	69041531	69041543	+	0.000	0.000	Merged-chr3-69041504-24
NR6078--MA0037.3.GATA3	chr5	123603827	123603834	+	0.000	0.000	Merged-chr5-123603758-26
NR6569--MA0036.3.GATA2	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR6663--MA1104.1.GATA6	chr6	142823505	142823517	+	0.000	0.000	Merged-chr6-142823375-40
NR757--MA0140.2.GATA1::TAL1	chr10	41978595	41978612	+	0.000	0.000	Merged-chr10-41978788-45
NR2094--MA0035.3.Gata1	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR3848--MA0140.2.GATA1::TAL1	chr18	82513708	82513725	-	0.000	0.000	Merged-chr18-82513500-48
NR4605--MA0766.1.GATA5	chr2	144198964	144198971	+	0.000	0.000	Merged-chr2-144198804-26
NR5782--MA0037.3.GATA3	chr5	24505729	24505736	-	0.000	0.000	Merged-chr5-24505685-17
NR56--MA0482.1.Gata4	chr1	38883980	38883990	-	0.000	0.000	Merged-chr1-38884000-31
NR699--MA0766.1.GATA5	chr10	21975620	21975627	-	0.000	0.000	Merged-chr10-21975536-24
NR2463--MA0482.1.Gata4	chr14	60072723	60072733	+	0.000	0.000	Merged-chr14-60072713-24
NR2100--MA0036.3.GATA2	chr13	98124618	98124628	+	0.000	0.000	Merged-chr13-98124541-43
NR59--MA0035.3.Gata1	chr1	38883981	38883991	-	0.000	0.000	Merged-chr1-38884000-31
NR389--MA0035.3.Gata1	chr1	139009692	139009702	+	0.000	0.000	Merged-chr1-139009798-23
NR463--MA0140.2.GATA1::TAL1	chr1	160777070	160777087	-	0.000	0.000	Merged-chr1-160777141-20
NR3366--MA0037.3.GATA3	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR5499--MA0482.1.Gata4	chr4	95068326	95068336	-	0.000	0.000	Merged-chr4-95068269-28
NR6549--MA0140.2.GATA1::TAL1	chr6	129533820	129533837	-	0.000	0.000	Merged-chr6-129533929-3
NR1511--MA0140.2.GATA1::TAL1	chr12	41844189	41844206	+	0.000	0.000	Merged-chr12-41844052-32
NR807--MA0140.2.GATA1::TAL1	chr10	66955653	66955670	+	0.000	0.000	Merged-chr10-66955647-19
NR57--MA1104.1.GATA6	chr1	38883980	38883992	+	0.000	0.000	Merged-chr1-38884000-31
NR5636--MA0037.3.GATA3	chr4	145312628	145312635	+	0.000	0.000	Merged-chr4-145312696-44
NR2464--MA1104.1.GATA6	chr14	60072721	60072733	-	0.000	0.000	Merged-chr14-60072713-24
NR6577--MA0766.1.GATA5	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR1877--MA0036.3.GATA2	chr13	10019410	10019420	-	0.000	0.000	Merged-chr13-10019536-22
NR6932--MA1104.1.GATA6	chr7	90007378	90007390	+	0.000	0.000	Merged-chr7-90007418-46
NR6661--MA0037.3.GATA3	chr6	142823508	142823515	+	0.000	0.000	Merged-chr6-142823375-40
NR2429--MA0035.3.Gata1	chr14	54165206	54165216	-	0.000	0.000	Merged-chr14-54165125-24
NR73--MA0036.3.GATA2	chr1	43538868	43538878	+	0.000	0.000	Merged-chr1-43538951-30
NR7731--MA1104.1.GATA6	chr9	87025898	87025910	-	0.000	0.000	Merged-chr9-87025935-38
NR5391--MA0766.1.GATA5	chr4	59281127	59281134	-	0.000	0.000	Merged-chr4-59281104-23
NR4108--MA0140.2.GATA1::TAL1	chr2	29237795	29237812	+	0.000	0.000	Merged-chr2-29237965-2
NR1848--MA0036.3.GATA2	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR1610--MA0035.3.Gata1	chr12	78686010	78686020	-	0.000	0.000	Merged-chr12-78685977-17
NR6256--MA0766.1.GATA5	chr6	50387876	50387883	+	0.000	0.000	Merged-chr6-50387910-30
NR7390--MA0766.1.GATA5	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR6578--MA0035.3.Gata1	chr6	130312044	130312054	+	0.000	0.000	Merged-chr6-130312055-26
NR6567--MA0482.1.Gata4	chr6	130102978	130102988	+	0.000	0.000	Merged-chr6-130103023-31
NR7645--MA0482.1.Gata4	chr9	66295134	66295144	+	0.000	0.000	Merged-chr9-66295082-25
NR2078--MA0482.1.Gata4	chr13	93785453	93785463	+	0.000	0.000	Merged-chr13-93785385-35
NR2462--MA0037.3.GATA3	chr14	60072723	60072730	-	0.000	0.000	Merged-chr14-60072713-24
NR5392--MA0035.3.Gata1	chr4	59281126	59281136	+	0.000	0.000	Merged-chr4-59281104-23
NR473--MA0037.3.GATA3	chr1	161794946	161794953	-	0.000	0.000	Merged-chr1-161794797-65
NR2827--MA0140.2.GATA1::TAL1	chr15	75786334	75786351	-	0.000	0.000	Merged-chr15-75786444-9
NR922--MA0035.3.Gata1	chr10	96467082	96467092	+	0.000	0.000	Merged-chr10-96466990-21
NR1734--MA0766.1.GATA5	chr12	102350999	102351006	-	0.000	0.000	Merged-chr12-102350976-38
NR3090--MA0766.1.GATA5	chr16	45942381	45942388	+	0.000	0.000	Merged-chr16-45942365-39
NR6141--MA0037.3.GATA3	chr5	146882396	146882403	-	0.000	0.000	Merged-chr5-146882424-24
NR6568--MA1104.1.GATA6	chr6	130102976	130102988	-	0.000	0.000	Merged-chr6-130103023-31
NR7646--MA1104.1.GATA6	chr9	66295132	66295144	-	0.000	0.000	Merged-chr9-66295082-25
NR3221--MA0036.3.GATA2	chr16	70365413	70365423	+	0.000	0.000	Merged-chr16-70365429-20
NR6313--MA0140.2.GATA1::TAL1	chr6	67483247	67483264	+	0.000	0.000	Merged-chr6-67483330-21
NR6872--MA0140.2.GATA1::TAL1	chr7	73518569	73518586	+	0.000	0.000	Merged-chr7-73518565-13
NR5785--MA0036.3.GATA2	chr5	24505728	24505738	+	0.000	0.000	Merged-chr5-24505685-17
NR696--MA0037.3.GATA3	chr10	21975620	21975627	-	0.000	0.000	Merged-chr10-21975536-24
NR5179--MA0036.3.GATA2	chr3	142281017	142281027	+	0.000	0.000	Merged-chr3-142281213-32
NR5180--MA0035.3.Gata1	chr3	142281017	142281027	+	0.000	0.000	Merged-chr3-142281213-32
NR3369--MA0036.3.GATA2	chr17	12165547	12165557	+	0.000	0.000	Merged-chr17-12165459-54
NR242--MA0036.3.GATA2	chr1	94048305	94048315	+	0.000	0.000	Merged-chr1-94048267-32
NR1875--MA0482.1.Gata4	chr13	10019409	10019419	-	0.000	0.000	Merged-chr13-10019536-22
NR1878--MA0035.3.Gata1	chr13	10019410	10019420	-	0.000	0.000	Merged-chr13-10019536-22
NR6935--MA0035.3.Gata1	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR74--MA0140.2.GATA1::TAL1	chr1	43538870	43538887	+	0.000	0.000	Merged-chr1-43538951-30
NR3442--MA1104.1.GATA6	chr17	35741880	35741892	+	0.000	0.000	Merged-chr17-35741988-36
NR754--MA0766.1.GATA5	chr10	40713354	40713361	+	0.000	0.000	Merged-chr10-40713251-44
NR4965--MA0140.2.GATA1::TAL1	chr3	89231608	89231625	+	0.000	0.000	Merged-chr3-89231593-29
NR3091--MA0035.3.Gata1	chr16	45942379	45942389	-	0.000	0.000	Merged-chr16-45942365-39
NR2002--MA0140.2.GATA1::TAL1	chr13	63112806	63112823	-	0.000	0.000	Merged-chr13-63112828-16
NR6579--MA0140.2.GATA1::TAL1	chr6	130312046	130312063	+	0.000	0.000	Merged-chr6-130312055-26
NR1846--MA0482.1.Gata4	chr12	118255859	118255869	-	0.000	0.000	Merged-chr12-118255780-45
NR7276--MA0766.1.GATA5	chr8	75082611	75082618	+	0.000	0.000	Merged-chr8-75082480-28
NR475--MA0766.1.GATA5	chr1	161794946	161794953	-	0.000	0.000	Merged-chr1-161794797-65
NR4710--MA0140.2.GATA1::TAL1	chr2	166754395	166754412	+	0.000	0.000	Merged-chr2-166754668-37
NR5637--MA1104.1.GATA6	chr4	145312625	145312637	+	0.000	0.000	Merged-chr4-145312696-44
NR3454--MA0140.2.GATA1::TAL1	chr17	36844344	36844361	-	0.000	0.000	Merged-chr17-36844405-20
NR6531--MA0766.1.GATA5	chr6	127419918	127419925	+	0.000	0.000	Merged-chr6-127420078-9
NR5357--MA0766.1.GATA5	chr4	47319835	47319842	+	0.000	0.000	Merged-chr4-47319930-54
NR1876--MA1104.1.GATA6	chr13	10019409	10019421	+	0.000	0.000	Merged-chr13-10019536-22
NR6566--MA0037.3.GATA3	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR7644--MA0037.3.GATA3	chr9	66295134	66295141	-	0.000	0.000	Merged-chr9-66295082-25
NR2540--MA1104.1.GATA6	chr14	78687946	78687958	-	0.000	0.000	Merged-chr14-78687892-42
NR6370--MA1104.1.GATA6	chr6	91125077	91125089	+	0.000	0.000	Merged-chr6-91125010-35
NR476--MA0140.2.GATA1::TAL1	chr1	161794947	161794964	+	0.000	0.000	Merged-chr1-161794797-65
NR2924--MA0766.1.GATA5	chr15	101388145	101388152	-	0.000	0.000	Merged-chr15-101388154-52
NR6255--MA0036.3.GATA2	chr6	50387874	50387884	-	0.000	0.000	Merged-chr6-50387910-30
NR385--MA0482.1.Gata4	chr1	139009693	139009703	+	0.000	0.000	Merged-chr1-139009798-23
NR72--MA1104.1.GATA6	chr1	43538867	43538879	-	0.000	0.000	Merged-chr1-43538951-30
NR755--MA0035.3.Gata1	chr10	40713352	40713362	-	0.000	0.000	Merged-chr10-40713251-44
NR2908--MA0482.1.Gata4	chr15	96827786	96827796	-	0.000	0.000	Merged-chr15-96827730-24
NR1850--MA0035.3.Gata1	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR2470--MA0766.1.GATA5	chr14	60131692	60131699	-	0.000	0.000	Merged-chr14-60131750-51
NR3891--MA0035.3.Gata1	chr19	3533539	3533549	-	0.000	0.000	Merged-chr19-3533432-13
NR2091--MA1104.1.GATA6	chr13	95697070	95697082	-	0.000	0.000	Merged-chr13-95697036-46
NR2465--MA0036.3.GATA2	chr14	60072722	60072732	+	0.000	0.000	Merged-chr14-60072713-24
NR386--MA1104.1.GATA6	chr1	139009691	139009703	-	0.000	0.000	Merged-chr1-139009798-23
NR2909--MA1104.1.GATA6	chr15	96827786	96827798	+	0.000	0.000	Merged-chr15-96827730-24
NR1733--MA0036.3.GATA2	chr12	102350998	102351008	+	0.000	0.000	Merged-chr12-102350976-38
NR6931--MA0037.3.GATA3	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR474--MA1104.1.GATA6	chr1	161794944	161794956	-	0.000	0.000	Merged-chr1-161794797-65
NR3370--MA0766.1.GATA5	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR6530--MA1104.1.GATA6	chr6	127419915	127419927	+	0.000	0.000	Merged-chr6-127420078-9
NR5356--MA1104.1.GATA6	chr4	47319832	47319844	+	0.000	0.000	Merged-chr4-47319930-54
NR6664--MA0766.1.GATA5	chr6	142823508	142823515	+	0.000	0.000	Merged-chr6-142823375-40
NR7732--MA0036.3.GATA2	chr9	87025899	87025909	+	0.000	0.000	Merged-chr9-87025935-38
NR5500--MA0035.3.Gata1	chr4	95068327	95068337	-	0.000	0.000	Merged-chr4-95068269-28
NR6372--MA0766.1.GATA5	chr6	91125080	91125087	+	0.000	0.000	Merged-chr6-91125010-35
NR6253--MA0140.2.GATA1::TAL1	chr6	50146580	50146597	-	0.000	0.000	Merged-chr6-50146420-23
NR5622--MA0035.3.Gata1	chr4	134047865	134047875	-	0.000	0.000	Merged-chr4-134047792-28
NR7389--MA1104.1.GATA6	chr8	117548683	117548695	-	0.000	0.000	Merged-chr8-117548585-70
NR2923--MA1104.1.GATA6	chr15	101388143	101388155	-	0.000	0.000	Merged-chr15-101388154-52
NR2539--MA0482.1.Gata4	chr14	78687948	78687958	+	0.000	0.000	Merged-chr14-78687892-42
NR537--MA0482.1.Gata4	chr1	171643757	171643767	+	0.000	0.000	Merged-chr1-171643793-46
NR697--MA1104.1.GATA6	chr10	21975618	21975630	-	0.000	0.000	Merged-chr10-21975536-24
NR6574--MA0482.1.Gata4	chr6	130312045	130312055	+	0.000	0.000	Merged-chr6-130312055-26
NR6369--MA0482.1.Gata4	chr6	91125077	91125087	-	0.000	0.000	Merged-chr6-91125010-35
NR1849--MA0766.1.GATA5	chr12	118255862	118255869	+	0.000	0.000	Merged-chr12-118255780-45
NR3538--MA0140.2.GATA1::TAL1	chr17	71192188	71192205	-	0.000	0.000	Merged-chr17-71192022-46
NR5144--MA0037.3.GATA3	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR4039--MA0035.3.Gata1	chr2	11617066	11617076	+	0.000	0.000	Merged-chr2-11617013-39
NR5620--MA1104.1.GATA6	chr4	134047864	134047876	+	0.000	0.000	Merged-chr4-134047792-28
NR3371--MA0035.3.Gata1	chr17	12165547	12165557	+	0.000	0.000	Merged-chr17-12165459-54
NR384--MA0037.3.GATA3	chr1	139009693	139009700	-	0.000	0.000	Merged-chr1-139009798-23
NR4408--MA0482.1.Gata4	chr2	102812791	102812801	-	0.000	0.000	Merged-chr2-102812992-26
NR2907--MA0037.3.GATA3	chr15	96827789	96827796	+	0.000	0.000	Merged-chr15-96827730-24
NR4498--MA0482.1.Gata4	chr2	127923473	127923483	+	0.000	0.000	Merged-chr2-127923410-36
NR538--MA1104.1.GATA6	chr1	171643755	171643767	-	0.000	0.000	Merged-chr1-171643793-46
NR6575--MA1104.1.GATA6	chr6	130312043	130312055	-	0.000	0.000	Merged-chr6-130312055-26
NR1137--MA0140.2.GATA1::TAL1	chr11	34506589	34506606	-	0.000	0.000	Merged-chr11-34506583-46
NR3971--MA0482.1.Gata4	chr19	32465412	32465422	+	0.000	0.000	Merged-chr19-32465460-36
NR1956--MA0482.1.Gata4	chr13	51848823	51848833	+	0.000	0.000	Merged-chr13-51849013-24
NR7647--MA0036.3.GATA2	chr9	66295133	66295143	+	0.000	0.000	Merged-chr9-66295082-25
NR3974--MA0035.3.Gata1	chr19	32465411	32465421	+	0.000	0.000	Merged-chr19-32465460-36
NR2428--MA0482.1.Gata4	chr14	54165205	54165215	-	0.000	0.000	Merged-chr14-54165125-24
NR2439--MA0140.2.GATA1::TAL1	chr14	55392547	55392564	+	0.000	0.000	Merged-chr14-55392653-26
NR3477--MA0035.3.Gata1	chr17	45686759	45686769	+	0.000	0.000	Merged-chr17-45686924-2
NR6529--MA0482.1.Gata4	chr6	127419915	127419925	-	0.000	0.000	Merged-chr6-127420078-9
NR7955--MA0482.1.Gata4	chrX	75032273	75032283	+	0.000	0.000	Merged-chrX-75032186-8
NR4409--MA1104.1.GATA6	chr2	102812791	102812803	+	0.000	0.000	Merged-chr2-102812992-26
NR992--MA0482.1.Gata4	chr10	117452450	117452460	-	0.000	0.000	Merged-chr10-117452327-39
NR7326--MA0035.3.Gata1	chr8	91073945	91073955	-	0.000	0.000	Merged-chr8-91073966-44
NR4499--MA1104.1.GATA6	chr2	127923471	127923483	-	0.000	0.000	Merged-chr2-127923410-36
NR7958--MA0035.3.Gata1	chrX	75032272	75032282	+	0.000	0.000	Merged-chrX-75032186-8
NR6254--MA0037.3.GATA3	chr6	50387876	50387883	+	0.000	0.000	Merged-chr6-50387910-30
NR3972--MA1104.1.GATA6	chr19	32465410	32465422	-	0.000	0.000	Merged-chr19-32465460-36
NR5786--MA0766.1.GATA5	chr5	24505729	24505736	-	0.000	0.000	Merged-chr5-24505685-17
NR1731--MA0482.1.Gata4	chr12	102350999	102351009	+	0.000	0.000	Merged-chr12-102350976-38
NR7275--MA0482.1.Gata4	chr8	75082608	75082618	-	0.000	0.000	Merged-chr8-75082480-28
NR3443--MA0036.3.GATA2	chr17	35741881	35741891	-	0.000	0.000	Merged-chr17-35741988-36
NR4915--MA0140.2.GATA1::TAL1	chr3	69041523	69041540	-	0.000	0.000	Merged-chr3-69041504-24
NR5146--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR2267--MA1104.1.GATA6	chr14	15770133	15770145	+	0.000	0.000	Merged-chr14-15770075-60
NR3089--MA0036.3.GATA2	chr16	45942379	45942389	-	0.000	0.000	Merged-chr16-45942365-39
NR2538--MA0037.3.GATA3	chr14	78687948	78687955	-	0.000	0.000	Merged-chr14-78687892-42
NR7730--MA0482.1.Gata4	chr9	87025900	87025910	+	0.000	0.000	Merged-chr9-87025935-38
NR536--MA0037.3.GATA3	chr1	171643757	171643764	-	0.000	0.000	Merged-chr1-171643793-46
NR7956--MA1104.1.GATA6	chrX	75032271	75032283	-	0.000	0.000	Merged-chrX-75032186-8
NR4500--MA0036.3.GATA2	chr2	127923472	127923482	+	0.000	0.000	Merged-chr2-127923410-36
NR7296--MA0766.1.GATA5	chr8	81773704	81773711	+	0.000	0.000	Merged-chr8-81773679-46
NR6573--MA0037.3.GATA3	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR6368--MA0037.3.GATA3	chr6	91125080	91125087	+	0.000	0.000	Merged-chr6-91125010-35
NR5638--MA0036.3.GATA2	chr4	145312626	145312636	-	0.000	0.000	Merged-chr4-145312696-44
NR4290--MA0035.3.Gata1	chr2	72282907	72282917	-	0.000	0.000	Merged-chr2-72282934-17
NR7865--MA0482.1.Gata4	chr9	110684680	110684690	+	0.000	0.000	Merged-chr9-110684620-5
NR2541--MA0036.3.GATA2	chr14	78687947	78687957	+	0.000	0.000	Merged-chr14-78687892-42
NR1732--MA1104.1.GATA6	chr12	102350997	102351009	-	0.000	0.000	Merged-chr12-102350976-38
NR6371--MA0036.3.GATA2	chr6	91125078	91125088	-	0.000	0.000	Merged-chr6-91125010-35
NR5787--MA0035.3.Gata1	chr5	24505728	24505738	+	0.000	0.000	Merged-chr5-24505685-17
NR4407--MA0037.3.GATA3	chr2	102812794	102812801	+	0.000	0.000	Merged-chr2-102812992-26
NR2910--MA0766.1.GATA5	chr15	96827789	96827796	+	0.000	0.000	Merged-chr15-96827730-24
NR2089--MA0037.3.GATA3	chr13	95697072	95697079	-	0.000	0.000	Merged-chr13-95697036-46
NR751--MA0482.1.Gata4	chr10	40713351	40713361	-	0.000	0.000	Merged-chr10-40713251-44
NR4497--MA0037.3.GATA3	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR7294--MA0482.1.Gata4	chr8	81773701	81773711	-	0.000	0.000	Merged-chr8-81773679-46
NR4410--MA0036.3.GATA2	chr2	102812792	102812802	-	0.000	0.000	Merged-chr2-102812992-26
NR6081--MA0766.1.GATA5	chr5	123603827	123603834	+	0.000	0.000	Merged-chr5-123603758-26
NR5388--MA0482.1.Gata4	chr4	59281127	59281137	+	0.000	0.000	Merged-chr4-59281104-23
NR2092--MA0036.3.GATA2	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR6570--MA0766.1.GATA5	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR6528--MA0037.3.GATA3	chr6	127419918	127419925	+	0.000	0.000	Merged-chr6-127420078-9
NR3499--MA1104.1.GATA6	chr17	56034600	56034612	+	0.000	0.000	Merged-chr17-56034700-41
NR387--MA0036.3.GATA2	chr1	139009692	139009702	+	0.000	0.000	Merged-chr1-139009798-23
NR5145--MA1104.1.GATA6	chr3	136742958	136742970	-	0.000	0.000	Merged-chr3-136742959-57
NR752--MA1104.1.GATA6	chr10	40713351	40713363	+	0.000	0.000	Merged-chr10-40713251-44
NR7295--MA1104.1.GATA6	chr8	81773701	81773713	+	0.000	0.000	Merged-chr8-81773679-46
NR714--MA0482.1.Gata4	chr10	26229622	26229632	+	0.000	0.000	Merged-chr10-26229708-29
