#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR63--MA0508.2.PRDM1	chr1	95605707	95605716	+	0.000	0.000	Merged-chr1-95605725-17
NR393--MA0508.2.PRDM1	chr11	83662446	83662455	+	0.000	0.000	Merged-chr11-83662452-14
NR385--MA0508.2.PRDM1	chr11	75538881	75538890	+	0.000	0.000	Merged-chr11-75538984-27
NR967--MA0508.2.PRDM1	chr17	84032735	84032744	+	0.000	0.000	Merged-chr17-84032623-33
NR18--MA0508.2.PRDM1	chr1	39559124	39559133	+	0.000	0.000	Merged-chr1-39559167-24
NR1773--MA0508.2.PRDM1	chr6	125541002	125541011	+	0.000	0.000	Merged-chr6-125540912-17
NR1221--MA0508.2.PRDM1	chr2	127301078	127301087	+	0.000	0.000	Merged-chr2-127301003-17
NR1866--MA0508.2.PRDM1	chr7	47013488	47013497	+	0.000	0.000	Merged-chr7-47013375-34
NR655--MA0508.2.PRDM1	chr13	115042838	115042847	+	0.000	0.000	Merged-chr13-115042812-10
NR1274--MA0508.2.PRDM1	chr2	173431699	173431708	+	0.000	0.000	Merged-chr2-173431870-16
NR1001--MA0508.2.PRDM1	chr18	40308109	40308118	-	0.000	0.000	Merged-chr18-40308184-41
NR220--MA0508.2.PRDM1	chr10	37249763	37249772	+	0.000	0.000	Merged-chr10-37249909-39
NR581--MA0508.2.PRDM1	chr13	41471645	41471654	+	0.000	0.000	Merged-chr13-41471691-6
NR286--MA0508.2.PRDM1	chr10	95887923	95887932	-	0.000	0.000	Merged-chr10-95887976-8
NR1974--MA0508.2.PRDM1	chr8	13551173	13551182	-	0.000	0.000	Merged-chr8-13551195-28
NR1626--MA0508.2.PRDM1	chr5	107554483	107554492	+	0.000	0.000	Merged-chr5-107554534-24
NR1390--MA0508.2.PRDM1	chr3	139049065	139049074	+	0.000	0.000	Merged-chr3-139049154-18
NR1629--MA0508.2.PRDM1	chr5	107943139	107943148	+	0.000	0.000	Merged-chr5-107943154-10
NR923--MA0508.2.PRDM1	chr17	28407662	28407671	+	0.000	0.000	Merged-chr17-28407635-51
NR1589--MA0508.2.PRDM1	chr5	65832406	65832415	-	0.000	0.000	Merged-chr5-65832305-23
NR495--MA0508.2.PRDM1	chr12	99557547	99557556	-	0.000	0.000	Merged-chr12-99557572-3
NR758--MA0508.2.PRDM1	chr15	8157279	8157288	-	0.000	0.000	Merged-chr15-8157171-7
NR336--MA0508.2.PRDM1	chr11	11498034	11498043	+	0.000	0.000	Merged-chr11-11498094-24
NR429--MA0508.2.PRDM1	chr11	109744019	109744028	+	0.000	0.000	Merged-chr11-109744155-21
NR1503--MA0508.2.PRDM1	chr4	129525617	129525626	-	0.000	0.000	Merged-chr4-129525565-21
NR924--MA0508.2.PRDM1	chr17	29606460	29606469	-	0.000	0.000	Merged-chr17-29606605-11
NR1381--MA0508.2.PRDM1	chr3	130796716	130796725	+	0.000	0.000	Merged-chr3-130796721-21
NR1636--MA0508.2.PRDM1	chr5	113824380	113824389	+	0.000	0.000	Merged-chr5-113824477-15
