#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR71788--MA0741.1.KLF16	chrX	12160145	12160155	+	0.000	0.000	Merged-chrX-12160238-21
NR37283--MA0039.3.KLF4	chr2	101209305	101209315	+	0.000	0.000	Merged-chr2-101209230-18
NR24664--MA1107.1.KLF9	chr15	98927707	98927719	+	0.000	0.000	Merged-chr15-98927787-24
NR5641--MA0599.1.KLF5	chr10	38156087	38156096	-	0.000	0.000	Merged-chr10-38156035-3
NR8323--MA1107.1.KLF9	chr10	117104434	117104446	-	0.000	0.000	Merged-chr10-117104293-23
NR58795--MA0742.1.Klf12	chr7	4460696	4460710	+	0.000	0.000	Merged-chr7-4460679-27
NR31443--MA1107.1.KLF9	chr18	43687764	43687776	+	0.000	0.000	Merged-chr18-43687697-2
NR27016--MA0039.3.KLF4	chr16	91588233	91588243	+	0.000	0.000	Merged-chr16-91588038-25
NR27015--MA0742.1.Klf12	chr16	91588231	91588245	+	0.000	0.000	Merged-chr16-91588038-25
NR41918--MA0599.1.KLF5	chr3	94758218	94758227	+	0.000	0.000	Merged-chr3-94758240-64
NR58799--MA0741.1.KLF16	chr7	4460697	4460707	+	0.000	0.000	Merged-chr7-4460679-27
NR35589--MA0599.1.KLF5	chr2	30469938	30469947	+	0.000	0.000	Merged-chr2-30470096-26
NR46914--MA1107.1.KLF9	chr4	116144605	116144617	-	0.000	0.000	Merged-chr4-116144473-31
NR67613--MA0493.1.Klf1	chr8	128333494	128333504	-	0.000	0.000	Merged-chr8-128333532-18
NR44618--MA1107.1.KLF9	chr4	15273293	15273305	+	0.000	0.000	Merged-chr4-15273435-28
NR9315--MA1107.1.KLF9	chr11	6410289	6410301	-	0.000	0.000	Merged-chr11-6410402-18
NR12895--MA0740.1.KLF14	chr11	115999778	115999791	+	0.000	0.000	Merged-chr11-115999757-14
NR58797--MA0039.3.KLF4	chr7	4460698	4460708	+	0.000	0.000	Merged-chr7-4460679-27
NR16824--MA0493.1.Klf1	chr13	46619870	46619880	-	0.000	0.000	Merged-chr13-46619803-12
NR8487--MA0741.1.KLF16	chr10	119005764	119005774	+	0.000	0.000	Merged-chr10-119005704-15
NR67341--MA0599.1.KLF5	chr8	124085801	124085810	+	0.000	0.000	Merged-chr8-124085760-17
NR38528--MA0599.1.KLF5	chr2	139590039	139590048	-	0.000	0.000	Merged-chr2-139590096-23
NR8486--MA0493.1.Klf1	chr10	119005763	119005773	+	0.000	0.000	Merged-chr10-119005704-15
