#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR1053--MA0731.1.BCL6B	chr19	10845766	10845782	-	0.000	0.000	Merged-chr19-10845657-6
NR1826--MA0731.1.BCL6B	chr6	65578768	65578784	-	0.000	0.000	Merged-chr6-65578768-17
NR2139--MA0463.1.Bcl6	chr8	61436815	61436828	+	0.000	0.000	Merged-chr8-61436904-17
NR780--MA0463.1.Bcl6	chr15	58171635	58171648	-	0.000	0.000	Merged-chr15-58171434-29
NR1906--MA0731.1.BCL6B	chr6	134124678	134124694	+	0.000	0.000	Merged-chr6-134124552-10
NR854--MA0731.1.BCL6B	chr16	45234682	45234698	-	0.000	0.000	Merged-chr16-45234640-6
NR315--MA0463.1.Bcl6	chr10	117916353	117916366	+	0.000	0.000	Merged-chr10-117916524-16
NR1122--MA0463.1.Bcl6	chr2	32857719	32857732	+	0.000	0.000	Merged-chr2-32857854-19
NR2230--MA0463.1.Bcl6	chr9	37530269	37530282	+	0.000	0.000	Merged-chr9-37530245-22
NR1024--MA0463.1.Bcl6	chr18	69939302	69939315	+	0.000	0.000	Merged-chr18-69939182-2
NR1478--MA0731.1.BCL6B	chr4	44669643	44669659	-	0.000	0.000	Merged-chr4-44669679-10
NR2132--MA0463.1.Bcl6	chr8	46747876	46747889	-	0.000	0.000	Merged-chr8-46747933-31
NR62--MA0731.1.BCL6B	chr1	86741047	86741063	+	0.000	0.000	Merged-chr1-86740940-3
NR907--MA0463.1.Bcl6	chr17	5010007	5010020	+	0.000	0.000	Merged-chr17-5010046-20
NR1750--MA0463.1.Bcl6	chr5	130088207	130088220	+	0.000	0.000	Merged-chr5-130088239-22
NR403--MA0731.1.BCL6B	chr11	106201871	106201887	-	0.000	0.000	Merged-chr11-106202086-45
NR384--MA0731.1.BCL6B	chr11	80086856	80086872	+	0.000	0.000	Merged-chr11-80086992-28
NR31--MA0463.1.Bcl6	chr1	62049899	62049912	-	0.000	0.000	Merged-chr1-62049803-1
NR1097--MA0463.1.Bcl6	chr2	9997856	9997869	-	0.000	0.000	Merged-chr2-9997770-18
NR124--MA0731.1.BCL6B	chr1	137074991	137075007	-	0.000	0.000	Merged-chr1-137074990-14
NR63--MA0463.1.Bcl6	chr1	87988583	87988596	-	0.000	0.000	Merged-chr1-87988595-7
NR1308--MA0463.1.Bcl6	chr3	37738412	37738425	+	0.000	0.000	Merged-chr3-37738517-40
NR1407--MA0731.1.BCL6B	chr3	132791402	132791418	-	0.000	0.000	Merged-chr3-132791387-40
NR38--MA0731.1.BCL6B	chr1	69657265	69657281	+	0.000	0.000	Merged-chr1-69657362-23
