#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR11261--MA1107.1.KLF9	chr11	99116956	99116968	-	0.000	0.000	Merged-chr11-99116882-2
NR12473--MA0599.1.KLF5	chr11	118731921	118731930	+	0.000	0.000	Merged-chr11-118731916-25
NR47794--MA0599.1.KLF5	chr5	111196087	111196096	+	0.000	0.000	Merged-chr5-111196079-28
NR32507--MA0599.1.KLF5	chr2	3526082	3526091	-	0.000	0.000	Merged-chr2-3525948-8
NR33923--MA0493.1.Klf1	chr2	60375320	60375330	-	0.000	0.000	Merged-chr2-60375404-17
NR57107--MA1107.1.KLF9	chr7	116484542	116484554	-	0.000	0.000	Merged-chr7-116484434-42
NR9302--MA0599.1.KLF5	chr11	53755181	53755190	-	0.000	0.000	Merged-chr11-53755025-7
NR4381--MA0741.1.KLF16	chr1	193589280	193589290	-	0.000	0.000	Merged-chr1-193589231-21
NR37960--MA0493.1.Klf1	chr3	28402423	28402433	-	0.000	0.000	Merged-chr3-28402386-46
NR9833--MA0740.1.KLF14	chr11	69073165	69073178	-	0.000	0.000	Merged-chr11-69073010-1
NR59418--MA0657.1.KLF13	chr8	61321593	61321610	+	0.000	0.000	Merged-chr8-61321606-56
NR49806--MA0741.1.KLF16	chr5	142551116	142551126	-	0.000	0.000	Merged-chr5-142551043-31
NR51951--MA1107.1.KLF9	chr6	91156640	91156652	+	0.000	0.000	Merged-chr6-91156791-33
NR5716--MA1107.1.KLF9	chr10	71399679	71399691	+	0.000	0.000	Merged-chr10-71399794-69
NR16323--MA0742.1.Klf12	chr13	55199724	55199738	-	0.000	0.000	Merged-chr13-55199787-10
NR53831--MA0741.1.KLF16	chr6	145002395	145002405	-	0.000	0.000	Merged-chr6-145002461-23
NR513--MA0741.1.KLF16	chr1	40228152	40228162	-	0.000	0.000	Merged-chr1-40228252-23
NR6855--MA0741.1.KLF16	chr10	95442498	95442508	+	0.000	0.000	Merged-chr10-95442476-5
NR44623--MA0599.1.KLF5	chr4	140833017	140833026	-	0.000	0.000	Merged-chr4-140833040-18
NR50521--MA1107.1.KLF9	chr6	17901367	17901379	-	0.000	0.000	Merged-chr6-17901265-19
NR36637--MA1107.1.KLF9	chr2	161675490	161675502	+	0.000	0.000	Merged-chr2-161675424-1
NR12697--MA0599.1.KLF5	chr12	3886427	3886436	+	0.000	0.000	Merged-chr12-3886470-4
NR3572--MA1107.1.KLF9	chr1	178784088	178784100	+	0.000	0.000	Merged-chr1-178784216-1
NR1379--MA1107.1.KLF9	chr1	90739032	90739044	-	0.000	0.000	Merged-chr1-90739110-18
NR52702--MA0599.1.KLF5	chr6	122491810	122491819	+	0.000	0.000	Merged-chr6-122491726-37
NR32544--MA0741.1.KLF16	chr2	5003273	5003283	+	0.000	0.000	Merged-chr2-5003396-19
NR16107--MA0493.1.Klf1	chr13	49251351	49251361	-	0.000	0.000	Merged-chr13-49251247-4
NR8915--MA0741.1.KLF16	chr11	32020366	32020376	-	0.000	0.000	Merged-chr11-32020422-50
NR62709--MA1107.1.KLF9	chr9	53706273	53706285	-	0.000	0.000	Merged-chr9-53706205-55
NR28576--MA1107.1.KLF9	chr17	85800161	85800173	-	0.000	0.000	Merged-chr17-85800006-20
NR1908--MA0493.1.Klf1	chr1	128713043	128713053	+	0.000	0.000	Merged-chr1-128713010-21
NR55125--MA0740.1.KLF14	chr7	30717489	30717502	+	0.000	0.000	Merged-chr7-30717543-30
NR15837--MA0599.1.KLF5	chr13	36369642	36369651	+	0.000	0.000	Merged-chr13-36369600-5
NR64034--MA0741.1.KLF16	chr9	92275231	92275241	-	0.000	0.000	Merged-chr9-92275152-2
NR28796--MA0493.1.Klf1	chr18	3933657	3933667	+	0.000	0.000	Merged-chr18-3933786-31
NR46615--MA0740.1.KLF14	chr5	63943573	63943586	-	0.000	0.000	Merged-chr5-63943362-36
NR46789--MA0493.1.Klf1	chr5	67155800	67155810	+	0.000	0.000	Merged-chr5-67155759-12
NR55191--MA0039.3.KLF4	chr7	34630505	34630515	-	0.000	0.000	Merged-chr7-34630517-24
NR58786--MA0741.1.KLF16	chr8	22757686	22757696	+	0.000	0.000	Merged-chr8-22757594-30
NR27627--MA0740.1.KLF14	chr17	56425178	56425191	-	0.000	0.000	Merged-chr17-56425045-2
NR33364--MA0741.1.KLF16	chr2	31950221	31950231	-	0.000	0.000	Merged-chr2-31950269-16
NR2394--MA0599.1.KLF5	chr1	147237214	147237223	+	0.000	0.000	Merged-chr1-147237183-6
NR48301--MA1107.1.KLF9	chr5	118172106	118172118	-	0.000	0.000	Merged-chr5-118172344-28
NR57932--MA0741.1.KLF16	chr7	136894458	136894468	+	0.000	0.000	Merged-chr7-136894538-85
NR61749--MA1107.1.KLF9	chr9	11579251	11579263	-	0.000	0.000	Merged-chr9-11579132-23
NR24557--MA1107.1.KLF9	chr16	52009770	52009782	-	0.000	0.000	Merged-chr16-52009656-17
NR34387--MA0599.1.KLF5	chr2	79052364	79052373	-	0.000	0.000	Merged-chr2-79052352-13
NR57569--MA0493.1.Klf1	chr7	128070069	128070079	+	0.000	0.000	Merged-chr7-128070068-7
NR11266--MA1107.1.KLF9	chr11	99116966	99116978	-	0.000	0.000	Merged-chr11-99116882-2
NR44287--MA0493.1.Klf1	chr4	136140416	136140426	+	0.000	0.000	Merged-chr4-136140503-4
NR15179--MA0599.1.KLF5	chr12	117834791	117834800	-	0.000	0.000	Merged-chr12-117834906-3
NR52700--MA0740.1.KLF14	chr6	122491820	122491833	+	0.000	0.000	Merged-chr6-122491726-37
NR32491--MA0741.1.KLF16	chr2	3118331	3118341	-	0.000	0.000	Merged-chr2-3118423-48
NR45176--MA0599.1.KLF5	chr4	150518993	150519002	+	0.000	0.000	Merged-chr4-150519164-27
NR54685--MA0599.1.KLF5	chr7	24482004	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR29792--MA0493.1.Klf1	chr18	62125524	62125534	+	0.000	0.000	Merged-chr18-62125570-18
NR23132--MA0742.1.Klf12	chr15	100060746	100060760	+	0.000	0.000	Merged-chr15-100060928-68
NR44399--MA0493.1.Klf1	chr4	137714172	137714182	-	0.000	0.000	Merged-chr4-137714339-14
NR61660--MA0493.1.Klf1	chr8	128420724	128420734	+	0.000	0.000	Merged-chr8-128420826-46
NR24487--MA0741.1.KLF16	chr16	45347019	45347029	-	0.000	0.000	Merged-chr16-45346908-42
NR39711--MA0599.1.KLF5	chr3	109444053	109444062	+	0.000	0.000	Merged-chr3-109444108-35
NR32538--MA0740.1.KLF14	chr2	5003272	5003285	+	0.000	0.000	Merged-chr2-5003396-19
NR47766--MA0039.3.KLF4	chr5	110343023	110343033	-	0.000	0.000	Merged-chr5-110342964-29
NR17685--MA0493.1.Klf1	chr13	108100601	108100611	+	0.000	0.000	Merged-chr13-108100820-31
NR53021--MA1107.1.KLF9	chr6	129049279	129049291	-	0.000	0.000	Merged-chr6-129049251-27
NR23244--MA0493.1.Klf1	chr15	100914884	100914894	+	0.000	0.000	Merged-chr15-100915024-15
NR17327--MA0493.1.Klf1	chr13	99781082	99781092	-	0.000	0.000	Merged-chr13-99781144-21
NR35794--MA0742.1.Klf12	chr2	139778447	139778461	-	0.000	0.000	Merged-chr2-139778494-20
NR40970--MA1107.1.KLF9	chr3	148799649	148799661	+	0.000	0.000	Merged-chr3-148799603-2
NR66523--MA0493.1.Klf1	chrX	113181121	113181131	-	0.000	0.000	Merged-chrX-113181070-1
NR66997--MA1107.1.KLF9	chrX	166672851	166672863	+	0.000	0.000	Merged-chrX-166672902-11
NR55994--MA0741.1.KLF16	chr7	73771762	73771772	-	0.000	0.000	Merged-chr7-73771720-13
NR24867--MA0741.1.KLF16	chr16	76283307	76283317	+	0.000	0.000	Merged-chr16-76283420-1
NR21627--MA0742.1.Klf12	chr15	74538490	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR14719--MA0039.3.KLF4	chr12	109445245	109445255	+	0.000	0.000	Merged-chr12-109445419-17
NR2138--MA1107.1.KLF9	chr1	134747712	134747724	+	0.000	0.000	Merged-chr1-134747834-30
NR62642--MA1107.1.KLF9	chr9	50512120	50512132	-	0.000	0.000	Merged-chr9-50512107-7
NR48552--MA1107.1.KLF9	chr5	122899256	122899268	-	0.000	0.000	Merged-chr5-122899343-2
NR56510--MA1107.1.KLF9	chr7	98797413	98797425	-	0.000	0.000	Merged-chr7-98797577-28
NR44609--MA0657.1.KLF13	chr4	140750570	140750587	+	0.000	0.000	Merged-chr4-140750542-28
NR52276--MA1107.1.KLF9	chr6	112206990	112207002	+	0.000	0.000	Merged-chr6-112206825-1
NR29905--MA0740.1.KLF14	chr18	65924897	65924910	-	0.000	0.000	Merged-chr18-65924997-33
NR17623--MA0741.1.KLF16	chr13	105156553	105156563	-	0.000	0.000	Merged-chr13-105156682-2
NR56086--MA0741.1.KLF16	chr7	79536235	79536245	+	0.000	0.000	Merged-chr7-79536349-24
NR6800--MA0741.1.KLF16	chr10	94087500	94087510	+	0.000	0.000	Merged-chr10-94087553-20
NR28478--MA1107.1.KLF9	chr17	84056506	84056518	-	0.000	0.000	Merged-chr17-84056540-29
NR48110--MA0599.1.KLF5	chr5	114801303	114801312	+	0.000	0.000	Merged-chr5-114801255-6
NR66069--MA0740.1.KLF14	chrX	57185035	57185048	+	0.000	0.000	Merged-chrX-57185087-24
NR10538--MA0741.1.KLF16	chr11	85407803	85407813	+	0.000	0.000	Merged-chr11-85407928-27
NR6576--MA0741.1.KLF16	chr10	84534060	84534070	+	0.000	0.000	Merged-chr10-84533973-56
NR31458--MA0741.1.KLF16	chr19	31198631	31198641	+	0.000	0.000	Merged-chr19-31198738-18
NR1854--MA1107.1.KLF9	chr1	127796457	127796469	-	0.000	0.000	Merged-chr1-127796546-56
NR30807--MA0599.1.KLF5	chr19	5098553	5098562	-	0.000	0.000	Merged-chr19-5098548-15
NR5575--MA0740.1.KLF14	chr10	67194234	67194247	+	0.000	0.000	Merged-chr10-67194243-31
NR43202--MA0741.1.KLF16	chr4	117835297	117835307	+	0.000	0.000	Merged-chr4-117835233-2
NR56737--MA0741.1.KLF16	chr7	105787150	105787160	+	0.000	0.000	Merged-chr7-105787393-34
NR28174--MA0741.1.KLF16	chr17	74864999	74865009	-	0.000	0.000	Merged-chr17-74864979-18
NR32515--MA0039.3.KLF4	chr2	4454952	4454962	-	0.000	0.000	Merged-chr2-4454837-7
NR41954--MA0599.1.KLF5	chr4	42866051	42866060	+	0.000	0.000	Merged-chr4-42865977-16
NR1421--MA0599.1.KLF5	chr1	91831310	91831319	+	0.000	0.000	Merged-chr1-91831329-12
NR18685--MA1107.1.KLF9	chr14	31398271	31398283	-	0.000	0.000	Merged-chr14-31398460-1
NR7386--MA1107.1.KLF9	chr10	116664588	116664600	-	0.000	0.000	Merged-chr10-116664420-26
NR36463--MA1107.1.KLF9	chr2	157119297	157119309	-	0.000	0.000	Merged-chr2-157119108-55
NR18112--MA1107.1.KLF9	chr13	117390200	117390212	-	0.000	0.000	Merged-chr13-117390259-3
NR52660--MA0740.1.KLF14	chr6	120666242	120666255	+	0.000	0.000	Merged-chr6-120666537-45
NR62629--MA1107.1.KLF9	chr9	50438203	50438215	+	0.000	0.000	Merged-chr9-50438268-18
NR41264--MA0493.1.Klf1	chr3	154683893	154683903	-	0.000	0.000	Merged-chr3-154683777-15
NR59011--MA0599.1.KLF5	chr8	35680851	35680860	+	0.000	0.000	Merged-chr8-35680841-8
NR11835--MA1107.1.KLF9	chr11	109124569	109124581	+	0.000	0.000	Merged-chr11-109124612-1
NR55730--MA0742.1.Klf12	chr7	58758695	58758709	+	0.000	0.000	Merged-chr7-58758564-8
NR24106--MA0493.1.Klf1	chr16	24834894	24834904	+	0.000	0.000	Merged-chr16-24834930-16
NR61657--MA0742.1.Klf12	chr8	128420724	128420738	+	0.000	0.000	Merged-chr8-128420826-46
NR16139--MA0493.1.Klf1	chr13	51408712	51408722	+	0.000	0.000	Merged-chr13-51408755-27
NR30273--MA1107.1.KLF9	chr18	75247015	75247027	+	0.000	0.000	Merged-chr18-75247078-14
NR24052--MA0741.1.KLF16	chr16	24160876	24160886	+	0.000	0.000	Merged-chr16-24160756-32
NR22643--MA0741.1.KLF16	chr15	93375891	93375901	-	0.000	0.000	Merged-chr15-93375803-4
NR50903--MA0740.1.KLF14	chr6	47621483	47621496	+	0.000	0.000	Merged-chr6-47621326-39
NR39285--MA1107.1.KLF9	chr3	100582913	100582925	-	0.000	0.000	Merged-chr3-100582913-18
NR32543--MA0493.1.Klf1	chr2	5003272	5003282	+	0.000	0.000	Merged-chr2-5003396-19
NR53836--MA0741.1.KLF16	chr6	145002400	145002410	-	0.000	0.000	Merged-chr6-145002461-23
NR66528--MA0493.1.Klf1	chrX	113298149	113298159	-	0.000	0.000	Merged-chrX-113298172-75
NR60695--MA0039.3.KLF4	chr8	111355354	111355364	+	0.000	0.000	Merged-chr8-111355388-12
NR29586--MA1107.1.KLF9	chr18	54940233	54940245	+	0.000	0.000	Merged-chr18-54940174-2
NR63190--MA0039.3.KLF4	chr9	65003983	65003993	+	0.000	0.000	Merged-chr9-65004115-12
NR27628--MA0657.1.KLF13	chr17	56425175	56425192	-	0.000	0.000	Merged-chr17-56425045-2
NR18130--MA1107.1.KLF9	chr13	117707700	117707712	-	0.000	0.000	Merged-chr13-117707656-2
NR33879--MA0741.1.KLF16	chr2	59482659	59482669	+	0.000	0.000	Merged-chr2-59482840-22
NR62647--MA1107.1.KLF9	chr9	50512130	50512142	-	0.000	0.000	Merged-chr9-50512107-7
NR46023--MA0039.3.KLF4	chr5	28269731	28269741	-	0.000	0.000	Merged-chr5-28269924-54
NR4476--MA0599.1.KLF5	chr10	5448588	5448597	-	0.000	0.000	Merged-chr10-5448562-35
NR33839--MA0493.1.Klf1	chr2	57102709	57102719	+	0.000	0.000	Merged-chr2-57102684-19
NR10781--MA1107.1.KLF9	chr11	90257463	90257475	+	0.000	0.000	Merged-chr11-90257307-51
NR33883--MA1107.1.KLF9	chr2	59513711	59513723	-	0.000	0.000	Merged-chr2-59513816-12
NR54251--MA0742.1.Klf12	chr7	6343624	6343638	+	0.000	0.000	Merged-chr7-6343741-28
NR52105--MA0741.1.KLF16	chr6	99801018	99801028	+	0.000	0.000	Merged-chr6-99800956-8
NR34686--MA0741.1.KLF16	chr2	94263629	94263639	+	0.000	0.000	Merged-chr2-94263643-18
NR2716--MA1107.1.KLF9	chr1	156303511	156303523	-	0.000	0.000	Merged-chr1-156303466-35
NR1878--MA0599.1.KLF5	chr1	128540353	128540362	+	0.000	0.000	Merged-chr1-128540410-9
NR53255--MA0493.1.Klf1	chr6	135168259	135168269	+	0.000	0.000	Merged-chr6-135168143-37
NR60812--MA1107.1.KLF9	chr8	115136875	115136887	+	0.000	0.000	Merged-chr8-115136921-34
NR18319--MA0493.1.Klf1	chr14	10527100	10527110	-	0.000	0.000	Merged-chr14-10526900-22
NR61472--MA1107.1.KLF9	chr8	125727532	125727544	-	0.000	0.000	Merged-chr8-125727602-12
NR9800--MA0599.1.KLF5	chr11	67633844	67633853	-	0.000	0.000	Merged-chr11-67633953-18
NR24903--MA0493.1.Klf1	chr16	78295030	78295040	-	0.000	0.000	Merged-chr16-78294970-14
NR33649--MA0742.1.Klf12	chr2	36091472	36091486	+	0.000	0.000	Merged-chr2-36091401-36
NR16014--MA0741.1.KLF16	chr13	43789137	43789147	-	0.000	0.000	Merged-chr13-43789112-65
NR65394--MA0599.1.KLF5	chr9	120868916	120868925	-	0.000	0.000	Merged-chr9-120868777-2
NR38416--MA0599.1.KLF5	chr3	63610076	63610085	-	0.000	0.000	Merged-chr3-63609909-22
NR30041--MA0741.1.KLF16	chr18	68195247	68195257	-	0.000	0.000	Merged-chr18-68195286-23
NR47944--MA0742.1.Klf12	chr5	113164989	113165003	+	0.000	0.000	Merged-chr5-113165071-16
NR29415--MA0742.1.Klf12	chr18	44392721	44392735	-	0.000	0.000	Merged-chr18-44392575-22
NR56739--MA1107.1.KLF9	chr7	105787149	105787161	+	0.000	0.000	Merged-chr7-105787393-34
NR59910--MA1107.1.KLF9	chr8	77268570	77268582	+	0.000	0.000	Merged-chr8-77268341-22
NR33651--MA0493.1.Klf1	chr2	36091472	36091482	+	0.000	0.000	Merged-chr2-36091401-36
NR13385--MA0599.1.KLF5	chr12	57545565	57545574	+	0.000	0.000	Merged-chr12-57545739-33
NR63188--MA0742.1.Klf12	chr9	65003981	65003995	+	0.000	0.000	Merged-chr9-65004115-12
NR14443--MA0493.1.Klf1	chr12	104999354	104999364	+	0.000	0.000	Merged-chr12-104999417-2
NR36459--MA1107.1.KLF9	chr2	157119289	157119301	-	0.000	0.000	Merged-chr2-157119108-55
NR12035--MA0493.1.Klf1	chr11	114068450	114068460	+	0.000	0.000	Merged-chr11-114068502-5
NR11847--MA0741.1.KLF16	chr11	109347873	109347883	-	0.000	0.000	Merged-chr11-109347836-28
NR32490--MA0599.1.KLF5	chr2	3118332	3118341	-	0.000	0.000	Merged-chr2-3118423-48
NR59280--MA0599.1.KLF5	chr8	57355187	57355196	-	0.000	0.000	Merged-chr8-57355004-3
NR25438--MA0493.1.Klf1	chr16	95434625	95434635	+	0.000	0.000	Merged-chr16-95434709-3
NR58611--MA0599.1.KLF5	chr8	13494610	13494619	-	0.000	0.000	Merged-chr8-13494435-15
NR54457--MA0493.1.Klf1	chr7	16980380	16980390	+	0.000	0.000	Merged-chr7-16980470-23
NR39366--MA0657.1.KLF13	chr3	101933735	101933752	-	0.000	0.000	Merged-chr3-101933748-15
NR14392--MA0740.1.KLF14	chr12	103865522	103865535	+	0.000	0.000	Merged-chr12-103865547-1
NR39957--MA1107.1.KLF9	chr3	121495132	121495144	-	0.000	0.000	Merged-chr3-121495033-1
NR15250--MA0741.1.KLF16	chr12	118461013	118461023	-	0.000	0.000	Merged-chr12-118460851-4
NR20737--MA0741.1.KLF16	chr15	8616193	8616203	+	0.000	0.000	Merged-chr15-8616259-27
NR13570--MA0741.1.KLF16	chr12	71577499	71577509	-	0.000	0.000	Merged-chr12-71577475-38
NR35630--MA0599.1.KLF5	chr2	132180759	132180768	-	0.000	0.000	Merged-chr2-132180846-32
NR7611--MA0493.1.Klf1	chr10	118766025	118766035	-	0.000	0.000	Merged-chr10-118766153-45
NR4484--MA1107.1.KLF9	chr10	5795635	5795647	+	0.000	0.000	Merged-chr10-5795457-7
NR27743--MA0493.1.Klf1	chr17	57080112	57080122	-	0.000	0.000	Merged-chr17-57080070-15
NR12039--MA1107.1.KLF9	chr11	114068450	114068462	+	0.000	0.000	Merged-chr11-114068502-5
NR5418--MA0493.1.Klf1	chr10	61233349	61233359	+	0.000	0.000	Merged-chr10-61233317-40
NR50904--MA0599.1.KLF5	chr6	47621484	47621493	+	0.000	0.000	Merged-chr6-47621326-39
NR10236--MA0657.1.KLF13	chr11	76821646	76821663	-	0.000	0.000	Merged-chr11-76821628-1
NR13888--MA0741.1.KLF16	chr12	84698808	84698818	-	0.000	0.000	Merged-chr12-84698657-4
NR37116--MA0599.1.KLF5	chr2	168742134	168742143	+	0.000	0.000	Merged-chr2-168742095-110
NR30037--MA0493.1.Klf1	chr18	68195225	68195235	-	0.000	0.000	Merged-chr18-68195286-23
NR36687--MA0039.3.KLF4	chr2	163603908	163603918	+	0.000	0.000	Merged-chr2-163604093-28
