#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_dn.bed
NR11466--MA0591.1.Bach1::Mafk	chr5	149235159	149235173	+	0.000	0.000	Merged-chr5-149235115-37
NR10231--MA0591.1.Bach1::Mafk	chr4	108371533	108371547	+	0.000	0.000	Merged-chr4-108371608-19
NR5910--MA0089.1.MAFG::NFE2L1	chr16	75920923	75920928	+	0.000	0.000	Merged-chr16-75921068-56
NR6123--MA0495.2.MAFF	chr17	5802392	5802412	+	0.000	0.000	Merged-chr17-5802429-65
NR1509--MA0591.1.Bach1::Mafk	chr10	44434868	44434882	-	0.000	0.000	Merged-chr10-44434814-22
NR8761--MA0117.2.Mafb	chr2	180305821	180305832	-	0.000	0.000	Merged-chr2-180305728-36
NR14269--MA0495.2.MAFF	chr9	45247852	45247872	+	0.000	0.000	Merged-chr9-45247703-45
NR2746--MA0591.1.Bach1::Mafk	chr11	109149699	109149713	+	0.000	0.000	Merged-chr11-109149686-17
NR1362--MA0591.1.Bach1::Mafk	chr10	18008292	18008306	-	0.000	0.000	Merged-chr10-18008216-34
NR13556--MA0089.1.MAFG::NFE2L1	chr8	61517654	61517659	-	0.000	0.000	Merged-chr8-61517791-23
NR1239--MA0089.1.MAFG::NFE2L1	chr1	191780529	191780534	+	0.000	0.000	Merged-chr1-191780513-20
NR6125--MA0117.2.Mafb	chr17	5802392	5802403	+	0.000	0.000	Merged-chr17-5802429-65
NR14806--MA0496.2.MAFK	chrX	7308347	7308365	+	0.000	0.000	Merged-chrX-7308441-13
NR15037--MA0495.2.MAFF	chrX	142792380	142792400	+	0.000	0.000	Merged-chrX-142792362-24
NR2153--MA0089.1.MAFG::NFE2L1	chr11	4206035	4206040	+	0.000	0.000	Merged-chr11-4206247-48
NR6060--MA0591.1.Bach1::Mafk	chr16	94660250	94660264	-	0.000	0.000	Merged-chr16-94660460-20
NR7252--MA0591.1.Bach1::Mafk	chr19	21785907	21785921	-	0.000	0.000	Merged-chr19-21785964-7
NR5510--MA0117.2.Mafb	chr16	11519478	11519489	-	0.000	0.000	Merged-chr16-11519349-21
NR1711--MA0501.1.MAF::NFE2	chr10	78476948	78476962	+	0.000	0.000	Merged-chr10-78476877-17
NR15039--MA0117.2.Mafb	chrX	142792389	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR6940--MA0591.1.Bach1::Mafk	chr18	67290663	67290677	-	0.000	0.000	Merged-chr18-67290612-3
