#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR158--MA0690.1.TBX21	chr1	174041076	174041085	-	0.000	0.000	Merged-chr1-174041007-47
NR538--MA0690.1.TBX21	chr12	112720147	112720156	-	0.000	0.000	Merged-chr12-112720162-15
NR1232--MA0690.1.TBX21	chr2	61755146	61755155	+	0.000	0.000	Merged-chr2-61755182-23
NR1877--MA0690.1.TBX21	chr6	108338393	108338402	+	0.000	0.000	Merged-chr6-108338556-41
NR1681--MA0690.1.TBX21	chr5	64662588	64662597	+	0.000	0.000	Merged-chr5-64662440-49
NR1346--MA0690.1.TBX21	chr2	166101382	166101391	-	0.000	0.000	Merged-chr2-166101443-2
NR1848--MA0690.1.TBX21	chr6	72841851	72841860	+	0.000	0.000	Merged-chr6-72841906-9
NR1163--MA0690.1.TBX21	chr19	53760526	53760535	+	0.000	0.000	Merged-chr19-53760542-10
NR903--MA0690.1.TBX21	chr16	52230078	52230087	-	0.000	0.000	Merged-chr16-52230114-26
NR1418--MA0690.1.TBX21	chr3	89906194	89906203	-	0.000	0.000	Merged-chr3-89906356-37
NR985--MA0690.1.TBX21	chr17	45703392	45703401	+	0.000	0.000	Merged-chr17-45703436-19
NR821--MA0690.1.TBX21	chr15	66818856	66818865	+	0.000	0.000	Merged-chr15-66818844-13
NR1073--MA0690.1.TBX21	chr18	61204020	61204029	+	0.000	0.000	Merged-chr18-61203937-17
NR1182--MA0690.1.TBX21	chr2	17597866	17597875	-	0.000	0.000	Merged-chr2-17597899-18
NR847--MA0690.1.TBX21	chr15	84702072	84702081	-	0.000	0.000	Merged-chr15-84702122-13
NR412--MA0690.1.TBX21	chr11	82424780	82424789	+	0.000	0.000	Merged-chr11-82424845-7
NR2252--MA0690.1.TBX21	chr9	55285443	55285452	-	0.000	0.000	Merged-chr9-55285466-14
NR250--MA0690.1.TBX21	chr10	39517617	39517626	+	0.000	0.000	Merged-chr10-39517662-15
NR1296--MA0690.1.TBX21	chr2	131145666	131145675	+	0.000	0.000	Merged-chr2-131145703-8
NR818--MA0690.1.TBX21	chr15	64192774	64192783	-	0.000	0.000	Merged-chr15-64192878-29
NR494--MA0690.1.TBX21	chr12	69102085	69102094	+	0.000	0.000	Merged-chr12-69102156-32
NR2210--MA0690.1.TBX21	chr8	128643073	128643082	-	0.000	0.000	Merged-chr8-128643198-31
NR874--MA0690.1.TBX21	chr16	11077678	11077687	-	0.000	0.000	Merged-chr16-11077800-31
NR377--MA0690.1.TBX21	chr11	52109669	52109678	+	0.000	0.000	Merged-chr11-52109659-16
NR2215--MA0690.1.TBX21	chr9	5623627	5623636	-	0.000	0.000	Merged-chr9-5623590-21
NR715--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR436--MA0690.1.TBX21	chr11	99131611	99131620	-	0.000	0.000	Merged-chr11-99131567-85
NR287--MA0690.1.TBX21	chr10	85013286	85013295	+	0.000	0.000	Merged-chr10-85013144-1
