#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR1904--MA0690.1.TBX21	chr8	88592927	88592936	+	0.000	0.000	Merged-chr8-88592850-20
NR1973--MA0690.1.TBX21	chr9	44193003	44193012	+	0.000	0.000	Merged-chr9-44193029-8
NR1102--MA0690.1.TBX21	chr2	34494409	34494418	-	0.000	0.000	Merged-chr2-34494375-14
NR2065--MA0690.1.TBX21	chr9	117911001	117911010	+	0.000	0.000	Merged-chr9-117910970-21
NR1965--MA0690.1.TBX21	chr9	27023912	27023921	-	0.000	0.000	Merged-chr9-27023866-37
NR1455--MA0690.1.TBX21	chr4	138033678	138033687	+	0.000	0.000	Merged-chr4-138033707-13
NR1577--MA0690.1.TBX21	chr5	144973180	144973189	-	0.000	0.000	Merged-chr5-144972995-15
NR1848--MA0690.1.TBX21	chr7	142435690	142435699	-	0.000	0.000	Merged-chr7-142435660-33
NR1827--MA0690.1.TBX21	chr7	128062708	128062717	-	0.000	0.000	Merged-chr7-128062681-13
NR1495--MA0690.1.TBX21	chr5	67418824	67418833	-	0.000	0.000	Merged-chr5-67418777-17
NR1081--MA0690.1.TBX21	chr2	25148061	25148070	-	0.000	0.000	Merged-chr2-25148103-14
NR1378--MA0690.1.TBX21	chr4	21842805	21842814	-	0.000	0.000	Merged-chr4-21842691-16
NR542--MA0690.1.TBX21	chr13	52982926	52982935	+	0.000	0.000	Merged-chr13-52982941-24
NR778--MA0690.1.TBX21	chr16	11502718	11502727	-	0.000	0.000	Merged-chr16-11502658-14
NR47--MA0690.1.TBX21	chr1	78478125	78478134	-	0.000	0.000	Merged-chr1-78478073-15
NR1932--MA0690.1.TBX21	chr8	120716738	120716747	+	0.000	0.000	Merged-chr8-120716591-36
NR2003--MA0690.1.TBX21	chr9	69362280	69362289	+	0.000	0.000	Merged-chr9-69362247-25
NR396--MA0690.1.TBX21	chr11	115581374	115581383	+	0.000	0.000	Merged-chr11-115581536-6
NR1101--MA0690.1.TBX21	chr2	34494373	34494382	+	0.000	0.000	Merged-chr2-34494375-14
NR1332--MA0690.1.TBX21	chr3	144561697	144561706	+	0.000	0.000	Merged-chr3-144561824-38
NR1603--MA0690.1.TBX21	chr6	32779659	32779668	-	0.000	0.000	Merged-chr6-32779774-10
NR197--MA0690.1.TBX21	chr10	39506906	39506915	-	0.000	0.000	Merged-chr10-39506782-12
NR1935--MA0690.1.TBX21	chr8	121176417	121176426	+	0.000	0.000	Merged-chr8-121176463-20
NR2027--MA0690.1.TBX21	chr9	94610711	94610720	+	0.000	0.000	Merged-chr9-94610795-11
NR570--MA0690.1.TBX21	chr13	93786598	93786607	+	0.000	0.000	Merged-chr13-93786561-7
NR1268--MA0690.1.TBX21	chr3	84630990	84630999	+	0.000	0.000	Merged-chr3-84630888-13
NR1160--MA0690.1.TBX21	chr2	116921603	116921612	+	0.000	0.000	Merged-chr2-116921612-11
NR1295--MA0690.1.TBX21	chr3	103406616	103406625	+	0.000	0.000	Merged-chr3-103406514-32
NR262--MA0690.1.TBX21	chr10	117969969	117969978	+	0.000	0.000	Merged-chr10-117970017-9
NR41--MA0690.1.TBX21	chr1	66878611	66878620	-	0.000	0.000	Merged-chr1-66878572-10
