#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR1699--MA0690.1.TBX21	chr7	58759486	58759495	+	0.000	0.000	Merged-chr7-58759463-23
NR863--MA0690.1.TBX21	chr18	39657190	39657199	+	0.000	0.000	Merged-chr18-39657147-8
NR1607--MA0690.1.TBX21	chr6	108310211	108310220	-	0.000	0.000	Merged-chr6-108310107-36
NR1567--MA0690.1.TBX21	chr6	72660174	72660183	+	0.000	0.000	Merged-chr6-72660096-30
NR1704--MA0690.1.TBX21	chr7	68288137	68288146	-	0.000	0.000	Merged-chr7-68288130-13
NR1372--MA0690.1.TBX21	chr4	146498383	146498392	-	0.000	0.000	Merged-chr4-146498497-2
NR1627--MA0690.1.TBX21	chr6	122496559	122496568	+	0.000	0.000	Merged-chr6-122496734-16
NR990--MA0690.1.TBX21	chr2	31303429	31303438	-	0.000	0.000	Merged-chr2-31303456-10
NR918--MA0690.1.TBX21	chr19	6869672	6869681	+	0.000	0.000	Merged-chr19-6869528-29
NR987--MA0690.1.TBX21	chr2	30470172	30470181	-	0.000	0.000	Merged-chr2-30470096-26
NR1801--MA0690.1.TBX21	chr7	142114093	142114102	-	0.000	0.000	Merged-chr7-142113991-20
NR419--MA0690.1.TBX21	chr12	117566383	117566392	+	0.000	0.000	Merged-chr12-117566493-34
NR1153--MA0690.1.TBX21	chr3	52784723	52784732	+	0.000	0.000	Merged-chr3-52784763-15
NR1995--MA0690.1.TBX21	chr9	111119168	111119177	+	0.000	0.000	Merged-chr9-111119231-12
NR1560--MA0690.1.TBX21	chr6	67128021	67128030	-	0.000	0.000	Merged-chr6-67128007-16
NR920--MA0690.1.TBX21	chr19	10198893	10198902	+	0.000	0.000	Merged-chr19-10198987-5
NR1857--MA0690.1.TBX21	chr8	57436143	57436152	-	0.000	0.000	Merged-chr8-57436096-21
NR1347--MA0690.1.TBX21	chr4	129508049	129508058	+	0.000	0.000	Merged-chr4-129508062-20
NR851--MA0690.1.TBX21	chr18	24052323	24052332	+	0.000	0.000	Merged-chr18-24052394-19
NR442--MA0690.1.TBX21	chr13	33995352	33995361	+	0.000	0.000	Merged-chr13-33995395-11
NR694--MA0690.1.TBX21	chr15	103154462	103154471	-	0.000	0.000	Merged-chr15-103154383-18
