#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR6037--MA0501.1.MAF::NFE2	chr19	21646543	21646557	-	0.000	0.000	Merged-chr19-21646506-24
NR9753--MA0089.1.MAFG::NFE2L1	chr6	54902653	54902658	+	0.000	0.000	Merged-chr6-54902774-18
NR7213--MA0495.2.MAFF	chr2	157190846	157190866	-	0.000	0.000	Merged-chr2-157190874-9
NR7215--MA0659.1.MAFG	chr2	157190846	157190866	+	0.000	0.000	Merged-chr2-157190874-9
NR11886--MA0089.1.MAFG::NFE2L1	chr9	44582570	44582575	-	0.000	0.000	Merged-chr9-44582588-15
NR9507--MA0659.1.MAFG	chr5	146655355	146655375	-	0.000	0.000	Merged-chr5-146655552-37
NR10953--MA0495.2.MAFF	chr7	116409582	116409602	+	0.000	0.000	Merged-chr7-116409560-37
NR4729--MA0089.1.MAFG::NFE2L1	chr16	33445145	33445150	-	0.000	0.000	Merged-chr16-33445273-4
NR265--MA0089.1.MAFG::NFE2L1	chr1	78478073	78478078	+	0.000	0.000	Merged-chr1-78478073-15
NR1902--MA0089.1.MAFG::NFE2L1	chr11	49177163	49177168	+	0.000	0.000	Merged-chr11-49177180-1
NR6424--MA0591.1.Bach1::Mafk	chr2	32867505	32867519	-	0.000	0.000	Merged-chr2-32867635-14
NR11487--MA0501.1.MAF::NFE2	chr8	94812834	94812848	-	0.000	0.000	Merged-chr8-94812976-23
NR11029--MA0089.1.MAFG::NFE2L1	chr7	125621881	125621886	-	0.000	0.000	Merged-chr7-125621906-18
NR12475--MA0495.2.MAFF	chrX	77801762	77801782	+	0.000	0.000	Merged-chrX-77801758-16
NR11682--MA0089.1.MAFG::NFE2L1	chr8	124255706	124255711	-	0.000	0.000	Merged-chr8-124255729-8
NR2337--MA0496.2.MAFK	chr11	109480130	109480148	+	0.000	0.000	Merged-chr11-109480065-23
NR1322--MA0089.1.MAFG::NFE2L1	chr10	76270398	76270403	-	0.000	0.000	Merged-chr10-76270300-7
NR1178--MA0117.2.Mafb	chr10	43919090	43919101	-	0.000	0.000	Merged-chr10-43919152-21
NR8051--MA0089.1.MAFG::NFE2L1	chr3	149394037	149394042	+	0.000	0.000	Merged-chr3-149393865-18
NR9397--MA0089.1.MAFG::NFE2L1	chr5	124233201	124233206	-	0.000	0.000	Merged-chr5-124233258-22
NR1179--MA0501.1.MAF::NFE2	chr10	43919087	43919101	+	0.000	0.000	Merged-chr10-43919152-21
NR4549--MA0496.2.MAFK	chr15	100265725	100265743	+	0.000	0.000	Merged-chr15-100265875-19
NR172--MA0089.1.MAFG::NFE2L1	chr1	53970760	53970765	-	0.000	0.000	Merged-chr1-53970777-7
NR10977--MA0089.1.MAFG::NFE2L1	chr7	118500291	118500296	+	0.000	0.000	Merged-chr7-118500296-3
NR5161--MA0089.1.MAFG::NFE2L1	chr17	25014250	25014255	+	0.000	0.000	Merged-chr17-25014289-16
NR11097--MA0117.2.Mafb	chr7	135581187	135581198	-	0.000	0.000	Merged-chr7-135581080-39
NR10760--MA0089.1.MAFG::NFE2L1	chr7	89253032	89253037	-	0.000	0.000	Merged-chr7-89253007-2
NR7629--MA0117.2.Mafb	chr3	79504674	79504685	-	0.000	0.000	Merged-chr3-79504650-9
NR6457--MA0495.2.MAFF	chr2	34945756	34945776	-	0.000	0.000	Merged-chr2-34945759-18
NR1153--MA0089.1.MAFG::NFE2L1	chr10	39506801	39506806	+	0.000	0.000	Merged-chr10-39506782-12
NR11899--MA0117.2.Mafb	chr9	48817460	48817471	-	0.000	0.000	Merged-chr9-48817420-28
NR1363--MA0117.2.Mafb	chr10	80270224	80270235	-	0.000	0.000	Merged-chr10-80270188-4
NR1209--MA0496.2.MAFK	chr10	53344049	53344067	-	0.000	0.000	Merged-chr10-53344095-9
NR9591--MA0089.1.MAFG::NFE2L1	chr6	15726641	15726646	+	0.000	0.000	Merged-chr6-15726718-35
NR7140--MA0495.2.MAFF	chr2	150840384	150840404	+	0.000	0.000	Merged-chr2-150840392-23
NR7524--MA0501.1.MAF::NFE2	chr3	28244543	28244557	+	0.000	0.000	Merged-chr3-28244555-21
NR6425--MA0501.1.MAF::NFE2	chr2	32867502	32867516	-	0.000	0.000	Merged-chr2-32867635-14
NR5598--MA0089.1.MAFG::NFE2L1	chr18	23734842	23734847	-	0.000	0.000	Merged-chr18-23734973-16
NR6460--MA0591.1.Bach1::Mafk	chr2	34945759	34945773	-	0.000	0.000	Merged-chr2-34945759-18
NR6135--MA0089.1.MAFG::NFE2L1	chr19	41366698	41366703	-	0.000	0.000	Merged-chr19-41366765-21
NR2313--MA0591.1.Bach1::Mafk	chr11	107875959	107875973	-	0.000	0.000	Merged-chr11-107875991-6
NR6297--MA0495.2.MAFF	chr2	3742585	3742605	-	0.000	0.000	Merged-chr2-3742681-34
NR9508--MA0496.2.MAFK	chr5	146655356	146655374	+	0.000	0.000	Merged-chr5-146655552-37
NR12482--MA0496.2.MAFK	chrX	77801763	77801781	-	0.000	0.000	Merged-chrX-77801758-16
NR502--MA0089.1.MAFG::NFE2L1	chr1	131000553	131000558	+	0.000	0.000	Merged-chr1-131000577-8
NR4209--MA0117.2.Mafb	chr15	38122314	38122325	+	0.000	0.000	Merged-chr15-38122272-49
NR4444--MA0496.2.MAFK	chr15	82906878	82906896	+	0.000	0.000	Merged-chr15-82906941-10
NR7141--MA0591.1.Bach1::Mafk	chr2	150840387	150840401	-	0.000	0.000	Merged-chr2-150840392-23
NR11643--MA0089.1.MAFG::NFE2L1	chr8	120716594	120716599	+	0.000	0.000	Merged-chr8-120716591-36
NR3885--MA0501.1.MAF::NFE2	chr14	66225136	66225150	+	0.000	0.000	Merged-chr14-66225302-32
NR12480--MA0501.1.MAF::NFE2	chrX	77801768	77801782	+	0.000	0.000	Merged-chrX-77801758-16
NR9505--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	-	0.000	0.000	Merged-chr5-146655552-37
NR5300--MA0089.1.MAFG::NFE2L1	chr17	50171180	50171185	-	0.000	0.000	Merged-chr17-50171299-20
NR5702--MA0591.1.Bach1::Mafk	chr18	50022529	50022543	-	0.000	0.000	Merged-chr18-50022640-10
NR8954--MA0117.2.Mafb	chr5	23620783	23620794	-	0.000	0.000	Merged-chr5-23620874-12
NR5111--MA0089.1.MAFG::NFE2L1	chr17	13564981	13564986	-	0.000	0.000	Merged-chr17-13564978-21
NR1182--MA0089.1.MAFG::NFE2L1	chr10	44069388	44069393	+	0.000	0.000	Merged-chr10-44069344-19
NR8614--MA0117.2.Mafb	chr4	132389426	132389437	+	0.000	0.000	Merged-chr4-132389358-16
NR7216--MA0659.1.MAFG	chr2	157190846	157190866	-	0.000	0.000	Merged-chr2-157190874-9
NR598--MA0591.1.Bach1::Mafk	chr1	151382088	151382102	-	0.000	0.000	Merged-chr1-151382217-13
NR11366--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	-	0.000	0.000	Merged-chr8-71587200-14
NR11486--MA0659.1.MAFG	chr8	94812834	94812854	-	0.000	0.000	Merged-chr8-94812976-23
NR10954--MA0495.2.MAFF	chr7	116409582	116409602	-	0.000	0.000	Merged-chr7-116409560-37
NR2342--MA0496.2.MAFK	chr11	109744079	109744097	+	0.000	0.000	Merged-chr11-109744155-21
NR3884--MA0496.2.MAFK	chr14	66218935	66218953	+	0.000	0.000	Merged-chr14-66218968-32
NR8410--MA0089.1.MAFG::NFE2L1	chr4	101234853	101234858	-	0.000	0.000	Merged-chr4-101235092-24
NR10956--MA0659.1.MAFG	chr7	116409582	116409602	+	0.000	0.000	Merged-chr7-116409560-37
NR4429--MA0591.1.Bach1::Mafk	chr15	80582791	80582805	-	0.000	0.000	Merged-chr15-80582931-41
NR12476--MA0495.2.MAFF	chrX	77801762	77801782	-	0.000	0.000	Merged-chrX-77801758-16
NR5159--MA0089.1.MAFG::NFE2L1	chr17	24686768	24686773	+	0.000	0.000	Merged-chr17-24686693-5
NR1080--MA0117.2.Mafb	chr10	21976504	21976515	-	0.000	0.000	Merged-chr10-21976372-39
NR2338--MA0496.2.MAFK	chr11	109480130	109480148	-	0.000	0.000	Merged-chr11-109480065-23
NR12478--MA0659.1.MAFG	chrX	77801762	77801782	+	0.000	0.000	Merged-chrX-77801758-16
NR6130--MA0501.1.MAF::NFE2	chr19	40661356	40661370	-	0.000	0.000	Merged-chr19-40661209-23
NR1954--MA0501.1.MAF::NFE2	chr11	58189756	58189770	-	0.000	0.000	Merged-chr11-58189839-18
NR531--MA0089.1.MAFG::NFE2L1	chr1	135124914	135124919	-	0.000	0.000	Merged-chr1-135124933-9
NR4290--MA0089.1.MAFG::NFE2L1	chr15	59520704	59520709	-	0.000	0.000	Merged-chr15-59520520-55
NR7143--MA0496.2.MAFK	chr2	150840385	150840403	+	0.000	0.000	Merged-chr2-150840392-23
NR5897--MA0659.1.MAFG	chr18	84159131	84159151	+	0.000	0.000	Merged-chr18-84159275-32
NR15--MA0117.2.Mafb	chr1	10257658	10257669	-	0.000	0.000	Merged-chr1-10257584-29
NR1210--MA0089.1.MAFG::NFE2L1	chr10	53344081	53344086	-	0.000	0.000	Merged-chr10-53344095-9
NR12220--MA0089.1.MAFG::NFE2L1	chr9	99699937	99699942	-	0.000	0.000	Merged-chr9-99699985-12
NR8118--MA0501.1.MAF::NFE2	chr4	6218826	6218840	-	0.000	0.000	Merged-chr4-6219032-9
NR9583--MA0496.2.MAFK	chr6	8641036	8641054	-	0.000	0.000	Merged-chr6-8641126-10
NR10633--MA0591.1.Bach1::Mafk	chr7	66250208	66250222	-	0.000	0.000	Merged-chr7-66250161-34
NR10955--MA0591.1.Bach1::Mafk	chr7	116409585	116409599	-	0.000	0.000	Merged-chr7-116409560-37
NR12044--MA0089.1.MAFG::NFE2L1	chr9	69450553	69450558	-	0.000	0.000	Merged-chr9-69450525-8
NR11681--MA0089.1.MAFG::NFE2L1	chr8	124255708	124255713	+	0.000	0.000	Merged-chr8-124255729-8
NR2225--MA0591.1.Bach1::Mafk	chr11	95356972	95356986	-	0.000	0.000	Merged-chr11-95356897-59
NR11484--MA0591.1.Bach1::Mafk	chr8	94812837	94812851	-	0.000	0.000	Merged-chr8-94812976-23
NR3199--MA0117.2.Mafb	chr13	45455795	45455806	+	0.000	0.000	Merged-chr13-45455779-40
NR8411--MA0117.2.Mafb	chr4	101234857	101234868	-	0.000	0.000	Merged-chr4-101235092-24
NR9076--MA0117.2.Mafb	chr5	65898037	65898048	+	0.000	0.000	Merged-chr5-65898025-23
NR95--MA0496.2.MAFK	chr1	36162982	36163000	+	0.000	0.000	Merged-chr1-36162898-20
NR2701--MA0591.1.Bach1::Mafk	chr12	81845115	81845129	-	0.000	0.000	Merged-chr12-81845150-28
NR11992--MA0089.1.MAFG::NFE2L1	chr9	62412259	62412264	+	0.000	0.000	Merged-chr9-62412387-14
NR710--MA0117.2.Mafb	chr1	165822163	165822174	+	0.000	0.000	Merged-chr1-165822211-30
NR3200--MA0089.1.MAFG::NFE2L1	chr13	45455845	45455850	+	0.000	0.000	Merged-chr13-45455779-40
NR2340--MA0591.1.Bach1::Mafk	chr11	109744081	109744095	-	0.000	0.000	Merged-chr11-109744155-21
NR9509--MA0496.2.MAFK	chr5	146655356	146655374	-	0.000	0.000	Merged-chr5-146655552-37
NR5299--MA0089.1.MAFG::NFE2L1	chr17	50171182	50171187	+	0.000	0.000	Merged-chr17-50171299-20
NR4255--MA0089.1.MAFG::NFE2L1	chr15	53216518	53216523	+	0.000	0.000	Merged-chr15-53216582-40
NR9453--MA0117.2.Mafb	chr5	139377529	139377540	-	0.000	0.000	Merged-chr5-139377554-24
NR8589--MA0089.1.MAFG::NFE2L1	chr4	129621186	129621191	-	0.000	0.000	Merged-chr4-129621333-30
NR11939--MA0089.1.MAFG::NFE2L1	chr9	57577549	57577554	-	0.000	0.000	Merged-chr9-57577523-17
NR4445--MA0496.2.MAFK	chr15	82906878	82906896	-	0.000	0.000	Merged-chr15-82906941-10
NR5471--MA0089.1.MAFG::NFE2L1	chr17	84032633	84032638	-	0.000	0.000	Merged-chr17-84032623-33
NR7523--MA0495.2.MAFF	chr3	28244537	28244557	-	0.000	0.000	Merged-chr3-28244555-21
NR5898--MA0496.2.MAFK	chr18	84159132	84159150	-	0.000	0.000	Merged-chr18-84159275-32
NR10463--MA0117.2.Mafb	chr7	16368614	16368625	+	0.000	0.000	Merged-chr7-16368534-21
NR4177--MA0089.1.MAFG::NFE2L1	chr15	31117636	31117641	-	0.000	0.000	Merged-chr15-31117559-26
