#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR43729--MA1107.1.KLF9	chr4	88912396	88912408	-	0.000	0.000	Merged-chr4-88912378-27
NR67026--MA0493.1.Klf1	chrX	9202980	9202990	-	0.000	0.000	Merged-chrX-9203018-6
NR67070--MA1107.1.KLF9	chrX	12062745	12062757	+	0.000	0.000	Merged-chrX-12062732-18
NR11319--MA0039.3.KLF4	chr11	88595770	88595780	+	0.000	0.000	Merged-chr11-88595910-28
NR65398--MA0741.1.KLF16	chr9	94607624	94607634	-	0.000	0.000	Merged-chr9-94607543-65
NR63812--MA1107.1.KLF9	chr9	37236226	37236238	-	0.000	0.000	Merged-chr9-37236124-32
NR41012--MA1107.1.KLF9	chr3	130894553	130894565	-	0.000	0.000	Merged-chr3-130894407-22
NR5481--MA0742.1.Klf12	chr10	43706476	43706490	-	0.000	0.000	Merged-chr10-43706280-54
NR17457--MA0599.1.KLF5	chr13	95524227	95524236	+	0.000	0.000	Merged-chr13-95524264-2
NR56745--MA0741.1.KLF16	chr7	49494957	49494967	+	0.000	0.000	Merged-chr7-49494921-17
NR28453--MA0741.1.KLF16	chr17	80418992	80419002	+	0.000	0.000	Merged-chr17-80418993-27
NR41358--MA0599.1.KLF5	chr3	138163030	138163039	-	0.000	0.000	Merged-chr3-138162869-22
NR31584--MA0742.1.Klf12	chr19	17268912	17268926	+	0.000	0.000	Merged-chr19-17268849-24
NR41800--MA1107.1.KLF9	chr3	149158088	149158100	+	0.000	0.000	Merged-chr3-149158064-1
NR51845--MA0599.1.KLF5	chr6	37564039	37564048	+	0.000	0.000	Merged-chr6-37564158-19
NR57932--MA0599.1.KLF5	chr7	102347595	102347604	+	0.000	0.000	Merged-chr7-102347477-20
NR64446--MA0493.1.Klf1	chr9	61754104	61754114	-	0.000	0.000	Merged-chr9-61753912-30
NR37722--MA0039.3.KLF4	chr2	167485911	167485921	-	0.000	0.000	Merged-chr2-167485904-9
NR56708--MA0599.1.KLF5	chr7	48137407	48137416	+	0.000	0.000	Merged-chr7-48137318-1
NR10013--MA0657.1.KLF13	chr11	59787714	59787731	+	0.000	0.000	Merged-chr11-59787548-18
