#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR301--MA0768.1.LEF1	chr10	82728183	82728197	-	0.000	0.000	Merged-chr10-82728321-8
NR1202--MA0768.1.LEF1	chr18	12876590	12876604	+	0.000	0.000	Merged-chr18-12876665-8
NR418--MA0768.1.LEF1	chr11	74800983	74800997	-	0.000	0.000	Merged-chr11-74801071-1
NR436--MA0768.1.LEF1	chr11	98660778	98660792	+	0.000	0.000	Merged-chr11-98660794-12
NR2306--MA0768.1.LEF1	chr6	142567723	142567737	-	0.000	0.000	Merged-chr6-142567710-6
NR88--MA0768.1.LEF1	chr1	98088346	98088360	+	0.000	0.000	Merged-chr1-98088226-2
NR2589--MA0768.1.LEF1	chr9	25549247	25549261	-	0.000	0.000	Merged-chr9-25549394-11
NR1862--MA0768.1.LEF1	chr4	55755857	55755871	-	0.000	0.000	Merged-chr4-55755950-2
NR827--MA0768.1.LEF1	chr14	78687432	78687446	+	0.000	0.000	Merged-chr14-78687431-2
NR1728--MA0768.1.LEF1	chr3	103862399	103862413	+	0.000	0.000	Merged-chr3-103862515-1
NR1979--MA0768.1.LEF1	chr5	17438035	17438049	+	0.000	0.000	Merged-chr5-17438091-4
NR2608--MA0768.1.LEF1	chr9	42463999	42464013	+	0.000	0.000	Merged-chr9-42464013-7
NR233--MA0768.1.LEF1	chr10	20231315	20231329	+	0.000	0.000	Merged-chr10-20231392-7
NR135--MA0768.1.LEF1	chr1	143993255	143993269	-	0.000	0.000	Merged-chr1-143993220-9
NR2633--MA0768.1.LEF1	chr9	69142126	69142140	-	0.000	0.000	Merged-chr9-69142137-1
NR2535--MA0768.1.LEF1	chr8	95679373	95679387	+	0.000	0.000	Merged-chr8-95679341-1
NR1463--MA0768.1.LEF1	chr2	68291456	68291470	+	0.000	0.000	Merged-chr2-68291418-12
NR375--MA0768.1.LEF1	chr11	4642387	4642401	-	0.000	0.000	Merged-chr11-4642323-2
NR980--MA0768.1.LEF1	chr16	7419921	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR1993--MA0768.1.LEF1	chr5	24894949	24894963	-	0.000	0.000	Merged-chr5-24894966-9
NR846--MA0768.1.LEF1	chr14	103532697	103532711	-	0.000	0.000	Merged-chr14-103532610-9
NR2725--MA0768.1.LEF1	chr9	123376967	123376981	-	0.000	0.000	Merged-chr9-123377036-7
NR1699--MA0768.1.LEF1	chr3	81489540	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR1082--MA0768.1.LEF1	chr16	95134312	95134326	-	0.000	0.000	Merged-chr16-95134376-1
NR974--MA0768.1.LEF1	chr15	102165933	102165947	+	0.000	0.000	Merged-chr15-102165758-28
NR1777--MA0768.1.LEF1	chr3	138842536	138842550	+	0.000	0.000	Merged-chr3-138842482-12
NR71--MA0768.1.LEF1	chr1	85961046	85961060	+	0.000	0.000	Merged-chr1-85961052-28
NR1692--MA0768.1.LEF1	chr3	79129253	79129267	-	0.000	0.000	Merged-chr3-79129160-12
NR317--MA0768.1.LEF1	chr10	93050741	93050755	-	0.000	0.000	Merged-chr10-93050674-1
NR1370--MA0768.1.LEF1	chr2	3525922	3525936	+	0.000	0.000	Merged-chr2-3525948-8
NR1980--MA0768.1.LEF1	chr5	17438053	17438067	-	0.000	0.000	Merged-chr5-17438091-4
NR1076--MA0768.1.LEF1	chr16	92307632	92307646	+	0.000	0.000	Merged-chr16-92307633-7
NR897--MA0768.1.LEF1	chr15	31649926	31649940	+	0.000	0.000	Merged-chr15-31649789-27
NR1700--MA0768.1.LEF1	chr3	84569605	84569619	+	0.000	0.000	Merged-chr3-84569742-8
NR1821--MA0768.1.LEF1	chr4	8499645	8499659	+	0.000	0.000	Merged-chr4-8499502-2
NR477--MA0768.1.LEF1	chr12	21472605	21472619	-	0.000	0.000	Merged-chr12-21472738-21
NR1410--MA0768.1.LEF1	chr2	44159717	44159731	+	0.000	0.000	Merged-chr2-44159655-18
NR1531--MA0768.1.LEF1	chr2	114197100	114197114	-	0.000	0.000	Merged-chr2-114197005-3
NR1312--MA0768.1.LEF1	chr19	16274717	16274731	-	0.000	0.000	Merged-chr19-16274697-6
NR121--MA0768.1.LEF1	chr1	133571478	133571492	+	0.000	0.000	Merged-chr1-133571423-3
NR242--MA0768.1.LEF1	chr10	30656437	30656451	-	0.000	0.000	Merged-chr10-30656526-1
NR2587--MA0768.1.LEF1	chr9	24331761	24331775	+	0.000	0.000	Merged-chr9-24331833-14
NR256--MA0768.1.LEF1	chr10	50650805	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR2395--MA0768.1.LEF1	chr7	101635945	101635959	+	0.000	0.000	Merged-chr7-101636183-33
NR1306--MA0768.1.LEF1	chr19	11055834	11055848	-	0.000	0.000	Merged-chr19-11055893-27
NR2576--MA0768.1.LEF1	chr9	14071856	14071870	+	0.000	0.000	Merged-chr9-14072005-21
NR1379--MA0768.1.LEF1	chr2	6716854	6716868	-	0.000	0.000	Merged-chr2-6716828-13
NR2008--MA0768.1.LEF1	chr5	44180969	44180983	-	0.000	0.000	Merged-chr5-44180865-15
NR819--MA0768.1.LEF1	chr14	74977104	74977118	+	0.000	0.000	Merged-chr14-74977138-7
NR122--MA0768.1.LEF1	chr1	133571485	133571499	+	0.000	0.000	Merged-chr1-133571423-3
NR1731--MA0768.1.LEF1	chr3	107185841	107185855	-	0.000	0.000	Merged-chr3-107185785-15
NR1861--MA0768.1.LEF1	chr4	54855960	54855974	+	0.000	0.000	Merged-chr4-54855897-1
NR1727--MA0768.1.LEF1	chr3	103640394	103640408	-	0.000	0.000	Merged-chr3-103640406-6
