#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-log2fc-1_dn.bed
NR4145--MA1421.1.TCF7L1	chr18	55055769	55055780	-	0.000	0.000	Merged-chr18-55055827-13
NR1078--MA1421.1.TCF7L1	chr10	91138671	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR1751--MA0769.1.Tcf7	chr12	32099792	32099803	+	0.000	0.000	Merged-chr12-32099741-8
NR3000--MA0523.1.TCF7L2	chr14	122187101	122187114	-	0.000	0.000	Merged-chr14-122187060-26
NR3291--MA0769.1.Tcf7	chr15	93694650	93694661	-	0.000	0.000	Merged-chr15-93694661-9
NR6296--MA1421.1.TCF7L1	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR1750--MA0523.1.TCF7L2	chr12	32099792	32099805	+	0.000	0.000	Merged-chr12-32099741-8
NR8293--MA0769.1.Tcf7	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR1593--MA1421.1.TCF7L1	chr11	106493442	106493453	-	0.000	0.000	Merged-chr11-106493297-20
NR1241--MA1421.1.TCF7L1	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR8657--MA0769.1.Tcf7	chr9	50852881	50852892	-	0.000	0.000	Merged-chr9-50852835-21
NR3091--MA1421.1.TCF7L1	chr15	35529605	35529616	-	0.000	0.000	Merged-chr15-35529547-26
NR830--MA0769.1.Tcf7	chr10	28564338	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR1079--MA0523.1.TCF7L2	chr10	91138669	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR3930--MA1421.1.TCF7L1	chr17	73952218	73952229	+	0.000	0.000	Merged-chr17-73952254-58
NR7044--MA0769.1.Tcf7	chr6	5147853	5147864	+	0.000	0.000	Merged-chr6-5148035-17
NR5312--MA0769.1.Tcf7	chr2	168429802	168429813	+	0.000	0.000	Merged-chr2-168429700-17
NR3289--MA1421.1.TCF7L1	chr15	93694650	93694661	-	0.000	0.000	Merged-chr15-93694661-9
NR6394--MA1421.1.TCF7L1	chr4	126195019	126195030	+	0.000	0.000	Merged-chr4-126195101-15
NR6989--MA0769.1.Tcf7	chr5	145074716	145074727	-	0.000	0.000	Merged-chr5-145074740-2
NR3827--MA0769.1.Tcf7	chr17	35766542	35766553	+	0.000	0.000	Merged-chr17-35766522-37
NR873--MA1421.1.TCF7L1	chr10	44700357	44700368	-	0.000	0.000	Merged-chr10-44700385-25
NR442--MA0769.1.Tcf7	chr1	143466098	143466109	+	0.000	0.000	Merged-chr1-143466091-51
NR3416--MA0523.1.TCF7L2	chr16	23286589	23286602	-	0.000	0.000	Merged-chr16-23286554-38
NR8073--MA1421.1.TCF7L1	chr7	135605122	135605133	+	0.000	0.000	Merged-chr7-135605308-40
NR5595--MA1421.1.TCF7L1	chr3	84023024	84023035	-	0.000	0.000	Merged-chr3-84022944-34
NR6395--MA0769.1.Tcf7	chr4	126195019	126195030	+	0.000	0.000	Merged-chr4-126195101-15
NR2971--MA1421.1.TCF7L1	chr14	118124306	118124317	+	0.000	0.000	Merged-chr14-118124409-31
NR1080--MA0769.1.Tcf7	chr10	91138671	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR6297--MA0769.1.Tcf7	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR874--MA0523.1.TCF7L2	chr10	44700355	44700368	-	0.000	0.000	Merged-chr10-44700385-25
NR3083--MA0523.1.TCF7L2	chr15	31440135	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR8291--MA1421.1.TCF7L1	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR2776--MA0769.1.Tcf7	chr14	54578411	54578422	+	0.000	0.000	Merged-chr14-54578277-39
