#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR2656--MA0117.2.Mafb	chr12	82268079	82268090	+	0.000	0.000	Merged-chr12-82268056-22
NR9451--MA0089.1.MAFG::NFE2L1	chr5	77367924	77367929	-	0.000	0.000	Merged-chr5-77367800-15
NR9119--MA0496.2.MAFK	chr4	150894695	150894713	-	0.000	0.000	Merged-chr4-150894695-19
NR5534--MA0089.1.MAFG::NFE2L1	chr17	86123299	86123304	+	0.000	0.000	Merged-chr17-86123282-19
NR10253--MA0089.1.MAFG::NFE2L1	chr6	90583344	90583349	+	0.000	0.000	Merged-chr6-90583387-2
NR356--MA0089.1.MAFG::NFE2L1	chr1	86580623	86580628	+	0.000	0.000	Merged-chr1-86580596-17
NR1509--MA0591.1.Bach1::Mafk	chr10	88783295	88783309	+	0.000	0.000	Merged-chr10-88783253-12
NR12299--MA0496.2.MAFK	chr9	43785162	43785180	-	0.000	0.000	Merged-chr9-43784994-20
NR3858--MA0117.2.Mafb	chr14	62849897	62849908	-	0.000	0.000	Merged-chr14-62849794-8
NR11353--MA0495.2.MAFF	chr7	117449844	117449864	-	0.000	0.000	Merged-chr7-117449738-12
NR5615--MA0501.1.MAF::NFE2	chr18	10744233	10744247	+	0.000	0.000	Merged-chr18-10744169-16
NR4718--MA0089.1.MAFG::NFE2L1	chr16	24517823	24517828	-	0.000	0.000	Merged-chr16-24517976-11
NR5035--MA0117.2.Mafb	chr16	91448214	91448225	-	0.000	0.000	Merged-chr16-91448282-13
NR11355--MA0659.1.MAFG	chr7	117449844	117449864	-	0.000	0.000	Merged-chr7-117449738-12
