#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR5272--MA0511.2.RUNX2	chr18	23734927	23734935	-	0.000	0.000	Merged-chr18-23734973-16
NR5609--MA0511.2.RUNX2	chr19	5257356	5257364	-	0.000	0.000	Merged-chr19-5257394-33
NR5652--MA0511.2.RUNX2	chr19	10830054	10830062	-	0.000	0.000	Merged-chr19-10829902-50
NR3101--MA0511.2.RUNX2	chr13	85399092	85399100	-	0.000	0.000	Merged-chr13-85399027-23
NR3624--MA0511.2.RUNX2	chr14	74990693	74990701	-	0.000	0.000	Merged-chr14-74990757-12
NR9787--MA0511.2.RUNX2	chr7	99946599	99946607	+	0.000	0.000	Merged-chr7-99946527-26
NR86--MA0511.2.RUNX2	chr1	38963780	38963788	-	0.000	0.000	Merged-chr1-38963759-8
NR3191--MA0511.2.RUNX2	chr13	98803826	98803834	+	0.000	0.000	Merged-chr13-98803850-12
NR1226--MA0002.2.RUNX1	chr10	80271338	80271348	+	0.000	0.000	Merged-chr10-80271512-28
NR9545--MA0002.2.RUNX1	chr7	44839664	44839674	+	0.000	0.000	Merged-chr7-44839649-46
NR11145--MA0511.2.RUNX2	chr9	105499568	105499576	-	0.000	0.000	Merged-chr9-105499679-15
NR6501--MA0002.2.RUNX1	chr2	144646569	144646579	+	0.000	0.000	Merged-chr2-144646502-21
NR3028--MA0002.2.RUNX1	chr13	63112800	63112810	-	0.000	0.000	Merged-chr13-63112828-16
NR3498--MA0002.2.RUNX1	chr14	61518777	61518787	-	0.000	0.000	Merged-chr14-61518892-20
NR10678--MA0511.2.RUNX2	chr9	13518644	13518652	+	0.000	0.000	Merged-chr9-13518732-12
NR403--MA0002.2.RUNX1	chr1	98130231	98130241	+	0.000	0.000	Merged-chr1-98130284-39
NR1688--MA0002.2.RUNX1	chr11	48935110	48935120	-	0.000	0.000	Merged-chr11-48935044-1
NR9516--MA0002.2.RUNX1	chr7	30402557	30402567	-	0.000	0.000	Merged-chr7-30402572-19
NR2984--MA0002.2.RUNX1	chr13	49298749	49298759	-	0.000	0.000	Merged-chr13-49298668-48
NR2841--MA0002.2.RUNX1	chr13	19518143	19518153	-	0.000	0.000	Merged-chr13-19518295-27
NR7164--MA0002.2.RUNX1	chr3	130788180	130788190	+	0.000	0.000	Merged-chr3-130788036-10
NR7435--MA0002.2.RUNX1	chr4	21842815	21842825	-	0.000	0.000	Merged-chr4-21842691-16
NR5374--MA0684.1.RUNX3	chr18	56871869	56871878	+	0.000	0.000	Merged-chr18-56871976-16
NR1222--MA0511.2.RUNX2	chr10	80270198	80270206	-	0.000	0.000	Merged-chr10-80270188-4
NR3326--MA0002.2.RUNX1	chr13	119657277	119657287	+	0.000	0.000	Merged-chr13-119657260-10
NR3372--MA0511.2.RUNX2	chr14	25534438	25534446	-	0.000	0.000	Merged-chr14-25534315-15
NR8996--MA0002.2.RUNX1	chr6	83066176	83066186	-	0.000	0.000	Merged-chr6-83066192-22
NR4080--MA0002.2.RUNX1	chr15	80897004	80897014	-	0.000	0.000	Merged-chr15-80896921-31
NR8472--MA0684.1.RUNX3	chr5	115085108	115085117	+	0.000	0.000	Merged-chr5-115085067-14
NR639--MA0002.2.RUNX1	chr1	162586524	162586534	+	0.000	0.000	Merged-chr1-162586427-19
NR7234--MA0511.2.RUNX2	chr3	138753297	138753305	-	0.000	0.000	Merged-chr3-138753245-27
NR11270--MA0002.2.RUNX1	chr9	118863755	118863765	-	0.000	0.000	Merged-chr9-118863800-9
NR6903--MA0511.2.RUNX2	chr3	86563543	86563551	-	0.000	0.000	Merged-chr3-86563473-7
NR10353--MA0684.1.RUNX3	chr8	77461472	77461481	+	0.000	0.000	Merged-chr8-77461517-9
NR10479--MA0511.2.RUNX2	chr8	110813284	110813292	+	0.000	0.000	Merged-chr8-110813191-16
NR2444--MA0684.1.RUNX3	chr12	76953591	76953600	-	0.000	0.000	Merged-chr12-76953735-9
NR171--MA0684.1.RUNX3	chr1	54601342	54601351	-	0.000	0.000	Merged-chr1-54601410-5
NR8400--MA0511.2.RUNX2	chr5	107525198	107525206	-	0.000	0.000	Merged-chr5-107525104-2
NR16--MA0684.1.RUNX3	chr1	7147198	7147207	+	0.000	0.000	Merged-chr1-7147128-26
NR2785--MA0002.2.RUNX1	chr12	117959424	117959434	-	0.000	0.000	Merged-chr12-117959315-24
NR164--MA0002.2.RUNX1	chr1	53970832	53970842	+	0.000	0.000	Merged-chr1-53970777-7
NR6654--MA0684.1.RUNX3	chr2	168429763	168429772	+	0.000	0.000	Merged-chr2-168429700-17
NR547--MA0511.2.RUNX2	chr1	144276047	144276055	-	0.000	0.000	Merged-chr1-144275874-18
NR3399--MA0684.1.RUNX3	chr14	30579522	30579531	+	0.000	0.000	Merged-chr14-30579338-21
NR4810--MA0684.1.RUNX3	chr17	12768859	12768868	+	0.000	0.000	Merged-chr17-12768899-10
NR6342--MA0002.2.RUNX1	chr2	116921554	116921564	+	0.000	0.000	Merged-chr2-116921612-11
NR4186--MA0002.2.RUNX1	chr15	99154912	99154922	+	0.000	0.000	Merged-chr15-99154930-7
NR1288--MA0511.2.RUNX2	chr10	88551162	88551170	+	0.000	0.000	Merged-chr10-88551161-11
NR8829--MA0002.2.RUNX1	chr6	41189074	41189084	-	0.000	0.000	Merged-chr6-41189154-9
NR5610--MA0002.2.RUNX1	chr19	5257354	5257364	+	0.000	0.000	Merged-chr19-5257394-33
NR8401--MA0684.1.RUNX3	chr5	107525197	107525206	-	0.000	0.000	Merged-chr5-107525104-2
NR8885--MA0002.2.RUNX1	chr6	51533583	51533593	+	0.000	0.000	Merged-chr6-51533616-16
NR11451--MA0002.2.RUNX1	chrX	102037244	102037254	+	0.000	0.000	Merged-chrX-102037181-28
NR8471--MA0002.2.RUNX1	chr5	115085108	115085118	-	0.000	0.000	Merged-chr5-115085067-14
NR2084--MA0002.2.RUNX1	chr11	106687554	106687564	+	0.000	0.000	Merged-chr11-106687558-7
NR11498--MA0002.2.RUNX1	chrX	159713376	159713386	+	0.000	0.000	Merged-chrX-159713466-17
NR11454--MA0511.2.RUNX2	chrX	104760589	104760597	-	0.000	0.000	Merged-chrX-104760741-26
NR4048--MA0002.2.RUNX1	chr15	76795408	76795418	-	0.000	0.000	Merged-chr15-76795426-7
NR4113--MA0511.2.RUNX2	chr15	86051395	86051403	-	0.000	0.000	Merged-chr15-86051383-21
NR39--MA0511.2.RUNX2	chr1	21333808	21333816	-	0.000	0.000	Merged-chr1-21333700-62
