#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR1071--MA0463.1.Bcl6	chr2	34982564	34982577	+	0.000	0.000	Merged-chr2-34982434-20
NR992--MA0731.1.BCL6B	chr18	74789488	74789504	+	0.000	0.000	Merged-chr18-74789604-25
NR1430--MA0463.1.Bcl6	chr4	88179521	88179534	+	0.000	0.000	Merged-chr4-88179548-21
NR1799--MA0731.1.BCL6B	chr7	67308327	67308343	-	0.000	0.000	Merged-chr7-67308311-16
NR1663--MA0463.1.Bcl6	chr6	57814058	57814071	-	0.000	0.000	Merged-chr6-57814077-20
NR2077--MA0463.1.Bcl6	chr9	96785330	96785343	-	0.000	0.000	Merged-chr9-96785400-18
NR1154--MA0463.1.Bcl6	chr2	117374548	117374561	-	0.000	0.000	Merged-chr2-117374468-47
NR374--MA0463.1.Bcl6	chr11	98948149	98948162	+	0.000	0.000	Merged-chr11-98948156-24
NR907--MA0463.1.Bcl6	chr17	50084090	50084103	+	0.000	0.000	Merged-chr17-50084129-24
NR1728--MA0731.1.BCL6B	chr6	127617401	127617417	-	0.000	0.000	Merged-chr6-127617353-34
NR817--MA0731.1.BCL6B	chr16	50298933	50298949	+	0.000	0.000	Merged-chr16-50299012-15
NR2052--MA0463.1.Bcl6	chr9	78074163	78074176	-	0.000	0.000	Merged-chr9-78074095-46
NR798--MA0731.1.BCL6B	chr16	21672094	21672110	+	0.000	0.000	Merged-chr16-21672078-13
NR1287--MA0731.1.BCL6B	chr3	95909392	95909408	+	0.000	0.000	Merged-chr3-95909537-31
NR634--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR868--MA0463.1.Bcl6	chr17	3521440	3521453	-	0.000	0.000	Merged-chr17-3521498-21
NR765--MA0463.1.Bcl6	chr15	77789313	77789326	-	0.000	0.000	Merged-chr15-77789452-41
NR407--MA0463.1.Bcl6	chr12	17387994	17388007	-	0.000	0.000	Merged-chr12-17388017-60
NR1492--MA0463.1.Bcl6	chr4	138975489	138975502	+	0.000	0.000	Merged-chr4-138975429-9
NR1197--MA0731.1.BCL6B	chr2	150437809	150437825	+	0.000	0.000	Merged-chr2-150437755-14
NR382--MA0731.1.BCL6B	chr11	106958393	106958409	-	0.000	0.000	Merged-chr11-106958567-20
NR2145--MA0731.1.BCL6B	chrX	100476537	100476553	-	0.000	0.000	Merged-chrX-100476611-55
NR2028--MA0463.1.Bcl6	chr9	62420178	62420191	+	0.000	0.000	Merged-chr9-62420075-10
NR645--MA0731.1.BCL6B	chr14	27262546	27262562	-	0.000	0.000	Merged-chr14-27262535-17
NR1301--MA0463.1.Bcl6	chr3	103375968	103375981	-	0.000	0.000	Merged-chr3-103375915-4
NR857--MA0463.1.Bcl6	chr16	93977791	93977804	-	0.000	0.000	Merged-chr16-93977807-10
NR114--MA0731.1.BCL6B	chr1	156464625	156464641	-	0.000	0.000	Merged-chr1-156464548-8
NR1427--MA0463.1.Bcl6	chr4	85670085	85670098	-	0.000	0.000	Merged-chr4-85670020-5
NR759--MA0731.1.BCL6B	chr15	75989467	75989483	-	0.000	0.000	Merged-chr15-75989277-9
NR1575--MA0463.1.Bcl6	chr5	89051303	89051316	-	0.000	0.000	Merged-chr5-89051554-45
NR1020--MA0463.1.Bcl6	chr19	16255597	16255610	-	0.000	0.000	Merged-chr19-16255427-25
NR1963--MA0731.1.BCL6B	chr8	107505469	107505485	-	0.000	0.000	Merged-chr8-107505522-28
NR679--MA0463.1.Bcl6	chr14	65393682	65393695	-	0.000	0.000	Merged-chr14-65393664-9
NR585--MA0463.1.Bcl6	chr13	91697219	91697232	-	0.000	0.000	Merged-chr13-91697201-18
NR2021--MA0731.1.BCL6B	chr9	52075392	52075408	-	0.000	0.000	Merged-chr9-52075566-6
NR1710--MA0463.1.Bcl6	chr6	108512120	108512133	+	0.000	0.000	Merged-chr6-108512233-21
NR272--MA0463.1.Bcl6	chr10	117982728	117982741	+	0.000	0.000	Merged-chr10-117982814-16
NR1285--MA0463.1.Bcl6	chr3	95722519	95722532	-	0.000	0.000	Merged-chr3-95722546-39
NR2017--MA0463.1.Bcl6	chr9	50414258	50414271	-	0.000	0.000	Merged-chr9-50414250-13
NR156--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR1402--MA0463.1.Bcl6	chr4	33791608	33791621	+	0.000	0.000	Merged-chr4-33791808-5
NR1403--MA0731.1.BCL6B	chr4	33791605	33791621	-	0.000	0.000	Merged-chr4-33791808-5
NR1668--MA0731.1.BCL6B	chr6	66252464	66252480	+	0.000	0.000	Merged-chr6-66252273-1,Merged-chr6-66252474-1
NR1246--MA0731.1.BCL6B	chr3	19240210	19240226	-	0.000	0.000	Merged-chr3-19240113-21
NR668--MA0463.1.Bcl6	chr14	55025778	55025791	+	0.000	0.000	Merged-chr14-55025661-27
NR1682--MA0731.1.BCL6B	chr6	87394950	87394966	-	0.000	0.000	Merged-chr6-87395104-19
NR1477--MA0731.1.BCL6B	chr4	132748936	132748952	+	0.000	0.000	Merged-chr4-132748989-25
NR1932--MA0463.1.Bcl6	chr8	70003303	70003316	+	0.000	0.000	Merged-chr8-70003366-27
NR154--MA0463.1.Bcl6	chr1	176827398	176827411	+	0.000	0.000	Merged-chr1-176827492-35
NR1167--MA0463.1.Bcl6	chr2	128073156	128073169	+	0.000	0.000	Merged-chr2-128073179-40
NR1606--MA0463.1.Bcl6	chr5	110711558	110711571	-	0.000	0.000	Merged-chr5-110711531-4
NR1087--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR742--MA0731.1.BCL6B	chr15	57508722	57508738	-	0.000	0.000	Merged-chr15-57508665-16
NR211--MA0731.1.BCL6B	chr10	44716098	44716114	-	0.000	0.000	Merged-chr10-44715918-29
NR1082--MA0731.1.BCL6B	chr2	46064727	46064743	+	0.000	0.000	Merged-chr2-46064700-1
NR1679--MA0463.1.Bcl6	chr6	86087365	86087378	+	0.000	0.000	Merged-chr6-86087323-6
NR694--MA0731.1.BCL6B	chr14	76001792	76001808	+	0.000	0.000	Merged-chr14-76001968-11
NR346--MA0731.1.BCL6B	chr11	72176108	72176124	+	0.000	0.000	Merged-chr11-72176027-2
NR693--MA0463.1.Bcl6	chr14	76001792	76001805	-	0.000	0.000	Merged-chr14-76001968-11
NR1478--MA0463.1.Bcl6	chr4	133005466	133005479	-	0.000	0.000	Merged-chr4-133005373-4
NR125--MA0463.1.Bcl6	chr1	162094332	162094345	+	0.000	0.000	Merged-chr1-162094499-16
