#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR1565--MA0768.1.LEF1	chr5	45790459	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR92--MA0768.1.LEF1	chr1	127215117	127215131	-	0.000	0.000	Merged-chr1-127215096-15
NR1695--MA0768.1.LEF1	chr6	70862829	70862843	-	0.000	0.000	Merged-chr6-70862834-28
NR208--MA0768.1.LEF1	chr10	25387443	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR226--MA0768.1.LEF1	chr10	58351891	58351905	+	0.000	0.000	Merged-chr10-58351765-21
NR1942--MA0768.1.LEF1	chr8	41334201	41334215	+	0.000	0.000	Merged-chr8-41334366-24
NR1956--MA0768.1.LEF1	chr8	70160263	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR961--MA0768.1.LEF1	chr18	35776809	35776823	-	0.000	0.000	Merged-chr18-35776738-19
NR1522--MA0768.1.LEF1	chr4	148167221	148167235	-	0.000	0.000	Merged-chr4-148167175-10
NR1746--MA0768.1.LEF1	chr6	124072937	124072951	-	0.000	0.000	Merged-chr6-124072960-16
NR747--MA0768.1.LEF1	chr15	59019052	59019066	+	0.000	0.000	Merged-chr15-59019141-20
NR1308--MA0768.1.LEF1	chr3	101066412	101066426	-	0.000	0.000	Merged-chr3-101066330-34
NR783--MA0768.1.LEF1	chr15	95838580	95838594	-	0.000	0.000	Merged-chr15-95838556-4
NR1344--MA0768.1.LEF1	chr3	126589697	126589711	+	0.000	0.000	Merged-chr3-126589665-27
NR1689--MA0768.1.LEF1	chr6	65569962	65569976	+	0.000	0.000	Merged-chr6-65569933-17
NR1031--MA0768.1.LEF1	chr19	24242268	24242282	-	0.000	0.000	Merged-chr19-24242140-10
NR1264--MA0768.1.LEF1	chr3	55660069	55660083	+	0.000	0.000	Merged-chr3-55660012-44
NR1815--MA0768.1.LEF1	chr7	49494894	49494908	+	0.000	0.000	Merged-chr7-49494921-17
NR20--MA0768.1.LEF1	chr1	40847735	40847749	-	0.000	0.000	Merged-chr1-40847809-27
NR1623--MA0768.1.LEF1	chr5	118614716	118614730	+	0.000	0.000	Merged-chr5-118614593-18
NR2046--MA0768.1.LEF1	chr9	66492611	66492625	-	0.000	0.000	Merged-chr9-66492510-30
NR709--MA0768.1.LEF1	chr15	4124828	4124842	+	0.000	0.000	Merged-chr15-4124842-36
NR839--MA0768.1.LEF1	chr16	57319958	57319972	+	0.000	0.000	Merged-chr16-57319907-20
NR624--MA0768.1.LEF1	chr14	21507257	21507271	-	0.000	0.000	Merged-chr14-21507188-15
NR1566--MA0768.1.LEF1	chr5	46445799	46445813	+	0.000	0.000	Merged-chr5-46445949-13
NR777--MA0768.1.LEF1	chr15	91616722	91616736	-	0.000	0.000	Merged-chr15-91616695-12
NR1463--MA0768.1.LEF1	chr4	86725321	86725335	+	0.000	0.000	Merged-chr4-86725378-12
NR549--MA0768.1.LEF1	chr13	55255378	55255392	-	0.000	0.000	Merged-chr13-55255412-37
NR1235--MA0768.1.LEF1	chr2	170147682	170147696	+	0.000	0.000	Merged-chr2-170147732-33
NR240--MA0768.1.LEF1	chr10	75417901	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR1468--MA0768.1.LEF1	chr4	88912351	88912365	+	0.000	0.000	Merged-chr4-88912378-27
NR129--MA0768.1.LEF1	chr1	156901812	156901826	+	0.000	0.000	Merged-chr1-156901975-24
NR1500--MA0768.1.LEF1	chr4	130706922	130706936	-	0.000	0.000	Merged-chr4-130706849-20
NR832--MA0768.1.LEF1	chr16	48745639	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR389--MA0768.1.LEF1	chr11	108334393	108334407	+	0.000	0.000	Merged-chr11-108334513-21
NR850--MA0768.1.LEF1	chr16	78595986	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR1075--MA0768.1.LEF1	chr2	6622256	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR14--MA0768.1.LEF1	chr1	36960732	36960746	+	0.000	0.000	Merged-chr1-36960699-30
NR1420--MA0768.1.LEF1	chr4	11610155	11610169	+	0.000	0.000	Merged-chr4-11610147-18
NR976--MA0768.1.LEF1	chr18	53951317	53951331	-	0.000	0.000	Merged-chr18-53951279-47
NR542--MA0768.1.LEF1	chr13	51712202	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR1779--MA0768.1.LEF1	chr6	146960237	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR690--MA0768.1.LEF1	chr14	104517112	104517126	+	0.000	0.000	Merged-chr14-104517244-7
NR1345--MA0768.1.LEF1	chr3	126589727	126589741	+	0.000	0.000	Merged-chr3-126589665-27
NR574--MA0768.1.LEF1	chr13	89401529	89401543	+	0.000	0.000	Merged-chr13-89401429-25
NR686--MA0768.1.LEF1	chr14	100222405	100222419	+	0.000	0.000	Merged-chr14-100222353-13
NR1381--MA0768.1.LEF1	chr3	144232067	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR1265--MA0768.1.LEF1	chr3	55660081	55660095	+	0.000	0.000	Merged-chr3-55660012-44
NR1932--MA0768.1.LEF1	chr8	33548680	33548694	+	0.000	0.000	Merged-chr8-33548647-24
NR2006--MA0768.1.LEF1	chr8	128333533	128333547	+	0.000	0.000	Merged-chr8-128333532-18
NR1055--MA0768.1.LEF1	chr19	57093567	57093581	+	0.000	0.000	Merged-chr19-57093567-48
NR2042--MA0768.1.LEF1	chr9	61720239	61720253	+	0.000	0.000	Merged-chr9-61720309-20
NR1512--MA0768.1.LEF1	chr4	144986271	144986285	+	0.000	0.000	Merged-chr4-144986370-39
NR723--MA0768.1.LEF1	chr15	30662246	30662260	+	0.000	0.000	Merged-chr15-30662184-17
NR835--MA0768.1.LEF1	chr16	51719825	51719839	+	0.000	0.000	Merged-chr16-51719841-20
NR186--MA0768.1.LEF1	chr1	191486728	191486742	+	0.000	0.000	Merged-chr1-191486758-12
NR858--MA0768.1.LEF1	chr16	89816957	89816971	+	0.000	0.000	Merged-chr16-89817047-30
NR1101--MA0768.1.LEF1	chr2	31180362	31180376	-	0.000	0.000	Merged-chr2-31180309-64
NR76--MA0768.1.LEF1	chr1	94025609	94025623	+	0.000	0.000	Merged-chr1-94025615-17
NR317--MA0768.1.LEF1	chr11	11498083	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR1160--MA0768.1.LEF1	chr2	103280069	103280083	+	0.000	0.000	Merged-chr2-103280126-14
NR219--MA0768.1.LEF1	chr10	43740321	43740335	+	0.000	0.000	Merged-chr10-43740419-60
NR1290--MA0768.1.LEF1	chr3	87385452	87385466	+	0.000	0.000	Merged-chr3-87385488-4
NR2116--MA0768.1.LEF1	chr9	120692063	120692077	-	0.000	0.000	Merged-chr9-120691973-52
NR1976--MA0768.1.LEF1	chr8	110846142	110846156	-	0.000	0.000	Merged-chr8-110845988-12
NR623--MA0768.1.LEF1	chr14	21078675	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR829--MA0768.1.LEF1	chr16	45347113	45347127	+	0.000	0.000	Merged-chr16-45346908-42
NR847--MA0768.1.LEF1	chr16	78247902	78247916	-	0.000	0.000	Merged-chr16-78247900-23
NR2068--MA0768.1.LEF1	chr9	82967388	82967402	+	0.000	0.000	Merged-chr9-82967336-26
NR883--MA0768.1.LEF1	chr17	21433939	21433953	+	0.000	0.000	Merged-chr17-21433933-15
NR47--MA0768.1.LEF1	chr1	71069089	71069103	-	0.000	0.000	Merged-chr1-71069065-19
NR324--MA0768.1.LEF1	chr11	30168262	30168276	-	0.000	0.000	Merged-chr11-30168139-12
NR217--MA0768.1.LEF1	chr10	42633463	42633477	+	0.000	0.000	Merged-chr10-42633342-1
NR2011--MA0768.1.LEF1	chr9	7576792	7576806	+	0.000	0.000	Merged-chr9-7576753-19
NR1266--MA0768.1.LEF1	chr3	58552641	58552655	+	0.000	0.000	Merged-chr3-58552438-57
NR2141--MA0768.1.LEF1	chrX	57189509	57189523	-	0.000	0.000	Merged-chrX-57189507-26
NR2007--MA0768.1.LEF1	chr9	3404677	3404691	-	0.000	0.000	Merged-chr9-3404634-1
NR1817--MA0768.1.LEF1	chr7	49581699	49581713	-	0.000	0.000	Merged-chr7-49581640-7
NR2137--MA0768.1.LEF1	chrX	41400778	41400792	-	0.000	0.000	Merged-chrX-41400640-20
NR2173--MA0768.1.LEF1	chrY	11858272	11858286	-	0.000	0.000	Merged-chrY-11858126-43
NR895--MA0768.1.LEF1	chr17	31693693	31693707	-	0.000	0.000	Merged-chr17-31693537-59
NR1429--MA0768.1.LEF1	chr4	43425814	43425828	+	0.000	0.000	Merged-chr4-43425896-5
NR1335--MA0768.1.LEF1	chr3	115584849	115584863	-	0.000	0.000	Merged-chr3-115584831-13
NR452--MA0768.1.LEF1	chr12	82284726	82284740	+	0.000	0.000	Merged-chr12-82284829-46
NR1219--MA0768.1.LEF1	chr2	153325731	153325745	+	0.000	0.000	Merged-chr2-153325949-22
NR797--MA0768.1.LEF1	chr16	4752300	4752314	-	0.000	0.000	Merged-chr16-4752313-9
NR224--MA0768.1.LEF1	chr10	56369029	56369043	-	0.000	0.000	Merged-chr10-56369223-33
NR1022--MA0768.1.LEF1	chr19	12002269	12002283	+	0.000	0.000	Merged-chr19-12002372-25
NR1040--MA0768.1.LEF1	chr19	34570104	34570118	+	0.000	0.000	Merged-chr19-34570289-10
NR1009--MA0768.1.LEF1	chr18	81521366	81521380	-	0.000	0.000	Merged-chr18-81521430-36
NR484--MA0768.1.LEF1	chr12	110861504	110861518	-	0.000	0.000	Merged-chr12-110861556-21
NR2014--MA0768.1.LEF1	chr9	11559525	11559539	-	0.000	0.000	Merged-chr9-11559688-28
NR1157--MA0768.1.LEF1	chr2	102044500	102044514	+	0.000	0.000	Merged-chr2-102044515-18
NR1081--MA0768.1.LEF1	chr2	13132648	13132662	-	0.000	0.000	Merged-chr2-13132891-60
NR1287--MA0768.1.LEF1	chr3	84595447	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR852--MA0768.1.LEF1	chr16	84995568	84995582	+	0.000	0.000	Merged-chr16-84995665-26
NR2167--MA0768.1.LEF1	chrX	159899314	159899328	-	0.000	0.000	Merged-chrX-159899215-24
NR1780--MA0768.1.LEF1	chr6	146960262	146960276	-	0.000	0.000	Merged-chr6-146960171-26
NR978--MA0768.1.LEF1	chr18	55107223	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR1879--MA0768.1.LEF1	chr7	116557586	116557600	-	0.000	0.000	Merged-chr7-116557657-1
NR1306--MA0768.1.LEF1	chr3	100582784	100582798	-	0.000	0.000	Merged-chr3-100582913-18
NR423--MA0768.1.LEF1	chr12	35999207	35999221	+	0.000	0.000	Merged-chr12-35999221-22
NR1669--MA0768.1.LEF1	chr6	37299212	37299226	-	0.000	0.000	Merged-chr6-37299169-1
NR674--MA0768.1.LEF1	chr14	75444803	75444817	+	0.000	0.000	Merged-chr14-75444835-23
NR1575--MA0768.1.LEF1	chr5	63767926	63767940	+	0.000	0.000	Merged-chr5-63767981-25
NR213--MA0768.1.LEF1	chr10	39768386	39768400	+	0.000	0.000	Merged-chr10-39768344-17
NR1329--MA0768.1.LEF1	chr3	109740827	109740841	+	0.000	0.000	Merged-chr3-109740806-11
NR115--MA0768.1.LEF1	chr1	149965687	149965701	-	0.000	0.000	Merged-chr1-149965858-2
NR1276--MA0768.1.LEF1	chr3	68240094	68240108	+	0.000	0.000	Merged-chr3-68240034-18
NR2138--MA0768.1.LEF1	chrX	42366066	42366080	-	0.000	0.000	Merged-chrX-42366064-18
NR183--MA0768.1.LEF1	chr1	189830996	189831010	+	0.000	0.000	Merged-chr1-189831018-42
NR707--MA0768.1.LEF1	chr14	122902340	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR1966--MA0768.1.LEF1	chr8	81735841	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR1984--MA0768.1.LEF1	chr8	117299276	117299290	-	0.000	0.000	Merged-chr8-117299202-13
NR743--MA0768.1.LEF1	chr15	57878557	57878571	+	0.000	0.000	Merged-chr15-57878528-32
NR1416--MA0768.1.LEF1	chr4	6941292	6941306	-	0.000	0.000	Merged-chr4-6941109-33
NR417--MA0768.1.LEF1	chr12	25601138	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR681--MA0768.1.LEF1	chr14	87349054	87349068	-	0.000	0.000	Merged-chr14-87349015-16
NR220--MA0768.1.LEF1	chr10	43783356	43783370	+	0.000	0.000	Merged-chr10-43783399-14
NR1121--MA0768.1.LEF1	chr2	58589862	58589876	+	0.000	0.000	Merged-chr2-58589818-35
NR207--MA0768.1.LEF1	chr10	24111235	24111249	-	0.000	0.000	Merged-chr10-24111264-14
NR1005--MA0768.1.LEF1	chr18	79297906	79297920	+	0.000	0.000	Merged-chr18-79298014-36
NR1126--MA0768.1.LEF1	chr2	61494269	61494283	-	0.000	0.000	Merged-chr2-61494309-57
NR1923--MA0768.1.LEF1	chr8	4507784	4507798	-	0.000	0.000	Merged-chr8-4507701-32
NR597--MA0768.1.LEF1	chr13	110540725	110540739	-	0.000	0.000	Merged-chr13-110540791-23
NR1601--MA0768.1.LEF1	chr5	97090319	97090333	+	0.000	0.000	Merged-chr5-97090318-20
NR1843--MA0768.1.LEF1	chr7	84143203	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR960--MA0768.1.LEF1	chr18	33781014	33781028	+	0.000	0.000	Merged-chr18-33781041-12
NR732--MA0768.1.LEF1	chr15	36855721	36855735	-	0.000	0.000	Merged-chr15-36855718-24
NR1078--MA0768.1.LEF1	chr2	9677262	9677276	+	0.000	0.000	Merged-chr2-9677324-22
NR17--MA0768.1.LEF1	chr1	40190062	40190076	+	0.000	0.000	Merged-chr1-40190206-19
NR1423--MA0768.1.LEF1	chr4	32560449	32560463	-	0.000	0.000	Merged-chr4-32560610-21
NR782--MA0768.1.LEF1	chr15	95826800	95826814	-	0.000	0.000	Merged-chr15-95826706-34
NR424--MA0768.1.LEF1	chr12	39649242	39649256	-	0.000	0.000	Merged-chr12-39649191-14
NR675--MA0768.1.LEF1	chr14	75444879	75444893	-	0.000	0.000	Merged-chr14-75444835-23
NR214--MA0768.1.LEF1	chr10	39768372	39768386	-	0.000	0.000	Merged-chr10-39768344-17
NR1133--MA0768.1.LEF1	chr2	68884858	68884872	+	0.000	0.000	Merged-chr2-68884857-23
NR559--MA0768.1.LEF1	chr13	69488205	69488219	-	0.000	0.000	Merged-chr13-69488029-32
NR1129--MA0768.1.LEF1	chr2	65871122	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR264--MA0768.1.LEF1	chr10	91029314	91029328	-	0.000	0.000	Merged-chr10-91029194-21
