#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR8146--MA0089.1.MAFG::NFE2L1	chr3	137287924	137287929	-	0.000	0.000	Merged-chr3-137287837-1
NR11773--MA0496.2.MAFK	chr8	70635681	70635699	+	0.000	0.000	Merged-chr8-70635559-11
NR92--MA0089.1.MAFG::NFE2L1	chr1	39559237	39559242	+	0.000	0.000	Merged-chr1-39559167-24
NR2994--MA0496.2.MAFK	chr12	107405030	107405048	-	0.000	0.000	Merged-chr12-107404973-19
NR5836--MA0089.1.MAFG::NFE2L1	chr18	42308227	42308232	-	0.000	0.000	Merged-chr18-42308162-7
NR1596--MA0495.2.MAFF	chr10	96357117	96357137	-	0.000	0.000	Merged-chr10-96357351-35
NR12425--MA0089.1.MAFG::NFE2L1	chr9	75424479	75424484	-	0.000	0.000	Merged-chr9-75424594-10
NR2414--MA0501.1.MAF::NFE2	chr11	109744078	109744092	-	0.000	0.000	Merged-chr11-109744155-21
NR5841--MA0659.1.MAFG	chr18	43492936	43492956	-	0.000	0.000	Merged-chr18-43493033-11
NR3518--MA0117.2.Mafb	chr13	81297568	81297579	-	0.000	0.000	Merged-chr13-81297421-2
NR11988--MA0089.1.MAFG::NFE2L1	chr8	116605575	116605580	+	0.000	0.000	Merged-chr8-116605593-15
NR8157--MA0089.1.MAFG::NFE2L1	chr3	138864362	138864367	+	0.000	0.000	Merged-chr3-138864342-22
NR9334--MA0591.1.Bach1::Mafk	chr5	67437634	67437648	-	0.000	0.000	Merged-chr5-67437495-24
NR4983--MA0591.1.Bach1::Mafk	chr16	49907578	49907592	+	0.000	0.000	Merged-chr16-49907534-19
NR11770--MA0591.1.Bach1::Mafk	chr8	70635683	70635697	-	0.000	0.000	Merged-chr8-70635559-11
NR12625--MA0089.1.MAFG::NFE2L1	chr9	96696411	96696416	-	0.000	0.000	Merged-chr9-96696442-50
NR12018--MA0501.1.MAF::NFE2	chr8	120760047	120760061	+	0.000	0.000	Merged-chr8-120760094-1
NR12304--MA0496.2.MAFK	chr9	44999339	44999357	-	0.000	0.000	Merged-chr9-44999415-9
NR12638--MA0089.1.MAFG::NFE2L1	chr9	99699937	99699942	-	0.000	0.000	Merged-chr9-99699985-12
