#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR5981--MA0523.1.TCF7L2	chr3	152127434	152127447	+	0.000	0.000	Merged-chr3-152127515-20
NR4976--MA0523.1.TCF7L2	chr2	107005953	107005966	+	0.000	0.000	Merged-chr2-107005967-12
NR863--MA0523.1.TCF7L2	chr10	41615634	41615647	+	0.000	0.000	Merged-chr10-41615681-31
NR3291--MA0769.1.Tcf7	chr15	93694650	93694661	-	0.000	0.000	Merged-chr15-93694661-9
NR8293--MA0769.1.Tcf7	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR4110--MA1421.1.TCF7L1	chr18	40308227	40308238	+	0.000	0.000	Merged-chr18-40308184-41
NR830--MA0769.1.Tcf7	chr10	28564338	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR6674--MA1421.1.TCF7L1	chr5	64455558	64455569	-	0.000	0.000	Merged-chr5-64455679-15
NR2174--MA0523.1.TCF7L2	chr13	13493735	13493748	-	0.000	0.000	Merged-chr13-13493678-12
NR8304--MA0523.1.TCF7L2	chr8	78738740	78738753	-	0.000	0.000	Merged-chr8-78738869-6
NR1651--MA0769.1.Tcf7	chr11	116418606	116418617	+	0.000	0.000	Merged-chr11-116418803-35
NR4359--MA1421.1.TCF7L1	chr19	11505603	11505614	+	0.000	0.000	Merged-chr19-11505408-2
NR3289--MA1421.1.TCF7L1	chr15	93694650	93694661	-	0.000	0.000	Merged-chr15-93694661-9
NR9144--MA0769.1.Tcf7	chrX	132288201	132288212	+	0.000	0.000	Merged-chrX-132288230-18
NR4389--MA0769.1.Tcf7	chr19	21507751	21507762	+	0.000	0.000	Merged-chr19-21507788-24
NR1650--MA0523.1.TCF7L2	chr11	116418606	116418619	+	0.000	0.000	Merged-chr11-116418803-35
NR3629--MA1421.1.TCF7L1	chr16	84646515	84646526	+	0.000	0.000	Merged-chr16-84646422-13
NR5954--MA0769.1.Tcf7	chr3	145951398	145951409	+	0.000	0.000	Merged-chr3-145951501-19
NR1852--MA0523.1.TCF7L2	chr12	70880742	70880755	+	0.000	0.000	Merged-chr12-70880653-9
NR5952--MA1421.1.TCF7L1	chr3	145951398	145951409	+	0.000	0.000	Merged-chr3-145951501-19
NR552--MA0523.1.TCF7L2	chr1	164511730	164511743	+	0.000	0.000	Merged-chr1-164511894-12
NR2255--MA0523.1.TCF7L2	chr13	44317656	44317669	-	0.000	0.000	Merged-chr13-44317703-16
NR8291--MA1421.1.TCF7L1	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR4078--MA1421.1.TCF7L1	chr18	33807126	33807137	+	0.000	0.000	Merged-chr18-33807074-10
NR1252--MA0769.1.Tcf7	chr10	119005748	119005759	-	0.000	0.000	Merged-chr10-119005704-15
NR4363--MA0523.1.TCF7L2	chr19	11559754	11559767	-	0.000	0.000	Merged-chr19-11559745-14
NR4111--MA0769.1.Tcf7	chr18	40308227	40308238	+	0.000	0.000	Merged-chr18-40308184-41
NR1146--MA0523.1.TCF7L2	chr10	100741569	100741582	+	0.000	0.000	Merged-chr10-100741514-3
NR9143--MA0523.1.TCF7L2	chrX	132288201	132288214	+	0.000	0.000	Merged-chrX-132288230-18
NR8292--MA0523.1.TCF7L2	chr8	72291253	72291266	+	0.000	0.000	Merged-chr8-72291225-23
NR3284--MA0523.1.TCF7L2	chr15	93379572	93379585	-	0.000	0.000	Merged-chr15-93379459-27
NR4561--MA0769.1.Tcf7	chr2	9536015	9536026	-	0.000	0.000	Merged-chr2-9536121-12
NR7850--MA0523.1.TCF7L2	chr7	89712126	89712139	-	0.000	0.000	Merged-chr7-89711964-5
NR4975--MA1421.1.TCF7L1	chr2	107005953	107005964	+	0.000	0.000	Merged-chr2-107005967-12
NR3694--MA1421.1.TCF7L1	chr16	95682398	95682409	+	0.000	0.000	Merged-chr16-95682592-12
NR3614--MA0769.1.Tcf7	chr16	77099406	77099417	-	0.000	0.000	Merged-chr16-77099308-12
NR3628--MA0769.1.Tcf7	chr16	84646484	84646495	-	0.000	0.000	Merged-chr16-84646422-13
NR7692--MA0769.1.Tcf7	chr7	27725770	27725781	-	0.000	0.000	Merged-chr7-27725861-23
NR1439--MA1421.1.TCF7L1	chr11	64021029	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR1645--MA1421.1.TCF7L1	chr11	115999711	115999722	-	0.000	0.000	Merged-chr11-115999757-14
NR1440--MA0523.1.TCF7L2	chr11	64021027	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR3204--MA1421.1.TCF7L1	chr15	72971928	72971939	-	0.000	0.000	Merged-chr15-72972006-8
NR4361--MA0769.1.Tcf7	chr19	11505603	11505614	+	0.000	0.000	Merged-chr19-11505408-2
NR6899--MA0523.1.TCF7L2	chr5	117924807	117924820	+	0.000	0.000	Merged-chr5-117924808-8
NR1441--MA0769.1.Tcf7	chr11	64021029	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR3290--MA0523.1.TCF7L2	chr15	93694648	93694661	-	0.000	0.000	Merged-chr15-93694661-9
NR6676--MA0769.1.Tcf7	chr5	64455558	64455569	-	0.000	0.000	Merged-chr5-64455679-15
NR1649--MA1421.1.TCF7L1	chr11	116418606	116418617	+	0.000	0.000	Merged-chr11-116418803-35
NR429--MA0769.1.Tcf7	chr1	139163012	139163023	+	0.000	0.000	Merged-chr1-139163024-8
NR6900--MA0769.1.Tcf7	chr5	117924807	117924818	+	0.000	0.000	Merged-chr5-117924808-8
NR3054--MA0523.1.TCF7L2	chr15	18818626	18818639	-	0.000	0.000	Merged-chr15-18818754-6
NR2599--MA0523.1.TCF7L2	chr14	7857968	7857981	-	0.000	0.000	Merged-chr14-7858119-23
NR6675--MA0523.1.TCF7L2	chr5	64455556	64455569	-	0.000	0.000	Merged-chr5-64455679-15
NR1188--MA1421.1.TCF7L1	chr10	111544155	111544166	+	0.000	0.000	Merged-chr10-111544120-26
NR428--MA0523.1.TCF7L2	chr1	139163012	139163025	+	0.000	0.000	Merged-chr1-139163024-8
NR4362--MA1421.1.TCF7L1	chr19	11559756	11559767	-	0.000	0.000	Merged-chr19-11559745-14
NR8118--MA0523.1.TCF7L2	chr7	143501125	143501138	-	0.000	0.000	Merged-chr7-143501142-12
NR9142--MA1421.1.TCF7L1	chrX	132288201	132288212	+	0.000	0.000	Merged-chrX-132288230-18
NR3857--MA0769.1.Tcf7	chr17	46252957	46252968	+	0.000	0.000	Merged-chr17-46252930-10
NR6677--MA1421.1.TCF7L1	chr5	64455648	64455659	-	0.000	0.000	Merged-chr5-64455679-15
NR244--MA0769.1.Tcf7	chr1	88450938	88450949	-	0.000	0.000	Merged-chr1-88450830-24
NR5953--MA0523.1.TCF7L2	chr3	145951398	145951411	+	0.000	0.000	Merged-chr3-145951501-19
NR9049--MA0523.1.TCF7L2	chrX	20772012	20772025	-	0.000	0.000	Merged-chrX-20771944-57
NR3509--MA0523.1.TCF7L2	chr16	44766969	44766982	-	0.000	0.000	Merged-chr16-44767090-2
NR829--MA1421.1.TCF7L1	chr10	28564338	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR4977--MA0769.1.Tcf7	chr2	107005953	107005964	+	0.000	0.000	Merged-chr2-107005967-12
NR3695--MA0769.1.Tcf7	chr16	95682398	95682409	+	0.000	0.000	Merged-chr16-95682592-12
NR4638--MA0523.1.TCF7L2	chr2	31303549	31303562	-	0.000	0.000	Merged-chr2-31303456-10
NR2256--MA0769.1.Tcf7	chr13	44317658	44317669	-	0.000	0.000	Merged-chr13-44317703-16
NR1646--MA0769.1.Tcf7	chr11	115999711	115999722	-	0.000	0.000	Merged-chr11-115999757-14
